Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XX(T),832,MCSF,Normal,3.04,6.0475
XX(T),902,MCSF,Normal,3.22,6.0475
XX(T),899,MCSF,Cuprizone,3.04,6.0475
XX(T),846,MCSF,Cuprizone,5.44,6.0475
XX(T),845,MCSF,Cuprizone,6.49,6.0475
XY(T),854,MCSF,Normal,3.22,6.0475
XY(T),863,MCSF,Normal,3.22,6.0475
XY(T),891,MCSF,Normal,3.04,6.0475
XY(T),887,MCSF,Normal,3.22,6.0475
XY(T),869,MCSF,Cuprizone,3.04,6.0475
XY(T),901,MCSF,Cuprizone,3.04,6.0475
XY(T),900,MCSF,Cuprizone,3.04,6.0475
XY(T),948,MCSF,Cuprizone,3.04,6.0475
XX(O),878,MIP-2,Normal,63.65,35.94166667
XX(O),881,MIP-2,Normal,24.81,35.94166667
XX(O),784,MIP-2,Normal,63.65,35.94166667
XX(O),837,MIP-2,Cuprizone,63.65,35.94166667
XX(O),803,MIP-2,Cuprizone,47.06,35.94166667
XX(O),815,MIP-2,Cuprizone,67.36,35.94166667
XX(O),871,MIP-2,Cuprizone,47.06,35.94166667
XX(O),874,MIP-2,Cuprizone,70.94,35.94166667
XY(O),859,MIP-2,Normal,37.09,35.94166667
XY(O),839,MIP-2,Normal,55.77,35.94166667
XY(O),895,MIP-2,Normal,90.33,35.94166667
XY(O),882,MIP-2,Cuprizone,63.65,35.94166667
XY(O),896,MIP-2,Cuprizone,63.65,35.94166667
XY(O),866,MIP-2,Cuprizone,24.81,35.94166667
XY(O),819,MIP-2,Cuprizone,24.81,35.94166667
XX(T),832,MIP-2,Normal,16,35.94166667
XX(T),902,MIP-2,Normal,16,35.94166667
XX(T),899,MIP-2,Cuprizone,16,35.94166667
XX(T),846,MIP-2,Cuprizone,37.09,35.94166667
XX(T),845,MIP-2,Cuprizone,63.65,35.94166667
XY(T),854,MIP-2,Normal,16,35.94166667
XY(T),863,MIP-2,Normal,16,35.94166667
XY(T),891,MIP-2,Normal,16,35.94166667
XY(T),887,MIP-2,Normal,16,35.94166667
XY(T),869,MIP-2,Cuprizone,16,35.94166667
XY(T),901,MIP-2,Cuprizone,16,35.94166667
XY(T),900,MIP-2,Cuprizone,16,35.94166667
XY(T),948,MIP-2,Cuprizone,16,35.94166667
XX(O),878,MIG,Normal,4.12,6.321666667
XX(O),881,MIG,Normal,4.12,6.321666667
XX(O),784,MIG,Normal,4.12,6.321666667
XX(O),837,MIG,Cuprizone,5.56,6.321666667
XX(O),803,MIG,Cuprizone,7.47,6.321666667
XX(O),815,MIG,Cuprizone,19.75,6.321666667
XX(O),871,MIG,Cuprizone,5.56,6.321666667
XX(O),874,MIG,Cuprizone,8.34,6.321666667
XY(O),859,MIG,Normal,12.09,6.321666667
XY(O),839,MIG,Normal,7.47,6.321666667
XY(O),895,MIG,Normal,19.22,6.321666667
XY(O),882,MIG,Cuprizone,23.25,6.321666667
XY(O),896,MIG,Cuprizone,9.93,6.321666667
XY(O),866,MIG,Cuprizone,6.55,6.321666667
XY(O),819,MIG,Cuprizone,9.93,6.321666667
XX(T),832,MIG,Normal,4.12,6.321666667
XX(T),902,MIG,Normal,4.12,6.321666667
XX(T),899,MIG,Cuprizone,4.45,6.321666667
XX(T),846,MIG,Cuprizone,6.55,6.321666667
XX(T),845,MIG,Cuprizone,4.45,6.321666667
XY(T),854,MIG,Normal,4.12,6.321666667
XY(T),863,MIG,Normal,4.12,6.321666667
XY(T),891,MIG,Normal,4.12,6.321666667
XY(T),887,MIG,Normal,4.12,6.321666667
XY(T),869,MIG,Cuprizone,4.12,6.321666667
XY(T),901,MIG,Cuprizone,4.12,6.321666667
XY(T),900,MIG,Cuprizone,4.12,6.321666667
XY(T),948,MIG,Cuprizone,4.12,6.321666667
XX(O),878,RANTES,Normal,2.36,1.505
XX(O),881,RANTES,Normal,0.96,1.505
XX(O),784,RANTES,Normal,1.63,1.505
XX(O),837,RANTES,Cuprizone,1.77,1.505
XX(O),803,RANTES,Cuprizone,2.14,1.505
XX(O),815,RANTES,Cuprizone,2.67,1.505
XX(O),871,RANTES,Cuprizone,1.98,1.505
XX(O),874,RANTES,Cuprizone,1.66,1.505
XY(O),859,RANTES,Normal,2.46,1.505
XY(O),839,RANTES,Normal,1.98,1.505
XY(O),895,RANTES,Normal,2.88,1.505
XY(O),882,RANTES,Cuprizone,2.73,1.505
XY(O),896,RANTES,Cuprizone,2.09,1.505
XY(O),866,RANTES,Cuprizone,1.61,1.505
XY(O),819,RANTES,Cuprizone,2.67,1.505
XX(T),832,RANTES,Normal,0.83,1.505
XX(T),902,RANTES,Normal,1.39,1.505
XX(T),899,RANTES,Cuprizone,1.12,1.505
XX(T),846,RANTES,Cuprizone,1.61,1.505
XX(T),845,RANTES,Cuprizone,1.61,1.505
XY(T),854,RANTES,Normal,1.06,1.505
XY(T),863,RANTES,Normal,0.83,1.505
XY(T),891,RANTES,Normal,0.83,1.505
XY(T),887,RANTES,Normal,0.85,1.505
XY(T),869,RANTES,Cuprizone,1.01,1.505
XY(T),901,RANTES,Cuprizone,1.23,1.505
XY(T),900,RANTES,Cuprizone,0.85,1.505
XY(T),948,RANTES,Cuprizone,0.83,1.505
XX(O),878,VEGF,Normal,4.28,5.168333333
XX(O),881,VEGF,Normal,3.77,5.168333333
XX(O),784,VEGF,Normal,8.79,5.168333333
XX(O),837,VEGF,Cuprizone,7.06,5.168333333
XX(O),803,VEGF,Cuprizone,3.46,5.168333333
XX(O),815,VEGF,Cuprizone,7.79,5.168333333
XX(O),871,VEGF,Cuprizone,7.33,5.168333333
XX(O),874,VEGF,Cuprizone,5.63,5.168333333
XY(O),859,VEGF,Normal,5.66,5.168333333
XY(O),839,VEGF,Normal,6.15,5.168333333
XY(O),895,VEGF,Normal,5.14,5.168333333
XY(O),882,VEGF,Cuprizone,7.92,5.168333333
XY(O),896,VEGF,Cuprizone,8.79,5.168333333
XY(O),866,VEGF,Cuprizone,6.02,5.168333333
XY(O),819,VEGF,Cuprizone,5.3,5.168333333
XX(T),832,VEGF,Normal,3.33,5.168333333
XX(T),902,VEGF,Normal,8.66,5.168333333
XX(T),899,VEGF,Cuprizone,4.98,5.168333333
XX(T),846,VEGF,Cuprizone,7.39,5.168333333
XX(T),845,VEGF,Cuprizone,5.89,5.168333333
XY(T),854,VEGF,Normal,4.44,5.168333333
XY(T),863,VEGF,Normal,4.47,5.168333333
XY(T),891,VEGF,Normal,3.43,5.168333333
XY(T),887,VEGF,Normal,3.9,5.168333333
XY(T),869,VEGF,Cuprizone,3.71,5.168333333
XY(T),901,VEGF,Cuprizone,4.09,5.168333333
XY(T),900,VEGF,Cuprizone,2.96,5.168333333
XY(T),948,VEGF,Cuprizone,4.73,5.168333333
XX(O),878,TNFa,Normal,1.54,1.6725
XX(O),881,TNFa,Normal,1.54,1.6725
XX(O),784,TNFa,Normal,1.54,1.6725
XX(O),837,TNFa,Cuprizone,1.94,1.6725
XX(O),803,TNFa,Cuprizone,1.54,1.6725
XX(O),815,TNFa,Cuprizone,2.2,1.6725
XX(O),871,TNFa,Cuprizone,1.54,1.6725
XX(O),874,TNFa,Cuprizone,1.54,1.6725
XY(O),859,TNFa,Normal,1.81,1.6725
XY(O),839,TNFa,Normal,2.2,1.6725
XY(O),895,TNFa,Normal,2.2,1.6725
XY(O),882,TNFa,Cuprizone,2.2,1.6725
XY(O),896,TNFa,Cuprizone,1.54,1.6725
XY(O),866,TNFa,Cuprizone,1.54,1.6725
XY(O),819,TNFa,Cuprizone,1.54,1.6725
XX(T),832,TNFa,Normal,1.54,1.6725
XX(T),902,TNFa,Normal,1.54,1.6725
XX(T),899,TNFa,Cuprizone,1.54,1.6725
XX(T),846,TNFa,Cuprizone,1.94,1.6725
XX(T),845,TNFa,Cuprizone,1.68,1.6725
XY(T),854,TNFa,Normal,1.54,1.6725
XY(T),863,TNFa,Normal,1.54,1.6725
XY(T),891,TNFa,Normal,1.54,1.6725
XY(T),887,TNFa,Normal,1.54,1.6725
XY(T),869,TNFa,Cuprizone,1.54,1.6725
XY(T),901,TNFa,Cuprizone,1.54,1.6725
XY(T),900,TNFa,Cuprizone,1.54,1.6725
XY(T),948,TNFa,Cuprizone,1.54,1.6725
