Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XX(O),878,IL-7,Normal,4.49,3.49
XX(O),881,IL-7,Normal,3.2,3.49
XX(O),784,IL-7,Normal,2.26,3.49
XX(O),837,IL-7,Cuprizone,7.56,3.49
XX(O),803,IL-7,Cuprizone,8.16,3.49
XX(O),815,IL-7,Cuprizone,6.66,3.49
XX(O),871,IL-7,Cuprizone,6.96,3.49
XX(O),874,IL-7,Cuprizone,4.49,3.49
XY(O),859,IL-7,Normal,3.85,3.49
XY(O),839,IL-7,Normal,6.96,3.49
XY(O),895,IL-7,Normal,7.56,3.49
XY(O),882,IL-7,Cuprizone,3.85,3.49
XY(O),896,IL-7,Cuprizone,2.54,3.49
XY(O),866,IL-7,Cuprizone,2.26,3.49
XY(O),819,IL-7,Cuprizone,4.8,3.49
XX(T),832,IL-7,Normal,2.26,3.49
XX(T),902,IL-7,Normal,2.26,3.49
XX(T),899,IL-7,Cuprizone,2.26,3.49
XX(T),846,IL-7,Cuprizone,2.26,3.49
XX(T),845,IL-7,Cuprizone,3.2,3.49
XY(T),854,IL-7,Normal,2.26,3.49
XY(T),863,IL-7,Normal,2.26,3.49
XY(T),891,IL-7,Normal,2.26,3.49
XY(T),887,IL-7,Normal,2.26,3.49
XY(T),869,IL-7,Cuprizone,2.26,3.49
XY(T),901,IL-7,Cuprizone,2.26,3.49
XY(T),900,IL-7,Cuprizone,2.26,3.49
XY(T),948,IL-7,Cuprizone,2.26,3.49
XX(O),878,IL-9,Normal,765.4,801.4675
XX(O),881,IL-9,Normal,629.12,801.4675
XX(O),784,IL-9,Normal,561.55,801.4675
XX(O),837,IL-9,Cuprizone,523.21,801.4675
XX(O),803,IL-9,Cuprizone,925.8,801.4675
XX(O),815,IL-9,Cuprizone,844.73,801.4675
XX(O),871,IL-9,Cuprizone,661.46,801.4675
XX(O),874,IL-9,Cuprizone,567.38,801.4675
XY(O),859,IL-9,Normal,979.97,801.4675
XY(O),839,IL-9,Normal,1048,801.4675
XY(O),895,IL-9,Normal,715.32,801.4675
XY(O),882,IL-9,Cuprizone,1482,801.4675
XY(O),896,IL-9,Cuprizone,1357,801.4675
XY(O),866,IL-9,Cuprizone,882.31,801.4675
XY(O),819,IL-9,Cuprizone,932.15,801.4675
XX(T),832,IL-9,Normal,520.23,801.4675
XX(T),902,IL-9,Normal,1469,506.59
XX(T),899,IL-9,Cuprizone,1007,801.4675
XX(T),846,IL-9,Cuprizone,1389,801.4675
XX(T),845,IL-9,Cuprizone,428.45,801.4675
XY(T),854,IL-9,Normal,924.53,801.4675
XY(T),863,IL-9,Normal,590.56,801.4675
XY(T),891,IL-9,Normal,619.18,801.4675
XY(T),887,IL-9,Normal,794.75,801.4675
XY(T),869,IL-9,Cuprizone,697.5,801.4675
XY(T),901,IL-9,Cuprizone,644.64,801.4675
XY(T),900,IL-9,Cuprizone,337.69,801.4675
XY(T),948,IL-9,Cuprizone,1100,801.4675
XX(O),878,IL-10,Normal,74.99,47.20333333
XX(O),881,IL-10,Normal,117.56,47.20333333
XX(O),784,IL-10,Normal,72.18,47.20333333
XX(O),837,IL-10,Cuprizone,55.26,47.20333333
XX(O),803,IL-10,Cuprizone,0,47.20333333
XX(O),815,IL-10,Cuprizone,33.12,47.20333333
XX(O),871,IL-10,Cuprizone,25.57,47.20333333
XX(O),874,IL-10,Cuprizone,29.78,47.20333333
XY(O),859,IL-10,Normal,47.13,47.20333333
XY(O),839,IL-10,Normal,69.78,47.20333333
XY(O),895,IL-10,Normal,101.69,47.20333333
XY(O),882,IL-10,Cuprizone,30.62,47.20333333
XY(O),896,IL-10,Cuprizone,65.76,47.20333333
XY(O),866,IL-10,Cuprizone,41.4,47.20333333
XY(O),819,IL-10,Cuprizone,42.22,47.20333333
XX(T),832,IL-10,Normal,6.16,47.20333333
XX(T),902,IL-10,Normal,18.72,47.20333333
XX(T),899,IL-10,Cuprizone,23.02,47.20333333
XX(T),846,IL-10,Cuprizone,25.57,47.20333333
XX(T),845,IL-10,Cuprizone,20.45,47.20333333
XY(T),854,IL-10,Normal,14.35,47.20333333
XY(T),863,IL-10,Normal,13.46,47.20333333
XY(T),891,IL-10,Normal,12.57,47.20333333
XY(T),887,IL-10,Normal,17.85,47.20333333
XY(T),869,IL-10,Cuprizone,13.46,47.20333333
XY(T),901,IL-10,Cuprizone,24.3,47.20333333
XY(T),900,IL-10,Cuprizone,16.55,47.20333333
XY(T),948,IL-10,Cuprizone,6.63,47.20333333
XX(O),878,IL-12p40,Normal,6.8,5.2575
XX(O),881,IL-12p40,Normal,2.23,5.2575
XX(O),784,IL-12p40,Normal,17.11,5.2575
XX(O),837,IL-12p40,Cuprizone,11.09,5.2575
XX(O),803,IL-12p40,Cuprizone,7.9,5.2575
XX(O),815,IL-12p40,Cuprizone,11.09,5.2575
XX(O),871,IL-12p40,Cuprizone,3.29,5.2575
