Sample,Genotype,Chromo,Gonad
247,XXO,XX,Ovaries
251,XXO,XX,Ovaries
235,XXO,XX,Ovaries
236,XXO,XX,Ovaries
243,XXT,XX,Testes
246,XXT,XX,Testes
248,XYO,XY,Ovaries
249,XYO,XY,Ovaries
250,XYO,XY,Ovaries
257,XYT,XY,Testes
242,XYT,XY,Testes
948,XYT,XY,Testes
