,247,251,235,236,243,246,248,249,250,257,242,948
Eotaxin,0.118379296,-0.164137973,-0.720297983,-1.759718333,0.198725934,0.342479141,-0.814704192,0.236279737,-0.475854004,0.608612785,-0.062047999,-0.219399747
GM-CSF,-0.048400468,0.184429453,-0.048400468,-1.070657852,0.184429453,-0.048400468,-0.654275183,0.384853397,-0.322965852,-0.654275183,0.384853397,-0.322965852
IFNg,0.409943093,-1.164751072,-0.670580612,-0.333908886,0.194746173,0.409943093,-1.164751072,-0.494373559,0.359611418,-1.164751072,-0.259908305,-1.164751072
IL1a,0.554380931,-0.553834349,-0.154226891,0.008229137,0.008229137,-0.154226891,-0.154226891,-0.154226891,0.082405904,-0.806190907,-0.243712421,-1.971475522
IL1b,1.53035617,-0.189116266,-0.189116266,-0.156590363,0.207000371,-0.189116266,-0.189116266,-0.156590363,-0.156590363,-0.189116266,-0.156590363,-0.189116266
IL2,-0.410897769,-0.642043596,-0.218941822,-0.324002423,0.245306813,-0.013536754,-0.244498454,-0.537556491,-0.244498454,-0.218941822,0.194587056,-0.218941822
IL6,1.166073989,-0.193873008,-0.63136022,-0.800619925,0.468885092,0.163007686,-0.794646024,-0.193873008,-0.069653071,-0.794646024,0.51530943,-0.475104522
IL7,-0.024251356,-0.745757731,-0.898263418,-0.474455709,-0.474455709,-0.236621858,-1.369683388,-1.063170345,-0.898263418,-1.063170345,0.534882155,-1.369683388
IL9,-1.764971508,0.14269779,-0.036703117,-0.036703117,-0.908193013,-0.98872445,-0.412829901,-0.348257263,-0.8697343,0.806798772,-0.850959554,0.822001247
IL10,0.366896005,-0.488723228,-0.036478268,-0.278941291,0.132938832,0.214359548,-0.379700433,0.263240697,-0.315752165,0.932986006,-0.315752165,0.431652213
IL12p40,0.603665939,-0.476214837,-1.062963958,-0.839805571,0.162489887,-0.186059089,0.816858395,0.262178461,-0.186059089,-0.186059089,-0.476214837,-0.476214837
IL12p70,3.105889735,-0.022067884,-0.342671798,-0.524016335,0.251087651,-0.022067884,-0.342671798,0.251087651,-0.174218184,-0.342671798,0.120365058,-0.174218184
LIX,2.12181244,-0.479425601,-3.444771532,-3.444771532,0.670354451,0.202003617,0.006335222,1.025411088,0.202003617,-0.217170819,0.006335222,-0.217170819
IL15,0.683841274,0.019528542,-0.180629953,-0.216961789,-0.254232271,-0.331481169,-0.455541702,-0.110868096,-0.254232271,0.110073805,0.139110157,-0.371554226
IL17a,-0.63868312,-0.291609377,-0.085781828,-0.63868312,0.089536432,-0.291609377,-0.63868312,-0.040569251,-0.63868312,-0.291609377,0.005807082,0.005807082
IP10,0.671124309,1.597779549,-0.808470803,-0.864826436,2.458937187,1.679070817,-0.602779839,1.280867756,1.06039319,0.582869515,1.813060307,0.794985622
KC,-0.017694998,-0.017694998,-0.39047481,-1.090728625,0.911685928,0.228780869,-0.757726895,0.047433814,-0.39047481,0.391587827,-0.085903554,0.047433814
MCP1,0.594307127,0.306637836,-1.076690803,0.306637836,0.306637836,-0.043210344,-0.485885734,-0.043210344,-0.043210344,-1.076690803,0.836708578,-0.485885734
MIP1a,-0.741674234,0.764231272,-0.585846965,0.082437599,-0.102545069,-0.207263885,-0.006158272,-0.006158272,-0.321729165,1.718697925,-0.006158272,-0.207263885
MIP1b,0.772913663,0.727939746,-0.485222349,-1.499606267,0.937843524,1.047272732,-0.087462841,0.472662777,-0.177100054,-0.272677714,0.937843524,0.414781861
MIG,0.558751119,1.264864434,-0.637110672,-0.265978579,0.881321697,0.448619202,-0.637110672,1.040501117,0.90552642,-0.265978579,0.014966025,-0.637110672
VEGF,1.588402806,-0.484547671,0.304854582,-0.226906524,0.407045625,0.213571269,-0.677808102,-0.504058495,-0.819996906,0.340539263,-0.700137448,-0.245031072
