Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYT,242,MIP1b,Cuprizone,27.03,14.11
XYT,948,MIP1b,Cuprizone,18.81,14.11
XXO,229,MIG,Ctrl,5.07,6.096428571
XXO,231,MIG,Ctrl,3.92,6.096428571
XXO,233,MIG,Ctrl,3.92,6.096428571
XXO,247,MIG,Cuprizone,8.98,6.096428571
XXO,251,MIG,Cuprizone,14.65,6.096428571
XXO,235,MIG,Cuprizone,3.92,6.096428571
XXO,236,MIG,Cuprizone,5.07,6.096428571
XXT,240,MIG,Ctrl,8.55,6.096428571
XXT,241,MIG,Ctrl,4.48,6.096428571
XXT,252,MIG,Ctrl,3.92,6.096428571
XXT,254,MIG,Ctrl,5.35,6.096428571
XXT,243,MIG,Cuprizone,11.23,6.096428571
XXT,246,MIG,Cuprizone,8.32,6.096428571
XYO,238,MIG,Ctrl,18.17,6.096428571
XYO,230,MIG,Ctrl,5.07,6.096428571
XYO,234,MIG,Ctrl,8.98,6.096428571
XYO,237,MIG,Ctrl,3.92,6.096428571
XYO,248,MIG,Cuprizone,3.92,6.096428571
XYO,249,MIG,Cuprizone,12.54,6.096428571
XYO,250,MIG,Cuprizone,11.42,6.096428571
XYT,253,MIG,Ctrl,3.92,6.096428571
XYT,258,MIG,Ctrl,3.92,6.096428571
XYT,887,MIG,Ctrl,6.16,6.096428571
XYT,257,MIG,Cuprizone,5.07,6.096428571
XYT,242,MIG,Cuprizone,6.16,6.096428571
XYT,948,MIG,Cuprizone,3.92,6.096428571
XXO,229,VEGF,Ctrl,15.76,9.374285714
XXO,231,VEGF,Ctrl,1.85,9.374285714
XXO,233,VEGF,Ctrl,11.02,9.374285714
XXO,247,VEGF,Cuprizone,28.19,9.374285714
XXO,251,VEGF,Cuprizone,6.7,9.374285714
XXO,235,VEGF,Cuprizone,11.58,9.374285714
XXO,236,VEGF,Cuprizone,8.01,9.374285714
XXT,240,VEGF,Ctrl,9.04,9.374285714
XXT,241,VEGF,Ctrl,13,9.374285714
XXT,252,VEGF,Ctrl,15.76,9.374285714
XXT,254,VEGF,Ctrl,8.1,9.374285714
XXT,243,VEGF,Cuprizone,12.43,9.374285714
XXT,246,VEGF,Cuprizone,10.87,9.374285714
XYO,238,VEGF,Ctrl,11.91,9.374285714
XYO,230,VEGF,Ctrl,9.23,9.374285714
XYO,234,VEGF,Ctrl,8.57,9.374285714
XYO,237,VEGF,Ctrl,4.66,9.374285714
XYO,248,VEGF,Cuprizone,5.86,9.374285714
XYO,249,VEGF,Cuprizone,6.61,9.374285714
XYO,250,VEGF,Cuprizone,5.31,9.374285714
XYT,253,VEGF,Ctrl,5.86,9.374285714
XYT,258,VEGF,Ctrl,7.82,9.374285714
XYT,887,VEGF,Ctrl,8.66,9.374285714
XYT,257,VEGF,Cuprizone,11.87,9.374285714
XYT,242,VEGF,Cuprizone,5.77,9.374285714
XYT,948,VEGF,Cuprizone,7.91,9.374285714
