Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXT,241,IL1b,Ctrl,3.07,3.5
XXT,252,IL1b,Ctrl,3.07,3.5
XXT,254,IL1b,Ctrl,3.14,3.5
XXT,243,IL1b,Cuprizone,4.04,3.5
XXT,246,IL1b,Cuprizone,3.07,3.5
XYO,238,IL1b,Ctrl,3.07,3.5
XYO,230,IL1b,Ctrl,3.07,3.5
XYO,234,IL1b,Ctrl,3.07,3.5
XYO,237,IL1b,Ctrl,3.07,3.5
XYO,248,IL1b,Cuprizone,3.07,3.5
XYO,249,IL1b,Cuprizone,3.14,3.5
XYO,250,IL1b,Cuprizone,3.14,3.5
XYT,253,IL1b,Ctrl,3.07,3.5
XYT,258,IL1b,Ctrl,3.14,3.5
XYT,887,IL1b,Ctrl,4.98,3.5
XYT,257,IL1b,Cuprizone,3.07,3.5
XYT,242,IL1b,Cuprizone,3.14,3.5
XYT,948,IL1b,Cuprizone,3.07,3.5
XXO,229,IL2,Ctrl,18.16,13.92
XXO,231,IL2,Ctrl,4.28,13.92
XXO,233,IL2,Ctrl,14.68,13.92
XXO,247,IL2,Cuprizone,10.47,13.92
XXO,251,IL2,Cuprizone,8.92,13.92
XXO,235,IL2,Cuprizone,11.96,13.92
XXO,236,IL2,Cuprizone,11.12,13.92
XXT,240,IL2,Ctrl,17.61,13.92
XXT,241,IL2,Ctrl,15.55,13.92
XXT,252,IL2,Ctrl,14.19,13.92
XXT,254,IL2,Ctrl,19.42,13.92
XXT,243,IL2,Cuprizone,16.5,13.92
XXT,246,IL2,Cuprizone,13.79,13.92
XYO,238,IL2,Ctrl,13.79,13.92
XYO,230,IL2,Ctrl,11.33,13.92
XYO,234,IL2,Ctrl,9.59,13.92
XYO,237,IL2,Ctrl,12.38,13.92
XYO,248,IL2,Cuprizone,11.75,13.92
XYO,249,IL2,Cuprizone,9.59,13.92
XYO,250,IL2,Cuprizone,11.75,13.92
XYT,253,IL2,Ctrl,12.99,13.92
XYT,258,IL2,Ctrl,15.36,13.92
XYT,887,IL2,Ctrl,15.55,13.92
XYT,257,IL2,Cuprizone,11.96,13.92
XYT,242,IL2,Cuprizone,15.93,13.92
XYT,948,IL2,Cuprizone,11.96,13.92
XXO,229,IL6,Ctrl,5.43,4.197857143
XXO,231,IL6,Ctrl,2.41,4.197857143
XXO,233,IL6,Ctrl,4.35,4.197857143
XXO,247,IL6,Cuprizone,9.42,4.197857143
XXO,251,IL6,Cuprizone,3.67,4.197857143
XXO,235,IL6,Cuprizone,2.71,4.197857143
XXO,236,IL6,Cuprizone,2.41,4.197857143
XXT,240,IL6,Ctrl,7.77,4.197857143
XXT,241,IL6,Ctrl,2.71,4.197857143
XXT,252,IL6,Ctrl,2.42,4.197857143
XXT,254,IL6,Ctrl,6.97,4.197857143
XXT,243,IL6,Cuprizone,5.81,4.197857143
XXT,246,IL6,Cuprizone,4.7,4.197857143
XYO,238,IL6,Ctrl,2.71,4.197857143
XYO,230,IL6,Ctrl,4,4.197857143
XYO,234,IL6,Ctrl,3.02,4.197857143
XYO,237,IL6,Ctrl,2.42,4.197857143
XYO,248,IL6,Cuprizone,2.42,4.197857143
XYO,249,IL6,Cuprizone,3.67,4.197857143
XYO,250,IL6,Cuprizone,4,4.197857143
XYT,253,IL6,Ctrl,3.67,4.197857143
XYT,258,IL6,Ctrl,4.7,4.197857143
XYT,887,IL6,Ctrl,6.19,4.197857143
XYT,257,IL6,Cuprizone,2.42,4.197857143
XYT,242,IL6,Cuprizone,6,4.197857143
XYT,948,IL6,Cuprizone,3.02,4.197857143
XXO,229,IL7,Ctrl,4.9,4.197857143
XXO,231,IL7,Ctrl,2.07,5.349166667
XXO,233,IL7,Ctrl,5.08,5.349166667
XXO,247,IL7,Cuprizone,5.26,5.349166667
XXO,251,IL7,Cuprizone,3.19,5.349166667
XXO,235,IL7,Cuprizone,2.87,5.349166667
XXO,236,IL7,Cuprizone,3.85,5.349166667
XXT,240,IL7,Ctrl,12.27,5.349166667
XXT,241,IL7,Ctrl,2.56,5.349166667
XXT,252,IL7,Ctrl,3.68,5.349166667
XXT,254,IL7,Ctrl,10.39,5.349166667
XXT,243,IL7,Cuprizone,3.85,5.349166667
XXT,246,IL7,Cuprizone,4.54,5.349166667
XYO,238,IL7,Ctrl,2.87,5.349166667
