,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Rps13-ps1,48.20635571,0.193005629,0.185244788,1.033453339,0.301391796,0.591693954
Etfdh,644.1376119,0.193165466,0.067061448,2.876807761,0.004017202,0.027326122
Snx32,141.6651385,0.193171067,0.133560863,1.459893132,0.144319447,0.385209972
Lrp8,255.7014349,0.193185251,0.11069021,1.758729445,0.078623474,0.260544208
Invs,190.8199517,0.193221526,0.114895107,1.67619397,0.093700205,0.292268247
Btbd3,185.7752118,0.193223641,0.115237851,1.674804331,0.093972629,0.292806157
Atp6v0b,5726.345751,0.193257847,0.029909389,6.460853298,1.04E-10,4.65E-09
B4galt7,671.3135193,0.19345419,0.069229004,2.798924932,0.005127306,0.033277987
Kifap3,331.615781,0.193506877,0.094778081,2.042728269,0.041079345,0.16487941
Zfp979,3.93591443,0.193527103,0.169445928,1.238798377,0.215420175,0.488035447
Gskip,478.6380002,0.19354833,0.078084347,2.479936589,0.013140575,0.070674392
Lrrc36,2.006619797,0.193645501,0.134935491,1.341247849,0.179839996,NA
Igfbp5,110.8819925,0.193646197,0.205591356,0.985949008,0.324158136,0.615704853
Col4a3bp,1751.915675,0.193813055,0.048867545,3.964363978,7.36E-05,0.000921898
Nlk,487.2868696,0.193928296,0.08204093,2.362133343,0.018170105,0.090179837
Ndufb10,930.9472037,0.193941054,0.058334359,3.323275924,0.000889669,0.007857036
Vcpkmt,203.9073842,0.193947833,0.122045485,1.586401875,0.112648175,0.329390777
Tpp1,10540.76173,0.194037171,0.026121708,7.427602544,1.11E-13,7.31E-12
Tbpl1,377.8492569,0.194060036,0.092141912,2.114340464,0.034486199,0.145245319
Gm10080,27.54230099,0.194096587,0.204646717,0.938688711,0.347890591,0.640704792
Sec24d,1100.976302,0.194120684,0.057612911,3.368955576,0.000754536,0.006858838
Ostc,1269.945899,0.194192203,0.04771618,4.067470182,4.75E-05,0.000636379
Acbd3,1862.603598,0.194406544,0.041926017,4.635971615,3.55E-06,6.39E-05
Tnfrsf21,1724.321017,0.194526426,0.048399506,4.016745288,5.90E-05,0.000761708
Smc6,767.525637,0.194597381,0.062168239,3.133304849,0.001728498,0.013671234
Cd300e,1.461056195,0.194638909,0.109206148,1.427286821,0.153497238,NA
N6amt1,432.7583117,0.194679379,0.078335362,2.481591704,0.013079705,0.070464454
Atxn1,520.8533977,0.194729998,0.072649375,2.679687944,0.007369082,0.044481908
Hist1h2be,26.45895116,0.194781092,0.211007758,0.965805444,0.334141544,0.626394076
1190002N15Rik,274.7194499,0.194818044,0.099533446,1.962675364,0.049683907,0.188667886
Gm5457,4.711099051,0.194823369,0.176949203,1.068664172,0.285221021,0.575975116
Slc39a5,16.91098041,0.194948262,0.213975754,0.896740417,0.369857448,0.658594417
Gm9512,10.08229263,0.194956689,0.206204636,0.966113242,0.333987519,0.626329532
Zfp41,115.8877231,0.195119961,0.143007225,1.372331697,0.169960202,0.42668611
Kmt5a,3872.876497,0.195232114,0.035441437,5.50674422,3.66E-08,1.07E-06
Vps13c,2121.198049,0.195341087,0.086163858,2.265656882,0.023472399,0.10987153
Gm24616,2.574205822,0.195350433,0.147011465,1.301466871,0.193098697,NA
Col9a2,9.50024852,0.19537747,0.206157376,0.81873701,0.412936476,0.694562397
Mylip,1288.8265,0.195391885,0.048219092,4.044397897,5.25E-05,0.00069038
Wls,1911.057654,0.19544518,0.04155354,4.702734591,2.57E-06,4.78E-05
Erp29,4619.18333,0.195452483,0.032689058,5.979514957,2.24E-09,8.34E-08
Nudt17,5.401285,0.195470845,0.182676915,0.907330752,0.364231916,0.654004226
Zfp46,224.9104175,0.195490835,0.114521877,1.708403494,0.087561499,0.279376071
Upf3a,456.8670571,0.195506562,0.085886561,2.277449505,0.022759397,0.107390507
Mgat5,2552.913933,0.195534754,0.041385695,4.723422499,2.32E-06,4.35E-05
Chmp3,1863.175665,0.195536558,0.047102808,4.151939151,3.30E-05,0.000461338
Ptpmt1,477.423965,0.195562477,0.078177698,2.499473906,0.012437786,0.06784438
Matk,184.1820613,0.195583399,0.125405947,1.590460636,0.111731012,0.327724072
Id2,6382.14257,0.195613788,0.038322341,5.104043688,3.32E-07,7.81E-06
Gm47583,4.096180146,0.195628124,0.175754909,1.165106566,0.243975859,0.525083432
Gm44243,7.066527816,0.195635644,0.201196164,0.947922023,0.343169152,0.636148239
Lefty1,7.162491772,0.195657352,0.193163177,0.878338832,0.379759869,0.667257484
Ahcy,613.883612,0.195709624,0.075564351,2.591247944,0.009562857,0.054968539
Bex3,154.1778731,0.195803537,0.126477992,1.539694878,0.123634746,0.349911704
Tbc1d24,511.9985692,0.195884573,0.070722019,2.765703185,0.005680021,0.035968263
Ctu1,181.144441,0.195997317,0.118111909,1.65887916,0.097140145,0.298999664
Cbx2,45.91108935,0.196095473,0.191004246,1.061077937,0.288654483,0.578995129
Tyrobp,10921.78192,0.196183225,0.034947384,5.614041502,1.98E-08,6.12E-07
Zfp969,18.97523061,0.196198312,0.182781391,1.017988235,0.308683547,0.599845615
Klhl9,1757.503881,0.196224183,0.052459251,3.740393673,0.000183732,0.002062413
