,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm12174,91.12665542,0.012846011,0.146695808,0.086519861,0.931053168,0.982171835
Tsen54,251.8296551,0.012869237,0.098860942,0.130108704,0.896480424,0.972812962
Ttc39c,117.2722032,0.012878047,0.140965611,0.090969547,0.927516789,0.980483545
Mtx1,415.6547838,0.012881475,0.075784021,0.169479626,0.865419397,0.963096032
Tnfrsf19,8.598967916,0.012900476,0.197399945,0.071335961,0.943130375,NA
Gm37570,8.163840159,0.012916803,0.205897335,0.063171563,0.949629889,NA
Rad54l,55.09941169,0.012978677,0.193368881,0.084414413,0.932726949,0.982953642
Grasp,10.80528673,0.012982056,0.209401938,0.061603208,0.950878822,NA
Fam13b,526.9557024,0.012983549,0.081741811,0.160147595,0.87276481,0.965150498
Fbl,1488.656599,0.01300911,0.046479267,0.279576235,0.779802642,0.93772495
Reep3,3574.335159,0.013062293,0.043962684,0.297304849,0.76623378,0.932934686
Nup37,130.8778315,0.013087004,0.132622395,0.098330243,0.921670064,0.979209057
Zfp300,3.985190716,0.013123742,0.155292599,0.087652709,0.930152707,NA
Gtf2h1,1465.707768,0.013131121,0.052481324,0.249756339,0.802775786,0.943386617
Oit3,174.2962163,0.0131917,0.117432669,0.108663353,0.91346951,0.976501928
Usp45,494.7695966,0.013219217,0.076695591,0.172935258,0.862702318,0.962105738
Plin3,2497.992633,0.013237523,0.039182849,0.337688503,0.735597939,0.920744617
Espnl,0.645882415,0.013263163,0.040609465,0.403424605,0.686635889,NA
Bag5,382.6119747,0.013288311,0.083649804,0.158737806,0.873875451,0.965536586
Slc9a1,870.9326641,0.013311479,0.05713758,0.232898026,0.815840592,0.948325963
Umad1,137.4351055,0.013332075,0.136127681,0.099852953,0.920461067,0.978638688
Slc12a6,786.1615014,0.013338791,0.065041412,0.20602705,0.836769781,0.954309935
Zc4h2,63.59564699,0.013355398,0.169160192,0.079305034,0.936790002,0.984734172
Hist1h2bh,5.46459116,0.01339215,0.177967732,0.087839794,0.930004009,NA
Hacd3,1079.719678,0.013401942,0.053303241,0.251276973,0.801599977,0.943386617
Chchd4,507.7530043,0.01342306,0.073182252,0.182568105,0.855136913,0.959868471
Rab11a,1632.633379,0.013471412,0.045331464,0.297306819,0.766232276,0.932934686
Clba1,95.34234667,0.013475644,0.149737924,0.087143268,0.930557633,0.982021864
Uqcrb,734.2036002,0.013547905,0.091318751,0.14777951,0.882516781,0.968736858
Cers6,2561.526695,0.013554113,0.0428934,0.316334773,0.75174842,0.927668452
Plppr1,5.63864645,0.01356767,0.177691212,0.108061987,0.913946521,NA
Acot1,144.0756717,0.013577928,0.120445456,0.109271185,0.912987401,0.976344046
Wdsub1,209.0058495,0.013629048,0.117860941,0.11556858,0.907994466,0.975419563
Rplp0,16488.55885,0.013632527,0.025814148,0.528107398,0.597424797,0.866001608
Spcs1,1211.597969,0.01364926,0.049642553,0.274847341,0.783433526,0.938249
Gm44126,57.50391383,0.013657576,0.197840483,0.064141218,0.948857782,0.986799016
