X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_F
Mospd3,350.8243861,-0.228164193,0.09806661,-2.327775804,0.019924012,0.167576539,Mospd3
Rbm42,1.835180872,-0.228232982,0.132211931,-1.987178468,0.046902623,NA,Rbm42
Erg28,354.3605816,-0.22864437,0.090073878,-2.542948948,0.010992129,0.111281243,Erg28
Ccdc125,249.2952205,-0.228721357,0.112266074,-2.042638429,0.041088244,0.265362419,Ccdc125
Usp28,256.454108,-0.228869187,0.112293288,-2.04274703,0.041077487,0.265362419,Usp28
Rin3,446.85183,-0.229315787,0.08864971,-2.592539333,0.009527029,0.10067918,Rin3
Narf,325.8690198,-0.229842236,0.094335232,-2.439128898,0.014722716,0.134256414,Narf
Urb2,318.4440992,-0.232084727,0.094745082,-2.448052506,0.014363072,0.133013215,Urb2
Dhx57,363.0156696,-0.232579536,0.088166684,-2.639222696,0.008309637,0.091735038,Dhx57
Tnfrsf13b,518.8477785,-0.233672676,0.07721438,-3.027184068,0.002468436,0.037524809,Tnfrsf13b
Dip2c,710.6010822,-0.233808249,0.073133787,-3.197572522,0.001385896,0.023958807,Dip2c
Sfxn5,193.5896295,-0.234520617,0.115135418,-2.039488961,0.041401252,0.266072587,Sfxn5
Mtmr9,825.964549,-0.235439811,0.06345438,-3.710244152,0.000207059,0.005071462,Mtmr9
Ftsj1,216.0048096,-0.237448632,0.110432878,-2.14837499,0.031683978,0.229183533,Ftsj1
Gdpd5,616.2896595,-0.239820878,0.071136245,-3.368570125,0.000755592,0.014965549,Gdpd5
Med26,185.0382876,-0.240368104,0.112976371,-2.127236927,0.033400402,0.236003583,Med26
Thoc6,391.8510883,-0.240588496,0.086309014,-2.785638673,0.005342238,0.067118592,Thoc6
Ntpcr,445.649822,-0.241496727,0.083836794,-2.881627244,0.003956275,0.053667725,Ntpcr
Antxr2,1336.694048,-0.242465942,0.048623712,-4.986736554,6.14E-07,3.22E-05,Antxr2
Pstpip1,844.0781343,-0.242512944,0.059377772,-4.082712271,4.45E-05,0.001392124,Pstpip1
Gm49004,1.998665712,-0.243153346,0.132992865,-2.100798899,0.035658623,NA,Gm49004
Prim2,158.5389769,-0.24395744,0.122231909,-1.999461774,0.045558414,0.279624101,Prim2
Pdlim1,2.630547375,-0.245104437,0.144438314,-2.709376221,0.006740985,NA,Pdlim1
B3galt6,226.0095034,-0.245367021,0.102561194,-2.389468723,0.01687276,0.148589149,B3galt6
Kcnk13,1066.210082,-0.245508642,0.060756767,-4.040986777,5.32E-05,0.001629634,Kcnk13
Kdelc1,190.2620687,-0.246508785,0.124373331,-1.982574905,0.047414933,0.285929719,Kdelc1
Rrm1,521.4271037,-0.246813098,0.07869199,-3.141924527,0.001678413,0.027595889,Rrm1
Sh2b2,564.2215669,-0.246935879,0.070270688,-3.508847083,0.000450054,0.009715819,Sh2b2
1810055G02Rik,170.1544293,-0.249252168,0.118280921,-2.105350438,0.035260815,0.24357286,1810055G02Rik
Rpusd4,379.9698885,-0.249587114,0.090920925,-2.744943699,0.006052128,0.073500542,Rpusd4
Abt1,238.5357781,-0.251210247,0.107357339,-2.34049911,0.019257984,0.163867939,Abt1
Gpr180,276.5788597,-0.251727093,0.096666806,-2.60516662,0.009182959,0.09864596,Gpr180
Cyb561a3,319.2540564,-0.253165555,0.092375462,-2.738835632,0.006165719,0.07436607,Cyb561a3
Mcm4,340.7822945,-0.254899803,0.094218358,-2.713694078,0.006653758,0.078409034,Mcm4
Twsg1,1003.237004,-0.255040813,0.057962896,-4.399512821,1.08E-05,0.000400481,Twsg1
Dcakd,389.0914879,-0.257161426,0.09381032,-2.742989076,0.006088271,0.073871023,Dcakd
Klhl20,447.6616641,-0.257709041,0.083504741,-3.087971245,0.00201528,0.031893992,Klhl20
St3gal4,183.7292965,-0.257995167,0.118148236,-2.186845975,0.02875377,0.214817218,St3gal4
Mcu,248.708835,-0.258052476,0.09905302,-2.602021364,0.009267608,0.098894734,Mcu
Impa2,200.0500952,-0.258546984,0.124827495,-2.079063094,0.037611552,0.252361379,Impa2
Pgm1,623.6057728,-0.259183963,0.067053565,-3.865681091,0.00011078,0.003011735,Pgm1
Pip4k2b,1291.453129,-0.260186908,0.050424937,-5.161597341,2.45E-07,1.40E-05,Pip4k2b
Rpl23a-ps3,419.6875515,-0.260611692,0.091445428,-2.849628397,0.004377033,0.057242163,Rpl23a-ps3
Pola1,141.9494075,-0.261522976,0.128742727,-2.035317287,0.041818958,0.267185705,Pola1
Ndp,1.563982036,-0.262092468,0.117745335,-2.088528219,0.036750213,NA,Ndp
Map4k2,315.5992848,-0.262713582,0.094724949,-2.775391255,0.005513533,0.068353209,Map4k2
Akap7,291.4541951,-0.262861413,0.104542225,-2.518500779,0.011785562,0.116074508,Akap7
Gm36210,1.710742151,-0.263249185,0.127820524,-2.602938323,0.009242858,NA,Gm36210
Cpq,219.2674506,-0.264435422,0.110941751,-2.389719585,0.016861241,0.148587561,Cpq
Gpsm1,151.1255106,-0.265430457,0.132934302,-2.001931671,0.045292081,0.278772864,Gpsm1
Cox11,115.3442752,-0.267681925,0.135270101,-1.975184456,0.048247219,0.288032602,Cox11
Il6ra,572.3130564,-0.272215025,0.076333043,-3.569404927,0.000357793,0.008042058,Il6ra
Wdr62,256.5020049,-0.272892651,0.105292777,-2.594672102,0.00946812,0.100380455,Wdr62
Ncapd2,251.5471399,-0.276301747,0.113751609,-2.4542478,0.014117966,0.131486725,Ncapd2
Gm13479,2.218562711,-0.277025578,0.139908529,-2.26074435,0.023775092,NA,Gm13479
Vars2,212.7702293,-0.277930537,0.113761146,-2.442811713,0.014573338,0.133691786,Vars2
Igsf23,0.921669332,-0.279808753,0.092927687,-2.309346612,0.020924355,NA,Igsf23
Snapc3,131.9085419,-0.281501919,0.131742981,-2.13231568,0.032980904,0.234117966,Snapc3
Efcab11,8.067536122,-0.28333223,0.198085093,-1.990426567,0.046543966,NA,Efcab11
Ubald2,421.4180523,-0.284424532,0.090936439,-3.135680073,0.001714561,0.028154902,Ubald2
Siah2,273.6089435,-0.287217452,0.099784071,-2.881216896,0.003961429,0.053682078,Siah2
Exd2,230.8783904,-0.287328516,0.10978599,-2.621851847,0.008745344,0.095181882,Exd2
Tshz1,382.6279713,-0.288162894,0.098125874,-2.943081394,0.00324963,0.045936513,Tshz1
Jade2,1207.386994,-0.288630956,0.049528935,-5.827791283,5.62E-09,4.43E-07,Jade2
Bbx,526.4789897,-0.29308218,0.083901357,-3.492451082,0.000478609,0.010214488,Bbx
Wdcp,99.48991008,-0.293686859,0.148799118,-1.976548207,0.048092722,0.287634424,Wdcp
Pcdhgb2,105.9693009,-0.298534308,0.141416608,-2.11259976,0.034635039,0.241542073,Pcdhgb2
Rassf5,464.7560004,-0.300501982,0.085558074,-3.518492477,0.000434006,0.009447203,Rassf5
Arhgap22,176.0097114,-0.301766616,0.129606641,-2.331211277,0.019742222,0.166726944,Arhgap22
2700049A03Rik,106.5654155,-0.303224678,0.142551008,-2.134885259,0.032770384,0.233255355,2700049A03Rik
