X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Spock2,12.53073109,-0.450948745,0.212688225,-2.027402222,0.042621295,0.169132954,Spock2
Slc6a4,15.64807193,-0.450814422,0.213024723,-2.26650718,0.023420348,0.109787134,Slc6a4
Slfn9,167.3194117,-0.450061132,0.144814093,-3.114227559,0.001844272,0.014438296,Slfn9
Ppp4r4,3.725223205,-0.449739161,0.166722734,-2.498403572,0.012475408,0.068003616,Ppp4r4
Nap1l3,4.326083637,-0.449467446,0.174263249,-2.472242631,0.013426835,0.071902419,Nap1l3
Syt9,6.477555846,-0.44944327,0.185399175,-2.111122938,0.034761746,0.146062702,Syt9
Tmem35a,8.914990627,-0.448906225,0.204387772,-2.41713057,0.015643405,0.080795881,Tmem35a
Ttc39b,634.2550441,-0.448755199,0.069463463,-6.456198032,1.07E-10,4.77E-09,Ttc39b
Sulf1,150.1304611,-0.44798122,0.16800709,-4.505545016,6.62E-06,0.000110922,Sulf1
Nkd1,18.21876148,-0.447082731,0.213775649,-2.085693077,0.037006434,0.152849855,Nkd1
Sorcs3,3.096990379,-0.446944132,0.153504518,-2.618630809,0.008828344,0.051517296,Sorcs3
Pawr,5.594733867,-0.446294384,0.170236003,-2.930064737,0.003388914,0.023619925,Pawr
Fdx1l,6.864421281,-0.446110613,0.197000047,-2.123745419,0.033691437,0.142867632,Fdx1l
Mmp17,6.844642847,-0.445973139,0.198019705,-2.07348525,0.038127142,0.156018626,Mmp17
Nova2,15.4250056,-0.445935454,0.2131672,-2.27739479,0.022762661,0.107390507,Nova2
Palm,43.96308407,-0.445785495,0.189781826,-2.340005541,0.019283454,0.094341579,Palm
Gm35339,26.93623804,-0.444624489,0.208705539,-2.19445071,0.028203024,0.125752877,Gm35339
Aebp1,86.95913071,-0.443916664,0.172880198,-3.725574748,0.000194871,0.002163963,Aebp1
Pknox2,23.35713852,-0.443415098,0.212503366,-2.146057028,0.031868429,0.136900187,Pknox2
Gm4149,56.5478674,-0.4434031,0.187347253,-2.347744581,0.018887468,0.092939707,Gm4149
Gm4353,4.033957957,-0.443042683,0.167858613,-2.527874201,0.011475546,0.063497235,Gm4353
Luzp2,16.01161224,-0.44249454,0.213905695,-2.111783322,0.034705038,0.145900416,Luzp2
Reln,11.09290215,-0.441999621,0.210163379,-2.090764722,0.03654916,0.151571686,Reln
Ryr1,17.30518657,-0.441767637,0.213979083,-2.09492922,0.036177285,0.150457056,Ryr1
Bmp6,11.66964476,-0.441537321,0.19221288,-3.215647704,0.001301505,0.010789989,Bmp6
Frat2,14.65335505,-0.441382679,0.21250181,-2.414247681,0.01576774,0.081230039,Frat2
Six3,5.105980485,-0.441340145,0.155568602,-2.753236403,0.005900927,0.037078879,Six3
Ptprg,37.94405775,-0.441114957,0.198407635,-2.207253047,0.027296386,0.122647503,Ptprg
Eda2r,17.11740554,-0.440974641,0.2138639,-2.048436795,0.040517219,0.163216921,Eda2r
Gm28043,28.57866891,-0.440784703,0.205422326,-2.097029359,0.035990976,0.149977894,Gm28043
Hdac7,209.3643866,-0.44012098,0.122513103,-3.59310583,0.00032676,0.003371016,Hdac7
Car8,3.991148742,-0.439865887,0.164275637,-2.526405406,0.011523642,0.063741501,Car8
Rab36,14.00327449,-0.439330941,0.21250962,-1.966017031,0.049296643,0.1875816,Rab36
Gldc,17.65817881,-0.437943228,0.213972178,-2.076447124,0.037852617,0.15532745,Gldc
Gm7327,26.71223234,-0.437803911,0.201467511,-2.251830931,0.024332958,0.112949448,Gm7327
Dcbld1,18.20648619,-0.437393932,0.212982827,-1.993111227,0.046249269,0.179511616,Dcbld1
Fam155a,9.833289947,-0.436850273,0.2072551,-2.206843629,0.027324986,0.122707667,Fam155a
Csf3r,524.9655315,-0.436622126,0.081274481,-5.379793215,7.46E-08,2.03E-06,Csf3r
Ppm1l,55.86189986,-0.436503067,0.184229653,-2.366251727,0.017969222,0.089500056,Ppm1l
Dhodh,211.0813503,-0.436288268,0.116253809,-3.745491486,0.000180041,0.002031441,Dhodh
Lhfpl4,16.66482775,-0.436213475,0.213979928,-2.050379227,0.040327439,0.162711484,Lhfpl4
Pcolce,18.52661811,-0.436060368,0.213644131,-2.192173768,0.028366962,0.126198247,Pcolce
Gm20548,8.469589342,-0.435575116,0.206129812,-1.962342097,0.049722669,0.188726245,Gm20548
Setdb2,168.9780829,-0.435507208,0.123700024,-3.515925329,0.000438224,0.004348553,Setdb2
Bicdl1,36.61466859,-0.434620351,0.20627714,-2.112473783,0.034645832,0.145727452,Bicdl1
Gm19144,11.88645229,-0.434439456,0.210261749,-1.992023948,0.04636843,0.179774556,Gm19144
Thbs3,9.936151851,-0.434312551,0.197725309,-2.414696709,0.015748317,0.08115589,Thbs3
Krt18,16.11301131,-0.433119885,0.17168969,-3.779721033,0.000157004,0.001792825,Krt18
Gpr132,8.282854441,-0.432934583,0.202665525,-2.121062105,0.033916576,0.143445337,Gpr132
Hmgb2,214.8181347,-0.432728727,0.116682776,-3.716642725,0.000201888,0.002235729,Hmgb2
Enpp5,28.6179821,-0.432038614,0.200288049,-2.414033942,0.015776993,0.081251763,Enpp5
Apcdd1,10.99635839,-0.431490519,0.208552955,-2.14228269,0.032170741,0.137928613,Apcdd1
Gm26792,70.16416521,-0.431361877,0.164617639,-2.613182415,0.008970341,0.052142515,Gm26792
Bicc1,6.070511365,-0.431001579,0.184481029,-2.425352013,0.01529355,0.079344509,Bicc1
Gm27003,9.805401691,-0.430898836,0.209255475,-2.05809928,0.039580604,0.160541239,Gm27003
Fgf7,2.240499745,-0.430805114,0.138179454,-3.316783782,0.000910601,NA,Fgf7
Ppargc1a,7.561394232,-0.430550215,0.181502623,-2.597418123,0.009392751,0.054087094,Ppargc1a
Id3,380.7169683,-0.429696951,0.10720132,-4.031526458,5.54E-05,0.000724581,Id3
A530064D06Rik,85.8464001,-0.429633348,0.163161031,-2.631642494,0.008497323,0.049936764,A530064D06Rik
D430013B06Rik,4.427049078,-0.429604571,0.175026223,-2.182318792,0.029086013,0.128238613,D430013B06Rik
Irx2,5.086308001,-0.429491895,0.176989849,-2.602619484,0.009251457,0.053445135,Irx2
Atp2b4,21.52348601,-0.429415922,0.212809956,-2.070621044,0.038394224,0.156786834,Atp2b4
Tenm4,20.65530736,-0.428861323,0.213349418,-2.142871035,0.032123455,0.137775639,Tenm4
Lipt1,30.60505706,-0.427414623,0.203301419,-2.09889205,0.035826418,0.149524141,Lipt1
Gm35040,12.3483852,-0.425681588,0.212074269,-2.039907407,0.041359549,0.165715501,Gm35040
Cdh10,7.190382583,-0.425542472,0.19017613,-2.355542217,0.018495695,0.091486218,Cdh10
Trpm3,46.27988348,-0.425156585,0.168218752,-4.500329024,6.78E-06,0.000112976,Trpm3
Gm9826,29.56399804,-0.425129056,0.212361308,-1.988934895,0.046708389,0.180555789,Gm9826
Cfap65,4.864925973,-0.42505546,0.161906523,-2.797773338,0.005145621,0.03334321,Cfap65
Ckap2l,48.76066468,-0.424993577,0.197453339,-2.202875148,0.02760355,0.12368322,Ckap2l
Fads3,66.79066603,-0.424314567,0.19941161,-2.19155464,0.02841168,0.126321979,Fads3
Actr3b,47.85011789,-0.424243559,0.188592432,-2.265446299,0.023485306,0.109900061,Actr3b
2010300C02Rik,3.836078581,-0.42415595,0.167818911,-2.242125833,0.024953241,0.115133126,2010300C02Rik
Gabrb3,13.02224983,-0.424040506,0.211765207,-2.056815438,0.039703982,0.160960743,Gabrb3
Csmd1,3.502140796,-0.423671954,0.163957754,-2.884496506,0.003920401,0.026757898,Csmd1
Klhdc8b,65.22402187,-0.423006539,0.187066429,-2.303138557,0.021271049,0.102114956,Klhdc8b
Syngap1,55.78901121,-0.422969113,0.183650457,-2.302610015,0.021300795,0.102227344,Syngap1
Gm7160,51.42859566,-0.422964627,0.178374287,-2.344038991,0.019076177,0.093582887,Gm7160
L3hypdh,7.241418886,-0.422780717,0.193191137,-2.462667113,0.013790789,0.073364451,L3hypdh
Ap3b2,6.424012425,-0.422658419,0.195310185,-2.225080465,0.026075837,0.118784198,Ap3b2
Mir212,6.189002746,-0.421980629,0.188539465,-2.139413288,0.032402212,0.138566044,Mir212
Tcerg1l,3.608602898,-0.421635521,0.164296586,-2.878606761,0.003994361,0.027205153,Tcerg1l
Elfn1,13.5272982,-0.42154824,0.212712329,-2.002407971,0.045240872,0.176746118,Elfn1
Tns2,8.810143777,-0.421387185,0.19883499,-2.016656026,0.043731422,0.172653317,Tns2
Nlrc5,685.8382077,-0.421096524,0.11887046,-3.537411699,0.000404069,0.00406716,Nlrc5
H2-T23,2972.414226,-0.421032595,0.121824371,-3.450498485,0.000559552,0.005351735,H2-T23
Bgn,23.6182618,-0.420843875,0.159781179,-2.953934602,0.003137505,0.022203351,Bgn
Tlr3,299.9091077,-0.420836916,0.102608505,-4.097966366,4.17E-05,0.000565126,Tlr3
Sp3os,17.87193246,-0.420585746,0.21269048,-2.008884922,0.044549339,0.174593834,Sp3os
Ddx25,4.691363314,-0.420387096,0.176335817,-2.600315747,0.009313802,0.053747566,Ddx25
Col2a1,4.097540153,-0.420223337,0.156997591,-2.504188229,0.012273272,0.067105809,Col2a1
Met,510.9939394,-0.419432803,0.133444832,-3.130743059,0.001743646,0.013764058,Met
Rtkn2,4.056503286,-0.41919362,0.167262044,-2.261256198,0.023743397,0.110935277,Rtkn2
Drc7,7.710152859,-0.419145922,0.174679875,-3.002135408,0.002680929,0.019582068,Drc7
Ptpn22,41.56417842,-0.419090446,0.198655762,-2.187137594,0.028732481,0.127327267,Ptpn22
Acpp,1421.41906,-0.418774272,0.05609886,-7.463315196,8.44E-14,5.65E-12,Acpp
1500015O10Rik,33.50946298,-0.41769552,0.176193371,-3.89989989,9.62E-05,0.001167452,1500015O10Rik
Ppp1r26,9.064241624,-0.417573431,0.201543182,-2.081527928,0.037385611,0.1539997,Ppp1r26
Prelp,12.91760076,-0.417545746,0.170620976,-3.249638381,0.001155518,0.009797315,Prelp
Gm12115,10.26169586,-0.417517288,0.204091496,-2.142912282,0.032120143,0.137775639,Gm12115
Astn2,24.94436187,-0.417312992,0.210399105,-2.036168282,0.04173346,0.166815402,Astn2
Syt6,4.08926838,-0.417156011,0.171585548,-2.013733111,0.044037562,0.173515521,Syt6
Lrp2,7.681632417,-0.416991993,0.187410524,-2.760922156,0.005763841,0.036399052,Lrp2
Ppp2r2b,24.96371239,-0.416789185,0.207391131,-2.055901147,0.039792046,0.161196248,Ppp2r2b
Nckap1,165.0585701,-0.416669566,0.125570841,-3.310879071,0.000930034,0.008164362,Nckap1
Cfap44,4.79315565,-0.416314437,0.154525126,-3.699432568,0.000216082,0.002371758,Cfap44
Tmem229b,484.2327325,-0.415911282,0.081790864,-5.084471523,3.69E-07,8.56E-06,Tmem229b
Stox2,33.52512168,-0.414877531,0.204895942,-2.049893052,0.040374868,0.162780735,Stox2
Gmnc,14.67613188,-0.414523456,0.162607026,-3.634194791,0.00027885,0.002942608,Gmnc
2900089D17Rik,72.85305286,-0.413647618,0.164942439,-2.493522485,0.012648257,0.068736824,2900089D17Rik
Adgrb3,15.37505153,-0.413539268,0.213966058,-1.97470141,0.048302043,0.184943868,Adgrb3
Slc16a2,59.62710708,-0.413060285,0.175638621,-3.470179625,0.00052011,0.005040229,Slc16a2
Ncald,33.04878829,-0.412953756,0.210792565,-2.003965505,0.045073756,0.17634943,Ncald
Syt7,6.212540764,-0.412933222,0.182521033,-2.154881181,0.031171133,0.134729771,Syt7
Slitrk5,8.92182579,-0.412764407,0.206461332,-1.960261074,0.049965283,0.189290877,Slitrk5
Zic2,13.13865493,-0.412515482,0.204518693,-2.201312805,0.027713887,0.124143133,Zic2
Wfikkn1,10.70178205,-0.412416769,0.209493883,-2.161869252,0.030628256,0.13281024,Wfikkn1
Gm28192,22.43468364,-0.41234161,0.212301833,-2.003966794,0.045073618,0.17634943,Gm28192
Grk3,115.2468916,-0.412016022,0.161229737,-2.560719207,0.010445574,0.058794976,Grk3
Smad9,8.534744217,-0.411998728,0.199897118,-2.325610267,0.020039351,0.097331407,Smad9
Tspan9,44.92862778,-0.411511341,0.19730817,-2.14330589,0.032088544,0.137699112,Tspan9
Zfp36,2258.668466,-0.410922209,0.042845687,-9.59074431,8.75E-22,1.23E-19,Zfp36
Col11a2,66.41809389,-0.410759139,0.173498789,-2.387072847,0.016983126,0.086092884,Col11a2
Adam19,142.2590148,-0.410386024,0.140920733,-2.940160446,0.003280423,0.02300951,Adam19
Arhgap20,5.09529236,-0.410166514,0.17826476,-2.426348352,0.015251623,0.07915244,Arhgap20
Tgm1,36.84370021,-0.410051905,0.199077462,-2.080017997,0.037523882,0.154332867,Tgm1
AC160637.1,1016.578567,-0.409495376,0.059367897,-6.895225193,5.38E-12,2.85E-10,AC160637.1
Loxl3,208.5516539,-0.409154438,0.116314224,-3.524589132,0.00042414,0.004219174,Loxl3
Rtn4rl2,77.57925534,-0.408930894,0.154874019,-2.612363577,0.008991857,0.05224473,Rtn4rl2
Cbx6,209.8440208,-0.408585185,0.122039887,-3.349432792,0.000809772,0.007270824,Cbx6
Myoz1,23.76046016,-0.406828688,0.211986091,-1.978440425,0.047879043,0.183716614,Myoz1
Rbm20,3.720345443,-0.406650569,0.167896485,-2.362191129,0.018167273,0.090179837,Rbm20
Eng,120.2314148,-0.406571088,0.140563531,-2.892976407,0.0038161,0.026112285,Eng
Nlgn2,193.5221384,-0.406570192,0.125929466,-3.226000527,0.001255331,0.010494699,Nlgn2
Smoc1,8.025649406,-0.406479387,0.199120708,-2.132244342,0.032986765,0.140470164,Smoc1
Ccdc85a,7.312015029,-0.406479251,0.195958674,-2.180650816,0.029209253,0.128522308,Ccdc85a
E130307A14Rik,39.02897251,-0.405873245,0.206356533,-1.995729021,0.045963426,0.178703587,E130307A14Rik
Rfx4,6.952507446,-0.403855031,0.189730493,-2.457718497,0.013982273,0.07401705,Rfx4
Arxes1,5.609410228,-0.403593065,0.181757192,-2.097724591,0.035929481,0.149760315,Arxes1
Gm43196,3.460353646,-0.403054358,0.15883888,-2.183228177,0.029019011,0.128116542,Gm43196
Rorb,2.964731368,-0.402961581,0.158800481,-3.328246172,0.000873946,0.007752127,Rorb
Pcgf2,144.7187446,-0.402859821,0.136385374,-2.946460283,0.003214337,0.022657635,Pcgf2
Myo6,137.574059,-0.402826245,0.129819572,-3.101039539,0.001928425,0.014944834,Myo6
Gli3,3.114994868,-0.402688693,0.153802813,-2.389531398,0.016869882,0.08573088,Gli3
1700037C18Rik,35.63113057,-0.402154089,0.197243018,-1.976777553,0.04806678,0.184174186,1700037C18Rik
D630045J12Rik,48.1582872,-0.401756128,0.19648144,-2.079464475,0.03757468,0.15450241,D630045J12Rik
Plekhg2,200.0201517,-0.401395861,0.113403457,-3.540263375,0.000399728,0.004031006,Plekhg2
St6gal2,6.530304595,-0.401129006,0.192425042,-2.093278241,0.036324324,0.150977065,St6gal2
Slc4a10,47.58464928,-0.400827119,0.167937911,-3.842384514,0.000121845,0.001435011,Slc4a10
Gm43703,4.064766017,-0.400776911,0.169891772,-2.484588321,0.012970133,0.069991002,Gm43703
Plekhg6,23.79061115,-0.400678804,0.21041402,-1.965314918,0.0493778,0.187770635,Plekhg6
Crem,225.4051253,-0.400059005,0.112588658,-3.553792698,0.000379718,0.003846049,Crem
Unc79,8.544535076,-0.400002887,0.198128913,-2.106263299,0.035181487,0.147436038,Unc79
Tspan15,13.31178619,-0.399263292,0.210914353,-2.041772903,0.041174063,0.165136344,Tspan15
Tgfb2,19.94818416,-0.399085246,0.18271192,-3.620840854,0.000293647,0.003074624,Tgfb2
Ccdc141,14.67123102,-0.398943502,0.175483086,-2.895550197,0.003784945,0.025932096,Ccdc141
Pcdhgc3,109.6117734,-0.39857263,0.157082147,-2.52301131,0.011635466,0.064284835,Pcdhgc3
Gm8995,3317.03407,-0.397678538,0.088794634,-4.479334352,7.49E-06,0.000123093,Gm8995
Gpr35,211.8554447,-0.397635313,0.105290892,-3.763971439,0.000167236,0.001896242,Gpr35
Atp9a,92.63628777,-0.397500183,0.154825047,-2.581753969,0.009829963,0.056044686,Atp9a
Perp,32.62116462,-0.396889237,0.208624701,-2.260246962,0.023805928,0.111133515,Perp
Tent5a,757.8207095,-0.396446762,0.078971205,-5.019999503,5.17E-07,1.16E-05,Tent5a
Pclo,5.976453928,-0.396076725,0.181981885,-2.140754338,0.032293854,0.138212556,Pclo
Smarcd3,38.53140835,-0.395677255,0.191652526,-2.038684825,0.041481493,0.166146645,Smarcd3
Npdc1,80.25201406,-0.395138462,0.175803793,-2.251169149,0.024374826,0.113111251,Npdc1
Smpd3,8.139476351,-0.393913759,0.19774834,-2.495686653,0.01257136,0.068457269,Smpd3
Gm16071,7.67949575,-0.393030343,0.203255095,-2.058371749,0.039554461,0.160518684,Gm16071
Pcolce2,46.4329602,-0.391672024,0.172032294,-3.554899412,0.000378124,0.003832303,Pcolce2
Lst1,112.1847859,-0.391270136,0.153598407,-2.559818376,0.010472688,0.058897463,Lst1
B4galnt4,7.776993383,-0.391082471,0.193755792,-2.068844222,0.038560707,0.157234524,B4galnt4
Mlc1,17.64454797,-0.39103105,0.207218688,-2.001093659,0.045382298,0.177127085,Mlc1
Klhl13,71.5789977,-0.390965459,0.164211874,-2.372094871,0.017687548,0.088658519,Klhl13
Tbx6,5.095436902,-0.390490913,0.176699448,-2.444845243,0.014491431,0.076113033,Tbx6
Ffar2,3.295671642,-0.390120581,0.161670485,-2.403699072,0.016230128,0.08313432,Ffar2
Olr1,308.4472003,-0.390029194,0.098334582,-3.949501346,7.83E-05,0.000973497,Olr1
Ctrl,6.145461545,-0.389932987,0.19414993,-2.023250507,0.043047327,0.170446287,Ctrl
Col9a3,71.4053879,-0.389710024,0.185993604,-2.742120322,0.006104398,0.038220588,Col9a3
Gabbr2,22.45775346,-0.389704831,0.21296694,-1.97702753,0.048038518,0.184153361,Gabbr2
Myt1,12.06569126,-0.388435594,0.209865272,-2.051007671,0.0402662,0.16258637,Myt1
Kcnk10,4.269135675,-0.388156671,0.175476965,-2.48106493,0.013099051,0.070536845,Kcnk10
Homer2,3.857936331,-0.387451579,0.173997759,-2.010187531,0.044411345,0.174307235,Homer2
Scg2,6.077578305,-0.387207239,0.184432395,-2.247397823,0.024614614,0.113961778,Scg2
Cd34,73.6558635,-0.386948058,0.203410378,-2.243236842,0.024881546,0.114913779,Cd34
Tnfsf15,2.38979571,-0.386259646,0.132242933,-2.675632913,0.007458829,NA,Tnfsf15
Ror1,4.48769529,-0.385956395,0.175040435,-2.011030017,0.044322286,0.174084734,Ror1
Hdgfl3,65.1355146,-0.385895277,0.172044149,-2.246573315,0.024667309,0.114107521,Hdgfl3
Gm49463,4.466796669,-0.385646158,0.169512309,-2.014320163,0.04397593,0.173361227,Gm49463
Pik3r3,75.46415522,-0.385346964,0.168397021,-2.30096195,0.021393782,0.102566656,Pik3r3
Kcnj9,7.62624146,-0.38510645,0.192301347,-2.637321734,0.008356353,0.049333978,Kcnj9
Irx3,3.77375788,-0.384836419,0.162342164,-2.507196104,0.012169318,0.066740972,Irx3
Greb1,4.162168458,-0.384288671,0.159911346,-2.58919018,0.009620195,0.05523909,Greb1
Rab10os,227.1399513,-0.384170113,0.113074263,-3.400142325,0.000673508,0.006241843,Rab10os
Casp4,200.2236204,-0.384050288,0.12518019,-3.057941994,0.002228627,0.016803224,Casp4
Pear1,53.66582149,-0.383675714,0.186883295,-2.080773173,0.037454673,0.154184444,Pear1
Tapbpl,302.5367361,-0.383522926,0.102715146,-3.732885063,0.000189299,0.00211514,Tapbpl
Eps8l2,5.622033251,-0.382621736,0.157173459,-3.730220916,0.000191312,0.002130309,Eps8l2
Tapbp,6220.750193,-0.382596673,0.097319456,-3.928281352,8.56E-05,0.001052158,Tapbp
Dner,90.09660675,-0.382528315,0.17419587,-2.196038602,0.028089181,0.125406455,Dner
Ackr3,7.44488809,-0.381926086,0.196807788,-2.402236463,0.016295171,0.083374457,Ackr3
1110017D15Rik,2.790113626,-0.381492337,0.154690583,-2.356444405,0.018450829,0.091292282,1110017D15Rik
Rfx3,41.3484757,-0.381311949,0.19513213,-1.974382969,0.048338213,0.18503845,Rfx3
Sntb1,13.88475292,-0.380561604,0.171986196,-3.154356629,0.001608524,0.012880165,Sntb1
Aff3,5.247025802,-0.379974264,0.174641378,-2.273650799,0.022986991,0.108135156,Aff3
9530053A07Rik,5.065176202,-0.379382098,0.181637449,-1.96836155,0.049026453,0.186874985,9530053A07Rik
Gm9378,3.177697324,-0.378350915,0.161499296,-1.993770331,0.046177159,0.17940488,Gm9378
F5,21.45208438,-0.378343898,0.192927139,-2.363478801,0.018104262,0.089963743,F5
Ier5l,347.1852328,-0.377851833,0.093026449,-4.064715148,4.81E-05,0.000641812,Ier5l
Sall1,132.815381,-0.37773458,0.131222725,-2.869392499,0.004112611,0.027799321,Sall1
Epn3,6.056663182,-0.3771225,0.171447553,-3.03727494,0.002387276,0.017783333,Epn3
Patj,6.719835649,-0.376313007,0.185803227,-2.265877824,0.023458865,0.10987153,Patj
Olfr56,5.560526571,-0.376043843,0.181009952,-2.073952753,0.038083699,0.155959513,Olfr56
Cd72,914.5423615,-0.373887647,0.084649806,-4.43174121,9.35E-06,0.000149477,Cd72
Ildr2,16.97652822,-0.373275648,0.172700664,-3.626549532,0.000287234,0.003023168,Ildr2
Fgfr2,29.40608799,-0.372704387,0.176303497,-3.094913316,0.001968704,0.015198585,Fgfr2
Sik1,143.6185189,-0.372382433,0.131508114,-2.831268656,0.004636376,0.030633877,Sik1
Myh10,100.3637784,-0.371494022,0.153064518,-2.42968811,0.015111821,0.078603877,Myh10
Col3a1,28.43103849,-0.371022309,0.140207808,-3.691077958,0.000223306,0.002439429,Col3a1
Pfn2,94.42992886,-0.370385631,0.157096607,-2.361418301,0.018205183,0.090298378,Pfn2
Acaa1b,8.981710704,-0.370281224,0.202754894,-1.969336719,0.048914437,0.186580247,Acaa1b
Aqp4,28.14451472,-0.369623111,0.197557447,-2.280099975,0.02260176,0.106881417,Aqp4
Cish,170.3666689,-0.369618608,0.137050685,-2.716729043,0.006593056,0.040633673,Cish
Zgrf1,50.24051418,-0.369368561,0.181127213,-2.034087507,0.041942773,0.167345858,Zgrf1
Gm45738,3.504519045,-0.369362884,0.16326317,-1.98923493,0.046675278,0.180514289,Gm45738
Tdrp,6.716463881,-0.369129209,0.172611864,-2.721592523,0.00649682,0.040117177,Tdrp
Slc29a4,38.67742175,-0.368881878,0.1702986,-3.099777195,0.001936663,0.014965542,Slc29a4
Notch3,2.526357686,-0.368125218,0.142077491,-2.176698168,0.029503095,NA,Notch3
Mfng,219.5440438,-0.36671735,0.110969127,-3.31385463,0.000920193,0.008088938,Mfng
Idi1,301.6438125,-0.366327404,0.151242868,-2.537155709,0.011175723,0.062228596,Idi1
Gabra3,3.769623056,-0.366261252,0.169307001,-2.19100429,0.028451482,0.126464094,Gabra3
Epn2,128.4745276,-0.365509302,0.13279967,-2.741875806,0.006108943,0.038234214,Epn2
Fbln1,3.517702394,-0.365440871,0.141883516,-3.394688119,0.000687068,0.006349281,Fbln1
BC147527,6.214035729,-0.365320843,0.188664106,-2.346774433,0.018936715,0.093125235,BC147527
Clic6,58.16924706,-0.365173011,0.16737085,-3.801481418,0.000143834,0.001662431,Clic6
4930524J08Rik,5.130750587,-0.365146404,0.171655025,-2.210858576,0.027045632,0.121962346,4930524J08Rik
Irf9,1057.787034,-0.364659293,0.117345834,-3.105259371,0.001901122,0.014790072,Irf9
4930512H18Rik,3.538511862,-0.364365671,0.164204925,-2.282809664,0.022441582,0.106248513,4930512H18Rik
Bicd1,7.565487233,-0.363494823,0.193826266,-2.045540693,0.040801582,0.164091107,Bicd1
Mrc2,6.033220116,-0.363342565,0.176502536,-2.643877347,0.008196235,0.048530336,Mrc2
Eme2,93.21641736,-0.362752834,0.150672312,-2.394292135,0.016652479,0.08484939,Eme2
Dusp5,357.1940675,-0.362193069,0.089145546,-4.058563175,4.94E-05,0.000657323,Dusp5
Hook1,8.191637198,-0.361919272,0.181784499,-1.970080582,0.048829136,0.186298914,Hook1
Nxn,146.326448,-0.361665957,0.143419841,-2.519386393,0.011755957,0.064804362,Nxn
Cdkl4,7.870229814,-0.360447982,0.194871957,-2.160627995,0.030724087,0.133189991,Cdkl4
2810402E24Rik,95.42647656,-0.359954709,0.150751249,-2.384521915,0.017101329,0.08653127,2810402E24Rik
Ocln,6.118840165,-0.359681479,0.166132257,-2.75902269,0.005797451,0.036568362,Ocln
Atp2b2,9.154559003,-0.359668744,0.195469452,-2.190277357,0.028504128,0.126593478,Atp2b2
Tmem243,272.2302744,-0.359261606,0.097345905,-3.693949767,0.000220797,0.002416938,Tmem243
Wdr25,70.47321584,-0.359174004,0.16707247,-2.148055341,0.031709359,0.136362077,Wdr25
Wfdc2,23.36441965,-0.359066226,0.158099894,-3.954380657,7.67E-05,0.000957413,Wfdc2
Wdr34,124.3503398,-0.358742692,0.147173966,-2.436136947,0.014845063,0.077591543,Wdr34
Gm15953,2.35085497,-0.358509955,0.14360845,-2.112742824,0.034622786,NA,Gm15953
Ttc21a,7.159871667,-0.356949024,0.181513934,-2.18136759,0.029156239,0.128352077,Ttc21a
Itpr1,258.560419,-0.35590201,0.163323324,-2.183556916,0.028994822,0.128067741,Itpr1
Ddit4l,6.380603771,-0.354406248,0.181618232,-2.176378968,0.029526935,0.129567044,Ddit4l
Podn,6.71519674,-0.354403301,0.163518877,-2.818200508,0.004829364,0.031649793,Podn
Tmem98,39.91753846,-0.354047556,0.18640507,-2.444967085,0.014486536,0.076113033,Tmem98
Ccp110,140.2744119,-0.353598592,0.125339576,-2.812638536,0.004913685,0.032111102,Ccp110
Poc5,189.9976976,-0.353586157,0.119084681,-2.964923526,0.003027582,0.021557825,Poc5
Sugp2,462.4443857,-0.353075646,0.080802164,-4.369630663,1.24E-05,0.00019198,Sugp2
Plekhg3,188.6436252,-0.35276738,0.125154737,-2.831889399,0.004627385,0.030586997,Plekhg3
Zic3,3.866049305,-0.352136547,0.161894485,-2.192903876,0.028314305,0.126050523,Zic3
Tatdn3,100.0146127,-0.351722712,0.149086852,-2.352459073,0.018649742,0.092050654,Tatdn3
Gm25492,3.878331044,-0.351333756,0.169701299,-2.066569491,0.038774738,0.157947589,Gm25492
Grid1,8.001627884,-0.349753275,0.193649663,-2.019861856,0.043397719,0.171623087,Grid1
Trim21,261.0684085,-0.348983277,0.105045822,-3.322737031,0.000891389,0.007867922,Trim21
Kcnk1,11.81132304,-0.348747397,0.16451358,-2.773754871,0.005541341,0.035311827,Kcnk1
Gpx8,11.42025694,-0.348485634,0.193695869,-2.378012954,0.017406214,0.087599982,Gpx8
Tinagl1,6.021949754,-0.348081383,0.168655187,-2.358474305,0.01835023,0.090878135,Tinagl1
Spry1,66.89460817,-0.347841788,0.174376808,-1.998303733,0.045683741,0.177916283,Spry1
Dennd1c,706.1159635,-0.347360728,0.070004336,-4.963924913,6.91E-07,1.48E-05,Dennd1c
Tmem151b,5.196506142,-0.346668209,0.177975641,-2.013323753,0.044080581,0.173525119,Tmem151b
Ncam2,8.062856188,-0.346598708,0.189817786,-1.991986058,0.046372588,0.179774556,Ncam2
Slc13a4,27.66012165,-0.346485306,0.161227806,-3.760688625,0.000169446,0.001917262,Slc13a4
Nid2,54.56392142,-0.34533761,0.202790007,-2.048304711,0.040530152,0.163216921,Nid2
Il15ra,68.85676451,-0.344782449,0.174066196,-1.986965992,0.046926166,0.181137245,Il15ra
Cfap70,2.696516356,-0.343259837,0.145027182,-2.231184879,0.025668885,0.117661211,Cfap70
Mfrp,41.01180554,-0.342488835,0.16541756,-4.118698552,3.81E-05,0.000524998,Mfrp
