X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Crmp1,26.89958711,-0.787016221,0.209952949,-3.891048673,9.98E-05,0.001203636,Crmp1
Nfib,28.2018025,-0.785322272,0.207554564,-3.765551998,0.000166182,0.001886938,Nfib
Nr2f2,13.5920632,-0.783894227,0.202188769,-4.212818843,2.52E-05,0.000362037,Nr2f2
Cryab,31.50351684,-0.781272733,0.213286711,-3.799408385,0.000145042,0.001672803,Cryab
Diras2,39.89492123,-0.7799783,0.199527997,-3.888147874,0.000101012,0.001216291,Diras2
Gm6545,7.916866845,-0.77628574,0.197904415,-3.437434863,0.000587252,0.005560628,Gm6545
Ccl5,370.3055954,-0.775560571,0.212690135,-3.015278058,0.002567438,0.018889925,Ccl5
Rnf213,4630.252956,-0.774743176,0.200781208,-3.771783205,0.000162085,0.001845619,Rnf213
Ddx60,269.099892,-0.772951775,0.17273644,-4.432560703,9.31E-06,0.000149057,Ddx60
Ggt7,21.39602761,-0.77242125,0.212786171,-3.524801019,0.000423801,0.00421899,Ggt7
Olfm2,89.82400592,-0.772034205,0.162719687,-4.729930673,2.25E-06,4.24E-05,Olfm2
Hap1,29.18709728,-0.771914116,0.207665949,-3.686089375,0.000227726,0.002474429,Hap1
Dclk1,66.78499185,-0.771332875,0.213772636,-3.770817149,0.000162714,0.001850168,Dclk1
Sez6,35.535036,-0.768869127,0.200705445,-3.763392122,0.000167624,0.001899308,Sez6
Auts2,8.853944386,-0.768156303,0.205938023,-3.53766692,0.000403679,0.004065768,Auts2
Hrh2,24.55126522,-0.767475995,0.208959104,-3.688394628,0.000225673,0.002458637,Hrh2
Xaf1,429.9326041,-0.766264297,0.204368781,-3.635398047,0.000277552,0.002935892,Xaf1
Smpdl3b,84.33564616,-0.765238057,0.1657522,-4.605829917,4.11E-06,7.25E-05,Smpdl3b
Fmn2,15.10569822,-0.763987205,0.213267543,-3.494451968,0.000475036,0.004662231,Fmn2
Rtp4,835.3080952,-0.763301564,0.214024608,-3.304095302,0.000952834,0.008332782,Rtp4
Cadm4,124.1263131,-0.761571454,0.151124769,-5.0358835,4.76E-07,1.07E-05,Cadm4
Mpdz,13.1922186,-0.760545501,0.204439083,-3.771200928,0.000162464,0.001848627,Mpdz
Yap1,19.92030376,-0.760152113,0.207178947,-4.352519073,1.35E-05,0.000205633,Yap1
Tmem108,39.60227351,-0.759998525,0.211951144,-3.790829057,0.000150145,0.001727956,Tmem108
Arhgap33,31.93015274,-0.756656155,0.202467459,-3.74457549,0.000180699,0.002036019,Arhgap33
Iigp1,13.4321114,-0.755329708,0.207314584,-3.90672435,9.36E-05,0.001139534,Iigp1
Pou3f3,83.24420888,-0.751329194,0.15553423,-4.802447505,1.57E-06,3.07E-05,Pou3f3
Stk32a,21.37379303,-0.749956571,0.211548029,-3.592459851,0.000327571,0.003375618,Stk32a
Samd9l,893.3082083,-0.749710135,0.173280927,-4.296608549,1.73E-05,0.000256961,Samd9l
Tub,27.45283764,-0.748624536,0.206641632,-3.592417623,0.000327624,0.003375618,Tub
Sesn3,65.92437043,-0.747098998,0.178382823,-4.199577036,2.67E-05,0.000382851,Sesn3
Ptprf,61.05441065,-0.746702012,0.213433639,-3.465687572,0.000528877,0.005103731,Ptprf
Cx3cl1,23.65543176,-0.746065207,0.213897939,-3.484821397,0.000492466,0.004809887,Cx3cl1
Cdc20,59.92185815,-0.74243393,0.185472871,-4.095432998,4.21E-05,0.000570862,Cdc20
Sp100,1104.127336,-0.742124248,0.155842655,-4.750713628,2.03E-06,3.86E-05,Sp100
Isg20,31.64096468,-0.742054127,0.206282148,-3.487640421,0.000487303,0.004768122,Isg20
Trim30a,1946.234749,-0.74103855,0.151465355,-4.880480214,1.06E-06,2.17E-05,Trim30a
Treml2,107.0497719,-0.740996306,0.14769443,-4.996659009,5.83E-07,1.29E-05,Treml2
Sytl2,27.07844637,-0.740530702,0.213885122,-3.781763067,0.000155722,0.001779438,Sytl2
Bmp7,19.02715358,-0.740105602,0.208432917,-3.594584885,0.000324909,0.00335631,Bmp7
Slit2,9.621251887,-0.738180775,0.204171537,-3.489728641,0.000483511,0.004736766,Slit2
Ptk7,25.7957574,-0.738064818,0.213532374,-3.568124003,0.000359546,0.003664738,Ptk7
Fzd6,10.20823457,-0.737814295,0.199044303,-3.948666088,7.86E-05,0.000975397,Fzd6
Gm4070,194.3322954,-0.73626995,0.190945001,-3.854235763,0.000116092,0.001377308,Gm4070
B3gat1,21.37564071,-0.735936821,0.213698382,-3.370583312,0.000750092,0.006822287,B3gat1
Ctxn1,42.1005309,-0.733766936,0.197322021,-3.677930045,0.000235134,0.002547948,Ctxn1
Slc1a4,31.94932497,-0.733186711,0.2079301,-3.686611144,0.00022726,0.002472585,Slc1a4
Spats2l,14.45399274,-0.730997457,0.212403027,-3.409479517,0.00065087,0.006056391,Spats2l
Sfrp1,28.44279763,-0.729415401,0.204940421,-4.551616176,5.32E-06,9.07E-05,Sfrp1
Shisa6,21.52657529,-0.728006307,0.21051602,-3.407566899,0.000655448,0.006095481,Shisa6
Hcar2,268.8500498,-0.727490754,0.112183667,-6.505746605,7.73E-11,3.50E-09,Hcar2
Tnr,82.46555062,-0.726046909,0.169993532,-4.297534827,1.73E-05,0.000256351,Tnr
Osmr,11.24130494,-0.724976454,0.197004096,-3.969199571,7.21E-05,0.000906205,Osmr
Shc3,19.58265421,-0.724912561,0.212980307,-3.281259877,0.001033445,0.008909513,Shc3
Sox2ot,12.91769146,-0.723994359,0.212213555,-3.427407566,0.000609374,0.005739781,Sox2ot
Rgs16,39.8224454,-0.723711912,0.196242208,-3.684439678,0.000229206,0.002487969,Rgs16
