"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"19","Srgap2",0,-1.159832458,0.878,0.952,0,"Srgap2",1.050294,-1.736531,12.918412,11.534418
"20","Maf",8.9e-152,-1.139546316,0.265,0.553,2.38e-147,"Maf",1.703824,-2.252391,24.546455,22.652547
"21","Bbs9",5.41e-142,-1.137738113,0.273,0.538,1.45e-137,"Bbs9",0.089412,-1.328503,0.93959,0.677762
"22","Med12l",1.74e-173,-1.136569282,0.338,0.626,4.66e-169,"Med12l",0.139706,-3.53626,3.710731,2.895294
"23","St3gal6",4.21e-172,-1.124404265,0.335,0.623,1.13e-167,"St3gal6",0.750294,-1.05862,6.242713,5.211777
"24","Elmo1",0,-1.111955152,0.867,0.956,2.7e-305,"Elmo1",0.541471,-1.463565,6.615799,5.559628
"25","Sall1",2.13e-145,-1.111745568,0.135,0.41,5.7e-141,"Sall1",0.815588,-1.189528,5.684519,4.691567
"26","Capn3",9.77e-141,-1.106477073,0.175,0.445,2.62e-136,"Capn3",0.182941,0.299384,0.041344,0.223412
"27","Ltc4s",2.53e-128,-1.092796591,0.075,0.309,6.77e-124,"Ltc4s",0.785,-1.530531,10.758933,9.473425
"28","Pld1",1.41e-143,-1.080077666,0.238,0.51,3.77e-139,"Pld1",0.242647,-2.348494,3.281902,2.519902
"29","Numb",4.78e-200,-1.075410639,0.616,0.813,1.28e-195,"Numb",0.506471,-1.136548,4.751347,3.817322
"30","Agmo",2.85e-145,-1.074775223,0.367,0.643,7.63e-141,"Agmo",0.072353,-0.396307,0.32368,0.348337
"31","Arhgap5",1.18e-208,-1.066409357,0.596,0.799,3.15e-204,"Arhgap5",0.865588,-0.809996,2.289853,1.667012
"32","Slc24a3",1.33e-119,-1.039018985,0.175,0.435,3.56e-115,"Slc24a3",0.126471,-0.736322,0.355663,0.356028
"33","Gpr34",3.78e-138,-1.023929603,0.356,0.619,1.01e-133,"Gpr34",3.750882,-0.85822,12.216125,10.879465
"34","Chd9",6.58e-256,-1.016728043,0.718,0.894,1.76e-251,"Chd9",0.292059,-2.494331,4.376627,3.48357
"35","Serinc3",3.56e-201,-0.969833481,0.516,0.781,9.51999999999999e-197,"Serinc3",9.199706,-0.907111,30.245977,28.188567
"36","Itga9",3.02e-99,-0.958016106,0.116,0.329,8.09e-95,"Itga9",0.166765,-1.940203,3.024236,2.290814
"37","Col27a1",7.03e-102,-0.925272743,0.101,0.316,1.88e-97,"Col27a1",0.171176,-0.995361,0.937047,0.676607
"38","Phyhd1",1.05e-128,-0.921204834,0.356,0.609,2.8e-124,"Phyhd1",0.313824,-0.878654,1.679626,1.193092
"39","Fam102b",2.84e-102,-0.915375522,0.326,0.532,7.61e-98,"Fam102b",0.982353,-0.688795,1.441674,1.020322
"40","Cx3cr1",1.06e-165,-0.914137147,0.599,0.804,2.85e-161,"Cx3cr1",11.152353,-1.359911,55.105993,52.504515
"41","Slco2b1",3.87e-167,-0.913269323,0.528,0.781,1.04e-162,"Slco2b1",2.61,-1.270084,17.936384,16.321678
"42","Plxna4",1.04e-92,-0.910002937,0.347,0.532,2.79e-88,"Plxna4",0.104412,-3.054751,3.758185,2.933408
"43","Csf1r",2.58e-210,-0.902433789,0.689,0.858,6.91e-206,"Csf1r",12.371765,-0.468992,15.544638,14.046963
"44","Bin1",1.03e-150,-0.884618267,0.513,0.734,2.76e-146,"Bin1",1.485882,-1.170324,9.606739,8.387278
"45","0610040J01Rik",2.05e-106,-0.865749498,0.349,0.585,5.48e-102,"0610040J01Rik",0.269118,-0.983298,4.411716,3.516102
"46","Nos1ap",7.19e-80,-0.865416757,0.174,0.353,1.92e-75,"Nos1ap",0.025294,-0.10245,0.528687,0.450044
"47","Eef2k",8.78e-91,-0.863225713,0.132,0.342,2.35e-86,"Eef2k",0.217059,-2.447587,5.093998,4.133002
"48","Gtf2h2",1.58e-107,-0.85788844,0.315,0.542,4.22e-103,"Gtf2h2",0.215294,-1.282858,3.745027,2.922424
"49","Itgam",2.37e-109,-0.854270424,0.373,0.604,6.35e-105,"Itgam",2.063235,-1.124086,11.222016,9.921568
"50","Ntpcr",1.26e-94,-0.842388798,0.21,0.431,3.38e-90,"Ntpcr",0.363529,-1.122088,2.824831,2.119879
"51","Ssh2",6e-224,-0.841172565,0.789,0.922,1.61e-219,"Ssh2",1.002353,-1.334791,6.625164,5.567754
"52","St3gal5",3.17e-81,-0.836319738,0.191,0.392,8.49e-77,"St3gal5",0.297647,-0.62747,1.546661,1.094094
"53","Bin2",9.33e-96,-0.834843806,0.269,0.485,2.5e-91,"Bin2",0.073235,-1.735722,0.828024,0.609463
"54","Lpcat2",2.4e-159,-0.834298264,0.594,0.796,6.43e-155,"Lpcat2",1.863529,-1.311565,15.951629,14.425698
"55","Dock10",4.99e-167,-0.833332496,0.699,0.854,1.34e-162,"Dock10",0.386176,-1.366818,3.788129,2.959706
"56","Lrba",3.13e-79,-0.83305388,0.265,0.436,8.39e-75,"Lrba",0.4,-2.646691,8.57764,7.420207
"57","Slc9a9",3.39e-165,-0.823736225,0.687,0.87,9.07e-161,"Slc9a9",0.366471,-1.395844,4.770916,3.835019
"58","Inpp5d",5.52e-274,-0.821105632,0.89,0.964,1.48e-269,"Inpp5d",1.030588,-0.829083,4.4867,3.580704
"59","Dock4",2.78e-242,-0.811767688,0.892,0.941,7.45e-238,"Dock4",0.090588,-1.3263,2.331095,1.702283
"60","Cd33",4.62e-89,-0.806629901,0.223,0.436,1.24e-84,"Cd33",0.205588,-1.369259,2.855893,2.145395
"61","Frmd4a",1.12e-183,-0.805033605,0.802,0.896,3e-179,"Frmd4a",0.872059,-1.284002,4.015425,3.161359
"62","Ophn1",1.17e-171,-0.804846984,0.713,0.863,3.13e-167,"Ophn1",0.390588,-1.642211,4.566307,3.649674
"63","Garnl3",1.6e-73,-0.800058347,0.113,0.29,4.29e-69,"Garnl3",0.071176,-1.305541,1.348071,0.959313
"64","Nfia",2.82e-104,-0.783964388,0.538,0.725,7.57e-100,"Nfia",0.268824,-1.026808,1.755437,1.249128
"65","Rtn1",1.03e-70,-0.758722797,0.283,0.464,2.75e-66,"Rtn1",0.221765,-2.012213,4.457253,3.556478
"66","Mtus1",7.67e-74,-0.748993289,0.198,0.394,2.05e-69,"Mtus1",0.452647,-0.792919,3.914743,3.07142
"67","Nrip1",6.72e-89,-0.741994684,0.464,0.636,1.8e-84,"Nrip1",0.572941,-1.510853,8.254333,7.115253
"68","Pard3b",9.94e-59,-0.731904,0.304,0.468,2.66e-54,"Pard3b",0.021471,-0.7729,0.051278,0.228168
"69","Tln2",1.11e-64,-0.730649691,0.129,0.291,2.98e-60,"Tln2",0.140882,0.194867,1.088038,0.778594
"70","Sdk1",5.34e-44,-0.73004114,0.242,0.365,1.43e-39,"Sdk1",0.020882,-0.273391,0.064966,0.235002
"71","Slc16a6",3.31e-68,-0.729904059,0.211,0.383,8.87e-64,"Slc16a6",0.256765,-0.251375,0.696181,0.536241
"72","Golm1",5.18e-73,-0.706563352,0.326,0.513,1.39e-68,"Golm1",1.740588,-0.806389,6.769101,5.699102
"73","Man1a",2.65e-61,-0.702166919,0.322,0.49,7.1e-57,"Man1a",0.365,-1.164555,5.216734,4.247713
"74","Ivns1abp",1.23e-106,-0.69876654,0.638,0.782,3.3e-102,"Ivns1abp",0.968824,-1.274347,6.012747,5.002333
"75","Lgmn",4.87e-126,-0.696760243,0.688,0.831,1.3e-121,"Lgmn",5.866765,-0.652843,14.722894,13.254955
"76","Rps6ka1",4.33e-64,-0.695964758,0.21,0.383,1.16e-59,"Rps6ka1",0.718529,-1.448061,9.170299,7.982121
"77","Scoc",9.5e-61,-0.694035548,0.178,0.343,2.54e-56,"Scoc",0.566471,-0.857843,4.01454,3.16125
"78","Mertk",1.34e-158,-0.689916868,0.857,0.93,3.58e-154,"Mertk",1.12,-0.261147,1.309866,0.93473
"79","Inpp4b",1.43e-103,-0.680187637,0.765,0.876,3.82e-99,"Inpp4b",0.06,-1.840463,1.700536,1.207623
"80","Dip2b",6.67e-111,-0.676512736,0.691,0.815,1.79e-106,"Dip2b",0.322353,-0.860929,2.588225,1.917187
"81","Zfp710",2.91e-100,-0.675086882,0.647,0.772,7.8e-96,"Zfp710",0.345882,-1.790281,4.922795,3.974529
"82","Tjp1",2.61e-61,-0.670709471,0.254,0.413,6.98e-57,"Tjp1",0.299412,-1.802008,4.538857,3.624908
"83","Cd81",1.7e-61,-0.670045438,0.315,0.49,4.54e-57,"Cd81",3.917647,-0.1491,0.822901,0.606671
"84","Ankrd44",4.66e-125,-0.666034533,0.715,0.845,1.25e-120,"Ankrd44",0.223824,-1.280359,0.604267,0.487231
"85","Pmepa1",6.43e-55,-0.665384204,0.312,0.468,1.72e-50,"Pmepa1",2.412353,-1.11316,12.313847,10.967641
"86","Susd3",6.42e-58,-0.660533269,0.103,0.254,1.72e-53,"Susd3",0.555882,-1.685886,8.8129,7.645991
"87","Pkig",2.64e-56,-0.659930525,0.267,0.427,7.08e-52,"Pkig",0.101471,-0.172226,0.64426,0.508462
"88","Adap2",2.49e-106,-0.654296536,0.639,0.799,6.67e-102,"Adap2",0.432647,-1.264355,4.919634,3.972333
"89","Mgat4a",1.87e-76,-0.64455068,0.497,0.633,5.02e-72,"Mgat4a",0.468529,-0.925985,4.106699,3.242414
"90","Il6ra",5.6e-67,-0.635735514,0.373,0.555,1.5e-62,"Il6ra",0.960882,-1.789221,10.20998,8.956807
"91","Kif21b",2.13e-54,-0.635111056,0.187,0.335,5.69e-50,"Kif21b",0.201176,-1.631694,3.719289,2.901
"92","Ulk2",6.28e-71,-0.63340916,0.522,0.675,1.68e-66,"Ulk2",0.357353,-0.626876,0.047569,0.226696
"93","Scamp2",2.24e-57,-0.629053126,0.279,0.438,6e-53,"Scamp2",1.478529,-0.98273,8.408341,7.260182
"94","Zeb1",1.19e-68,-0.628229207,0.505,0.672,3.2e-64,"Zeb1",0.047059,-1.905003,1.698603,1.206366
"95","Dennd4a",8.59e-104,-0.623731884,0.682,0.817,2.3e-99,"Dennd4a",0.172647,-0.35963,0.054951,0.230101
"96","Gab1",3.58e-43,-0.623207482,0.156,0.295,9.59e-39,"Gab1",0.148824,-2.220294,3.062833,2.327643
"97","Tubgcp5",1.14e-55,-0.622657994,0.317,0.468,3.06e-51,"Tubgcp5",0.275588,-1.318844,1.740672,1.238184
"98","Rgs10",5.17e-60,-0.614149039,0.346,0.508,1.38e-55,"Rgs10",2.078824,-0.485482,2.892528,2.176977
"99","Sncaip",4.78e-43,-0.612797151,0.16,0.301,1.28e-38,"Sncaip",0.037941,0.106137,0.378013,0.36693
"100","Herc2",8.05e-76,-0.610298076,0.523,0.686,2.16e-71,"Herc2",0.360294,-0.841641,1.53456,1.085982
"101","Tcf7l2",4.11e-42,-0.600789389,0.207,0.338,1.1e-37,"Tcf7l2",0.090294,-2.144731,1.180711,0.847811
"102","Gng2",1.03e-51,-0.600266259,0.327,0.482,2.77e-47,"Gng2",0.283529,-1.254379,3.105931,2.365987
"103","Rcsd1",7.62e-51,-0.599206051,0.282,0.441,2.04e-46,"Rcsd1",0.305588,-0.835871,1.760562,1.252856
"104","Dapp1",2.16e-56,-0.599007234,0.372,0.536,5.78e-52,"Dapp1",0.236176,-2.863098,6.297989,5.263538
"105","Abi3",1.16e-56,-0.595342807,0.311,0.468,3.11e-52,"Abi3",0.756471,-0.592831,3.335363,2.568305
"106","Rtn4rl1",1.92e-48,-0.594781427,0.287,0.434,5.15e-44,"Rtn4rl1",0.746471,-1.176018,6.405642,5.367645
"107","Smarca2",4.31e-53,-0.594655793,0.316,0.469,1.15e-48,"Smarca2",0.137353,-1.001894,0.821034,0.605519
"108","Ikzf1",3.59e-98,-0.589364724,0.718,0.839,9.61e-94,"Ikzf1",0.424412,-1.019037,1.916568,1.36932
"109","Ppp1r9a",6.14e-67,-0.589346498,0.565,0.698,1.64e-62,"Ppp1r9a",0.240294,-1.831003,3.480137,2.695563
"110","Fcrls",2.31e-46,-0.585121526,0.385,0.518,6.18e-42,"Fcrls",3.126176,-0.411256,2.731323,2.03833
"111","Sort1",2.37e-43,-0.580492394,0.194,0.331,6.35e-39,"Sort1",0.507647,-1.072632,3.133897,2.392158
"112","Tpst2",1.46e-46,-0.579683276,0.133,0.268,3.91e-42,"Tpst2",0.447059,-1.650431,6.809955,5.736107
"113","Cables1",7.03e-41,-0.578561846,0.213,0.346,1.88e-36,"Cables1",0.382059,-0.341299,0.486393,0.427243
"114","Chsy1",1.39e-41,-0.577785983,0.156,0.284,3.72e-37,"Chsy1",0.232941,-1.55899,2.8634,2.151784
"115","Hpgd",4.2e-40,-0.576476655,0.231,0.38,1.12e-35,"Hpgd",1.098529,-0.976939,5.796337,4.798003
"116","Pik3r1",2.36e-57,-0.575869479,0.442,0.6,6.32e-53,"Pik3r1",0.44,-2.078308,6.320249,5.284619
"117","Glul",8.81e-41,-0.574902729,0.14,0.265,2.36e-36,"Glul",3.407353,-1.334853,22.122472,20.320335
"118","Stab1",1.31e-28,-0.559003596,0.222,0.328,3.5e-24,"Stab1",0.343824,-2.526207,8.736682,7.571366
"119","Slc1a3",1.61e-38,-0.558897634,0.315,0.438,4.31e-34,"Slc1a3",0.375,-1.461952,4.755706,3.820746
"120","Maml3",3.67e-86,-0.553788772,0.822,0.887,9.83e-82,"Maml3",0.127353,-1.131845,0.883617,0.643111
"121","Pag1",1e-107,-0.550725759,0.84,0.898,2.69e-103,"Pag1",0.901176,-1.08746,6.868759,5.791027
"122","Scamp5",3.74e-44,-0.54835303,0.131,0.266,1e-39,"Scamp5",0.272353,-1.883355,3.732926,2.911766
"123","Zdhhc14",3.64e-37,-0.543105868,0.327,0.451,9.74e-33,"Zdhhc14",0.035,-0.571003,0.082972,0.240331
"124","Mapk14",1.76e-48,-0.5408182,0.385,0.527,4.72e-44,"Mapk14",0.315294,-1.099701,3.509821,2.719918
"125","Gna15",8.44e-47,-0.540793602,0.314,0.441,2.26e-42,"Gna15",0.622647,-1.364094,6.830659,5.75552
"126","Qk",1.15e-134,-0.53434335,0.946,0.957,3.07e-130,"Qk",1.737059,-0.540553,3.678978,2.86708
"127","Tbc1d16",4.63e-40,-0.531391729,0.28,0.421,1.24e-35,"Tbc1d16",0.136176,-1.254722,0.921165,0.668964
"128","Sdccag8",3.81e-40,-0.530016091,0.301,0.428,1.02e-35,"Sdccag8",0.056765,-2.760495,1.7749,1.260493
"129","Kctd12",1.61e-38,-0.527258641,0.16,0.287,4.3e-34,"Kctd12",0.614706,-1.409423,4.13559,3.268912
"130","Pik3cg",6.45e-37,-0.518943487,0.168,0.289,1.73e-32,"Pik3cg",0.536471,-0.98412,2.76545,2.068688
"131","Sipa1l1",5.48e-39,-0.518615423,0.312,0.434,1.47e-34,"Sipa1l1",0.088529,0.227699,0.23971,0.311161
"132","Ets1",1.41e-32,-0.513063415,0.154,0.255,3.77e-28,"Ets1",0.322647,-2.409405,6.143341,5.122788
"133","Sipa1",1.04e-37,-0.508650712,0.214,0.334,2.79e-33,"Sipa1",0.426471,-1.119128,2.766476,2.069172
"134","Map4k4",3.18e-55,-0.50713928,0.538,0.654,8.53e-51,"Map4k4",0.199118,-0.611048,0.551949,0.461685
"135","Entpd1",1.22e-58,-0.507060591,0.568,0.721,3.25e-54,"Entpd1",0.942059,-1.189364,8.945812,7.770846
"136","Nuak1",2.72e-35,-0.500503494,0.309,0.441,7.28e-31,"Nuak1",0.371765,-0.868192,1.367318,0.970231
"137","Itpr2",1.45e-50,-0.500134427,0.529,0.65,3.89e-46,"Itpr2",0.235588,-0.317841,0.644183,0.508533
"138","Wnk1",1.18e-71,-0.497248967,0.752,0.849,3.17e-67,"Wnk1",0.684412,-1.179866,5.39231,4.416144
"139","Fli1",2.07e-67,-0.495216862,0.729,0.841,5.54e-63,"Fli1",0.310882,-0.721944,1.755746,1.248739
"140","Arsb",2.89e-28,-0.491696829,0.344,0.45,7.74e-24,"Arsb",1.082059,-0.345137,0.996335,0.716869
"141","Laptm5",5.3e-38,-0.491336602,0.372,0.489,1.42e-33,"Laptm5",6.785588,-0.129962,1.305305,0.931199
"142","Ifngr1",1.73e-35,-0.489850513,0.313,0.426,4.63e-31,"Ifngr1",1.225588,-1.587352,13.061491,11.669528
"143","Trim2",1.14e-31,-0.488646168,0.155,0.267,3.05e-27,"Trim2",0.050294,-0.58589,0.728114,0.552007
"144","Rgl1",3.78e-31,-0.482696527,0.174,0.284,1.01e-26,"Rgl1",0.110882,-2.772262,3.453526,2.671592
"145","Pwwp2a",5.46e-44,-0.482340948,0.451,0.574,1.46e-39,"Pwwp2a",0.216765,-1.671191,3.154421,2.410879
"146","F11r",3.95e-36,-0.480613518,0.336,0.459,1.06e-31,"F11r",1.262941,-0.874201,7.633498,6.510587
"147","Phf14",7.62e-53,-0.479576128,0.598,0.696,2.04e-48,"Phf14",0.177059,-0.177656,0.304068,0.338174
"148","Cttnbp2nl",2.42e-47,-0.476686699,0.566,0.679,6.48e-43,"Cttnbp2nl",1.219412,-1.008123,5.738986,4.74389
"149","Wasf2",8.27e-49,-0.470765288,0.591,0.688,2.22e-44,"Wasf2",1.105294,-0.769992,3.765887,2.939655
"150","Bmp2k",6.98e-50,-0.46720349,0.615,0.729,1.87e-45,"Bmp2k",1.176471,-0.94647,4.784759,3.846982
"151","Fbrsl1",3.57e-31,-0.460008339,0.299,0.408,9.57e-27,"Fbrsl1",0.379412,-1.473287,3.849868,3.014058
"152","Csad",9.32e-29,-0.455925427,0.241,0.338,2.5e-24,"Csad",0.126176,-2.131512,1.987627,1.42596
"153","Plcl2",1.19e-53,-0.455125019,0.753,0.831,3.18e-49,"Plcl2",0.443235,-0.970614,2.48623,1.83463
"154","Smad3",4.11e-26,-0.452396091,0.258,0.37,1.1e-21,"Smad3",0.195588,-1.045403,1.704524,1.208897
"155","Fam49b",6.86e-66,-0.446174178,0.809,0.877,1.84e-61,"Fam49b",0.799412,-0.846747,4.29183,3.407189
"156","Usp24",6.35e-32,-0.444521162,0.331,0.447,1.7e-27,"Usp24",0.328529,-2.447961,4.332844,3.444016
"157","Maml1",1.13e-28,-0.444230077,0.208,0.303,3.04e-24,"Maml1",0.052647,-0.502107,0.707077,0.544141
"158","Cep68",1.39e-28,-0.443956787,0.23,0.341,3.72e-24,"Cep68",0.180882,-3.43248,4.991065,4.035009
"159","Klf7",1.05e-24,-0.440173425,0.15,0.25,2.8e-20,"Klf7",0.163824,-2.534684,3.966585,3.119455
"160","Hps3",1.85e-30,-0.434998327,0.328,0.44,4.95e-26,"Hps3",0.239118,-2.280561,3.772054,2.945093
"161","Cask",7.96e-32,-0.432369526,0.496,0.602,2.13e-27,"Cask",0.117059,-0.909845,1.405432,0.995405
"162","Pten",5.41e-31,-0.423595123,0.413,0.515,1.45e-26,"Pten",0.307647,-1.979537,3.717218,2.900357
"163","Clasp2",1.34e-38,-0.423088497,0.574,0.672,3.59e-34,"Clasp2",0.143529,-0.850848,0.633107,0.502481
"164","Prpsap2",4.68e-25,-0.420978971,0.17,0.267,1.25e-20,"Prpsap2",0.188235,-0.565153,1.033269,0.742909
"165","Picalm",2.05e-47,-0.420153364,0.695,0.769,5.5e-43,"Picalm",1.366471,-1.009961,6.573097,5.519394
"166","Rassf2",1.23e-28,-0.419224724,0.288,0.398,3.29e-24,"Rassf2",0.277941,-0.548383,0.501432,0.433345
"167","Camk1",5.77e-31,-0.415388929,0.376,0.494,1.54e-26,"Camk1",0.434706,-0.512593,1.470788,1.04366
"168","Cflar",1.53e-30,-0.414699351,0.436,0.539,4.1e-26,"Cflar",0.205588,-0.42243,0.284203,0.329227
"169","Dock8",6.65e-67,-0.414249519,0.844,0.903,1.78e-62,"Dock8",0.252353,-0.393235,0.211588,0.294327
"170","Specc1",1.61e-38,-0.413283507,0.61,0.702,4.32e-34,"Specc1",0.19,-0.514744,1.049964,0.754911
"171","Casp8",4.13e-28,-0.413153339,0.282,0.378,1.11e-23,"Casp8",0.291471,-1.256593,1.332285,0.950654
"172","Vav2",3.93e-27,-0.412135215,0.253,0.345,1.05e-22,"Vav2",0.164706,-1.168038,1.755426,1.249466
"173","Zfp652",6.94e-39,-0.410938561,0.578,0.7,1.86e-34,"Zfp652",0.358529,-1.74004,4.535619,3.62256
"174","Ly86",6.24e-48,-0.410086649,0.799,0.853,1.67e-43,"Ly86",3.221176,0.2402,1.149475,0.825835
"175","Il10ra",2.1e-30,-0.409011724,0.377,0.484,5.63e-26,"Il10ra",0.748824,-1.277483,8.878822,7.707097
"176","Cryl1",4.28e-23,-0.40467018,0.246,0.337,1.15e-18,"Cryl1",0.193824,-1.008611,1.249876,0.89218
"177","Ssbp2",2.24e-24,-0.402053304,0.361,0.456,6.01e-20,"Ssbp2",0.049412,-0.702374,0.56198,0.467142
"178","Rnf216",1.62e-38,-0.398854989,0.632,0.707,4.34e-34,"Rnf216",0.154412,-1.08527,0.624984,0.497722
"179","Map3k3",5.98e-32,-0.39762055,0.482,0.58,1.6e-27,"Map3k3",0.094706,-1.432866,0.836219,0.614228
"180","Rock2",3.25e-32,-0.397410179,0.536,0.623,8.71e-28,"Rock2",0.390294,-0.665474,0.807387,0.596844
"181","Rptor",3.59e-37,-0.396899037,0.563,0.656,9.6e-33,"Rptor",0.31,-0.562239,0.666961,0.520633
"182","Dpysl2",7.8e-23,-0.394864882,0.216,0.314,2.09e-18,"Dpysl2",0.391471,-0.315112,0.011824,0.212914
"183","Akirin2",1.29e-23,-0.393610751,0.201,0.293,3.46e-19,"Akirin2",0.432647,-1.243536,3.660045,2.850959
"184","Pacs1",1.81e-21,-0.391704348,0.36,0.449,4.86e-17,"Pacs1",0.059706,-0.189518,0.316747,0.345901
"185","Itm2b",8.44e-39,-0.390676385,0.7,0.776,2.26e-34,"Itm2b",9.015882,0.385876,8.422408,7.272716
"186","Pld4",2.15e-23,-0.387608339,0.293,0.395,5.76e-19,"Pld4",1.586471,-0.602282,5.511395,4.532131
"187","Tab2",2.03e-26,-0.38623462,0.323,0.413,5.44e-22,"Tab2",0.492941,-1.174941,4.54285,3.628009
"188","Ubash3b",2.44e-36,-0.385776149,0.666,0.76,6.53e-32,"Ubash3b",0.429118,-0.508877,1.211184,0.868822
"189","Fyco1",6.88e-22,-0.380356982,0.255,0.352,1.84e-17,"Fyco1",0.052941,-3.200459,1.607756,1.138217
"190","Pts",1.24e-21,-0.379177375,0.208,0.29,3.31e-17,"Pts",0.117941,-0.970006,0.411092,0.38434
"191","Gtf2i",3.29e-23,-0.377502215,0.321,0.413,8.82e-19,"Gtf2i",0.297647,-1.330853,2.020667,1.450597
"192","Fkbp5",2.71e-19,-0.376398659,0.353,0.433,7.25e-15,"Fkbp5",0.187647,-0.508171,0.041159,0.22337
"193","Acss1",1.37e-19,-0.374437877,0.258,0.355,3.68e-15,"Acss1",0.106765,-1.482039,1.12184,0.804793
"194","Hpgds",2e-46,-0.373842761,0.763,0.819,5.36e-42,"Hpgds",0.681176,-1.131138,3.163598,2.419452
"195","Thada",2.72e-22,-0.372706353,0.331,0.4,7.29e-18,"Thada",0.048235,-1.52559,0.920468,0.669044
"196","Marcks",2.32e-24,-0.370548223,0.434,0.532,6.21e-20,"Marcks",6.795294,-1.293206,37.625301,35.421763
"197","Hltf",1.93e-24,-0.368948522,0.307,0.392,5.18e-20,"Hltf",0.151471,-0.863584,1.980324,1.420634
"198","Stambpl1",4.23e-20,-0.367680057,0.262,0.341,1.13e-15,"Stambpl1",0.117647,-3.111454,2.206512,1.59891
"199","Celf2",7.94e-37,-0.364276617,0.817,0.858,2.13e-32,"Celf2",0.695294,-1.105926,4.337224,3.447553
"200","Slc12a9",5.27e-19,-0.363671119,0.181,0.267,1.41e-14,"Slc12a9",0.159118,-0.716141,0.554012,0.462811
"201","Klf3",3.21e-22,-0.360402677,0.273,0.353,8.59e-18,"Klf3",0.254706,-1.191551,1.76379,1.255733
"202","Rhoh",1.42e-22,-0.357434012,0.392,0.476,3.82e-18,"Rhoh",0.196471,-1.012583,1.453184,1.029242
"203","Ttc7",6.22e-19,-0.35726776,0.19,0.273,1.67e-14,"Ttc7",0.150882,-1.904066,3.290608,2.527349
"204","Git2",8.71e-28,-0.356385762,0.495,0.584,2.33e-23,"Git2",0.471765,-1.230534,1.913603,1.367885
"205","C1qb",5.67e-27,-0.356294158,0.627,0.709,1.52e-22,"C1qb",7.437353,-0.49408,9.344025,8.142221
"206","Fcgr3",3.54e-20,-0.355669924,0.227,0.305,9.48e-16,"Fcgr3",2.418235,0.191917,0.444047,0.401637
"207","Itga6",5.6e-21,-0.353762983,0.405,0.497,1.5e-16,"Itga6",1.056471,-0.904468,4.442771,3.544585
"208","Abcc3",1.37e-17,-0.352726105,0.197,0.281,3.66e-13,"Abcc3",0.359118,-1.514995,3.765546,2.940042
"209","Acap2",1.32e-32,-0.352531914,0.596,0.663,3.53e-28,"Acap2",0.342941,-1.879657,1.703125,1.208517
"210","Tnrc6b",2.32e-28,-0.350389144,0.593,0.69,6.22e-24,"Tnrc6b",0.326176,-1.890764,3.772105,2.944413
"211","C1qc",1.04e-26,-0.350353619,0.669,0.728,2.79e-22,"C1qc",5.916471,-0.467267,9.954291,8.712648
"212","Ncf1",1.8e-18,-0.350230283,0.242,0.329,4.83e-14,"Ncf1",0.661765,-0.981819,4.685282,3.758665
"213","Frmd4b",1.03e-45,-0.349839113,0.809,0.855,2.75e-41,"Frmd4b",0.330294,-1.171897,3.119159,2.378617
"214","Ccm2",3.82e-20,-0.348755832,0.238,0.311,1.02e-15,"Ccm2",0.109706,-1.052858,0.090774,0.243873
"215","Tsc22d4",1.2e-23,-0.348679137,0.4,0.481,3.22e-19,"Tsc22d4",0.564706,-0.8199,3.16995,2.423991
"216","Strada",2.24e-18,-0.34412866,0.235,0.294,6.01e-14,"Strada",0.032353,0.240427,0.521772,0.446375
"217","Ppcdc",3.22e-21,-0.343617111,0.424,0.52,8.62e-17,"Ppcdc",0.244706,-1.210266,1.773881,1.260893
"218","Plcg2",1.59e-26,-0.342037501,0.522,0.603,4.26e-22,"Plcg2",0.374118,-1.054656,0.968499,0.695605
"219","Tspan14",6.44e-19,-0.341713938,0.349,0.432,1.72e-14,"Tspan14",0.460882,-1.359763,4.109605,3.244524
"220","Agps",1.62e-20,-0.339756426,0.391,0.47,4.34e-16,"Agps",0.183235,-1.008183,1.885568,1.348174
"221","Tgfa",6.79e-16,-0.336698723,0.203,0.276,1.82e-11,"Tgfa",0.020882,-0.562898,0.605036,0.48743
"222","Cebpz",5.44e-19,-0.336395391,0.238,0.305,1.46e-14,"Cebpz",0.284412,-0.621886,1.119003,0.802857
"223","Unc93b1",1.4e-35,-0.335977287,0.736,0.817,3.75e-31,"Unc93b1",1.252941,-0.502722,2.952784,2.228677
"224","Evi5",2.29e-17,-0.33591534,0.226,0.293,6.14e-13,"Evi5",0.099118,-0.316715,0.461097,0.411922
"225","Tm6sf1",4.89e-16,-0.332320891,0.267,0.35,1.31e-11,"Tm6sf1",0.402059,-1.829948,7.446771,6.326736
"226","Helz",1.15e-19,-0.331349515,0.293,0.37,3.08e-15,"Helz",0.154118,-2.420101,1.553617,1.100433
"227","Lair1",1.34e-31,-0.331178651,0.706,0.781,3.59e-27,"Lair1",1.165,-0.693422,2.276656,1.65609
"228","Ccni",3.63e-17,-0.329244684,0.24,0.303,9.73e-13,"Ccni",0.622941,-0.122447,0.328825,0.350803
"229","Camk2d",4.87e-29,-0.328634215,0.682,0.732,1.3e-24,"Camk2d",0.140588,-0.859451,1.000931,0.720637
