,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Tmbim1,4.91E-09,0.354634883,0.325,0.234,0.000131576,Tmbim1
Lpar1,1.40E-08,0.381701725,0.29,0.202,0.000375754,Lpar1
Hsp90b1,1.89E-08,0.382595123,0.322,0.231,0.000505758,Hsp90b1
Sez6l2,3.93E-09,0.398959629,0.379,0.297,0.000105327,Sez6l2
Mal,1.07E-09,0.404793451,0.508,0.429,2.86E-05,Mal
Shisa4,1.06E-10,0.405390169,0.359,0.263,2.84E-06,Shisa4
Kctd13,1.42E-10,0.40569145,0.382,0.288,3.79E-06,Kctd13
Dbndd2,2.29E-11,0.407065025,0.524,0.412,6.12E-07,Dbndd2
Gsn,6.25E-10,0.418830461,0.273,0.184,1.67E-05,Gsn
Apoe,3.42E-21,0.450256697,0.907,0.841,9.15E-17,Apoe
Zbtb16,2.77E-18,0.485520146,0.496,0.339,7.41E-14,Zbtb16
Kdm6a,7.32E-18,0.490592719,0.511,0.382,1.96E-13,Kdm6a
Itm2b,1.52E-19,0.513444924,0.534,0.379,4.06E-15,Itm2b
Cd81,1.25E-18,0.520636905,0.505,0.355,3.34E-14,Cd81
Sgk1,1.21E-21,0.520647132,0.624,0.459,3.24E-17,Sgk1
Cdh2,1.81E-21,0.53842599,0.568,0.41,4.86E-17,Cdh2
Cldn11,1.34E-17,0.57121535,0.502,0.372,3.58E-13,Cldn11
Plcl1,2.57E-48,0.599416164,0.977,0.95,6.89E-44,Plcl1
Cst3,9.42E-22,0.639890736,0.41,0.255,2.52E-17,Cst3
AC149090.1,1.02E-34,0.643720295,0.443,0.228,2.72E-30,AC149090.1
Apod,1.29E-10,0.673021056,0.768,0.713,3.47E-06,Apod
Plp1,6.13E-55,0.710283611,0.974,0.943,1.64E-50,Plp1
Ttr,1.12E-19,0.797882741,0.322,0.243,3.01E-15,Ttr
Ptgds,1.04E-42,1.478593273,0.544,0.32,2.80E-38,Ptgds
Tsix,3.80E-203,1.647838645,0.429,0.002,1.02E-198,Tsix
Xist,0,3.884816211,0.882,0.001,0,Xist
