Gene,DAM,MG2
Lpxn,-0.716403,0.287322842
Tia1,-1.939879,-0.327383008
Tm6sf1,-1.829948,-0.332320891
Gcnt1,-0.567445,-0.314059677
Gnb1,-0.351357,0.219461599
Fam117b,-0.484341,-0.313672049
Tgfa,-0.562898,-0.336698723
Arih1,0.667986,0.265141643
Tmcc1,-1.653465,0.251961131
Mpp6,0.287956,0.311370922
Cd2ap,-0.566694,-0.269715612
Eef1a1,0.609791,0.249620563
Arhgef6,-0.761524,-0.324377945
Dido1,-1.412345,-0.267436761
Strn,0.980061,0.243820605
Havcr2,0.193502,-0.274366341
Rbm26,-0.475093,-0.238339439
Pcnx,-0.213842,0.24918137
Xpr1,-0.280838,0.239496256
Cnot4,0.945304,0.247459827
Ifnar1,0.440325,0.273760258
Rai1,-0.806112,0.280342153
Ndel1,-0.392078,0.240521689
Vdac2,0.787364,0.231290176
Apc,-1.292027,-0.269943812
Daglb,0.250636,0.30611473
Ankhd1,-0.636882,0.20845469
Pla2g4a,-1.218664,-0.322073205
Arpc1b,0.355297,0.236311489
Map3k5,-0.637224,-0.306539524
Cul1,-0.261434,-0.264304748
Rhoa,-0.22034,0.199668222
Arid4a,-1.877448,-0.28435992
Tgfbr1,-0.674167,0.213493396
Trio,-1.056039,-0.242204094
Ifngr2,-0.166537,0.213092864
Ahcyl1,-0.262861,0.248576385
Usp32,0.718006,0.236904308
Srsf5,-0.706777,-0.229998702
Stx6,0.331757,0.239487626
Ptprj,-0.146107,-0.16422751
Lmo2,0.377358,0.289804383
Gab2,-0.497606,0.166308671
Daam1,0.297984,0.252404885
Kpna3,0.34129,0.275693087
Lcp2,-1.051432,-0.255095937
Ube2l3,-0.12004,0.222196066
Snx18,-0.428213,-0.267333693
Cep170,-1.057007,-0.168557227
Usp9x,-1.335416,0.262913103
Srsf7,-0.945645,-0.229486473
Atp9b,-1.006757,0.229291843
Mafb,-0.194672,-0.29645998
Slc29a3,-0.80625,-0.278393566
Ralgapa1,1.247,0.205213138
Snx6,-1.775855,-0.268989345
Vgll4,-0.29127,-0.284852623
Aagab,-1.628742,-0.27781045
Arf4,-0.136605,0.220885906
Lpin2,-1.168038,-0.219478647
Aftph,-1.015778,-0.206890125
Gatad2a,-0.438127,0.180638625
Add1,-0.712012,0.198016874
Tacc1,-0.5622,-0.217595538
Traf3,-1.085576,0.283167664
Tor1aip1,-0.316137,0.239839697
Pip5k1c,0.265147,0.279041481
Arrb2,-0.964287,-0.287539398
Snx29,-3.149891,-0.168214456
Senp5,0.435072,0.183238218
Calm2,-1.318877,-0.281530091
Lmbrd1,0.449715,0.160736938
Slc7a7,-0.965994,-0.275951568
Raf1,-1.29142,0.228269351
Il10rb,-0.431536,0.239811833
Klf13,-1.160302,0.231047167
Arhgap12,-1.263001,-0.22389554
AW554918,-0.778763,-0.273066082
Blnk,-0.350984,0.225178433
Vmp1,-0.175943,0.192694121
Rbm5,-0.817501,-0.195179797
Srpk2,0.853657,0.16101069
Trip12,-0.396662,0.217523893
Ppfia4,0.268451,-0.287108975
Wdfy1,0.327876,0.224700457
Hps4,-0.591879,-0.255695151
Atf7ip,-1.670538,-0.235974198
Snx3,0.327565,0.195452934
Myo9a,-0.161963,0.189607795
Rheb,0.74735,0.235919231
Med13,-0.458715,-0.10355289
Vps26a,0.348676,0.241587741
Etv6,-0.179751,0.251467942
Ano6,-1.168038,0.224141925
Htt,-0.315595,0.179236325
Rcor1,1.202481,0.239459857
Cnot6l,-0.313315,0.144836544
Cab39,-1.056351,0.180728121
B2m,1.374797,0.198174573
Anxa3,0.715602,0.201656217
Rffl,-0.462029,-0.286410147
Mon2,0.31662,-0.214599036
Map3k1,-0.500484,0.236046875
Abl1,-1.288069,-0.274663617
Tmem184b,0.548415,0.236232798
Cln3,0.665123,0.205900922
Pacsin2,-0.745223,-0.239441453
Rlf,-1.172839,0.189444474
Cxxc5,-0.700606,-0.272052235
Parp14,-1.087548,0.394187708
Pabpc1,0.818751,0.242931957
Rcbtb2,0.257159,-0.214923869
Gusb,1.791202,0.231029085
Ptpra,0.1392,0.242613558
Cbfb,-0.338537,0.200718134
Vps13b,-0.154863,0.191068189
Pnn,-0.292965,-0.196277456
Slc12a2,0.202525,-0.285215477
Stk4,-1.062047,-0.195756648
Acbd3,-1.387396,0.147899123
Mbd2,0.3199,0.224087249
P4ha1,-0.997375,0.258335009
Tnpo1,-1.623644,0.225161657
Atp6v0b,0.858152,0.17967677
Zbtb20,-1.360447,-0.159322047
Ext1,0.211551,0.255869038
Eps15,0.615266,0.143370836
Kdm2b,-0.396409,-0.228074101
Nek6,0.255018,0.24792001
Trpm7,-0.705932,0.188058701
Coro7,-1.702016,0.219468711
Nlk,-0.321608,-0.215499168
Iqsec2,-1.094037,-0.268712681
Sft2d1,-0.14978,-0.121145261
Tnfrsf1b,-1.594825,0.255887156
Ggnbp2,-0.573816,0.210696733
Zfp91,-0.264125,0.165312799
Sec24b,0.247,0.20549844
Arfgef2,0.786519,0.242580737
Pik3cd,-0.365255,-0.242851829
Hck,-1.069933,-0.244749282
Chd4,-0.182504,0.20303098
Fam120a,0.305594,0.213451397
Impact,0.363813,0.246794517
Ctnnd1,-0.891329,0.132750601
Snx10,1.233006,0.223257619
Sla,-1.699053,-0.277913527
Ddx24,0.288488,0.145860719
Wls,0.218497,0.14006877
Ctss,0.387942,-0.147467844
Pid1,-1.064461,0.305051985
Rab8b,-0.422892,0.209899174
Rab3gap1,-0.541681,-0.186689326
Eif3c,-0.195444,0.152173207
Ptma,0.561696,0.154622683
Nub1,-1.241287,0.247506113
Fermt3,-0.819108,-0.221578339
Cradd,-0.511992,-0.269077377
Cyld,0.240602,-0.214573145
B4galt1,-0.913787,-0.235833038
Ppp4r2,-0.143376,0.175294116
Nfat5,-0.48038,-0.20055137
Btaf1,0.800078,0.150102267
Cap1,-0.463559,0.223558452
Orc3,-2.011735,-0.241011851
E2f3,-3.194317,-0.239329313
Zfp36l1,-1.349925,-0.254092202
Zfc3h1,-0.348073,0.217042265
Pdk1,0.47441,-0.251531404
Crtc3,-0.449702,0.165520335
Gpcpd1,0.545249,0.229914226
Klhl24,-0.44566,0.252553175
Tmem164,-0.247265,0.169905424
Gspt1,-0.184674,-0.25240514
Ppm1h,0.389527,0.173843407
Tns1,-0.168038,0.19712743
Nlrp1b,-1.817131,-0.202196402
Tcirg1,0.18211,0.222320412
Nvl,0.289813,0.126986474
Gse1,-1.056145,0.224038838
Pou2f2,-1.022187,-0.215651698
Bmpr2,-1.060485,0.215160107
Trim30a,-0.343173,0.221678192
Dnm1l,-0.525255,0.215751511
Psmd1,-0.273257,0.191604867
Atrx,-0.704373,-0.188618294
Stau1,0.748852,-0.125288242
Nsf,-0.337963,0.238534577
Ube2k,-0.584401,0.177045502
Cbl,-0.859129,0.228630121
Sfpq,-0.599989,-0.169966957
Fut8,-0.637152,-0.22656522
Klhl6,1.04843,0.202312198
Creb1,-0.357592,-0.207378227
Mfsd11,-0.189842,0.176350951
Lamp1,0.653564,0.184209494
Esco1,-0.60715,0.138667482
Atxn2,-1.395107,0.204409011
Ankrd17,-0.670183,0.215816284
Pign,0.808878,0.211967023
Rps6ka3,-0.998113,0.217227759
Hmg20a,0.831962,-0.211546807
Stk38,-0.882477,0.173981978
4632427E13Rik,3.805967,-0.23159236
Rgl2,-0.649571,0.107108349
Morc3,-1.041897,-0.196094456
Ddx17,-0.907667,-0.165965152
Dctn4,-0.285276,0.131676734
Mfap3,-1.485267,-0.208983724
Wdr33,-1.054656,-0.105725971
Smad7,-1.478429,0.275585615
Lpcat3,-0.736797,-0.25118472
St13,-0.259082,0.142204667
Snd1,0.314025,0.135518757
Itgav,-1.270171,-0.221138247
Clk1,-1.650599,-0.122302758
Dmxl1,-0.109694,-0.144525994
Btbd9,-1.383975,0.183025655
Snx2,-1.342409,-0.207112828
Pitpnc1,-0.72313,-0.196691208
Phkb,-1.244389,-0.194420795
Clk4,-1.146234,0.126982615
Wdfy4,-0.741077,-0.203664539
Phf20l1,-0.482549,0.183414612
Itch,-1.063472,-0.124107459
Spop,0.405926,0.149687605
Pdpk1,-0.805912,0.138273524
Zfp90,-0.682611,-0.219566652
Hexa,1.191048,0.194258168
Pcm1,-0.865475,-0.101665659
Setd2,-0.860628,-0.185252351
Mapk1,-1.008994,0.112421495
Rnf169,-0.171695,-0.150685353
Eif1,-0.156229,0.162493918
Tsc22d2,-0.736881,0.2104399
Acvr1,-1.146012,-0.220850168
Fam168a,-0.960325,-0.183464875
Tbl1xr1,-0.161788,-0.158718265
Rsf1,-0.973101,-0.175071058
Kdm2a,-0.986798,0.14125325
Senp7,0.115356,-0.216048541
Atp6v1h,0.437884,0.171183739
Setd3,0.159537,-0.123315013
Mgat5,0.32792,0.188045759
Ogt,-0.111895,0.171987308
Dync1h1,-0.871163,0.136459698
Capza2,-0.654562,-0.153450187
Dram2,-1.172755,0.151091183
Ppp6r3,-1.665224,-0.162789831
