,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Hecw2,1.61E-59,-0.49381006,0.585,0.653,4.02E-55
Qk,6.78E-91,-0.487549447,0.8,0.837,1.70E-86
Tmem178b,8.34E-60,-0.481131126,0.465,0.508,2.09E-55
Opcml,5.11E-22,-0.476100699,0.28,0.328,1.28E-17
Naaladl2,1.97E-29,-0.473133594,0.268,0.313,4.94E-25
Cdc42bpa,3.13E-58,-0.46726833,0.562,0.624,7.84E-54
Gm26694,1.78E-28,-0.464455899,0.223,0.264,4.45E-24
Fgfr2,3.37E-73,-0.461260813,0.733,0.775,8.44E-69
mt-Atp6,9.72E-52,-0.45707273,0.439,0.403,2.43E-47
Mast4,4.60E-63,-0.457038058,0.702,0.782,1.15E-58
Gm48678,2.34E-35,-0.449853822,0.336,0.39,5.85E-31
Ank2,2.28E-62,-0.448698484,0.743,0.809,5.71E-58
Phactr1,3.49E-36,-0.447864344,0.314,0.35,8.74E-32
Dlg2,1.93E-44,-0.447288632,0.545,0.598,4.83E-40
Usp54,1.23E-40,-0.446702358,0.252,0.289,3.08E-36
Pde8a,6.52E-38,-0.445001908,0.273,0.312,1.63E-33
Csmd3,1.49E-46,-0.444295802,0.686,0.749,3.72E-42
Nfasc,1.05E-46,-0.443154716,0.408,0.463,2.64E-42
Slc12a2,3.88E-43,-0.439495286,0.297,0.333,9.71E-39
Fth1,1.41E-40,-0.436299969,0.467,0.492,3.54E-36
Adipor2,1.31E-47,-0.430502279,0.488,0.532,3.27E-43
Nkain2,5.44E-88,-0.428940264,0.916,0.973,1.36E-83
Pcdh9,2.37E-100,-0.426844973,0.945,0.985,5.95E-96
Pcdh15,1.88E-20,-0.420637066,0.261,0.305,4.72E-16
Ube2e2,4.38E-41,-0.418005585,0.48,0.531,1.10E-36
Luc7l2,1.20E-36,-0.415639272,0.321,0.361,3.01E-32
Gpm6b,3.15E-44,-0.415471826,0.576,0.629,7.90E-40
Gm28376,2.15E-22,-0.413400711,0.284,0.332,5.40E-18
App,1.12E-53,-0.411633844,0.663,0.707,2.80E-49
Kif21a,2.72E-32,-0.410173011,0.285,0.328,6.81E-28
Gm44511,3.85E-22,-0.408292585,0.251,0.323,9.64E-18
Lrrc4c,3.55E-25,-0.405031243,0.491,0.557,8.89E-21
Pde4b,2.59E-95,-0.401796971,0.923,0.983,6.49E-91
Rnf13,1.27E-50,-0.401088626,0.312,0.332,3.19E-46
Cdh10,2.43E-22,-0.400374919,0.241,0.273,6.08E-18
Foxn3,3.04E-42,-0.399646393,0.319,0.347,7.60E-38
Sec14l5,7.63E-26,-0.39958724,0.311,0.387,1.91E-21
Otud7a,7.87E-34,-0.397015356,0.337,0.368,1.97E-29
A330015K06Rik,5.15E-24,-0.395958713,0.285,0.321,1.29E-19
Mat2a,5.84E-48,-0.39384275,0.279,0.293,1.46E-43
Nlgn1,5.48E-18,-0.393208357,0.331,0.379,1.37E-13
Gm26936,4.66E-28,-0.39277598,0.239,0.271,1.17E-23
mt-Co1,7.67E-38,-0.391602668,0.438,0.412,1.92E-33
Lpgat1,2.92E-44,-0.391120308,0.254,0.27,7.30E-40
Ptk2,3.20E-46,-0.3906432,0.332,0.352,8.00E-42
Frmd5,4.64E-55,-0.389202492,0.792,0.866,1.16E-50
Slc8a1,7.25E-31,-0.388608812,0.428,0.472,1.82E-26
Dock10,7.16E-42,-0.382201224,0.88,0.926,1.79E-37
Vps8,1.12E-56,-0.380565372,0.259,0.263,2.82E-52
Frmd4b,1.40E-31,-0.380141712,0.367,0.416,3.50E-27
Aig1,1.18E-26,-0.379968855,0.225,0.256,2.96E-22
Gnao1,1.21E-45,-0.376433644,0.499,0.527,3.03E-41
Stxbp6,1.48E-35,-0.37241823,0.278,0.293,3.72E-31
Itsn2,2.27E-40,-0.372079549,0.264,0.282,5.70E-36
Abhd17b,1.67E-36,-0.371556837,0.252,0.267,4.17E-32
Retreg1,8.79E-33,-0.369910475,0.231,0.252,2.20E-28
Rtn4,1.14E-56,-0.363296521,0.525,0.534,2.86E-52
Rab31,7.51E-38,-0.362441873,0.398,0.422,1.88E-33
Dlg1,1.78E-50,-0.357446436,0.369,0.372,4.46E-46
Ypel2,3.95E-31,-0.357420198,0.277,0.305,9.90E-27
4930419G24Rik,1.51E-44,-0.351367234,0.656,0.651,3.77E-40
Slain1,1.11E-33,-0.349381433,0.346,0.375,2.79E-29
Ank3,2.15E-35,-0.349133011,0.557,0.599,5.39E-31
Ddx17,7.76E-40,-0.348833537,0.245,0.256,1.94E-35
Dip2b,1.81E-41,-0.333824884,0.418,0.438,4.54E-37
Npas3,1.63E-25,-0.332342066,0.471,0.512,4.09E-21
Limch1,9.70E-41,-0.327783916,0.37,0.374,2.43E-36
Bin1,4.33E-36,-0.322995839,0.477,0.494,1.08E-31
B3galt1,3.50E-32,-0.321263935,0.434,0.445,8.77E-28
Arhgef2,4.25E-46,-0.318814503,0.268,0.264,1.06E-41
mt-Co2,1.88E-31,-0.317640546,0.4,0.377,4.70E-27
Otud7b,2.55E-31,-0.314332247,0.315,0.33,6.38E-27
Arhgef10,1.36E-34,-0.314169306,0.251,0.261,3.41E-30
Gab1,9.10E-39,-0.312622439,0.464,0.473,2.28E-34
Clk1,1.78E-34,-0.307221593,0.291,0.302,4.45E-30
Kif13b,1.97E-41,-0.306903769,0.359,0.357,4.92E-37
Mapt,5.86E-35,-0.298023786,0.638,0.673,1.47E-30
Pak1,1.48E-32,-0.295634136,0.494,0.508,3.70E-28
Ank,3.30E-31,-0.292775066,0.25,0.255,8.27E-27
Oxr1,2.51E-27,-0.291004564,0.407,0.417,6.29E-23
Son,1.63E-38,-0.289534442,0.519,0.522,4.09E-34
Erbin,6.84E-36,-0.289426273,0.485,0.482,1.71E-31
4930402H24Rik,2.56E-42,-0.289113766,0.308,0.302,6.40E-38
Adamtsl1,6.12E-27,-0.288959368,0.288,0.301,1.53E-22
Palm2,1.74E-24,-0.288671762,0.459,0.485,4.35E-20
Xkr4,2.06E-16,-0.285892539,0.277,0.287,5.15E-12
Tbc1d5,1.46E-29,-0.285444212,0.629,0.65,3.66E-25
Agap1,1.50E-46,-0.268845553,0.535,0.525,3.76E-42
Kif13a,6.51E-35,-0.268508946,0.37,0.372,1.63E-30
mt-Co3,1.19E-41,-0.266848934,0.491,0.436,2.98E-37
Zeb2,1.65E-28,-0.266573033,0.758,0.772,4.14E-24
Rsrp1,6.21E-28,-0.259104364,0.433,0.436,1.55E-23
Arhgap21,5.13E-32,-0.258526106,0.274,0.268,1.28E-27
Vmp1,1.95E-31,-0.250405743,0.419,0.418,4.89E-27
Kcnab1,5.35E-20,-0.247072971,0.384,0.394,1.34E-15
Snrnp70,1.74E-32,-0.242531439,0.449,0.442,4.35E-28
Elmo1,3.42E-24,-0.242143045,0.7,0.716,8.56E-20
Acaca,1.70E-36,-0.239335126,0.251,0.236,4.25E-32
Mdga2,3.20E-18,-0.234733674,0.572,0.597,8.02E-14
Tmtc2,2.25E-23,-0.232179488,0.415,0.41,5.65E-19
Plxdc2,1.55E-31,-0.224966549,0.658,0.655,3.89E-27
Kansl1l,3.27E-22,-0.223616465,0.314,0.314,8.18E-18
Dcc,2.16E-08,-0.217008067,0.256,0.258,0.000540745
Neat1,6.91E-15,-0.215445954,0.815,0.835,1.73E-10
