,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Pard3b,9.94E-59,-0.731904,0.304,0.468,2.66E-54
Cmtm7,2.48E-68,-0.730878026,0.224,0.406,6.64E-64
Tln2,1.11E-64,-0.730649691,0.129,0.291,2.98E-60
Sdk1,5.34E-44,-0.73004114,0.242,0.365,1.43E-39
Slc16a6,3.31E-68,-0.729904059,0.211,0.383,8.87E-64
Ifitm10,6.14E-84,-0.728970569,0.397,0.622,1.64E-79
Golm1,5.18E-73,-0.706563352,0.326,0.513,1.39E-68
Man1a,2.65E-61,-0.702166919,0.322,0.49,7.10E-57
Ivns1abp,1.23E-106,-0.69876654,0.638,0.782,3.30E-102
Lgmn,4.87E-126,-0.696760243,0.688,0.831,1.30E-121
Rps6ka1,4.33E-64,-0.695964758,0.21,0.383,1.16E-59
Scoc,9.50E-61,-0.694035548,0.178,0.343,2.54E-56
Mertk,1.34E-158,-0.689916868,0.857,0.93,3.58E-154
Wdfy2,1.46E-68,-0.685985314,0.275,0.454,3.90E-64
Inpp4b,1.43E-103,-0.680187637,0.765,0.876,3.82E-99
Dip2b,6.67E-111,-0.676512736,0.691,0.815,1.79E-106
Zfp710,2.91E-100,-0.675086882,0.647,0.772,7.80E-96
Tjp1,2.61E-61,-0.670709471,0.254,0.413,6.98E-57
Cd81,1.70E-61,-0.670045438,0.315,0.49,4.54E-57
Ankrd44,4.66E-125,-0.666034533,0.715,0.845,1.25E-120
Pmepa1,6.43E-55,-0.665384204,0.312,0.468,1.72E-50
Otulinl,1.92E-94,-0.661463871,0.575,0.75,5.14E-90
Susd3,6.42E-58,-0.660533269,0.103,0.254,1.72E-53
Pkig,2.64E-56,-0.659930525,0.267,0.427,7.08E-52
mt-Co2,1.35E-32,-0.65904494,0.152,0.252,3.62E-28
Mlph,2.15E-55,-0.654853413,0.114,0.268,5.75E-51
Adap2,2.49E-106,-0.654296536,0.639,0.799,6.67E-102
Ralgps1,1.77E-55,-0.647030695,0.117,0.267,4.74E-51
Mgat4a,1.87E-76,-0.64455068,0.497,0.633,5.02E-72
Nr6a1,3.65E-57,-0.643038927,0.503,0.629,9.76E-53
Gm26827,4.37E-40,-0.637694288,0.223,0.347,1.17E-35
Il6ra,5.60E-67,-0.635735514,0.373,0.555,1.50E-62
Kif21b,2.13E-54,-0.635111056,0.187,0.335,5.69E-50
Ulk2,6.28E-71,-0.63340916,0.522,0.675,1.68E-66
mt-Co1,2.46E-27,-0.630149509,0.196,0.289,6.59E-23
Scamp2,2.24E-57,-0.629053126,0.279,0.438,6.00E-53
Zeb1,1.19E-68,-0.628229207,0.505,0.672,3.20E-64
