"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"230","Exoc4",2e-19,0.118579612,0.564,0.448,5.01e-15,3,0.121765,-0.566904,0.38055,0.368575
"231","Kdm2a",1.64e-18,0.117189634,0.375,0.279,4.1e-14,3,0.186765,-0.986798,0.758532,0.568842
"232","Usp9x",6.75e-24,0.116689759,0.324,0.226,1.69e-19,3,0.083235,-1.335416,0.759578,0.569214
"233","App",2.14e-14,0.116366604,0.279,0.205,5.36e-10,3,0.378824,-0.339083,0.129466,0.261506
"234","Btaf1",4.39e-21,0.114766375,0.336,0.242,1.1e-16,3,0.053824,0.800078,0.665937,0.520065
"235","Ash1l",1.97e-21,0.112138992,0.443,0.334,4.94e-17,3,0.202059,-1.060823,1.058637,0.760139
"236","Larp4b",1.2e-26,0.109458546,0.331,0.229,3.01e-22,3,0.099412,0.20587,0.73657,0.553725
"237","Smad7",1.7e-12,0.108695972,0.266,0.198,4.26e-08,3,0.329706,-1.478429,1.50309,1.065965
"238","Ppt1",6.49e-27,0.108423005,0.276,0.183,1.62e-22,3,0.628235,0.541104,4.45282,3.55291
"239","Elf1",6.62e-25,0.107651976,0.321,0.226,1.66e-20,3,0.245,-0.382371,0.16746,0.275082
"240","Nufip2",1.38e-22,0.107650188,0.253,0.17,3.45e-18,3,0.139118,-0.339489,0.289714,0.331293
"241","Prkcd",3.16e-19,0.106508983,0.349,0.258,7.91e-15,3,0.469118,-1.622503,4.780499,3.843663
"242","Actr2",3.53e-22,0.105631046,0.383,0.283,8.85e-18,3,0.841765,-0.314339,0.514741,0.44218
"243","Gapvd1",3.84e-18,0.10509721,0.286,0.205,9.62e-14,3,0.200882,-0.1829,0.11097,0.25261
"244","Cbl",5.55e-25,0.104972109,0.343,0.249,1.39e-20,3,0.124412,-0.859129,0.554266,0.462797
"245","Wls",3.76e-19,0.104350708,0.254,0.178,9.42e-15,3,0.255588,0.218497,0.163636,0.275984
"246","Mbtd1",1.07e-22,0.100536625,0.319,0.228,2.69e-18,3,0.107647,-0.326186,0.358509,0.357677
"247","Pak2",4.85e-19,0.100282283,0.327,0.242,1.22e-14,3,0.440294,-0.349574,0.771371,0.575922
"248","Senp2",5.78e-19,-0.100868446,0.268,0.242,1.45e-14,3,0.136765,-0.128258,0.407126,0.38291
"249","Dst",1.63e-14,-0.106122981,0.752,0.72,4.09e-10,3,0.432059,-1.0127,1.701269,1.207679
"250","Osbpl11",9.17e-16,-0.10790237,0.267,0.247,2.3e-11,3,0.306471,-0.654019,0.683187,0.529177
"251","Tbc1d5",2.94e-17,-0.108963106,0.606,0.573,7.37e-13,3,0.19,-1.003582,1.274113,0.909927
"252","Cul1",1.02e-12,-0.111685027,0.259,0.248,2.56e-08,3,0.197059,-0.261434,0.562088,0.466979
"253","Snx29",6.99e-16,-0.114934248,0.669,0.644,1.75e-11,3,0.023235,-3.149891,0.172028,0.275215
"254","Zfp292",5.87e-21,-0.117056853,0.313,0.279,1.47e-16,3,0.236471,-1.351484,1.157497,0.832021
"255","Pou2f2",4.9e-10,-0.119461625,0.342,0.344,1.23e-05,3,0.138235,-1.022187,1.024641,0.737662
"256","Plekho1",5.98e-20,-0.119741352,0.336,0.31,1.5e-15,3,0.475588,-0.914253,3.189545,2.439325
"257","Nsd1",7.65e-20,-0.12074485,0.473,0.441,1.92e-15,3,0.233529,-0.784225,1.657126,1.175234
"258","Sft2d1",2.06e-23,-0.125342461,0.329,0.3,5.17e-19,3,0.577353,-0.14978,0.098987,0.247554
"259","Apc",2.77e-18,-0.127653508,0.298,0.273,6.93e-14,3,0.2,-1.292027,0.86582,0.634485
"260","Sppl3",2.37e-33,-0.127981622,0.348,0.302,5.92e-29,3,0.252353,-0.38149,0.553193,0.46226
"261","Mkln1",5.51e-21,-0.135274067,0.333,0.307,1.38e-16,3,0.138824,-1.108166,1.221764,0.875558
"262","Spire1",8.49e-17,-0.136816864,0.31,0.295,2.13e-12,3,0.151471,-0.148561,0.17744,0.276838
"263","Zcchc11",6.44e-12,-0.137926114,0.262,0.255,1.61e-07,3,0.161471,-1.030295,0.832114,0.611751
"264","Ubash3b",4.34e-16,-0.138275562,0.561,0.551,1.09e-11,3,0.429118,-0.508877,1.211184,0.868822
"265","Ddx17",3.33e-21,-0.141572128,0.334,0.309,8.34e-17,3,0.425294,-0.907667,2.985639,2.256899
"266","Srsf7",1.38e-21,-0.141694472,0.317,0.289,3.45e-17,3,0.183529,-0.945645,1.230875,0.878595
"267","Arl15",1.26e-13,-0.142604394,0.383,0.368,3.15e-09,3,0.005588,1.107597,0.03177,0.220577
"268","Slc7a8",1.32e-12,-0.144753697,0.322,0.321,3.29e-08,3,0.325882,-0.54707,0.800412,0.592334
"269","Fermt3",1.49e-14,-0.148512004,0.272,0.26,3.74e-10,3,0.361176,-0.819108,1.420691,1.007297
"270","Wwox",3.57e-08,-0.149312615,0.426,0.434,0.00089302,3,0.018824,0.117364,0.010895,0.212601
"271","Snx13",8.28e-11,-0.150688785,0.249,0.252,2.07e-06,3,0.149706,-0.283043,0.705091,0.54263
"272","Mef2a",9.55e-16,-0.151455122,0.856,0.868,2.39e-11,3,0.951176,-0.930809,6.809324,5.736763
"273","Setd2",4.52e-19,-0.153214128,0.251,0.237,1.13e-14,3,0.229118,-0.860628,1.222762,0.875348
"274","Dnm2",6.64e-17,-0.155249829,0.315,0.304,1.66e-12,3,0.439706,-1.088259,2.353135,1.719673
"275","Havcr2",1.05e-13,-0.156029021,0.275,0.275,2.63e-09,3,0.549412,0.193502,1.249099,0.891898
"276","Ctss",1.1e-21,-0.157539359,0.653,0.628,2.76e-17,3,12.234706,0.387942,10.465954,9.190812
"277","Srsf5",1.07e-18,-0.158665789,0.284,0.275,2.68e-14,3,0.252941,-0.706777,1.431417,1.014347
"278","Lrrk1",1.73e-11,-0.158739903,0.303,0.303,4.32e-07,3,0.121176,-0.119829,0.715715,0.544634
"279","Nuak1",2.8e-15,-0.159185933,0.259,0.254,7e-11,3,0.371765,-0.868192,1.367318,0.970231
"280","F11r",3.97e-15,-0.162565286,0.253,0.248,9.93e-11,3,1.262941,-0.874201,7.633498,6.510587
"281","Rbm5",5.57e-23,-0.163259022,0.294,0.274,1.39e-18,3,0.208529,-0.817501,1.293672,0.922898
"282","Wnk1",6.02e-24,-0.166620018,0.597,0.584,1.51e-19,3,0.684412,-1.179866,5.39231,4.416144
"283","Gdi2",2.79e-18,-0.166873121,0.306,0.303,6.99e-14,3,0.863529,0.108365,0.433344,0.396059
"284","Zbtb20",1.83e-23,-0.174597173,0.661,0.651,4.59e-19,3,0.256765,-1.360447,2.145751,1.546871
"285","Plcg2",2.41e-23,-0.174762434,0.363,0.351,6.03e-19,3,0.374118,-1.054656,0.968499,0.695605
"286","Marcks",6.37e-22,-0.174899253,0.274,0.263,1.6e-17,3,6.795294,-1.293206,37.625301,35.421763
"287","Clasp2",1e-20,-0.178177856,0.419,0.411,2.5e-16,3,0.143529,-0.850848,0.633107,0.502481
"288","Lyn",4.26e-15,-0.180782747,0.725,0.747,1.07e-10,3,1.26,-1.258366,11.826961,10.508784
"289","Rreb1",2.59e-28,-0.182481692,0.695,0.67,6.5e-24,3,0.137941,-2.183501,2.125262,1.531532
"290","Tmsb4x",6.81e-15,-0.185989855,0.385,0.388,1.71e-10,3,11.087647,0.138671,1.899576,1.358418
"291","Cd2ap",1.05e-22,-0.187437278,0.251,0.24,2.64e-18,3,0.360588,-0.566694,0.208493,0.292668
"292","Lrch1",1.57e-14,-0.187532491,0.567,0.593,3.92e-10,3,0.146471,-1.105672,1.116795,0.801324
"293","Specc1",7.51e-23,-0.188510868,0.47,0.46,1.88e-18,3,0.19,-0.514744,1.049964,0.754911
"294","Acap2",1.1e-23,-0.190049587,0.38,0.372,2.75e-19,3,0.342941,-1.879657,1.703125,1.208517
"295","Cnot2",3.81e-21,-0.191306479,0.299,0.299,9.55e-17,3,0.265294,-0.968213,1.531932,1.084878
"296","Fnbp1",3.22e-17,-0.193429729,0.352,0.362,8.06e-13,3,0.224706,-0.206308,0.815725,0.60217
"297","Heatr5a",2.1e-15,-0.196310937,0.254,0.263,5.26e-11,3,0.157353,-1.288918,1.399286,0.9926
"298","Tacc1",2.8e-23,-0.197030744,0.427,0.419,7.01e-19,3,0.517941,-0.5622,1.572766,1.113364
"299","Rcbtb2",3.52e-15,-0.197161727,0.287,0.299,8.82e-11,3,0.249706,0.257159,1.417917,1.005367
"300","Pip4k2a",1.07e-21,-0.199346196,0.607,0.62,2.69e-17,3,0.803824,-1.112632,7.421247,6.304069
"301","Hpgds",2.75e-19,-0.19937124,0.567,0.582,6.9e-15,3,0.681176,-1.131138,3.163598,2.419452
"302","Hk2",6.49e-14,-0.201118941,0.375,0.391,1.63e-09,3,0.362647,-0.24617,0.574318,0.471839
"303","Tbc1d9",3.3e-15,-0.201179146,0.279,0.288,8.25e-11,3,0.201765,-1.138892,1.25522,0.89678
"304","Ppcdc",2.21e-22,-0.201495372,0.295,0.294,5.55e-18,3,0.244706,-1.210266,1.773881,1.260893
"305","Rnf169",8.81e-26,-0.207006925,0.319,0.316,2.21e-21,3,0.116176,-0.171695,0.320429,0.346829
"306","Adam10",5.42e-20,-0.207046754,0.259,0.265,1.36e-15,3,0.662059,-0.412605,1.412919,1.001773
"307","Clk1",2.58e-26,-0.208695134,0.372,0.356,6.46e-22,3,0.295882,-1.650599,3.451053,2.669777
"308","Tsc22d4",1.59e-17,-0.21187251,0.34,0.359,3.99e-13,3,0.564706,-0.8199,3.16995,2.423991
"309","Arhgap12",2.09e-16,-0.213815917,0.29,0.304,5.23e-12,3,0.198529,-1.263001,1.476522,1.047647
"310","Crlf3",2.32e-17,-0.214029407,0.313,0.324,5.81e-13,3,0.203824,-1.22971,1.509046,1.070431
"311","Prex1",7.53e-23,-0.21409938,0.339,0.339,1.89e-18,3,0.332941,-0.584776,0.51386,0.441556
"312","Aftph",1.38e-25,-0.217896594,0.339,0.33,3.47e-21,3,0.330294,-1.015778,2.184521,1.581303
"313","Itga6",1.32e-11,-0.218425273,0.266,0.288,3.3e-07,3,1.056471,-0.904468,4.442771,3.544585
"314","Unc93b1",5.49e-21,-0.22585743,0.482,0.498,1.38e-16,3,1.252941,-0.502722,2.952784,2.228677
"315","Man1a2",3.18e-20,-0.228619248,0.386,0.401,7.98e-16,3,0.58,-0.556976,0.805075,0.595414
"316","Frmd4b",1.27e-22,-0.232966509,0.582,0.611,3.18e-18,3,0.330294,-1.171897,3.119159,2.378617
"317","Hck",1.82e-13,-0.233326625,0.243,0.275,4.55e-09,3,0.296765,-1.069933,2.148518,1.549206
"318","Camk2d",1.35e-19,-0.234451413,0.435,0.459,3.37e-15,3,0.140588,-0.859451,1.000931,0.720637
"319","Tnrc6b",3.67e-21,-0.235060062,0.382,0.399,9.19e-17,3,0.326176,-1.890764,3.772105,2.944413
"320","Itm2b",2.22e-27,-0.241461522,0.471,0.477,5.57e-23,3,9.015882,0.385876,8.422408,7.272716
"321","Phf14",1.48e-23,-0.241789624,0.406,0.419,3.71e-19,3,0.177059,-0.177656,0.304068,0.338174
"322","Fli1",3.26e-22,-0.24438342,0.54,0.582,8.16e-18,3,0.310882,-0.721944,1.755746,1.248739
"323","Mycbp2",4.04e-30,-0.247129278,0.594,0.606,1.01e-25,3,0.402647,-0.71658,1.997436,1.432587
"324","Pwwp2a",4.92e-28,-0.248582219,0.323,0.33,1.23e-23,3,0.216765,-1.671191,3.154421,2.410879
"325","Arid1a",3.82e-19,-0.250163557,0.255,0.278,9.57e-15,3,0.5,-0.739486,2.253151,1.63665
"326","Ptprm",1.42e-21,-0.254347657,0.419,0.454,3.54e-17,3,0.031176,1.293866,1.393082,0.989435
"327","Rock2",1.62e-22,-0.255800092,0.349,0.367,4.06e-18,3,0.390294,-0.665474,0.807387,0.596844
"328","Itpr2",2.54e-29,-0.256184592,0.4,0.415,6.35e-25,3,0.235588,-0.317841,0.644183,0.508533
"329","C1qc",2.88e-31,-0.257171115,0.531,0.532,7.2e-27,3,5.916471,-0.467267,9.954291,8.712648
"330","Ppp1r9a",1.39e-25,-0.260182747,0.423,0.441,3.49e-21,3,0.240294,-1.831003,3.480137,2.695563
"331","Git2",1.12e-17,-0.261691112,0.301,0.328,2.8e-13,3,0.471765,-1.230534,1.913603,1.367885
"332","B4galt1",2.6e-15,-0.26191745,0.224,0.252,6.51e-11,3,0.387647,-0.913787,1.659107,1.176225
"333","Inpp4b",1.07e-27,-0.26691493,0.644,0.673,2.68e-23,3,0.06,-1.840463,1.700536,1.207623
"334","C1qa",5.66e-26,-0.26812662,0.552,0.556,1.42e-21,3,8.280882,-0.215596,3.481972,2.696072
"335","Rptor",1.89e-26,-0.270011996,0.394,0.42,4.73e-22,3,0.31,-0.562239,0.666961,0.520633
"336","Usp24",1.04e-16,-0.271167338,0.229,0.26,2.61e-12,3,0.328529,-2.447961,4.332844,3.444016
"337","Rnf216",1.86e-29,-0.273525929,0.514,0.536,4.65e-25,3,0.154412,-1.08527,0.624984,0.497722
"338","Picalm",8.23e-23,-0.27676315,0.506,0.557,2.06e-18,3,1.366471,-1.009961,6.573097,5.519394
"339","Fam49b",1.44e-38,-0.277866833,0.614,0.645,3.6e-34,3,0.799412,-0.846747,4.29183,3.407189
"340","C1qb",1.38e-28,-0.281204651,0.504,0.513,3.46e-24,3,7.437353,-0.49408,9.344025,8.142221
"341","Cttnbp2nl",2.79e-25,-0.288084914,0.377,0.408,6.98e-21,3,1.219412,-1.008123,5.738986,4.74389
"342","Mertk",1.84e-30,-0.290055769,0.75,0.828,4.61e-26,3,1.12,-0.261147,1.309866,0.93473
"343","Ssbp2",1.67e-22,-0.291099878,0.251,0.27,4.19e-18,3,0.049412,-0.702374,0.56198,0.467142
"344","Dock8",4.5e-36,-0.291128206,0.64,0.693,1.13e-31,3,0.252353,-0.393235,0.211588,0.294327
"345","Parp8",1.23e-21,-0.294478411,0.296,0.332,3.08e-17,3,0.071471,-1.844923,0.615926,0.492582
"346","Atp2c1",3.53e-18,-0.294580577,0.258,0.296,8.84e-14,3,0.321765,-0.923585,0.621559,0.495171
"347","Cflar",9.39e-30,-0.29649534,0.292,0.312,2.35e-25,3,0.205588,-0.42243,0.284203,0.329227
"348","Celf2",1.77e-40,-0.300501187,0.638,0.658,4.44e-36,3,0.695294,-1.105926,4.337224,3.447553
"349","Herc2",5.29e-30,-0.307259394,0.357,0.39,1.33e-25,3,0.360294,-0.841641,1.53456,1.085982
"350","Cask",2.81e-24,-0.309163424,0.344,0.394,7.04e-20,3,0.117059,-0.909845,1.405432,0.995405
"351","Fcrls",7.41e-35,-0.313167469,0.339,0.354,1.86e-30,3,3.126176,-0.411256,2.731323,2.03833
"352","Cd37",4.81e-27,-0.315904677,0.278,0.31,1.2e-22,3,0.652059,0.359621,2.684341,1.996676
"353","Wasf2",7.27e-39,-0.3183364,0.411,0.43,1.82e-34,3,1.105294,-0.769992,3.765887,2.939655
"354","Bmp2k",1.23e-33,-0.320635728,0.457,0.493,3.08e-29,3,1.176471,-0.94647,4.784759,3.846982
"355","Zdhhc14",1.44e-14,-0.324081124,0.214,0.271,3.61e-10,3,0.035,-0.571003,0.082972,0.240331
"356","Pten",6.93e-28,-0.32567195,0.289,0.326,1.74e-23,3,0.307647,-1.979537,3.717218,2.900357
"357","Qk",1.67e-42,-0.329285286,0.758,0.82,4.17e-38,3,1.737059,-0.540553,3.678978,2.86708
"358","Arglu1",2.37e-26,-0.332095671,0.398,0.446,5.94e-22,3,0.271176,-0.465914,0.770116,0.575179
"359","Pld4",5.1e-17,-0.337766629,0.242,0.293,1.28e-12,3,1.586471,-0.602282,5.511395,4.532131
"360","Map4k4",1.14e-35,-0.342740146,0.366,0.41,2.86e-31,3,0.199118,-0.611048,0.551949,0.461685
"361","Zfp710",8.33e-36,-0.349651377,0.506,0.574,2.08e-31,3,0.345882,-1.790281,4.922795,3.974529
"362","Man1a",2.52e-22,-0.352468436,0.268,0.321,6.3e-18,3,0.365,-1.164555,5.216734,4.247713
"363","Dennd4a",6.84e-38,-0.357961935,0.519,0.587,1.71e-33,3,0.172647,-0.35963,0.054951,0.230101
"364","Map3k3",2.03e-29,-0.359605571,0.28,0.329,5.09e-25,3,0.094706,-1.432866,0.836219,0.614228
"365","Plcl2",2.65e-44,-0.361070694,0.555,0.594,6.64e-40,3,0.443235,-0.970614,2.48623,1.83463
"366","Zfp652",3.12e-34,-0.363576187,0.358,0.406,7.81e-30,3,0.358529,-1.74004,4.535619,3.62256
"367","Sipa1l1",2.69e-19,-0.36541856,0.202,0.265,6.73e-15,3,0.088529,0.227699,0.23971,0.311161
"368","Ulk2",5.06e-31,-0.381632643,0.335,0.397,1.27e-26,3,0.357353,-0.626876,0.047569,0.226696
"369","Pag1",5.94e-64,-0.386974818,0.69,0.755,1.49e-59,3,0.901176,-1.08746,6.868759,5.791027
"370","Gng2",2.82e-20,-0.387120646,0.22,0.292,7.07e-16,3,0.283529,-1.254379,3.105931,2.365987
"371","Maml3",2.32e-54,-0.38762743,0.699,0.748,5.81e-50,3,0.127353,-1.131845,0.883617,0.643111
"372","Rcsd1",1.98e-19,-0.388134135,0.191,0.256,4.97e-15,3,0.305588,-0.835871,1.760562,1.252856
"373","Mapk14",2.42e-22,-0.388199247,0.21,0.281,6.06e-18,3,0.315294,-1.099701,3.509821,2.719918
"374","Abi3",6.71e-23,-0.390571543,0.206,0.264,1.68e-18,3,0.756471,-0.592831,3.335363,2.568305
"375","Scamp2",3.01e-22,-0.396978689,0.187,0.252,7.54e-18,3,1.478529,-0.98273,8.408341,7.260182
"376","Bin1",4.89e-39,-0.408253287,0.433,0.516,1.22e-34,3,1.485882,-1.170324,9.606739,8.387278
"377","Cd81",3.31e-26,-0.417052689,0.272,0.341,8.28e-22,3,3.917647,-0.1491,0.822901,0.606671
"378","Ikzf1",1.75e-52,-0.420412015,0.552,0.633,4.37e-48,3,0.424412,-1.019037,1.916568,1.36932
"379","Rtn1",3.49e-26,-0.425149217,0.253,0.323,8.74e-22,3,0.221765,-2.012213,4.457253,3.556478
"380","Mgat4a",9.2e-37,-0.428950237,0.33,0.412,2.3e-32,3,0.468529,-0.925985,4.106699,3.242414
"381","Ophn1",5.3e-56,-0.432728226,0.564,0.652,1.33e-51,3,0.390588,-1.642211,4.566307,3.649674
"382","Zeb1",5.76e-32,-0.437723931,0.317,0.403,1.44e-27,3,0.047059,-1.905003,1.698603,1.206366
"383","Adap2",2.89e-47,-0.444796751,0.467,0.567,7.23e-43,3,0.432647,-1.264355,4.919634,3.972333
"384","Il10ra",7.25e-29,-0.4456789,0.2,0.267,1.82e-24,3,0.748824,-1.277483,8.878822,7.707097
"385","Fkbp5",1.07e-31,-0.448863667,0.279,0.349,2.69e-27,3,0.187647,-0.508171,0.041159,0.22337
"386","Lpcat2",1.24e-52,-0.452666113,0.463,0.564,3.11e-48,3,1.863529,-1.311565,15.951629,14.425698
"387","Dapp1",4.95e-27,-0.456539911,0.22,0.304,1.24e-22,3,0.236176,-2.863098,6.297989,5.263538
"388","Slc9a9",4.35e-54,-0.457272813,0.52,0.652,1.09e-49,3,0.366471,-1.395844,4.770916,3.835019
"389","St3gal5",6.37e-22,-0.461515624,0.176,0.263,1.6e-17,3,0.297647,-0.62747,1.546661,1.094094
"390","Mtus1",2.17e-24,-0.46223763,0.185,0.273,5.42e-20,3,0.452647,-0.792919,3.914743,3.07142
"391","Entpd1",5.3e-41,-0.466059465,0.404,0.538,1.33e-36,3,0.942059,-1.189364,8.945812,7.770846
"392","Gtf2h2",2.44e-31,-0.47014234,0.227,0.308,6.11e-27,3,0.215294,-1.282858,3.745027,2.922424
"393","Tubgcp5",7.78e-24,-0.472303492,0.171,0.26,1.95e-19,3,0.275588,-1.318844,1.740672,1.238184
"394","Fam105a",5.37e-43,-0.472356642,0.381,0.494,1.35e-38,3,0.907059,-1.725202,10.31482,9.051799
"395","Pard3b",4.54e-35,-0.473013612,0.266,0.336,1.14e-30,3,0.021471,-0.7729,0.051278,0.228168
"396","Laptm5",4.08e-33,-0.478504943,0.255,0.335,1.02e-28,3,6.785588,-0.129962,1.305305,0.931199
"397","Dip2b",8.16e-62,-0.482511966,0.505,0.607,2.04e-57,3,0.322353,-0.860929,2.588225,1.917187
"398","Pik3r1",1.96e-36,-0.489809235,0.283,0.385,4.91e-32,3,0.44,-2.078308,6.320249,5.284619
"399","Pkig",9.74e-25,-0.493614801,0.165,0.251,2.44e-20,3,0.101471,-0.172226,0.64426,0.508462
"400","Ankrd44",1.36e-62,-0.502186704,0.483,0.606,3.4e-58,3,0.223824,-1.280359,0.604267,0.487231
"401","Numb",2.99e-69,-0.502807125,0.528,0.676,7.5e-65,3,0.506471,-1.136548,4.751347,3.817322
"402","Lgmn",1.41e-61,-0.541739888,0.47,0.614,3.52e-57,3,5.866765,-0.652843,14.722894,13.254955
"403","Gpr34",6.39e-36,-0.546256751,0.271,0.404,1.6e-31,3,3.750882,-0.85822,12.216125,10.879465
"404","Ssh2",2.76e-96,-0.549054733,0.632,0.784,6.9e-92,3,1.002353,-1.334791,6.625164,5.567754
"405","Bin2",2.54e-33,-0.553995691,0.196,0.293,6.35e-29,3,0.073235,-1.735722,0.828024,0.609463
"406","Tjp1",1.48e-33,-0.556314106,0.168,0.265,3.72e-29,3,0.299412,-1.802008,4.538857,3.624908
"407","Golm1",6.18e-40,-0.559115091,0.242,0.347,1.55e-35,3,1.740588,-0.806389,6.769101,5.699102
"408","Sall1",1.1e-31,-0.562655806,0.164,0.272,2.75e-27,3,0.815588,-1.189528,5.684519,4.691567
"409","Dock4",5.48e-131,-0.564785025,0.776,0.88,1.37e-126,3,0.090588,-1.3263,2.331095,1.702283
"410","Arhgap5",2.2e-62,-0.571771025,0.453,0.593,5.52e-58,3,0.865588,-0.809996,2.289853,1.667012
"411","Dock10",3.05e-71,-0.572039988,0.48,0.626,7.65e-67,3,0.386176,-1.366818,3.788129,2.959706
"412","Inpp5d",4.35e-128,-0.576742477,0.75,0.865,1.09e-123,3,1.030588,-0.829083,4.4867,3.580704
"413","Rgs10",1.43e-46,-0.578823906,0.264,0.396,3.58e-42,3,2.078824,-0.485482,2.892528,2.176977
"414","Plxna4",9.24e-44,-0.580456735,0.287,0.439,2.31e-39,3,0.104412,-3.054751,3.758185,2.933408
"415","Nrip1",3.26e-55,-0.584017192,0.303,0.421,8.17e-51,3,0.572941,-1.510853,8.254333,7.115253
"416","Frmd4a",9.91e-101,-0.590894537,0.618,0.746,2.48e-96,3,0.872059,-1.284002,4.015425,3.161359
"417","Slc24a3",2.57e-35,-0.596144257,0.221,0.359,6.45e-31,3,0.126471,-0.736322,0.355663,0.356028
"418","Pmepa1",2.53e-36,-0.597026589,0.191,0.316,6.33e-32,3,2.412353,-1.11316,12.313847,10.967641
"419","Il6ra",7.07e-43,-0.603489613,0.218,0.347,1.77e-38,3,0.960882,-1.789221,10.20998,8.956807
"420","Fam102b",2.41e-44,-0.607741594,0.25,0.385,6.03e-40,3,0.982353,-0.688795,1.441674,1.020322
"421","Nav3",2.24e-107,-0.623815487,0.64,0.825,5.6e-103,3,0.360588,-1.278034,2.538153,1.877191
"422","Cx3cr1",1.04e-91,-0.634088083,0.554,0.717,2.62e-87,3,11.152353,-1.359911,55.105993,52.504515
"423","Csf1r",3.58e-98,-0.634235122,0.518,0.673,8.96e-94,3,12.371765,-0.468992,15.544638,14.046963
"424","Slco2b1",2.89e-70,-0.637840558,0.398,0.593,7.23e-66,3,2.61,-1.270084,17.936384,16.321678
"425","Nfia",3.99e-60,-0.641388721,0.359,0.52,9.99e-56,3,0.268824,-1.026808,1.755437,1.249128
"426","St3gal6",1.15e-53,-0.644833554,0.287,0.463,2.89e-49,3,0.750294,-1.05862,6.242713,5.211777
"427","Serinc3",5.9e-72,-0.645547116,0.38,0.537,1.48e-67,3,9.199706,-0.907111,30.245977,28.188567
"428","Chd9",9.61e-105,-0.652168929,0.562,0.731,2.41e-100,3,0.292059,-2.494331,4.376627,3.48357
"429","Capn3",3.67e-35,-0.653071583,0.149,0.283,9.19e-31,3,0.182941,0.299384,0.041344,0.223412
"430","Itga9",1.11e-35,-0.660782199,0.119,0.253,2.79e-31,3,0.166765,-1.940203,3.024236,2.290814
"431","Tanc2",2.34e-200,-0.673970825,0.829,0.924,5.87e-196,3,0.775294,-0.956633,4.307414,3.421104
"432","Pde3b",1.14e-110,-0.686622556,0.529,0.699,2.86e-106,3,0.862941,-1.007211,4.120014,3.254134
"433","Ccr5",6.95e-38,-0.697050314,0.131,0.27,1.74e-33,3,1.477353,-2.340838,22.33377,20.517622
"434","Bbs9",5.43e-54,-0.711423939,0.254,0.42,1.36e-49,3,0.089412,-1.328503,0.93959,0.677762
"435","Ivns1abp",3.04e-87,-0.712431651,0.44,0.619,7.61e-83,3,0.968824,-1.274347,6.012747,5.002333
"436","Srgap2",1.07e-196,-0.714374732,0.766,0.908,2.68e-192,3,1.050294,-1.736531,12.918412,11.534418
"437","Abca9",1.82e-49,-0.714882972,0.201,0.376,4.55e-45,3,0.476765,-1.460019,3.565944,2.76587
"438","0610040J01Rik",6.49e-62,-0.71617723,0.256,0.423,1.63e-57,3,0.269118,-0.983298,4.411716,3.516102
"439","Med12l",4.16e-65,-0.717308598,0.291,0.478,1.04e-60,3,0.139706,-3.53626,3.710731,2.895294
"440","Elmo1",1.09e-212,-0.720816084,0.793,0.921,2.73e-208,3,0.541471,-1.463565,6.615799,5.559628
"441","Maf",1.33e-47,-0.728464773,0.172,0.319,3.32e-43,3,1.703824,-2.252391,24.546455,22.652547
"442","Agmo",3.08e-67,-0.731297752,0.3,0.495,7.7e-63,3,0.072353,-0.396307,0.32368,0.348337
"443","Sparc",2.41e-47,-0.732086432,0.168,0.325,6.03e-43,3,11.989706,-0.83641,28.630962,26.609267
"444","4933406I18Rik",2.95e-93,-0.739765144,0.395,0.596,7.39e-89,3,0.004706,-2.168038,0.033458,0.220785
"445","Rapgef5",1.02e-104,-0.757422479,0.422,0.641,2.55e-100,3,0.148235,-2.787766,3.547346,2.749325
"446","Pld1",5.82e-54,-0.763007679,0.17,0.343,1.46e-49,3,0.242647,-2.348494,3.281902,2.519902
"447","Lrba",1.36e-54,-0.795523552,0.145,0.293,3.42e-50,3,0.4,-2.646691,8.57764,7.420207
"448","Fchsd2",1.54e-93,-0.81043847,0.389,0.59,3.85e-89,3,0.327647,-1.797718,4.469631,3.566253
"449","Zfhx3",1.99e-198,-0.822674012,0.643,0.826,4.98e-194,3,1.213235,-1.976092,17.675709,16.069866
"450","Ptgs1",1.22e-54,-0.840660137,0.093,0.273,3.05e-50,3,1.647941,-1.032244,9.702954,8.481687
"451","Fgd2",8.56e-90,-0.924937689,0.21,0.458,2.14e-85,3,0.632647,-1.816765,10.540515,9.263319
"452","P2ry12",4.21e-127,-0.955805385,0.329,0.633,1.05e-122,3,10.954118,-2.051548,61.168903,58.412523
"453","Prkca",4.71e-82,-0.976700311,0.17,0.391,1.18e-77,3,0.096471,-0.925677,1.516313,1.074703
"454","Cst3",1.52e-166,-1.087671142,0.602,0.796,3.81e-162,3,46.351765,-0.22888,6.059475,5.045708
"455","Selplg",3.52e-164,-1.260407511,0.219,0.566,8.82e-160,3,9.069412,-1.225303,39.41363,37.192363
"456","Siglech",4.78e-165,-1.35275126,0.144,0.524,1.2e-160,3,4.717353,-0.917863,19.102279,17.42508
"457","Csmd3",0,-1.448994656,0.567,0.914,0,3,0.114118,-0.578126,0.684409,0.529623
