symbol,LogFC,FDR
Arsg,-0.278383146,0.00000106
Gjb1,-0.278100675,0.0000196
Kifap3,-0.277447647,0.00000767
Abhd16a,-0.277188389,0.0000335
Abcd4,-0.276523667,0.000960413
Stx1b,-0.276406871,0.033331107
Osbp,-0.276150967,0.000431181
Zfyve21,-0.276144071,0.00000211
Tmem189,-0.276111885,0.0000902
Snx22,-0.276095996,0.009279501
Coq8a,-0.276039444,0.005385777
Sspn,-0.275791767,0.000139078
Rpusd3,-0.275567829,0.025480079
Nmral1,-0.275326268,0.002891303
S100a16,-0.274906683,0.00000667
Rufy2,-0.274224592,0.0000914
Hif1an,-0.273907499,0.0152722
Sh3tc2,-0.273525435,0.00113767
Igsf8,-0.273376545,0.002819335
Zfand6,-0.273352717,0.000000583
Aig1,-0.273295974,1.13E-09
Btbd3,-0.272914714,0.006227686
Rab3a,-0.272653534,0.0000431
Map4k5,-0.272639017,0.00039926
Sorcs1,-0.272025236,0.000366572
Ef2,-0.271905497,0.019138472
Arvcf,-0.271694231,0.017834787
Cc2d2a,-0.270768615,0.002176157
Entpd5,-0.270701767,0.000202717
Nfib,-0.270701431,0.00013882
Sh3kbp1,-0.270669857,0.000000992
Sec14l2,-0.27053807,0.009202508
Dennd5b,-0.270477729,0.006760043
Amer2,-0.270182268,0.019355881
Srgap2,-0.269917578,0.001104339
Sort1,-0.269857442,0.0000195
Dcps,-0.269437165,0.000432156
Lrrc1,-0.269185517,0.000150434
Tubb4a,-0.269113184,0.001476852
Ankmy2,-0.26892695,0.033371689
A430105I19Rik,-0.268784776,0.032865822
Afap1l1,-0.268530989,0.00011663
Wasf3,-0.267200464,0.01529688
Ebp,-0.26719951,0.001027002
Kdm6a,-0.267035496,0.000816207
Cnrip1,-0.266910986,0.0000883
Nudt16l1,-0.266731835,0.0000614
dk2,-0.265910331,0.000530007
Lipe,-0.265884693,0.000192785
Negr1,-0.265873329,0.015030614
Tmem125,-0.265741809,0.006808749
Arhgap32,-0.265693354,0.007195758
Mfsd14b,-0.265692126,0.000035
Gal3st1,-0.265623456,0.001351669
Nsdhl,-0.265343301,0.006675669
1190005I06Rik,-0.265154275,0.016385339
Maged2,-0.264972834,0.010841351
Asap1,-0.264685454,0.000222055
Slc16a1,-0.26441142,0.000231943
3110002H16Rik,-0.264224816,0.005560385
Myo6,-0.263795913,0.000243019
1110065P20Rik,-0.263371781,0.0000901
Ddah2,-0.263257281,0.004934257
Rasl11b,-0.262204583,0.007168429
Coro7,-0.26161271,0.000403557
Mtss1,-0.261513405,0.0000212
P2rx7,-0.260837938,0.0000487
Glul,-0.260455968,0.002082727
Fam171a1,-0.260070097,0.001168688
Abca7,-0.25946619,0.017168828
Pdxdc1,-0.259251907,0.000000472
Diaph2,-0.258771996,0.001792917
Smim13,-0.258647691,0.000218608
Cr1l,-0.258452777,0.000423895
Spg20,-0.258427415,0.000000442
Pter,-0.258398014,0.002659158
Ssh2,-0.258339267,0.002792322
Faim2,-0.258312588,0.024234566
Lzts3,-0.258304951,0.012148285
Gpt,-0.25792498,0.009590475
Tkt,-0.257483461,0.000199152
Gas2,-0.256544646,0.001164621
Pink1,-0.255807776,0.01200272
P2rx4,-0.255724032,0.001402601
Parm1,-0.255528841,0.002335999
Slc5a3,-0.254634924,0.003855596
Mapk3,-0.254284556,0.00000986
Taldo1,-0.254217974,0.001032236
Mboat1,-0.253943915,0.004480896
Tmem5,-0.253849646,0.000000858
Atg9a,-0.253827964,0.001965266
Mad1l1,-0.252947103,0.001164789
Papss1,-0.2527694,0.0000769
Camk1,-0.252676357,0.00000242
Tspan7,-0.252246404,0.00063438
Aktip,-0.251930323,0.000142584
Trim59,-0.251116791,0.000112367
Tmcc2,-0.251088518,0.005618498
Rnf103,-0.25099377,0.0000693
Tubg2,-0.250910912,0.038939756
Csad,-0.250311025,0.003233077
Cyth3,-0.249924435,0.006800686
Igf1r,-0.249762369,0.004144871
Tada1,-0.249640883,0.000886666
Ivd,-0.249323291,0.000738279
Zfp354a,-0.248965819,0.028734356
Smug1,-0.248597141,0.008351977
Cdip1,-0.248582262,0.0000321
Cdh20,-0.248500102,0.000243019
Slc37a3,-0.248335413,0.000352446
Echs1,-0.248191841,2.65E-08
Nsmce3,-0.247935749,0.00000174
Eefsec,-0.247807597,0.002299836
Plp1,-0.246877607,0.01353211
Ap2a1,-0.246678697,0.040906092
Ccser2,-0.246617467,0.0000118
Rab11fip3,-0.24657418,0.024859777
Tnk2,-0.246270568,0.020199292
Arhgap31,-0.246212839,0.037347257
Rbak,-0.246209956,0.015799512
Gjc3,-0.246154649,0.0000475
Cdkl5,-0.245757059,0.000498311
Adh5,-0.245725324,0.000427167
Prr5l,-0.245568946,0.000272913
Tmem106c,-0.24555604,0.00070114
Tef,-0.245494356,0.004781758
Lrrc28,-0.245374157,0.00000459
Fnta,-0.245053122,0.000000594
E130311K13Rik,-0.244199963,0.021111395
Abhd14a,-0.244141018,0.000000323
Pip4k2a,-0.244089695,0.000178984
Tbc1d14,-0.24388678,0.001542228
Heca,-0.242979304,0.005247176
Arhgap39,-0.242976021,0.01891547
Neo1,-0.242288379,0.000818197
Wdr77,-0.242283194,0.004372482
Dvl2,-0.242173911,0.005208958
Sec61a2,-0.242156051,0.00800525
Leprot,-0.242052909,0.008288972
Cep85l,-0.242007047,0.02815178
Ypel3,-0.241577221,0.0000314
Hip1,-0.241422611,0.002249787
Rnf13,-0.241320936,0.000164402
Wrn,-0.241293576,0.001394195
Mog,-0.241000483,0.000689721
Snx1,-0.240914513,0.00000011
Wipi1,-0.240882709,0.00112275
Gtf3c1,-0.240157005,0.000438545
Cdh19,-0.240133882,0.003566894
Slc22a17,-0.239919908,0.006038761
Exd2,-0.239846378,0.003055774
Zfp763,-0.239631853,0.048407775
Nfix,-0.239608705,0.000129629
Usp30,-0.238685687,0.002318119
Lysmd3,-0.238616669,0.003072661
Mfsd6,-0.238570287,0.0000925
Trafd1,-0.238105792,0.006606157
Trim13,-0.238099771,0.035812285
Pcsk6,-0.237967316,0.000652199
Ccng2,-0.237739122,0.028732411
Ywhaq,-0.237611054,0.000000244
Mblac2,-0.237603389,0.002874078
Elavl3,-0.23755531,0.000000135
Nudt8,-0.237070112,0.010856906
Sgce,-0.236949053,0.000319469
Dctn1,-0.236853801,0.004766275
Hmgcr,-0.236701831,0.007541904
Olig1,-0.236174131,0.000117996
Nfrkb,-0.235941354,0.00332061
Ubac2,-0.235847999,0.0000522
Synj2,-0.235208164,0.004212404
Phactr1,-0.235194618,0.000318943
Por,-0.234887713,0.004612353
Rilpl2,-0.234693768,0.005913456
Fgfbp3,-0.234528956,0.003854602
BC052040,-0.233577876,0.030978017
Usp46,-0.233516374,0.0010263
Spns2,-0.232799556,0.001243791
Mdga2,-0.232706868,0.000732573
Pomgnt1,-0.232660202,0.002215015
Far1,-0.232651715,0.000420228
Zfp74,-0.232592461,0.003964198
Rab6b,-0.232396501,0.000101504
Bcorl1,-0.232334459,0.003636229
Sidt2,-0.232156581,0.000371281
Ube2z,-0.232036848,0.005353552
4930402H24Rik,-0.231849065,0.0000359
Hus1,-0.231697762,0.003019633
Plekhj1,-0.23168023,0.00000248
Myo1d,-0.231663497,0.0000189
Zfp866,-0.231342835,0.024195528
Adi1,-0.231237142,0.006760043
Eml1,-0.231223765,0.009226038
Ippk,-0.231121593,0.017493093
Fth1,-0.231023579,0.0000131
Gprc5b,-0.230762325,0.000354279
Spg7,-0.230699611,0.000536092
Tecr,-0.230493774,0.000808637
Dusp15,-0.230433465,0.038809768
Cadm2,-0.230378982,0.001144206
Ocrl,-0.230095335,0.019069447
Wdfy3,-0.22996465,0.000426069
Mobp,-0.22934604,0.000197811
Klf3,-0.229138652,0.000297632
Galnt16,-0.228998651,0.017493093
Wdr45,-0.228978625,0.000645034
Thnsl1,-0.228975165,0.014443044
Lims1,-0.228915812,0.000417368
Tbc1d10b,-0.228911969,0.000147639
Manea,-0.228163664,0.000776852
Zc3h7b,-0.228149779,0.01321246
Jmjd7,-0.227931523,0.036355981
Djc24,-0.227730539,0.0000437
Fam57a,-0.227485656,0.032830943
Smad1,-0.227331279,0.000513577
Nbas,-0.227180677,0.030859104
Eml5,-0.227096552,0.04589549
Lpar1,-0.227079162,0.036210843
Pop4,-0.226839803,0.00000768
Zfp874a,-0.226806378,0.039346118
Epn2,-0.2267833,0.000143194
Pgp,-0.22641961,0.00000128
Efnb3,-0.226212135,0.00000484
Dars2,-0.22610384,0.038912718
Ikbip,-0.226022562,0.000703901
Tecpr2,-0.225791041,0.010856906
Abcb8,-0.225755358,0.041056656
Ebpl,-0.225532601,0.000116166
Tspan3,-0.225259315,0.003077432
Tle1,-0.225250578,0.000740979
Bicd2,-0.225146143,0.00752352
Smim1,-0.224741127,0.009665217
Cep95,-0.224379106,0.047419958
Rnf130,-0.224349296,0.0000488
Sil1,-0.224038352,0.004429596
Rbbp9,-0.223940708,0.002695355
Kctd2,-0.22391105,0.011160466
Mapk8ip1,-0.223879824,0.003949283
Ccs,-0.223730471,0.000151056
Rhou,-0.223091902,0.000786862
Abl1,-0.22287282,0.001666087
Zfp101,-0.22272099,0.001576235
Abhd14b,-0.22268776,0.018650984
Rsbn1,-0.222567866,0.003102693
Ube2g1,-0.222518835,0.00010015
Ctbs,-0.222428975,0.002243178
Cyp2j12,-0.222088925,0.008413284
Hmgn5,-0.221771707,0.038193844
Abhd17a,-0.221728429,0.000426069
Osbpl1a,-0.221422632,0.0000794
Zfp444,-0.221307756,0.017067039
Mfsd14a,-0.22124795,0.002725353
Aspa,-0.220640758,0.011225876
Atpaf1,-0.220142961,0.04670517
Prrc2b,-0.220005413,0.000802416
Tmc6,-0.220001422,0.002986281
Errfi1,-0.219843792,0.004898455
Zfp580,-0.21981913,0.003103244
Aldh4a1,-0.21970566,0.013117816
2810021J22Rik,-0.219675092,0.02374122
Sesn1,-0.219257404,0.025269458
Gabbr1,-0.218914556,0.009684058
Xpa,-0.218472215,0.001263423
Tacc1,-0.218408016,0.001582718
Pir,-0.218389457,0.035208219
Cbx6,-0.218223703,0.000723839
Pls1,-0.218155122,0.001394195
Ptov1,-0.217711449,0.000169203
Stard3nl,-0.217532208,0.00000571
Cnp,-0.217193603,0.001400626
E130308A19Rik,-0.217066307,0.000656684
Npepps,-0.216745394,0.000613735
Fancf,-0.216334792,0.008946307
Abca2,-0.215946733,0.03707695
Bckdhb,-0.215888737,0.017947018
Immp2l,-0.215642579,0.031405675
Plekhg3,-0.215348468,0.003900732
Lrp1b,-0.215030358,0.00000533
Fbxo21,-0.214781787,0.001190631
Rft1,-0.214605229,0.016991931
1700020L24Rik,-0.213194243,0.048377042
Fam3a,-0.213134135,0.002544809
Ptdss1,-0.212773439,0.005958328
Hhip,-0.212626056,0.033960101
Slc20a2,-0.211712792,0.002831362
Hecw2,-0.211264068,0.025230631
Macrod2,-0.21112888,0.002181171
Pdia6,-0.210450365,0.008940961
Coprs,-0.210189938,0.018956423
Fbxw17,-0.210174066,0.013028826
Rab11b,-0.209654212,0.005462185
Dirc2,-0.209439914,0.003184614
2610524H06Rik,-0.209425951,0.015290846
Enpp2,-0.209342398,0.009636171
Cdc37l1,-0.209188978,0.001164621
Izumo4,-0.208847675,0.011188235
Gpr180,-0.208366601,0.001625156
Evi5l,-0.207830408,0.002335999
Prr18,-0.207773647,0.005769328
Nrde2,-0.207712016,0.028958756
Fbxo7,-0.207104045,0.001334766
Dennd5a,-0.206164085,0.001126492
44257,-0.206056218,0.000401624
Mtrf1l,-0.205757115,0.035553669
Ube4b,-0.205328877,0.000209159
Phactr4,-0.205295951,0.01590978
Gphn,-0.20511515,0.001542228
Trim32,-0.204605293,0.009328825
Mtx2,-0.203309792,0.0000172
Acot7,-0.203024894,0.00398824
Tada2a,-0.203024369,0.000754653
Stmn4,-0.202608637,0.001618011
Rhbdd2,-0.202598416,0.000432156
Pogk,-0.202470404,0.004391345
Ankrd27,-0.202468102,0.027246851
Dgat1,-0.202325112,0.00649487
Iffo1,-0.202209894,0.042928758
Scd2,-0.202168047,0.008046999
Tmem132b,-0.20211622,0.011225876
Ppp1r12b,-0.20207712,0.048175341
Pou2f1,-0.202039489,0.008298467
Elp4,-0.201899255,0.006825437
Reep5,-0.201451694,0.0000164
Sft2d3,-0.201428066,0.000371245
Med22,-0.201239598,0.001098735
Bbs2,-0.201203178,0.041732504
Ssbp2,-0.201175034,0.039499238
Atxn7l3b,-0.201136806,0.000000321
Saysd1,-0.200909038,0.000909073
Metap1d,-0.200902481,0.000713791
Rap1gds1,-0.200860345,0.000289515
Rab3ip,-0.200739604,0.00720674
Acadm,-0.200613186,0.001272453
Psph,-0.200039306,0.000201916
Klhdc3,-0.199949351,0.010959411
Ermp1,-0.198232175,0.002512662
Sumf2,-0.198214657,0.018956423
Trim3,-0.198189625,0.002196816
Sirt5,-0.19803246,0.038281429
Snx32,-0.197989253,0.009023705
Plxnb3,-0.19793871,0.004960724
Acad11,-0.196838818,0.041088276
Eif4g3,-0.196792766,0.000528799
Asf1a,-0.196774477,0.0000662
Lgmn,-0.196732836,0.025058288
Nkain2,-0.196622413,0.014867093
Map7,-0.196515391,0.008242284
Sys1,-0.196369342,0.00000274
Acat1,-0.196119124,0.000849754
Tmbim6,-0.196060336,0.004178455
Lims2,-0.195980926,0.028848498
Plekhb1,-0.195972519,0.001160343
Fmc1,-0.195510883,0.007806915
Kmt5a,-0.195457474,0.002248819
Lrrn1,-0.195416336,0.039297101
Degs1,-0.195226768,0.006184162
Lifr,-0.195226472,0.016818813
Glo1,-0.195103188,0.000071
Atxn3,-0.194800008,0.008040937
Rnf216,-0.194415211,0.004279247
Trim24,-0.194221854,0.006076774
Sdha,-0.194104364,0.00094002
Gdpd1,-0.194049458,0.00406843
Tmem42,-0.194005357,0.002144135
Shroom2,-0.193983842,0.018101146
Sox8,-0.193946478,0.002194578
Herpud1,-0.193904288,0.036288578
Nt5c2,-0.193882482,0.008374364
Unc5b,-0.193799564,0.017858411
Pqbp1,-0.193532012,0.001291697
Coq10a,-0.192864957,0.000259025
Kif3a,-0.192828045,0.001098735
Nudt4,-0.19267035,0.02776414
G12,-0.192640678,0.001568264
Kif1b,-0.192027254,0.001017157
Itpk1,-0.191853362,0.00037223
Rora,-0.191646053,0.019536566
Wnt3,-0.191403583,0.038912718
Zfp275,-0.191296848,0.04830989
Scap,-0.190739818,0.001903165
Prpsap1,-0.190459026,0.000175222
Ppp2ca,-0.19040172,0.001060294
Hibadh,-0.190361009,0.003060523
Slc2a8,-0.190094584,0.005410735
Nipsp2,-0.190055958,0.00185348
Vta1,-0.190030904,0.0000226
Sft2d2,-0.189930059,0.00166585
Smg9,-0.189881832,0.042283786
Npepl1,-0.189866383,0.003802373
Clasrp,-0.189822027,0.002150115
Ubqln2,-0.189821819,0.009807392
Pgap1,-0.189344049,0.010545157
Zfp276,-0.189315775,0.019528712
Gnpda2,-0.189302305,0.000191256
Ybx3,-0.189243776,0.004260011
Lats2,-0.189239787,0.027050195
Apool,-0.189198523,0.009760102
Heg1,-0.189138574,0.023684907
Spag9,-0.189099782,0.001511949
Erbb3,-0.188983858,0.033260345
Mta1,-0.188936785,0.02689209
Ctr9,-0.188820652,0.024226419
Tmeff2,-0.188162028,0.002043655
Tmem201,-0.187897126,0.027179874
Erlec1,-0.187845627,0.001257704
Mpst,-0.187816385,0.000263453
Glod4,-0.187738689,0.028980482
Cdk5,-0.187581843,0.017272475
Dus3l,-0.186990348,0.011129789
Cbr1,-0.186957351,0.017002426
Micall1,-0.186929321,0.015369833
B3galt1,-0.186889123,0.041647168
Saraf,-0.186858933,0.001381099
Usp25,-0.186450355,0.002059947
Hadh,-0.186406816,0.003863329
Cog6,-0.186398772,0.014151058
Hepacam,-0.186378775,0.0000615
Sv2a,-0.186328537,0.03221301
Djb9,-0.186254059,0.000896591
Lmbrd1,-0.18607991,0.00008
Wipf2,-0.185735203,0.0074742
Npc1,-0.185561385,0.001473114
Prkacb,-0.185544459,0.0000101
Cnot6l,-0.185233762,0.006682482
Mlycd,-0.185152886,0.022118148
Ctnnbip1,-0.184650035,0.0000137
Sass6,-0.184486994,0.038547059
Ift57,-0.184347115,0.015021997
Deaf1,-0.184301094,0.009807392
Pard3,-0.184126867,0.001729402
Gmpr2,-0.184011064,0.002423487
Sh3bgrl,-0.183499423,0.042379236
Jup,-0.183315079,0.002599231
Rassf8,-0.183300039,0.011203711
Inpp1,-0.183097066,0.049290055
Pex13,-0.182684779,0.00327491
Scai,-0.182637338,0.028789569
Rps6ka1,-0.182589943,0.017493093
Rhog,-0.182182215,0.046446447
Aifm1,-0.182030323,0.043109416
Mast4,-0.181921087,0.011897473
Ano4,-0.181684948,0.02689209
Map2k7,-0.181663143,0.005958328
Dmwd,-0.181513664,0.014049708
Bcap31,-0.181494024,0.00063303
Zfp704,-0.181086167,0.017002426
Sgpp1,-0.180847786,0.009135111
Rabgap1l,-0.180719293,0.027268733
Slc35a1,-0.18060079,0.007703382
Fbxo32,-0.180044291,0.002895096
Npat,-0.179789313,0.020639896
Ptpra,-0.179751398,0.000189949
Alg2,-0.179719001,0.022490191
Nt5c3b,-0.179258161,0.011663825
Bsg,-0.17871982,0.002353775
Srebf2,-0.178589596,0.040656235
Mocs2,-0.178543215,0.00059881
Tmem260,-0.178321026,0.038392731
Zfp740,-0.177970212,0.007517493
Chmp7,-0.177850141,0.020905568
Ppip5k2,-0.177780917,0.026590156
Pcca,-0.177626946,0.019480088
Msl3l2,-0.177341371,0.001522554
Djc3,-0.177126329,0.00682459
Arfip1,-0.176895397,0.003571727
Tmem184b,-0.176757484,0.015970036
Bcl2l2,-0.176663121,0.017965855
Plekhm3,-0.176602453,0.019536566
Slc35a2,-0.176514744,0.017829719
Rhno1,-0.175894253,0.042115995
Tmem109,-0.175770094,0.022214212
H13,-0.175594102,0.008539367
Rtn3,-0.175559766,0.009815666
Gramd1b,-0.17554796,0.006333778
Tmed7,-0.174827812,0.007811286
Stx17,-0.174780877,0.003824713
Kptn,-0.174732655,0.038912718
Tns3,-0.174722167,0.028857255
Tob1,-0.174646779,0.02608274
Wdr47,-0.174442853,0.042928758
Pcmt1,-0.174361732,0.000159136
Pigc,-0.174306661,0.016954162
Lipa,-0.174296494,0.030042999
Ugp2,-0.174105479,0.001098735
Fam122b,-0.173938754,0.034794289
Ip6k1,-0.173766559,0.008866731
Tmco3,-0.173711795,0.005084962
Pla2g16,-0.173491388,0.001495485
Cap1,-0.173229749,0.006693579
Acap2,-0.1727931,0.015021997
Pradc1,-0.171781399,0.006338672
Rps6ka5,-0.171570649,0.005054264
Ahcyl1,-0.171240592,0.009827957
Dhfr,-0.170982734,0.013232474
Llgl1,-0.17083262,0.032937941
Tbcel,-0.17071954,0.030248911
Pyurf,-0.170443602,0.006675669
Mpp5,-0.170402965,0.003924608
Mcee,-0.169978806,0.001620684
Bmyc,-0.169645797,0.030569834
Plod1,-0.169463073,0.024642875
Adam22,-0.169394132,0.027845138
Megf10,-0.168901542,0.002221687
Enpp4,-0.168680702,0.007248245
Acaa1a,-0.168582717,0.000440862
Apc5,-0.16772668,0.001231971
Rcn2,-0.167612906,0.025352838
Tcf3,-0.167603132,0.004714898
Hagh,-0.167220502,0.002115759
Pnn,-0.166614117,0.012942517
Cd320,-0.166417645,0.045327049
Map1a,-0.166318157,0.049849096
Mipol1,-0.166297072,0.04036811
Zdhhc17,-0.165715328,0.008700786
Kif1bp,-0.165546874,0.019536566
Cers2,-0.165509306,0.037872985
Itm2b,-0.16484241,0.008643044
Aar2,-0.164826077,0.01950356
Smco3,-0.164786242,0.007705305
Ndufc2,-0.164748939,0.0000174
Pmm1,-0.164314598,0.000749292
Hsd17b4,-0.164122958,0.048019177
Snx2,-0.163675173,0.004109672
Map7d1,-0.163342117,0.036398181
Slc48a1,-0.1629603,0.001027002
Mut,-0.162934604,0.004067901
Ldb1,-0.162824922,0.040912375
Smpd1,-0.162686455,0.010353816
Miga1,-0.162359135,0.042406817
Adcy5,-0.161947178,0.022814104
Epm2aip1,-0.161930566,0.027104436
Gpr89,-0.161924492,0.032109315
Qdpr,-0.161594792,0.0437817
Ndfip2,-0.161554688,0.000223418
Rraga,-0.161482803,0.000454304
Djc6,-0.161438254,0.032627218
Erg28,-0.160971311,0.006972852
Usp48,-0.160955591,0.002858459
Rnf20,-0.160876994,0.011650475
Appbp2,-0.160744413,0.028638187
Tcaf1,-0.160224277,0.041672598
Eri3,-0.160160973,0.001460808
Tmcc3,-0.160046758,0.010397891
Abcd3,-0.159990462,0.043183453
Otud7b,-0.159768003,0.007718706
Tmx4,-0.159578252,0.017725744
Bpnt1,-0.159502436,0.012271782
Cldnd1,-0.158779652,0.00050377
Jam3,-0.158725098,0.031592729
Ap3b2,-0.158718568,0.021780015
Ppme1,-0.158416079,0.001319786
Ncoa6,-0.157911149,0.022262433
Dusp22,-0.157818455,0.041793043
Spryd7,-0.157775126,0.006329075
BC004004,-0.157758372,0.024234566
Sptlc2,-0.157738884,0.011610294
Cds2,-0.157352722,0.007147468
Tnip1,-0.157044177,0.029199045
Ciao1,-0.156577385,0.017604085
Cnot8,-0.15653701,0.003569494
Tmbim4,-0.156205592,0.000174497
44443,-0.156187643,0.030642291
Fbxo8,-0.155536806,0.000149649
Smarcc2,-0.155410309,0.003816598
Arhgef10,-0.155142061,0.011664533
Wwp2,-0.155138327,0.048272412
Tbcd,-0.154322659,0.037199717
Krt10,-0.154280933,0.039042069
Stxbp3,-0.153545634,0.010095212
Aplp1,-0.15347491,0.0248414
Tmem50a,-0.153332023,0.001941884
Elmo1,-0.153065536,0.020238444
Fbxo25,-0.152840427,0.011787368
Smap2,-0.152739753,0.018293885
Slc25a44,-0.152600049,0.018884134
Smarce1,-0.152557605,0.016157165
Tgfa,-0.152344821,0.004834898
Pafah1b2,-0.152299765,0.001548378
Setd3,-0.152066066,0.004948174
Josd2,-0.151918891,0.019973523
Tnrc6b,-0.151866745,0.039696096
Ociad1,-0.151709259,0.006439049
Mpdz,-0.151665971,0.034821719
Hipk2,-0.151446535,0.049663085
Slc35e4,-0.150899128,0.027297287
Gpr37,-0.150844753,0.024493167
Map4k4,-0.150739848,0.020199292
Adat3,-0.150728791,0.009283212
Pik3ip1,-0.150697216,0.046408167
Ermn,-0.150696139,0.004010972
H2afx,-0.150538868,0.03528316
Cyb5b,-0.150509962,0.003212527
Tmem259,-0.150394481,0.034521116
Aga,-0.150118326,0.038027694
Calm2,-0.149750199,0.003782842
Vldlr,-0.149662004,0.019971575
Megf9,-0.149451069,0.022472469
Cux1,-0.149207141,0.001336023
Trpc4ap,-0.149134013,0.00037223
Mob2,-0.149101053,0.011107112
Phyh,-0.148929848,0.045138619
Pde4dip,-0.14877515,0.009675977
Yipf4,-0.14853724,0.003301964
Mta3,-0.148405773,0.046149071
Csnk1e,-0.148305171,0.012464013
Smim10l1,-0.148285832,0.023977853
Sec62,-0.148263247,0.016386773
Btbd10,-0.148031589,0.014936341
Ufl1,-0.147736276,0.035990547
Carhsp1,-0.147417645,0.006091969
Tmem59,-0.147341763,0.003634848
Phlpp1,-0.147251072,0.020199292
Bpgm,-0.146439682,0.007168429
Atp6v0a1,-0.146128544,0.024739969
Ccdc88a,-0.145995414,0.048730516
Ptgr2,-0.145943348,0.032830943
Cd99l2,-0.14588714,0.035249675
Fahd1,-0.145366309,0.029981013
Dcaf12,-0.145208769,0.024605331
Tmem106b,-0.145021446,0.002325175
Lrrc4b,-0.145016526,0.034573095
Plxdc2,-0.144795631,0.007732262
Thra,-0.144701416,0.02332573
Gins4,-0.144008485,0.004679206
Rabep1,-0.143949176,0.020046899
Slc33a1,-0.143729995,0.04629646
Thoc3,-0.143597054,0.001768619
Inpp5k,-0.143522485,0.040150522
Rac1,-0.143463273,0.008897052
Uqcrc2,-0.143096874,0.016443684
Selenos,-0.143014021,0.000207025
Mdh1,-0.14285286,0.024816669
Ddrgk1,-0.142029555,0.0000715
Polb,-0.142009915,0.005811435
Acadl,-0.1418426,0.008869912
p1l4,-0.141190847,0.002792322
Pja2,-0.14114553,0.03895537
Akap8l,-0.140860445,0.030977558
Zmynd11,-0.140855461,0.004645715
Tmem101,-0.140302109,0.016636608
Sars,-0.140121815,0.003883139
Bfar,-0.139854711,0.011398353
Ubxn6,-0.139664872,0.000655408
Bptf,-0.1396532,0.014285308
Ascc1,-0.139605725,0.04041825
Wdr91,-0.139597356,0.014354519
Slain1,-0.139536204,0.019878883
Wasf1,-0.139207118,0.0231339
Slc39a3,-0.139058339,0.020120859
Ggh,-0.138963337,0.02114865
Micu2,-0.1389041,0.008637611
Atxn2,-0.138874618,0.018274311
Tmem33,-0.138803265,0.03182537
Atp2a2,-0.138186278,0.018886945
Clcc1,-0.138179317,0.016173364
Rmdn3,-0.137600947,0.027105967
Vbp1,-0.137380342,0.002373439
Higd2a,-0.137173053,0.000312558
Slc25a4,-0.136929757,0.005076127
Baz2b,-0.136844169,0.019971575
Gmcl1,-0.136531425,0.048407775
Lrpap1,-0.136139496,0.016734965
Pgap2,-0.135841691,0.019480088
Tmem161a,-0.13555604,0.020293818
Dhrs1,-0.135520372,0.042551325
Phax,-0.135006224,0.002707709
Dync1li2,-0.134685267,0.012796539
Chchd7,-0.134575694,0.02202789
Aamdc,-0.134273673,0.013895218
B3galt5,-0.134146494,0.01700188
Slc25a11,-0.133889958,0.016502191
Shprh,-0.13388059,0.048098191
Dnm3,-0.133361809,0.042123726
Snx15,-0.133209102,0.03845966
Mtf2,-0.132986528,0.018281062
Sec13,-0.132868387,0.030069935
Wscd1,-0.132231252,0.003813471
Txndc15,-0.131554959,0.016277237
Gpat4,-0.131514968,0.01164621
Cops6,-0.131432745,0.005292881
Hmgcl,-0.131141802,0.007498247
Arl6ip5,-0.130901947,0.0192151
Sos2,-0.130346303,0.036815678
Kcnk13,-0.130343287,0.006748424
Ralbp1,-0.128907858,0.013237387
Pigyl,-0.128867211,0.008053566
Yif1b,-0.12838602,0.035311115
Puf60,-0.12813268,0.03718921
Tecpr1,-0.127592364,0.049093674
Adprh,-0.127162677,0.020777342
Dctn2,-0.126961089,0.00560768
Fam49b,-0.126842619,0.008333094
Emc8,-0.126796623,0.006005556
Amfr,-0.126796294,0.036210843
Myl12b,-0.126779209,0.006281909
Dhrs4,-0.126665937,0.023977853
Mboat2,-0.125560255,0.018707941
Selenot,-0.125493397,0.031405675
Cdk16,-0.124641774,0.022012253
Tfdp2,-0.124541112,0.036210843
Arl6ip1,-0.123578656,0.002703359
Keap1,-0.123229629,0.035566188
Fuca1,-0.122998946,0.006871663
Metap1,-0.122992704,0.038470315
Tmem165,-0.122647783,0.02376219
Tprgl,-0.122463386,0.007934382
Rbck1,-0.122110972,0.034120302
Mbip,-0.121931275,0.041425478
Wipi2,-0.121715334,0.017829719
Ctbp1,-0.121448411,0.021928505
Pcbp4,-0.121013447,0.002787068
Cdk19,-0.120203116,0.039519235
Faim,-0.119872339,0.011462592
Hnrnpdl,-0.119471747,0.017493093
Ilk,-0.119158359,0.045030126
Wbp2,-0.119030548,0.01322162
Emc10,-0.118978643,0.013232474
Vdac2,-0.116646756,0.01070364
Sh3glb1,-0.116188269,0.001373081
Aco2,-0.112833378,0.035311115
Cryzl1,-0.11230054,0.034650279
Gs,-0.112036465,0.013175083
Chmp2b,-0.111961013,0.032627218
Atp5f1,-0.111401981,0.019480088
44263,-0.110387846,0.031070429
Tsn,-0.11017755,0.020263659
Fam76a,-0.109409241,0.01397345
Rsrc1,-0.107684061,0.020397469
Prdx6,-0.107491312,0.027198218
Phc1,-0.10709655,0.045597893
Lrrc8d,-0.106517436,0.039346118
Ndufs7,-0.106126764,0.005721438
Insc,-0.104685036,0.041460424
Nt5c3,-0.1035566,0.020263659
