symbol,LogFC,FDR
Tmem97,-0.649365614,0.016403604
Mgll,-0.645006853,0.007902912
Jph1,-0.644663547,3.35E-11
2310022B05Rik,-0.644420377,2.92E-12
Prtg,-0.644304171,0.000179608
Pdgfc,-0.643708093,0.002752883
Dhcr24,-0.643157242,0.001956602
Robo1,-0.641697762,0.000024
Slc27a1,-0.641101294,0.000000512
Gss,-0.637591859,2.75E-09
Acsbg1,-0.637362332,0.006682482
3110082J24Rik,-0.635991205,0.008046999
Pmp22,-0.634395112,1.18E-12
Matn2,-0.632270226,0.001926717
Nipal3,-0.629696262,1.36E-09
Flrt3,-0.629064914,0.0000131
Itga4,-0.628984923,0.000832041
Rftn1,-0.628586824,3.62E-11
Fgf1,-0.628010494,1.26E-12
Grhpr,-0.628002082,2.08E-09
Acaa2,-0.627077652,0.000676104
Acss2,-0.624434945,0.000000397
Scd1,-0.623117984,2.93E-09
Gpr137b,-0.621909009,0.00013227
Gsn,-0.621566484,0.0000975
Fut9,-0.621509501,0.0000162
Slc45a3,-0.620013165,0.000164031
Gstm7,-0.616940739,7.12E-17
Slc9a3r1,-0.615386279,2.41E-08
Nlgn1,-0.615347186,0.000000256
Scg5,-0.613542171,2.72E-11
Fgd6,-0.60929376,0.000011
Nrn1l,-0.605156056,0.00000144
Dixdc1,-0.600791856,0.000000082
Cd200,-0.598603919,0.000486107
Ddc,-0.598513034,3.78E-09
Sh3bp1,-0.59744622,0.00073436
p1l3,-0.59551024,0.00000011
Adgrb1,-0.594282293,1.96E-08
Itgb5,-0.592993732,0.000000236
Cyp2d22,-0.59269036,0.012313683
Ppp2r2c,-0.592353006,4.26E-12
Fam107a,-0.587569232,0.003339204
Hcn2,-0.587486338,0.000205217
Ccnjl,-0.58584143,0.002944238
3632451O06Rik,-0.584715566,0.000000068
Slc6a9,-0.58324711,8.68E-09
4933413G19Rik,-0.583008472,8.04E-09
Tspan9,-0.580659473,0.002325127
Enpp1,-0.580355052,0.000000418
Itgb4,-0.579753246,3.83E-11
Mvd,-0.578297718,0.0000107
Reps2,-0.574996481,1.36E-08
Rasgrp3,-0.574333209,2.77E-08
Tle2,-0.573745339,0.000000197
Gstm1,-0.572717859,0.00000403
B3gat1,-0.570147393,1.44E-12
Coro2b,-0.570070614,0.00000698
Tppp3,-0.569170969,0.000000931
Abtb2,-0.568331534,0.0000841
Adk,-0.568282667,1.08E-15
Hopx,-0.567782641,0.003555663
Gcat,-0.56635947,4.54E-09
Ddah1,-0.565015805,0.002094436
Dcdc2a,-0.564807355,9.44E-08
Adgrg2,-0.561308029,0.000226381
Luzp2,-0.56082871,0.0000234
Slc22a15,-0.5606329,0.000000475
Cdkn1c,-0.560531276,0.000281629
Mettl7a1,-0.559290288,0.00000012
Paqr8,-0.557806581,2.86E-08
Tmem144,-0.557766549,9.77E-11
Snca,-0.556723431,0.0000229
Spef2,-0.554635217,0.0000616
Shisa4,-0.552382897,1.23E-12
t8f1,-0.552040624,1.17E-09
Srsf12,-0.551986797,0.003425421
Zdhhc20,-0.550912802,1.18E-10
Cavin2,-0.550568583,0.001104339
Nipal4,-0.549563655,1.92E-09
Hapln2,-0.548017046,2.81E-13
Mthfd1l,-0.547887351,0.001239781
Crim1,-0.547358123,1.79E-10
Garem1,-0.546457689,0.000000908
Sccpdh,-0.545555269,9.99E-11
Rftn2,-0.544536171,7.81E-10
Snhg11,-0.542001547,0.000943126
Ank,-0.539327187,2.07E-19
Pdk2,-0.539224612,9.81E-09
Gipr,-0.539101056,0.002716353
Tmeff1,-0.537492565,0.000515706
Mtmr7,-0.536866973,0.002068418
Chadl,-0.536618597,0.000815965
Dhrs13,-0.536154852,0.0000304
Hivep3,-0.535542346,0.00000864
