gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Stx16,2.51E-19,0.077866368,0.272,0.196,6.29E-15,3
Vti1a,3.13E-13,0.074884524,0.42,0.336,7.84E-09,3
Lims1,4.41E-15,0.074743555,0.472,0.384,1.11E-10,3
Nisch,4.75E-19,0.074655022,0.37,0.28,1.19E-14,3
Nrros,3.58E-15,0.073641839,0.323,0.251,8.96E-11,3
Pias1,2.68E-18,0.072174365,0.382,0.298,6.71E-14,3
Dhx9,2.12E-24,0.071686189,0.271,0.192,5.32E-20,3
Peli1,7.28E-26,0.071180984,0.376,0.281,1.82E-21,3
Herc4,2.51E-22,0.070633521,0.292,0.215,6.30E-18,3
Trem2,6.13E-20,0.069836904,0.37,0.284,1.53E-15,3
Zfand3,1.52E-14,0.069684705,0.447,0.367,3.81E-10,3
Luc7l2,2.42E-13,0.067689405,0.599,0.505,6.07E-09,3
Pafah1b1,9.50E-23,0.06768922,0.393,0.299,2.38E-18,3
Ythdf3,1.12E-18,0.066167981,0.273,0.201,2.82E-14,3
Fubp1,1.18E-19,0.06615378,0.297,0.218,2.95E-15,3
Kdm7a,5.12E-14,0.065704436,0.258,0.197,1.28E-09,3
Ap3b1,1.84E-17,0.065039995,0.35,0.268,4.62E-13,3
Cyth4,1.92E-23,0.064819209,0.633,0.515,4.81E-19,3
Ubac2,1.05E-19,0.06411621,0.318,0.238,2.63E-15,3
Xrn1,2.65E-17,0.063898655,0.261,0.193,6.62E-13,3
Fam172a,1.23E-19,0.0632626,0.528,0.425,3.08E-15,3
Aim2,7.33E-18,0.062856249,0.348,0.27,1.84E-13,3
Canx,6.66E-19,0.062707014,0.257,0.193,1.67E-14,3
Snx5,1.32E-16,0.061754664,0.291,0.224,3.31E-12,3
Pias2,1.63E-19,0.061692302,0.258,0.188,4.07E-15,3
Kpna4,2.44E-14,0.061375131,0.312,0.247,6.12E-10,3
Rbm25,3.80E-26,0.061251654,0.441,0.338,9.52E-22,3
Wsb1,2.27E-28,0.060892661,0.309,0.223,5.69E-24,3
Plxdc2,2.58E-11,0.060856882,0.888,0.942,6.45E-07,3
Wdfy3,5.76E-21,0.060703875,0.471,0.374,1.44E-16,3
Dyrk1a,6.73E-28,0.060245018,0.306,0.219,1.69E-23,3
Atf6,2.09E-21,0.0601287,0.252,0.179,5.23E-17,3
Srek1,5.60E-18,0.058886371,0.287,0.218,1.40E-13,3
Apobec3,3.33E-17,0.058735736,0.266,0.202,8.33E-13,3
Fto,1.44E-12,0.058681979,0.31,0.247,3.60E-08,3
Scaf8,1.78E-19,0.058519892,0.266,0.199,4.46E-15,3
Faf1,3.64E-21,0.057809638,0.251,0.182,9.12E-17,3
Phf20l1,3.00E-15,0.05713648,0.337,0.263,7.51E-11,3
Kmt2e,3.18E-24,0.056560191,0.377,0.287,7.97E-20,3
Tcf12,3.45E-19,0.056146983,0.429,0.338,8.63E-15,3
Gm43713,8.30E-21,0.054855001,0.299,0.224,2.08E-16,3
Babam2,2.05E-19,0.054846756,0.362,0.278,5.12E-15,3
Mllt10,2.64E-28,0.054766072,0.422,0.319,6.62E-24,3
4932438A13Rik,2.68E-22,0.053466657,0.268,0.195,6.71E-18,3
Atxn7l1,1.33E-18,0.053041947,0.355,0.277,3.34E-14,3
Tet3,5.30E-14,0.052066447,0.285,0.225,1.33E-09,3
Vps13a,3.11E-17,0.0517948,0.337,0.262,7.78E-13,3
Sbf2,8.71E-18,0.051337759,0.45,0.365,2.18E-13,3
Gtdc1,7.27E-14,0.051095987,0.399,0.33,1.82E-09,3
Macf1,7.07E-11,0.050019399,0.819,0.738,1.77E-06,3
Fam193a,5.05E-18,0.049296119,0.333,0.265,1.26E-13,3
Xiap,1.65E-23,0.048760058,0.309,0.232,4.14E-19,3
Gm5086,9.78E-09,0.048621654,0.337,0.286,0.000244882,3
Cnot4,4.87E-22,0.048521367,0.396,0.307,1.22E-17,3
Gm20388,6.42E-08,0.048128274,0.886,0.824,0.001607858,3
Maml2,7.00E-14,0.048118206,0.62,0.534,1.75E-09,3
Gns,9.11E-16,0.047734894,0.444,0.367,2.28E-11,3
Tcf4,5.33E-20,0.046227619,0.586,0.482,1.33E-15,3
Rock1,2.87E-21,0.045781886,0.337,0.26,7.19E-17,3
Ube2k,8.36E-18,0.045627185,0.273,0.206,2.09E-13,3
Eef1a1,1.89E-24,0.044978043,0.261,0.188,4.73E-20,3
Zfr,7.10E-16,0.044812295,0.369,0.298,1.78E-11,3
Birc6,4.14E-25,0.042707412,0.341,0.259,1.04E-20,3
Pum2,1.36E-17,0.042520196,0.307,0.24,3.40E-13,3
Gatad2b,1.60E-14,0.042497729,0.257,0.199,4.00E-10,3
Cdc42,1.80E-14,0.042405369,0.37,0.3,4.51E-10,3
Fars2,4.56E-22,0.040466649,0.298,0.222,1.14E-17,3
Herc1,2.87E-15,0.04015149,0.314,0.252,7.19E-11,3
Drg1,1.11E-15,0.039900068,0.258,0.2,2.77E-11,3
Dmxl1,5.06E-18,0.039473935,0.268,0.206,1.27E-13,3
Uvrag,1.88E-23,0.038945439,0.45,0.358,4.71E-19,3
Arhgap39,1.69E-17,0.038661353,0.461,0.378,4.23E-13,3
Ube3a,2.91E-13,0.038141194,0.307,0.247,7.28E-09,3
Foxp1,1.47E-17,0.03782513,0.333,0.267,3.68E-13,3
Tnrc6c,1.16E-22,0.037758366,0.361,0.279,2.91E-18,3
Dis3l2,5.67E-22,0.037477157,0.257,0.19,1.42E-17,3
Hnrnpu,2.90E-28,0.036900656,0.299,0.218,7.25E-24,3
Mlxipl,1.20E-14,0.036763848,0.329,0.265,3.00E-10,3
Baz2b,2.12E-14,0.036105061,0.424,0.349,5.31E-10,3
Gm26733,1.49E-12,0.035974461,0.348,0.29,3.74E-08,3
Zdhhc20,1.57E-19,0.035271033,0.26,0.195,3.92E-15,3
Capzb,1.52E-15,0.034991826,0.255,0.198,3.80E-11,3
Psme4,2.21E-22,0.034671474,0.266,0.198,5.54E-18,3
Kansl1l,1.20E-19,0.033770901,0.378,0.3,3.01E-15,3
Asxl2,1.91E-19,0.03371471,0.296,0.226,4.78E-15,3
Fus,4.21E-26,0.033629029,0.494,0.395,1.05E-21,3
Mbnl2,7.11E-10,0.033128752,0.433,0.379,1.78E-05,3
Smyd3,4.70E-16,0.030970131,0.503,0.421,1.18E-11,3
Mtdh,2.15E-17,0.03049172,0.508,0.423,5.38E-13,3
Rnf111,8.30E-18,0.030021045,0.278,0.214,2.08E-13,3
Ccdc50,6.07E-15,0.028852371,0.29,0.235,1.52E-10,3
Gm26804,2.42E-17,0.02670273,0.57,0.478,6.07E-13,3
Camk1d,1.69E-17,0.02522556,0.772,0.682,4.24E-13,3
Arhgef1,1.79E-18,0.025190204,0.297,0.232,4.49E-14,3
Apbb1ip,0.002176044,0.024515057,0.689,0.664,1,3
Tbl1xr1,1.21E-15,0.023490107,0.368,0.305,3.02E-11,3
Srsf11,7.69E-21,0.022834041,0.318,0.246,1.93E-16,3
Mylip,1.37E-23,0.022235875,0.384,0.303,3.44E-19,3
Trpm7,5.08E-19,0.020660171,0.285,0.219,1.27E-14,3
Pitpnc1,1.10E-05,0.019297584,0.484,0.447,0.276089005,3
Magi1,1.74E-16,0.019293347,0.567,0.485,4.37E-12,3
Tlr7,1.39E-17,0.018801338,0.374,0.304,3.48E-13,3
Zfp644,6.13E-15,0.017983518,0.274,0.223,1.54E-10,3
Zufsp,2.00E-15,0.017941163,0.268,0.214,5.01E-11,3
Taok1,7.67E-20,0.017780034,0.303,0.235,1.92E-15,3
Syngr1,1.10E-13,0.017613271,0.279,0.226,2.76E-09,3
Kansl1,2.21E-17,0.016167734,0.579,0.495,5.53E-13,3
Wipf1,1.42E-20,0.016147559,0.422,0.343,3.55E-16,3
Wdr33,2.17E-15,0.015185163,0.29,0.237,5.44E-11,3
Immp2l,7.14E-12,0.014921089,0.348,0.293,1.79E-07,3
Sltm,2.61E-20,0.014223436,0.425,0.349,6.54E-16,3
Rapgef6,3.50E-15,0.013676645,0.299,0.243,8.77E-11,3
Dennd1a,5.67E-10,0.012336691,0.38,0.331,1.42E-05,3
P2ry6,1.30E-16,0.011720935,0.324,0.265,3.26E-12,3
Smg6,2.72E-24,0.011095833,0.393,0.311,6.80E-20,3
Atad2b,9.49E-19,0.010632489,0.285,0.226,2.38E-14,3
Zfp148,4.14E-29,0.010296027,0.333,0.251,1.04E-24,3
R3hdm2,2.21E-16,0.009317033,0.289,0.234,5.52E-12,3
Capza1,1.48E-17,0.008914063,0.266,0.211,3.70E-13,3
Rsbn1l,4.46E-23,0.008041753,0.299,0.232,1.12E-18,3
Nr3c1,1.72E-15,0.007279399,0.307,0.252,4.31E-11,3
Pcm1,1.14E-13,0.007277377,0.261,0.213,2.86E-09,3
Gsk3b,2.17E-19,0.006904958,0.303,0.242,5.44E-15,3
Clta,1.44E-13,0.005836932,0.261,0.214,3.62E-09,3
Usp34,3.54E-15,0.005378148,0.39,0.328,8.86E-11,3
Hnrnpm,2.04E-24,0.005193903,0.28,0.213,5.10E-20,3
Arhgap31,2.43E-12,0.004116214,0.292,0.245,6.09E-08,3
Prpf4b,7.04E-14,0.003752383,0.45,0.383,1.76E-09,3
Cdk12,2.14E-22,0.003115528,0.311,0.245,5.36E-18,3
Hivep3,1.67E-08,0.002976387,0.458,0.417,0.000417321,3
Usp15,7.94E-14,0.001396325,0.252,0.206,1.99E-09,3
Lrch3,8.76E-16,5.48E-05,0.279,0.225,2.19E-11,3
Tra2a,2.04E-29,-0.000257081,0.374,0.291,5.12E-25,3
A630001G21Rik,6.01E-14,-0.000388187,0.266,0.22,1.50E-09,3
Ube2h,1.88E-17,-0.000403179,0.317,0.259,4.70E-13,3
Kmt2c,3.60E-14,-0.001031004,0.4,0.34,9.03E-10,3
Ppp3ca,3.04E-16,-0.00187993,0.642,0.568,7.62E-12,3
Cyfip1,8.65E-10,-0.003143119,0.477,0.425,2.17E-05,3
Ddx6,5.45E-22,-0.003190236,0.257,0.199,1.36E-17,3
Atp6v0b,1.14E-22,-0.003348152,0.499,0.414,2.86E-18,3
Atxn7,7.77E-14,-0.00399551,0.258,0.213,1.95E-09,3
Lhfpl2,1.50E-19,-0.004364084,0.452,0.379,3.77E-15,3
Ppp2r5c,3.86E-14,-0.00443401,0.268,0.221,9.66E-10,3
Huwe1,3.47E-27,-0.004494659,0.309,0.238,8.70E-23,3
Rrbp1,3.60E-16,-0.004908824,0.569,0.497,9.01E-12,3
Taf15,1.06E-18,-0.004933001,0.289,0.232,2.66E-14,3
Setd5,1.06E-24,-0.006939273,0.371,0.297,2.64E-20,3
Gphn,7.59E-17,-0.008363092,0.418,0.355,1.90E-12,3
Mbd5,2.81E-22,-0.009203891,0.347,0.28,7.04E-18,3
Zcchc7,5.83E-19,-0.009810248,0.562,0.485,1.46E-14,3
Zmym4,1.36E-15,-0.009932549,0.282,0.233,3.40E-11,3
Nudcd3,8.20E-16,-0.010155909,0.258,0.214,2.05E-11,3
Mtmr3,1.85E-15,-0.011335554,0.313,0.261,4.63E-11,3
Fbxo11,1.72E-10,-0.012594899,0.285,0.246,4.31E-06,3
Atrx,1.59E-19,-0.012925445,0.345,0.28,3.98E-15,3
Mark3,5.84E-12,-0.015898957,0.305,0.263,1.46E-07,3
Zfp638,1.10E-18,-0.016199733,0.345,0.284,2.76E-14,3
Asxl1,8.06E-22,-0.016468588,0.298,0.238,2.02E-17,3
Lnpep,9.51E-22,-0.01647261,0.291,0.233,2.38E-17,3
Rab10,2.48E-19,-0.016729205,0.272,0.218,6.21E-15,3
Tcf20,1.68E-19,-0.016830995,0.292,0.235,4.21E-15,3
R3hdm1,4.95E-19,-0.018058184,0.292,0.236,1.24E-14,3
Ago3,1.92E-13,-0.018485433,0.27,0.225,4.81E-09,3
Trim44,1.48E-17,-0.019046033,0.268,0.217,3.70E-13,3
Eif4g3,3.69E-22,-0.021439965,0.401,0.336,9.24E-18,3
Strn3,4.31E-18,-0.022352574,0.353,0.3,1.08E-13,3
Erbin,3.54E-14,-0.022907795,0.304,0.257,8.87E-10,3
Ncor1,8.96E-12,-0.023314689,0.34,0.299,2.24E-07,3
Sf3b1,5.76E-20,-0.023527529,0.387,0.325,1.44E-15,3
Hnrnpa2b1,4.51E-21,-0.02410471,0.555,0.478,1.13E-16,3
Pum1,8.60E-22,-0.025554728,0.267,0.211,2.15E-17,3
Ptprj,4.27E-05,-0.025635725,0.632,0.611,1,3
Hdac9,1.43E-13,-0.026065492,0.402,0.358,3.59E-09,3
Nlrp1b,3.41E-15,-0.027910527,0.259,0.221,8.55E-11,3
Itgav,1.67E-14,-0.028889082,0.286,0.246,4.18E-10,3
Nipbl,6.68E-27,-0.029236554,0.488,0.406,1.67E-22,3
Gm44686,1.24E-15,-0.031410417,0.279,0.234,3.11E-11,3
Spi1,6.40E-18,-0.031715841,0.279,0.232,1.60E-13,3
Diaph2,9.96E-16,-0.031729953,0.706,0.642,2.49E-11,3
Rbm6,5.03E-23,-0.032066289,0.352,0.288,1.26E-18,3
Prrc2c,5.79E-24,-0.032095454,0.304,0.248,1.45E-19,3
Rere,3.50E-21,-0.032316915,0.569,0.493,8.76E-17,3
Mef2c,0.000270769,-0.033636809,0.787,0.774,1,3
Plgrkt,6.66E-19,-0.033892408,0.282,0.232,1.67E-14,3
Gpatch8,1.02E-17,-0.034380452,0.323,0.273,2.56E-13,3
Chd2,8.78E-16,-0.034844837,0.351,0.306,2.20E-11,3
Smurf2,2.14E-15,-0.034923648,0.272,0.235,5.37E-11,3
Phc2,1.99E-17,-0.037025076,0.307,0.26,4.99E-13,3
Strbp,1.06E-13,-0.038517459,0.384,0.335,2.66E-09,3
Peli2,5.19E-15,-0.039765799,0.26,0.22,1.30E-10,3
Wac,5.02E-21,-0.039915299,0.279,0.228,1.26E-16,3
Oxr1,2.82E-08,-0.040970351,0.366,0.346,0.000707125,3
Ncoa3,2.17E-16,-0.041578606,0.276,0.236,5.42E-12,3
Rap1b,1.07E-27,-0.041996037,0.29,0.234,2.68E-23,3
Fcho2,3.53E-22,-0.042341525,0.417,0.36,8.84E-18,3
Sfmbt1,1.95E-20,-0.042685939,0.273,0.226,4.87E-16,3
Rbm39,1.29E-16,-0.043215036,0.643,0.582,3.23E-12,3
Csf3r,5.06E-16,-0.043336422,0.519,0.472,1.27E-11,3
Itch,5.33E-19,-0.044575402,0.361,0.308,1.33E-14,3
Wdr26,8.44E-17,-0.044622189,0.27,0.23,2.11E-12,3
Bcas3,1.05E-18,-0.04527394,0.301,0.255,2.62E-14,3
Comt,1.58E-13,-0.045746405,0.303,0.264,3.96E-09,3
Ambra1,1.13E-27,-0.046877038,0.37,0.302,2.83E-23,3
Lrp1,5.30E-13,-0.047048833,0.399,0.354,1.33E-08,3
Ttc14,3.66E-17,-0.047535895,0.302,0.257,9.17E-13,3
Acin1,5.78E-20,-0.047671481,0.273,0.226,1.45E-15,3
Crebbp,9.23E-22,-0.048101458,0.383,0.325,2.31E-17,3
Extl3,3.36E-15,-0.048489594,0.385,0.342,8.42E-11,3
Malat1,3.88E-05,-0.049350844,1,1,0.971399121,3
Gm48678,3.30E-17,-0.04971291,0.378,0.322,8.27E-13,3
Mdm4,3.94E-16,-0.050455968,0.259,0.22,9.86E-12,3
Smap2,7.79E-12,-0.050768266,0.52,0.483,1.95E-07,3
Usp50,2.41E-14,-0.050814335,0.384,0.34,6.03E-10,3
Phkb,5.34E-18,-0.051364111,0.252,0.208,1.34E-13,3
Rnf13,4.51E-19,-0.051747378,0.336,0.283,1.13E-14,3
Jak1,1.86E-14,-0.052008947,0.282,0.247,4.66E-10,3
Tpm3,1.68E-22,-0.052419664,0.286,0.236,4.22E-18,3
Akap13,1.77E-13,-0.053480047,0.527,0.488,4.43E-09,3
Rab31,3.58E-16,-0.054022058,0.326,0.282,8.97E-12,3
Ncoa2,1.37E-23,-0.055227495,0.326,0.272,3.43E-19,3
Arhgap22,6.64E-13,-0.057912978,0.488,0.453,1.66E-08,3
Nckap1l,2.97E-14,-0.058226674,0.383,0.343,7.45E-10,3
Dnajc7,3.89E-14,-0.059680473,0.263,0.232,9.75E-10,3
Trio,1.36E-16,-0.061335389,0.308,0.276,3.41E-12,3
Itsn2,1.66E-16,-0.061396017,0.282,0.247,4.16E-12,3
Stard9,5.82E-17,-0.062628142,0.363,0.321,1.46E-12,3
Ttc28,1.84E-14,-0.06500722,0.477,0.433,4.60E-10,3
Ly86,9.47E-08,-0.065520132,0.631,0.636,0.002372705,3
Sh3glb1,5.00E-13,-0.065890709,0.283,0.257,1.25E-08,3
Cog5,3.76E-11,-0.065964953,0.305,0.277,9.42E-07,3
Kdm3b,1.24E-11,-0.067754234,0.266,0.241,3.11E-07,3
Jmjd1c,1.37E-19,-0.069513372,0.583,0.527,3.42E-15,3
Ubn2,2.19E-20,-0.069673832,0.386,0.336,5.50E-16,3
Tnrc18,1.13E-24,-0.070297214,0.272,0.225,2.83E-20,3
Btk,1.78E-17,-0.070355116,0.258,0.22,4.47E-13,3
Khdrbs1,2.36E-22,-0.070827397,0.269,0.224,5.90E-18,3
Med13l,1.34E-15,-0.070899353,0.309,0.275,3.37E-11,3
Nek7,6.81E-16,-0.071788888,0.416,0.378,1.71E-11,3
Bach2,5.83E-17,-0.073044077,0.399,0.358,1.46E-12,3
Ep300,2.79E-19,-0.074542113,0.257,0.217,6.99E-15,3
Pik3ap1,1.02E-08,-0.074690272,0.361,0.347,0.000255094,3
Phip,9.46E-19,-0.075092964,0.271,0.236,2.37E-14,3
Man2b1,3.64E-21,-0.075260813,0.285,0.242,9.11E-17,3
Rbm26,1.05E-20,-0.075387391,0.434,0.387,2.62E-16,3
Ank2,3.63E-19,-0.075670501,0.531,0.48,9.10E-15,3
Cdk19,2.16E-17,-0.076695319,0.309,0.275,5.41E-13,3
Gm44511,1.21E-15,-0.077836097,0.437,0.399,3.02E-11,3
Fmnl3,2.01E-16,-0.077928774,0.299,0.269,5.04E-12,3
Lair1,5.04E-14,-0.078599715,0.58,0.542,1.26E-09,3
Nfat5,4.49E-15,-0.079989633,0.266,0.235,1.12E-10,3
Rsrp1,3.74E-15,-0.080127427,0.694,0.651,9.37E-11,3
Bptf,3.44E-20,-0.080645539,0.298,0.26,8.60E-16,3
Son,1.07E-22,-0.080738162,0.688,0.627,2.67E-18,3
Foxn3,8.80E-17,-0.081921138,0.772,0.728,2.20E-12,3
Tspan14,3.73E-17,-0.082992227,0.269,0.239,9.35E-13,3
Smg1,1.21E-19,-0.08375644,0.332,0.294,3.03E-15,3
Ktn1,1.47E-17,-0.084756981,0.292,0.258,3.69E-13,3
Tmem135,1.26E-13,-0.084954301,0.39,0.366,3.16E-09,3
Tmem243,3.56E-18,-0.086839091,0.368,0.331,8.93E-14,3
Lcor,2.10E-17,-0.087508314,0.284,0.254,5.26E-13,3
Sfpq,6.21E-21,-0.088750366,0.313,0.275,1.56E-16,3
Glg1,2.64E-21,-0.089307194,0.408,0.355,6.61E-17,3
Dip2c,1.60E-12,-0.090964524,0.27,0.244,4.01E-08,3
Mbnl1,1.11E-17,-0.092182842,0.766,0.721,2.79E-13,3
Ddx5,4.40E-11,-0.092435977,0.788,0.772,1.10E-06,3
Ski,4.95E-16,-0.092463141,0.374,0.34,1.24E-11,3
Tmcc3,5.29E-18,-0.093079019,0.824,0.793,1.32E-13,3
Ptpn1,8.51E-13,-0.095134256,0.292,0.271,2.13E-08,3
Sipa1l2,4.86E-23,-0.095203554,0.375,0.331,1.22E-18,3
Ccnd3,2.63E-07,-0.096440139,0.611,0.62,0.006578173,3
Capza2,3.81E-18,-0.097267598,0.282,0.251,9.55E-14,3
Phf21a,1.35E-16,-0.098106788,0.419,0.386,3.39E-12,3
Exoc6b,2.22E-17,-0.100017468,0.308,0.28,5.55E-13,3
Senp2,5.78E-19,-0.100868446,0.268,0.242,1.45E-14,3
Gm26904,2.72E-21,-0.101353009,0.274,0.239,6.81E-17,3
Dst,1.63E-14,-0.106122981,0.752,0.72,4.09E-10,3
Osbpl11,9.17E-16,-0.10790237,0.267,0.247,2.30E-11,3
Tbc1d5,2.94E-17,-0.108963106,0.606,0.573,7.37E-13,3
Cul1,1.02E-12,-0.111685027,0.259,0.248,2.56E-08,3
Olfr56,1.08E-18,-0.112107076,0.317,0.282,2.70E-14,3
Snx29,6.99E-16,-0.114934248,0.669,0.644,1.75E-11,3
Zfp292,5.87E-21,-0.117056853,0.313,0.279,1.47E-16,3
Cmss1,3.24E-21,-0.117823847,0.653,0.604,8.11E-17,3
Pou2f2,4.90E-10,-0.119461625,0.342,0.344,1.23E-05,3
Plekho1,5.98E-20,-0.119741352,0.336,0.31,1.50E-15,3
Tg,3.68E-10,-0.120438871,0.255,0.253,9.20E-06,3
Nsd1,7.65E-20,-0.12074485,0.473,0.441,1.92E-15,3
Sft2d1,2.06E-23,-0.125342461,0.329,0.3,5.17E-19,3
Apc,2.77E-18,-0.127653508,0.298,0.273,6.93E-14,3
Sppl3,2.37E-33,-0.127981622,0.348,0.302,5.92E-29,3
Klf12,2.20E-20,-0.134117107,0.443,0.418,5.52E-16,3
Kcnip4,1.24E-05,-0.134854365,0.284,0.292,0.311618876,3
Itgb5,2.72E-20,-0.134889141,0.65,0.629,6.81E-16,3
Mkln1,5.51E-21,-0.135274067,0.333,0.307,1.38E-16,3
Spire1,8.49E-17,-0.136816864,0.31,0.295,2.13E-12,3
Zcchc11,6.44E-12,-0.137926114,0.262,0.255,1.61E-07,3
Ubash3b,4.34E-16,-0.138275562,0.561,0.551,1.09E-11,3
Igf1r,2.41E-15,-0.140226931,0.26,0.244,6.03E-11,3
Hipk2,2.89E-15,-0.14150287,0.262,0.248,7.24E-11,3
Ddx17,3.33E-21,-0.141572128,0.334,0.309,8.34E-17,3
Srsf7,1.38E-21,-0.141694472,0.317,0.289,3.45E-17,3
Rapgef1,2.65E-17,-0.142138933,0.265,0.254,6.64E-13,3
Arl15,1.26E-13,-0.142604394,0.383,0.368,3.15E-09,3
Slc7a8,1.32E-12,-0.144753697,0.322,0.321,3.29E-08,3
Snrnp70,2.62E-18,-0.148146463,0.496,0.476,6.57E-14,3
Fermt3,1.49E-14,-0.148512004,0.272,0.26,3.74E-10,3
Stag2,1.07E-14,-0.148747671,0.253,0.246,2.68E-10,3
AY036118,7.33E-23,-0.14880101,0.6,0.568,1.84E-18,3
Wwox,3.57E-08,-0.149312615,0.426,0.434,0.00089302,3
Snx13,8.28E-11,-0.150688785,0.249,0.252,2.07E-06,3
Mef2a,9.55E-16,-0.151455122,0.856,0.868,2.39E-11,3
Akap8l,2.29E-15,-0.153024304,0.331,0.321,5.74E-11,3
Setd2,4.52E-19,-0.153214128,0.251,0.237,1.13E-14,3
Dnm2,6.64E-17,-0.155249829,0.315,0.304,1.66E-12,3
Havcr2,1.05E-13,-0.156029021,0.275,0.275,2.63E-09,3
Ctss,1.10E-21,-0.157539359,0.653,0.628,2.76E-17,3
Srsf5,1.07E-18,-0.158665789,0.284,0.275,2.68E-14,3
Lrrk1,1.73E-11,-0.158739903,0.303,0.303,4.32E-07,3
Nuak1,2.80E-15,-0.159185933,0.259,0.254,7.00E-11,3
Gm26561,2.76E-14,-0.16052778,0.271,0.267,6.91E-10,3
Atxn1,5.90E-16,-0.161773457,0.309,0.297,1.48E-11,3
F11r,3.97E-15,-0.162565286,0.253,0.248,9.93E-11,3
Rbm5,5.57E-23,-0.163259022,0.294,0.274,1.39E-18,3
Wnk1,6.02E-24,-0.166620018,0.597,0.584,1.51E-19,3
Gdi2,2.79E-18,-0.166873121,0.306,0.303,6.99E-14,3
Vrk2,8.80E-17,-0.168645439,0.291,0.29,2.20E-12,3
Zbtb20,1.83E-23,-0.174597173,0.661,0.651,4.59E-19,3
Plcg2,2.41E-23,-0.174762434,0.363,0.351,6.03E-19,3
Marcks,6.37E-22,-0.174899253,0.274,0.263,1.60E-17,3
Lysmd4,2.95E-19,-0.175736824,0.815,0.813,7.38E-15,3
Clasp2,1.00E-20,-0.178177856,0.419,0.411,2.50E-16,3
Lyn,4.26E-15,-0.180782747,0.725,0.747,1.07E-10,3
Rreb1,2.59E-28,-0.182481692,0.695,0.67,6.50E-24,3
Tmsb4x,6.81E-15,-0.185989855,0.385,0.388,1.71E-10,3
Cd2ap,1.05E-22,-0.187437278,0.251,0.24,2.64E-18,3
Lrch1,1.57E-14,-0.187532491,0.567,0.593,3.92E-10,3
Specc1,7.51E-23,-0.188510868,0.47,0.46,1.88E-18,3
Pan3,3.73E-23,-0.189638673,0.477,0.474,9.34E-19,3
Acap2,1.10E-23,-0.190049587,0.38,0.372,2.75E-19,3
Cnot2,3.81E-21,-0.191306479,0.299,0.299,9.55E-17,3
Fnbp1,3.22E-17,-0.193429729,0.352,0.362,8.06E-13,3
Heatr5a,2.10E-15,-0.196310937,0.254,0.263,5.26E-11,3
Tacc1,2.80E-23,-0.197030744,0.427,0.419,7.01E-19,3
Rcbtb2,3.52E-15,-0.197161727,0.287,0.299,8.82E-11,3
Nbea,6.59E-12,-0.197213081,0.242,0.251,1.65E-07,3
Pip4k2a,1.07E-21,-0.199346196,0.607,0.62,2.69E-17,3
Hpgds,2.75E-19,-0.19937124,0.567,0.582,6.90E-15,3
Hk2,6.49E-14,-0.201118941,0.375,0.391,1.63E-09,3
Tbc1d9,3.30E-15,-0.201179146,0.279,0.288,8.25E-11,3
Ppcdc,2.21E-22,-0.201495372,0.295,0.294,5.55E-18,3
Srrm2,4.54E-33,-0.202435043,0.538,0.523,1.14E-28,3
Rnf169,8.81E-26,-0.207006925,0.319,0.316,2.21E-21,3
Adam10,5.42E-20,-0.207046754,0.259,0.265,1.36E-15,3
Clk1,2.58E-26,-0.208695134,0.372,0.356,6.46E-22,3
Tsc22d4,1.59E-17,-0.21187251,0.34,0.359,3.99E-13,3
Arhgap12,2.09E-16,-0.213815917,0.29,0.304,5.23E-12,3
Crlf3,2.32E-17,-0.214029407,0.313,0.324,5.81E-13,3
Prex1,7.53E-23,-0.21409938,0.339,0.339,1.89E-18,3
Pnisr,1.66E-24,-0.215462567,0.345,0.347,4.17E-20,3
Aftph,1.38E-25,-0.217896594,0.339,0.33,3.47E-21,3
Itga6,1.32E-11,-0.218425273,0.266,0.288,3.30E-07,3
Unc93b1,5.49E-21,-0.22585743,0.482,0.498,1.38E-16,3
Man1a2,3.18E-20,-0.228619248,0.386,0.401,7.98E-16,3
Frmd4b,1.27E-22,-0.232966509,0.582,0.611,3.18E-18,3
Hck,1.82E-13,-0.233326625,0.243,0.275,4.55E-09,3
Camk2d,1.35E-19,-0.234451413,0.435,0.459,3.37E-15,3
Tnrc6b,3.67E-21,-0.235060062,0.382,0.399,9.19E-17,3
Epb41l2,6.14E-32,-0.236528802,0.788,0.796,1.54E-27,3
Rap1gds1,3.34E-25,-0.240344861,0.543,0.559,8.36E-21,3
Itm2b,2.22E-27,-0.241461522,0.471,0.477,5.57E-23,3
Phf14,1.48E-23,-0.241789624,0.406,0.419,3.71E-19,3
Gm42418,2.03E-21,-0.242211575,0.914,0.899,5.07E-17,3
Plcl1,4.17E-24,-0.242367409,0.685,0.73,1.04E-19,3
Fli1,3.26E-22,-0.24438342,0.54,0.582,8.16E-18,3
Mycbp2,4.04E-30,-0.247129278,0.594,0.606,1.01E-25,3
Pwwp2a,4.92E-28,-0.248582219,0.323,0.33,1.23E-23,3
Cfh,2.55E-21,-0.249509033,0.46,0.5,6.39E-17,3
Arid1a,3.82E-19,-0.250163557,0.255,0.278,9.57E-15,3
Ptprm,1.42E-21,-0.254347657,0.419,0.454,3.54E-17,3
Rock2,1.62E-22,-0.255800092,0.349,0.367,4.06E-18,3
Itpr2,2.54E-29,-0.256184592,0.4,0.415,6.35E-25,3
