gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Hipk2,2.89E-15,-0.14150287,0.262,0.248,7.24E-11,3
Ddx17,3.33E-21,-0.141572128,0.334,0.309,8.34E-17,3
Srsf7,1.38E-21,-0.141694472,0.317,0.289,3.45E-17,3
Rapgef1,2.65E-17,-0.142138933,0.265,0.254,6.64E-13,3
Arl15,1.26E-13,-0.142604394,0.383,0.368,3.15E-09,3
Slc7a8,1.32E-12,-0.144753697,0.322,0.321,3.29E-08,3
Snrnp70,2.62E-18,-0.148146463,0.496,0.476,6.57E-14,3
Fermt3,1.49E-14,-0.148512004,0.272,0.26,3.74E-10,3
Stag2,1.07E-14,-0.148747671,0.253,0.246,2.68E-10,3
AY036118,7.33E-23,-0.14880101,0.6,0.568,1.84E-18,3
Wwox,3.57E-08,-0.149312615,0.426,0.434,0.00089302,3
Snx13,8.28E-11,-0.150688785,0.249,0.252,0.00000207,3
Mef2a,9.55E-16,-0.151455122,0.856,0.868,2.39E-11,3
Akap8l,2.29E-15,-0.153024304,0.331,0.321,5.74E-11,3
Setd2,4.52E-19,-0.153214128,0.251,0.237,1.13E-14,3
Dnm2,6.64E-17,-0.155249829,0.315,0.304,1.66E-12,3
Havcr2,1.05E-13,-0.156029021,0.275,0.275,2.63E-09,3
Ctss,1.1E-21,-0.157539359,0.653,0.628,2.76E-17,3
Srsf5,1.07E-18,-0.158665789,0.284,0.275,2.68E-14,3
Lrrk1,1.73E-11,-0.158739903,0.303,0.303,0.000000432,3
Nuak1,2.8E-15,-0.159185933,0.259,0.254,7E-11,3
Gm26561,2.76E-14,-0.16052778,0.271,0.267,6.91E-10,3
Atxn1,5.9E-16,-0.161773457,0.309,0.297,1.48E-11,3
F11r,3.97E-15,-0.162565286,0.253,0.248,9.93E-11,3
Rbm5,5.57E-23,-0.163259022,0.294,0.274,1.39E-18,3
Wnk1,6.02E-24,-0.166620018,0.597,0.584,1.51E-19,3
Gdi2,2.79E-18,-0.166873121,0.306,0.303,6.99E-14,3
Vrk2,8.8E-17,-0.168645439,0.291,0.29,2.2E-12,3
Zbtb20,1.83E-23,-0.174597173,0.661,0.651,4.59E-19,3
Plcg2,2.41E-23,-0.174762434,0.363,0.351,6.03E-19,3
Marcks,6.37E-22,-0.174899253,0.274,0.263,1.6E-17,3
Lysmd4,2.95E-19,-0.175736824,0.815,0.813,7.38E-15,3
Clasp2,1E-20,-0.178177856,0.419,0.411,2.5E-16,3
Lyn,4.26E-15,-0.180782747,0.725,0.747,1.07E-10,3
Rreb1,2.59E-28,-0.182481692,0.695,0.67,6.5E-24,3
Tmsb4x,6.81E-15,-0.185989855,0.385,0.388,1.71E-10,3
Cd2ap,1.05E-22,-0.187437278,0.251,0.24,2.64E-18,3
Lrch1,1.57E-14,-0.187532491,0.567,0.593,3.92E-10,3
Specc1,7.51E-23,-0.188510868,0.47,0.46,1.88E-18,3
Pan3,3.73E-23,-0.189638673,0.477,0.474,9.34E-19,3
Acap2,1.1E-23,-0.190049587,0.38,0.372,2.75E-19,3
Cnot2,3.81E-21,-0.191306479,0.299,0.299,9.55E-17,3
Fnbp1,3.22E-17,-0.193429729,0.352,0.362,8.06E-13,3
Heatr5a,2.1E-15,-0.196310937,0.254,0.263,5.26E-11,3
Tacc1,2.8E-23,-0.197030744,0.427,0.419,7.01E-19,3
Rcbtb2,3.52E-15,-0.197161727,0.287,0.299,8.82E-11,3
Nbea,6.59E-12,-0.197213081,0.242,0.251,0.000000165,3
Pip4k2a,1.07E-21,-0.199346196,0.607,0.62,2.69E-17,3
Hpgds,2.75E-19,-0.19937124,0.567,0.582,6.9E-15,3
Hk2,6.49E-14,-0.201118941,0.375,0.391,1.63E-09,3
Tbc1d9,3.3E-15,-0.201179146,0.279,0.288,8.25E-11,3
Ppcdc,2.21E-22,-0.201495372,0.295,0.294,5.55E-18,3
Srrm2,4.54E-33,-0.202435043,0.538,0.523,1.14E-28,3
Rnf169,8.81E-26,-0.207006925,0.319,0.316,2.21E-21,3
Adam10,5.42E-20,-0.207046754,0.259,0.265,1.36E-15,3
Clk1,2.58E-26,-0.208695134,0.372,0.356,6.46E-22,3
Tsc22d4,1.59E-17,-0.21187251,0.34,0.359,3.99E-13,3
Arhgap12,2.09E-16,-0.213815917,0.29,0.304,5.23E-12,3
Crlf3,2.32E-17,-0.214029407,0.313,0.324,5.81E-13,3
Prex1,7.53E-23,-0.21409938,0.339,0.339,1.89E-18,3
Pnisr,1.66E-24,-0.215462567,0.345,0.347,4.17E-20,3
Aftph,1.38E-25,-0.217896594,0.339,0.33,3.47E-21,3
Itga6,1.32E-11,-0.218425273,0.266,0.288,0.00000033,3
Unc93b1,5.49E-21,-0.22585743,0.482,0.498,1.38E-16,3
Man1a2,3.18E-20,-0.228619248,0.386,0.401,7.98E-16,3
Frmd4b,1.27E-22,-0.232966509,0.582,0.611,3.18E-18,3
Hck,1.82E-13,-0.233326625,0.243,0.275,4.55E-09,3
Camk2d,1.35E-19,-0.234451413,0.435,0.459,3.37E-15,3
Tnrc6b,3.67E-21,-0.235060062,0.382,0.399,9.19E-17,3
Epb41l2,6.14E-32,-0.236528802,0.788,0.796,1.54E-27,3
Rap1gds1,3.34E-25,-0.240344861,0.543,0.559,8.36E-21,3
Itm2b,2.22E-27,-0.241461522,0.471,0.477,5.57E-23,3
Phf14,1.48E-23,-0.241789624,0.406,0.419,3.71E-19,3
Gm42418,2.03E-21,-0.242211575,0.914,0.899,5.07E-17,3
Plcl1,4.17E-24,-0.242367409,0.685,0.73,1.04E-19,3
Fli1,3.26E-22,-0.24438342,0.54,0.582,8.16E-18,3
Mycbp2,4.04E-30,-0.247129278,0.594,0.606,1.01E-25,3
Pwwp2a,4.92E-28,-0.248582219,0.323,0.33,1.23E-23,3
Cfh,2.55E-21,-0.249509033,0.46,0.5,6.39E-17,3
Arid1a,3.82E-19,-0.250163557,0.255,0.278,9.57E-15,3
Ptprm,1.42E-21,-0.254347657,0.419,0.454,3.54E-17,3
Rock2,1.62E-22,-0.255800092,0.349,0.367,4.06E-18,3
Itpr2,2.54E-29,-0.256184592,0.4,0.415,6.35E-25,3
C1qc,2.88E-31,-0.257171115,0.531,0.532,7.2E-27,3
Ldlrad4,1.16E-36,-0.257631471,0.793,0.814,2.91E-32,3
Slc8a1,3.12E-27,-0.258561881,0.791,0.831,7.81E-23,3
Ppp1r9a,1.39E-25,-0.260182747,0.423,0.441,3.49E-21,3
AC149090.1,1.83E-29,-0.261407287,0.68,0.701,4.59E-25,3
Git2,1.12E-17,-0.261691112,0.301,0.328,2.8E-13,3
B4galt1,2.6E-15,-0.26191745,0.224,0.252,6.51E-11,3
Snhg11,1.35E-17,-0.266824196,0.396,0.405,3.39E-13,3
Inpp4b,1.07E-27,-0.26691493,0.644,0.673,2.68E-23,3
C1qa,5.66E-26,-0.26812662,0.552,0.556,1.42E-21,3
Rptor,1.89E-26,-0.270011996,0.394,0.42,4.73E-22,3
Usp24,1.04E-16,-0.271167338,0.229,0.26,2.61E-12,3
Rnf216,1.86E-29,-0.273525929,0.514,0.536,4.65E-25,3
Picalm,8.23E-23,-0.27676315,0.506,0.557,2.06E-18,3
Fam49b,1.44E-38,-0.277866833,0.614,0.645,3.6E-34,3
C1qb,1.38E-28,-0.281204651,0.504,0.513,3.46E-24,3
Mvb12b,1.45E-21,-0.287417861,0.251,0.276,3.63E-17,3
Cttnbp2nl,2.79E-25,-0.288084914,0.377,0.408,6.98E-21,3
Mertk,1.84E-30,-0.290055769,0.75,0.828,4.61E-26,3
Ssbp2,1.67E-22,-0.291099878,0.251,0.27,4.19E-18,3
Dock8,4.5E-36,-0.291128206,0.64,0.693,1.13E-31,3
Parp8,1.23E-21,-0.294478411,0.296,0.332,3.08E-17,3
Atp2c1,3.53E-18,-0.294580577,0.258,0.296,8.84E-14,3
45352,5.69E-25,-0.296247713,0.409,0.457,1.43E-20,3
Cflar,9.39E-30,-0.29649534,0.292,0.312,2.35E-25,3
Apba1,1.03E-19,-0.297450454,0.299,0.33,2.57E-15,3
Celf2,1.77E-40,-0.300501187,0.638,0.658,4.44E-36,3
Meg3,7.7E-12,-0.300962428,0.418,0.464,0.000000193,3
Herc2,5.29E-30,-0.307259394,0.357,0.39,1.33E-25,3
Cask,2.81E-24,-0.309163424,0.344,0.394,7.04E-20,3
Rbfox1,4.2E-13,-0.309312081,0.218,0.252,1.05E-08,3
Fcrls,7.41E-35,-0.313167469,0.339,0.354,1.86E-30,3
Cd37,4.81E-27,-0.315904677,0.278,0.31,1.2E-22,3
Wasf2,7.27E-39,-0.3183364,0.411,0.43,1.82E-34,3
Bmp2k,1.23E-33,-0.320635728,0.457,0.493,3.08E-29,3
Zdhhc14,1.44E-14,-0.324081124,0.214,0.271,3.61E-10,3
Pten,6.93E-28,-0.32567195,0.289,0.326,1.74E-23,3
Qk,1.67E-42,-0.329285286,0.758,0.82,4.17E-38,3
Park2,2.96E-25,-0.329673402,0.436,0.489,7.4E-21,3
Arglu1,2.37E-26,-0.332095671,0.398,0.446,5.94E-22,3
Pld4,5.1E-17,-0.337766629,0.242,0.293,1.28E-12,3
Ints6l,2.99E-29,-0.338145961,0.325,0.371,7.5E-25,3
Gm16337,6.82E-25,-0.341622172,0.332,0.368,1.71E-20,3
Map4k4,1.14E-35,-0.342740146,0.366,0.41,2.86E-31,3
Lsamp,3.27E-16,-0.343728727,0.266,0.293,8.18E-12,3
Hexb,2.8E-50,-0.347797822,0.779,0.826,7.01E-46,3
Zfp710,8.33E-36,-0.349651377,0.506,0.574,2.08E-31,3
Man1a,2.52E-22,-0.352468436,0.268,0.321,6.3E-18,3
Dennd4a,6.84E-38,-0.357961935,0.519,0.587,1.71E-33,3
Map3k3,2.03E-29,-0.359605571,0.28,0.329,5.09E-25,3
Plcl2,2.65E-44,-0.361070694,0.555,0.594,6.64E-40,3
Zfp652,3.12E-34,-0.363576187,0.358,0.406,7.81E-30,3
Sipa1l1,2.69E-19,-0.36541856,0.202,0.265,6.73E-15,3
Ulk2,5.06E-31,-0.381632643,0.335,0.397,1.27E-26,3
Pag1,5.94E-64,-0.386974818,0.69,0.755,1.49E-59,3
Gng2,2.82E-20,-0.387120646,0.22,0.292,7.07E-16,3
Maml3,2.32E-54,-0.38762743,0.699,0.748,5.81E-50,3
Rcsd1,1.98E-19,-0.388134135,0.191,0.256,4.97E-15,3
Mapk14,2.42E-22,-0.388199247,0.21,0.281,6.06E-18,3
Abi3,6.71E-23,-0.390571543,0.206,0.264,1.68E-18,3
Scamp2,3.01E-22,-0.396978689,0.187,0.252,7.54E-18,3
Adap2os,3.28E-31,-0.403081767,0.382,0.458,8.22E-27,3
4930444A19Rik,1.78E-28,-0.40719237,0.318,0.385,4.45E-24,3
Bin1,4.89E-39,-0.408253287,0.433,0.516,1.22E-34,3
Cd81,3.31E-26,-0.417052689,0.272,0.341,8.28E-22,3
Ikzf1,1.75E-52,-0.420412015,0.552,0.633,4.37E-48,3
Rtn1,3.49E-26,-0.425149217,0.253,0.323,8.74E-22,3
Mgat4a,9.2E-37,-0.428950237,0.33,0.412,2.3E-32,3
Soga1,1.14E-31,-0.429154264,0.272,0.339,2.86E-27,3
Ophn1,5.3E-56,-0.432728226,0.564,0.652,1.33E-51,3
Zeb1,5.76E-32,-0.437723931,0.317,0.403,1.44E-27,3
Adap2,2.89E-47,-0.444796751,0.467,0.567,7.23E-43,3
Il10ra,7.25E-29,-0.4456789,0.2,0.267,1.82E-24,3
Fkbp5,1.07E-31,-0.448863667,0.279,0.349,2.69E-27,3
Lpcat2,1.24E-52,-0.452666113,0.463,0.564,3.11E-48,3
Dapp1,4.95E-27,-0.456539911,0.22,0.304,1.24E-22,3
Slc9a9,4.35E-54,-0.457272813,0.52,0.652,1.09E-49,3
Fhit,3.32E-26,-0.459881088,0.332,0.435,8.32E-22,3
St3gal5,6.37E-22,-0.461515624,0.176,0.263,1.6E-17,3
Mtus1,2.17E-24,-0.46223763,0.185,0.273,5.42E-20,3
Gm26827,5.55E-20,-0.463366967,0.201,0.29,1.39E-15,3
Gm17231,4.91E-25,-0.465339711,0.194,0.274,1.23E-20,3
Entpd1,5.3E-41,-0.466059465,0.404,0.538,1.33E-36,3
Gm26542,3.21E-35,-0.467110125,0.276,0.352,8.05E-31,3
Gtf2h2,2.44E-31,-0.47014234,0.227,0.308,6.11E-27,3
Tubgcp5,7.78E-24,-0.472303492,0.171,0.26,1.95E-19,3
Fam105a,5.37E-43,-0.472356642,0.381,0.494,1.35E-38,3
Pard3b,4.54E-35,-0.473013612,0.266,0.336,1.14E-30,3
Laptm5,4.08E-33,-0.478504943,0.255,0.335,1.02E-28,3
Dip2b,8.16E-62,-0.482511966,0.505,0.607,2.04E-57,3
Pik3r1,1.96E-36,-0.489809235,0.283,0.385,4.91E-32,3
Pkig,9.74E-25,-0.493614801,0.165,0.251,2.44E-20,3
Ankrd44,1.36E-62,-0.502186704,0.483,0.606,3.4E-58,3
Arhgap45,1.4E-49,-0.50238042,0.451,0.578,3.51E-45,3
Numb,2.99E-69,-0.502807125,0.528,0.676,7.5E-65,3
Atp8a2,3.06E-49,-0.513013608,0.409,0.55,7.66E-45,3
Wdfy2,1.54E-34,-0.531461737,0.171,0.255,3.85E-30,3
Lgmn,1.41E-61,-0.541739888,0.47,0.614,3.52E-57,3
Gpr34,6.39E-36,-0.546256751,0.271,0.404,1.6E-31,3
Ssh2,2.76E-96,-0.549054733,0.632,0.784,6.9E-92,3
Nav2,4.39E-111,-0.549646504,0.763,0.897,1.1E-106,3
Bin2,2.54E-33,-0.553995691,0.196,0.293,6.35E-29,3
Tjp1,1.48E-33,-0.556314106,0.168,0.265,3.72E-29,3
Golm1,6.18E-40,-0.559115091,0.242,0.347,1.55E-35,3
Sall1,1.1E-31,-0.562655806,0.164,0.272,2.75E-27,3
Dock4,5.48E-131,-0.564785025,0.776,0.88,1.37E-126,3
Arhgap5,2.2E-62,-0.571771025,0.453,0.593,5.52E-58,3
Dock10,3.05E-71,-0.572039988,0.48,0.626,7.65E-67,3
B430010I23Rik,1.06E-28,-0.572076694,0.153,0.26,2.64E-24,3
Inpp5d,4.35E-128,-0.576742477,0.75,0.865,1.09E-123,3
Rgs10,1.43E-46,-0.578823906,0.264,0.396,3.58E-42,3
Plxna4,9.24E-44,-0.580456735,0.287,0.439,2.31E-39,3
Nrip1,3.26E-55,-0.584017192,0.303,0.421,8.17E-51,3
Gm35188,4.22E-75,-0.588852268,0.639,0.776,1.06E-70,3
Frmd4a,9.91E-101,-0.590894537,0.618,0.746,2.48E-96,3
Slc24a3,2.57E-35,-0.596144257,0.221,0.359,6.45E-31,3
Pmepa1,2.53E-36,-0.597026589,0.191,0.316,6.33E-32,3
P3h2,9.1E-41,-0.602569124,0.266,0.411,2.28E-36,3
Il6ra,7.07E-43,-0.603489613,0.218,0.347,1.77E-38,3
Fam102b,2.41E-44,-0.607741594,0.25,0.385,6.03E-40,3
Nr6a1,2.85E-51,-0.613050721,0.342,0.452,7.14E-47,3
Nav3,2.24E-107,-0.623815487,0.64,0.825,5.6E-103,3
Prkce,3.03E-42,-0.625484216,0.225,0.342,7.6E-38,3
Cx3cr1,1.04E-91,-0.634088083,0.554,0.717,2.62E-87,3
Csf1r,3.58E-98,-0.634235122,0.518,0.673,8.96E-94,3
Slco2b1,2.89E-70,-0.637840558,0.398,0.593,7.23E-66,3
Vsir,4.98E-46,-0.638137477,0.229,0.375,1.25E-41,3
Nfia,3.99E-60,-0.641388721,0.359,0.52,9.99E-56,3
St3gal6,1.15E-53,-0.644833554,0.287,0.463,2.89E-49,3
Serinc3,5.9E-72,-0.645547116,0.38,0.537,1.48E-67,3
Chd9,9.61E-105,-0.652168929,0.562,0.731,2.41E-100,3
Capn3,3.67E-35,-0.653071583,0.149,0.283,9.19E-31,3
Itga9,1.11E-35,-0.660782199,0.119,0.253,2.79E-31,3
A830008E24Rik,1.8E-34,-0.664169299,0.151,0.273,4.51E-30,3
Tanc2,2.34E-200,-0.673970825,0.829,0.924,5.87E-196,3
Pde3b,1.14E-110,-0.686622556,0.529,0.699,2.86E-106,3
Gm32036,3.65E-52,-0.694330092,0.263,0.426,9.15E-48,3
Ccr5,6.95E-38,-0.697050314,0.131,0.27,1.74E-33,3
Bbs9,5.43E-54,-0.711423939,0.254,0.42,1.36E-49,3
Ivns1abp,3.04E-87,-0.712431651,0.44,0.619,7.61E-83,3
Srgap2,1.07E-196,-0.714374732,0.766,0.908,2.68E-192,3
Abca9,1.82E-49,-0.714882972,0.201,0.376,4.55E-45,3
0610040J01Rik,6.49E-62,-0.71617723,0.256,0.423,1.63E-57,3
Med12l,4.16E-65,-0.717308598,0.291,0.478,1.04E-60,3
Elmo1,1.09E-212,-0.720816084,0.793,0.921,2.73E-208,3
Maf,1.33E-47,-0.728464773,0.172,0.319,3.32E-43,3
Agmo,3.08E-67,-0.731297752,0.3,0.495,7.7E-63,3
Sparc,2.41E-47,-0.732086432,0.168,0.325,6.03E-43,3
4933406I18Rik,2.95E-93,-0.739765144,0.395,0.596,7.39E-89,3
Pde4d,1.3E-41,-0.745773351,0.143,0.293,3.25E-37,3
Rapgef5,1.02E-104,-0.757422479,0.422,0.641,2.55E-100,3
Pld1,5.82E-54,-0.763007679,0.17,0.343,1.46E-49,3
mt-Co1,1.88E-33,-0.769954883,0.194,0.286,4.72E-29,3
Cacnb2,1.52E-66,-0.777144278,0.29,0.494,3.82E-62,3
Cdh23,4.9E-63,-0.780587735,0.218,0.396,1.23E-58,3
Lrba,1.36E-54,-0.795523552,0.145,0.293,3.42E-50,3
Fchsd2,1.54E-93,-0.81043847,0.389,0.59,3.85E-89,3
Zfhx3,1.99E-198,-0.822674012,0.643,0.826,4.98E-194,3
mt-Co2,7.61E-38,-0.830362089,0.165,0.264,1.91E-33,3
Ptgs1,1.22E-54,-0.840660137,0.093,0.273,3.05E-50,3
mt-Co3,1.11E-47,-0.902755559,0.245,0.345,2.79E-43,3
Fgd2,8.56E-90,-0.924937689,0.21,0.458,2.14E-85,3
mt-Atp6,6.67E-53,-0.95518909,0.178,0.281,1.67E-48,3
P2ry12,4.21E-127,-0.955805385,0.329,0.633,1.05E-122,3
Prkca,4.71E-82,-0.976700311,0.17,0.391,1.18E-77,3
Cst3,1.52E-166,-1.087671142,0.602,0.796,3.81E-162,3
8030442B05Rik,2.31E-99,-1.206093081,0.081,0.345,5.77E-95,3
Selplg,3.52E-164,-1.260407511,0.219,0.566,8.82E-160,3
Siglech,4.78E-165,-1.35275126,0.144,0.524,1.2E-160,3
Csmd3,0,-1.448994656,0.567,0.914,0,3
