gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Pik3cb,1.55E-40,0.517036594,0.374,0.19,3.88E-36,3
Sgms1,5.88E-48,0.509898116,0.383,0.186,1.47E-43,3
Acer3,3.29E-53,0.501453936,0.575,0.335,8.23E-49,3
Atp6v1b2,1.53E-45,0.499912689,0.262,0.104,3.83E-41,3
Rbpj,1.43E-29,0.495130185,0.265,0.128,3.58E-25,3
Ctsz,6.11E-63,0.492703487,0.51,0.262,1.53E-58,3
Abca1,9.1E-49,0.481632814,0.61,0.38,2.28E-44,3
Atp2b1,5.8E-51,0.48130945,0.591,0.356,1.45E-46,3
Plekha1,1.14E-48,0.47839789,0.32,0.142,2.84E-44,3
Tec,9.85E-52,0.477633891,0.417,0.208,2.47E-47,3
Rbm47,1.2E-48,0.476492262,0.537,0.311,3.02E-44,3
Litaf,4.15E-44,0.47542853,0.272,0.115,1.04E-39,3
Akt3,3.06E-47,0.466054479,0.472,0.259,7.67E-43,3
Ncf2,1.56E-36,0.463986088,0.329,0.165,3.9E-32,3
Fam219a,3.67E-40,0.462234482,0.272,0.119,9.2E-36,3
Fam196b,1.83E-45,0.462091075,0.583,0.361,4.6E-41,3
2010111I01Rik,6.53E-48,0.458762409,0.414,0.212,1.64E-43,3
Pi4ka,2.54E-46,0.457591317,0.282,0.119,6.37E-42,3
Dnmt3a,1.28E-47,0.44916557,0.57,0.344,3.2E-43,3
Cdk17,1.13E-39,0.447110026,0.306,0.145,2.84E-35,3
Dock2,1.1E-56,0.434622623,0.816,0.643,2.76E-52,3
Slc11a1,4.63E-43,0.4329847,0.318,0.15,1.16E-38,3
Zeb2,5.93E-60,0.423344737,0.894,0.764,1.48E-55,3
Sgpl1,4.34E-44,0.423285402,0.274,0.119,1.09E-39,3
Usp12,1.3E-39,0.421058816,0.349,0.179,3.25E-35,3
Adcy7,3.96E-35,0.419453626,0.282,0.138,9.92E-31,3
Cotl1,9.74E-44,0.41654018,0.369,0.188,2.44E-39,3
Cpeb2,1.79E-46,0.413345073,0.296,0.134,4.48E-42,3
Slc6a6,1.51E-44,0.408640395,0.355,0.178,3.78E-40,3
Ehd4,3.56E-35,0.406336871,0.326,0.171,8.91E-31,3
Pfkfb3,1.41E-34,0.404084665,0.292,0.147,3.53E-30,3
Akap10,2.23E-38,0.403978877,0.415,0.232,5.58E-34,3
Ctsc,2.92E-20,0.394779807,0.289,0.169,7.32E-16,3
Ccdc88a,4.52E-36,0.391781146,0.295,0.147,1.13E-31,3
Prkch,5.74E-38,0.38861091,0.303,0.15,1.44E-33,3
Plekhm3,3.46E-34,0.387456366,0.391,0.222,8.67E-30,3
Nfkb1,2.57E-28,0.383797627,0.498,0.327,6.43E-24,3
Gna13,3.75E-38,0.383196113,0.288,0.14,9.38E-34,3
Gm40645,1.14E-35,0.380641463,0.254,0.12,2.86E-31,3
Tsix,5.81E-25,0.380309782,0.312,0.178,1.46E-20,3
Lrmda,1.04E-68,0.379870955,0.955,0.846,2.59E-64,3
