gene,MG3,DAM
Csf2ra,0.598652565,1.864095
Csmd3,-1.482878453,-0.578126
Cst3,-0.98775648,-0.22888
Ctnnb1,0.565867128,0.318409
Ctsa,0.210278869,1.195445
Ctsb,0.745526311,2.04363
Ctsc,0.44739153,0.223483
Ctsd,0.642876451,1.452347
Ctsh,0.355423453,0.398422
Ctsl,0.2501592,1.456878
Ctsz,0.524332859,1.684372
Cttnbp2nl,-0.290032612,-1.008123
Cux1,0.324429816,0.295032
Cx3cr1,-0.539655629,-1.359911
Cyba,0.174929739,0.603585
Cybb,1.105075774,2.691001
Cyfip1,-0.143706963,-0.386598
Cyth3,0.149837054,-0.219112
Daam1,0.47699992,0.297984
Dapp1,-0.492223052,-2.863098
Ddx24,0.127689084,0.288488
Ddx31,0.321275842,0.996498
Ddx50,0.134975521,-0.187403
Dennd4a,-0.397934983,-0.35963
Dennd5a,-0.126367426,-0.352659
Dgkz,0.588084736,0.951757
Dhrs3,0.41872211,0.623637
Dido1,-0.114472629,-1.412345
Dip2b,-0.610209254,-0.860929
Dis3l2,0.143957332,0.234061
Dleu2,-0.243768101,0.319756
Dnajb14,0.437765682,1.372001
Dnm2,-0.181860777,-1.088259
Dnmt3a,0.478564215,0.447717
Dock10,-0.552022291,-1.366818
Dock2,0.242859658,-0.675471
Dock4,-0.479130326,-1.3263
Dock8,-0.215960906,-0.393235
Dpysl2,-0.170361441,-0.315112
Dram2,0.202057664,-1.172755
Dtnbp1,0.645153093,0.661494
Dync1li1,0.168205458,-0.175857
E2f3,-0.172574645,-3.194317
Eef1a1,0.364566698,0.609791
Eef2k,-0.661937231,-2.447587
Ehd4,0.186048058,-0.366399
Elf2,0.347732982,-0.53482
Elk3,0.141418393,0.201294
Ell2,0.628788844,2.903912
Elmo1,-0.88490551,-1.463565
Entpd1,-0.554851426,-1.189364
Ep400,0.116364136,-0.46417
Epc2,-0.185755088,-0.779266
Eprs,0.295565327,0.60957
Eps15,0.125406772,0.615266
Epsti1,0.250043475,-0.398818
Erp29,0.149137889,0.104384
Etl4,1.082800584,3.625511
Etnk1,0.289173958,-1.011218
Etv6,0.257998081,-0.179751
Evi5,-0.172262917,-0.316715
Exoc4,0.151132969,-0.566904
Ext1,0.176883837,0.211551
Eya4,0.431243215,-0.39043
F11r,-0.220067703,-0.874201
Fam102b,-0.781150559,-0.688795
Fam117b,-0.20905476,-0.484341
Fam120a,0.236288059,0.305594
Fam129a,0.140465597,1.14367
Fam168a,-0.139797907,-0.960325
Fam20c,1.556224783,5.700718
Fam49b,-0.23675204,-0.846747
Fat3,0.688084044,0.637146
Fau,0.310823324,1.243315
Fbrsl1,-0.158594866,-1.473287
Fbxl17,0.318983863,-1.681662
Fbxw4,0.120255221,-0.123703
Fbxw7,0.14704301,-1.489966
Fcer1g,0.105465473,0.691891
Fcgr2b,0.185412781,0.14443
Fcho2,-0.147145422,-1.093289
Fchsd2,-0.714248362,-1.797718
Fcrls,-0.343319982,-0.411256
Fermt3,-0.210699624,-0.819108
Fgd2,-0.798181911,-1.816765
Fgd4,0.136738552,0.508072
Fkbp5,-0.382204515,-0.508171
Fli1,-0.307503017,-0.721944
Fmnl2,0.850416803,-0.262675
Fnbp1,-0.43106181,-0.206308
Fndc3b,0.264818611,0.253986
Fnip1,0.469909072,-0.567239
Foxn3,-0.271269124,-0.331405
Foxp1,-0.175915452,-1.098468
Frmd4a,-0.565452884,-1.284002
Frmd4b,-0.157233491,-1.171897
Frrs1,0.217989902,1.693831
Fth1,0.609832036,1.514116
Ftl1,0.646085877,2.160799
Fubp1,0.108670178,-0.53682
Fut8,-0.158057975,-0.637152
Fyb,0.270156925,-0.675365
Fyco1,-0.137965671,-3.200459
Fyn,0.261409529,0.565316
Gab1,-0.49800304,-2.220294
Gab2,0.257208469,-0.497606
Galc,0.463440688,0.505976
Gas5,0.209082391,1.158431
Gatad2a,0.206048939,-0.438127
Gdi2,-0.177293237,0.108365
Gfm2,-0.174764858,-0.496874
Ggnbp2,0.141437259,-0.573816
Git2,-0.335061693,-1.230534
Gna13,0.306495137,-0.62646
Gna15,-0.300791278,-1.364094
Gnas,0.177884421,2.152279
Gnb1,0.103356873,-0.351357
Gng12,0.727681406,1.544904
Gng2,-0.467722392,-1.254379
Gnptab,0.712602359,1.131522
Gns,0.191504604,0.618019
Golm1,-0.398132521,-0.806389
Gpr183,0.217010604,-0.901523
Gpr34,-0.704271947,-0.85822
Grb2,0.351377757,-0.920644
Grn,0.175286453,1.03402
Gse1,0.227872244,-1.056145
Gsk3b,0.119061772,-0.708932
Gspt1,-0.242552477,-0.184674
Gtf2h2,-0.482892487,-1.282858
Gtf2i,-0.295292953,-1.330853
Gusb,0.17907718,1.791202
H2-D1,0.484077642,2.988854
H2-K1,0.347106711,2.197553
H3f3b,0.271343854,-0.324236
Hck,-0.130119089,-1.069933
Helz,-0.208891006,-2.420101
Herc2,-0.26089206,-0.841641
Hexa,0.120556727,1.191048
Hif1a,0.960403771,1.50198
Hnrnpm,0.125945663,-0.511072
Hnrnpr,-0.120649683,-0.708231
Hook3,-0.141223502,-0.540326
Hpcal1,0.251527257,-0.458817
Hpgd,-0.641675803,-0.976939
Hpgds,-0.265925163,-1.131138
Hps3,-0.112938409,-2.280561
Hps4,-0.102921402,-0.591879
Hsp90b1,0.204344326,0.127854
Htt,0.147995112,-0.315595
Ifi204,1.017554989,2.470863
Ifngr1,-0.424989264,-1.587352
Ifngr2,0.196755602,-0.166537
Igf1,1.675195543,4.222486
Ikzf1,-0.277235199,-1.019037
Il10ra,-0.260582246,-1.277483
Il10rb,0.141230268,-0.431536
Il15,0.183724561,-0.305541
Il6ra,-0.587272403,-1.789221
Impact,0.119429366,0.363813
Inpp4b,-0.370672534,-1.840463
Inpp5d,-0.418571198,-0.829083
Ip6k1,-0.166459337,-1.483492
Ipcef1,0.158708393,1.017829
Irf8,0.396532754,0.173298
Itch,-0.183393853,-1.063472
Itga6,-0.153507902,-0.904468
Itga9,-0.882943326,-1.940203
Itgam,-0.335668444,-1.124086
Itgav,-0.108701809,-1.270171
Itgax,1.067320081,7.860371
Itm2b,-0.186591684,0.385876
Itpkb,0.491773806,0.100451
Itpr2,-0.215351061,-0.317841
Ivns1abp,-0.611739141,-1.274347
Jak1,-0.16010724,-1.075651
Jarid2,-0.247489651,-0.636425
Kat2b,-0.118456047,-0.71166
Kdm2a,0.229773383,-0.986798
Kdm2b,-0.305068539,-0.396409
Kdm3a,0.139904105,-0.20677
Kdm3b,-0.171367706,-1.253429
Kif13a,-0.13940483,-2.70147
Kif21b,-0.490469202,-1.631694
Klf3,-0.290707449,-1.191551
Klhl24,0.102583038,-0.44566
Klhl6,0.279356588,1.04843
Kpna3,0.235340358,0.34129
Kpna4,0.126831265,-0.756782
Ktn1,-0.160634871,-1.247858
Lamp1,0.190730846,0.653564
Lamp2,0.367532797,0.750789
Laptm5,-0.338629598,-0.129962
Larp1,0.298008198,-0.370855
Lars,0.138714684,0.452549
Lat2,0.323137787,0.510677
Lcp1,0.111177307,-0.362887
Lgals9,0.14060521,-0.578255
Lgmn,-0.46005366,-0.652843
Litaf,0.505707589,0.540399
Lpcat1,0.243966178,-0.107917
Lpcat2,-0.346577859,-1.311565
Lpin2,-0.142263293,-1.168038
Lpl,1.389011281,4.946601
Lpxn,0.163558384,-0.716403
Lrba,-0.678494141,-2.646691
Lrch1,-0.126515248,-1.105672
Lrch3,0.256133469,-1.306003
Lrp12,0.493816911,-0.290757
Lrp5,-0.183543222,-1.035099
Lrrc8d,0.314057203,0.962612
Lsm14a,0.116282838,-0.337963
Luc7l3,0.119874891,-0.636091
Lyz2,0.881775848,3.455854
Maf,-0.586323879,-2.252391
Maml3,-0.524557375,-1.131845
Man1a,-0.442201164,-1.164555
Man1a2,-0.123165731,-0.556976
Man1c1,0.252050078,0.388203
Map3k1,0.250687767,-0.500484
Map3k3,-0.308951241,-1.432866
Map3k5,-0.178708279,-0.637224
Map4k3,0.262288752,0.285219
Map4k4,-0.452991109,-0.611048
Mapk14,-0.461348082,-1.099701
Mapkap1,-0.176310978,-0.871474
Mat2a,0.128538742,-0.536108
Mbd2,0.132449497,0.3199
Mbnl1,-0.185742655,-0.864032
Mbtd1,0.126023687,-0.326186
Med12l,-0.589601865,-3.53626
Med13l,-0.151106901,-1.01958
Med14,0.300316595,1.116692
Med15,0.20416693,-0.803274
Mef2a,-0.206640591,-0.930809
Mef2c,-0.15147618,-0.449461
Mef2d,-0.152601059,0.472005
Memo1,0.117072357,-0.43934
Mertk,-0.369012836,-0.261147
Mfhas1,0.394943681,-0.259032
Mga,0.234805712,-0.205513
Mgat4a,-0.353487535,-0.925985
Mgat5,0.117152343,0.32792
Mitf,0.636572107,0.20772
Mkln1,-0.126249768,-1.108166
Mnat1,0.262176271,-1.158257
Mon2,-0.189300202,0.31662
Mpeg1,0.16413441,1.30654
Msn,0.228770357,-0.183356
Msra,0.144429405,0.589106
Mthfs,0.268877997,1.303268
Mtm1,0.348248004,-4.811894
Mtus1,-0.53703351,-0.792919
Mycbp2,-0.122122822,-0.71658
Myo18a,-0.147685663,-0.321195
Myo1e,1.41924017,2.317389
Myo1f,0.50645029,0.594321
Myo9a,0.147727172,-0.161963
Myo9b,0.646405378,1.270586
N4bp1,0.134163087,-1.158917
Nadk,0.380292914,-0.62747
Nagk,0.407983183,0.10061
Naip5,0.125001543,0.121469
Nav3,-0.782905035,-1.278034
Nceh1,0.769207061,3.240047
Ncf1,-0.327869821,-0.981819
Ncf2,0.296625248,-0.355456
Nck1,0.153985504,-0.60629
Nckap1l,-0.137807065,-0.793223
Ncoa2,-0.101303489,-2.548181
Ncoa3,-0.178503871,-0.308955
Ndfip1,-0.173279951,-1.599884
Ndufs4,0.123497733,-0.112446
Neat1,0.649583532,0.423051
Nek6,0.255088175,0.255018
Nf1,0.148313473,0.162683
Nfatc1,-0.144509946,0.147558
Nfe2l2,0.491586736,0.370642
Nfia,-0.558977226,-1.026808
Nfkb1,0.466218464,-0.5472
Nlk,-0.133518149,-0.321608
Nlrc5,0.746871505,3.04828
Nos1ap,-0.741445415,-0.10245
Notch2,-0.115502708,-1.515767
Npc1,0.144736422,-0.295883
Npc2,0.362900575,1.672936
Npepps,0.233558817,0.145057
Nptn,0.138489691,0.478979
Nrip1,-0.621264226,-1.510853
Nrp1,0.617577004,0.851862
Nrp2,0.61347405,-0.272627
Nsf,0.183742023,-0.337963
Nsmce2,0.352862812,0.494927
Nt5c2,-0.101128329,-1.079334
Ntpcr,-0.462794342,-1.122088
Nuak1,-0.151395636,-0.868192
Nufip2,0.165346503,-0.339489
Numb,-0.961814459,-1.136548
Nvl,0.136824784,0.289813
Ophn1,-0.455316231,-1.642211
Orc3,-0.112647811,-2.011735
Osbpl11,-0.170597811,-0.654019
Osbpl8,1.105382878,0.405064
Osbpl9,-0.111389218,-0.274727
Oxct1,0.30468549,0.919019
Oxr1,0.113065472,-0.579851
P2rx7,-0.206709164,-1.407166
P2ry12,-0.849313,-2.051548
P2ry6,-0.145507866,-0.5238
P4ha1,0.363655331,-0.997375
Pabpc1,0.208015851,0.818751
Pacs1,-0.232176112,-0.189518
Pafah1b1,0.128392484,-1.22636
Pag1,-0.279865116,-1.08746
Pard3b,-0.423181608,-0.7729
Parp14,0.667223753,-1.087548
Parp8,-0.229238445,-1.844923
Parp9,0.464137404,-0.264442
Pcf11,0.170609997,-1.092311
Pcnx,0.259762457,-0.213842
Pdcd6ip,0.169931868,-0.738398
Pde3b,-0.801444654,-1.007211
Peli1,0.252233327,-0.838332
Pfkfb3,0.264502722,0.259029
Phf14,-0.3633579,-0.177656
Phf20l1,0.108620401,-0.482549
Phf21a,-0.147790525,-0.994586
Phip,0.197050822,-0.347427
Phyhd1,-0.534626705,-0.878654
Pi4ka,0.356065858,-0.54099
Pias2,0.102540575,0.631049
Picalm,-0.285871245,-1.009961
Pid1,0.329114494,-1.064461
Pign,0.318198683,0.808878
Pik3ap1,0.179962232,-1.013903
Pik3cd,-0.266533729,-0.365255
Pik3cg,-0.319742477,-0.98412
Pik3r1,-0.443180314,-2.078308
Pik3r5,-0.10589236,-1.001357
Pik3r6,0.156207907,-0.240446
Pip4k2a,-0.306173899,-1.112632
Pitpnc1,-0.216378251,-0.72313
Pkig,-0.506116878,-0.172226
Plcl2,-0.344203526,-0.970614
Pld1,-0.700404857,-2.348494
Pld4,-0.212915471,-0.602282
Plek,0.529931361,0.642127
Plekha1,0.543402499,0.688227
Plekhm2,0.896795087,1.168997
Plekhm3,0.332736736,0.294788
Plekho1,-0.123883742,-0.914253
Plxdc2,-0.19283374,0.487538
Plxna4,-0.836522619,-3.054751
Pmepa1,-0.716608365,-1.11316
Pnn,-0.108087608,-0.292965
Pou2f1,0.174786645,-0.954794
Pou2f2,-0.127155266,-1.022187
Ppcdc,-0.221931843,-1.210266
Ppp1r9a,-0.266473793,-1.831003
Ppp3ca,-0.130965213,-1.058627
Prex1,-0.34903362,-0.584776
Prickle1,0.379290419,0.883492
Prkca,-0.873303284,-0.925677
Prkcb,0.217858979,0.303203
Prkcd,0.225430507,-1.622503
Prune2,0.336488751,1.371891
Psap,0.305600831,0.420527
Psmd1,0.239936228,-0.273257
Pten,-0.341521143,-1.979537
Ptgs1,-0.837252875,-1.032244
Ptk2b,0.189502613,0.459259
Ptpn6,0.276337016,-0.538366
Ptprc,0.525578788,0.31096
Ptpre,0.174859547,-0.71432
Ptprj,-0.279374722,-0.146107
Pwwp2a,-0.275493471,-1.671191
Qk,-0.346534449,-0.540553
Qrich1,0.102036288,-0.125333
Rab3gap2,0.123291554,-1.109362
Rab40c,0.333922036,-0.99116
Rab43,-0.141106555,-1.077272
Rabep1,0.312495939,-0.615151
Rabgap1l,-0.406052212,0.942993
Raf1,0.181575303,-1.29142
Rai1,0.270607146,-0.806112
Ralgapa1,0.200163855,1.247
Ranbp2,0.268941207,-1.018894
Rap2a,0.24549029,0.392605
Rapgef5,-0.864632983,-2.787766
Rasa1,0.207145146,-0.156065
Rasa4,0.356355588,0.623645
Rassf2,-0.344270623,-0.548383
Rassf3,0.662261188,0.420465
Rassf4,0.199776087,-0.350902
Rb1cc1,-0.128732633,-2.52559
Rbm25,0.13665514,-0.577429
Rbm26,-0.13318732,-0.475093
Rbm39,-0.141787619,-1.077823
Rbm47,0.454981636,-1.248326
Rbm5,-0.232771874,-0.817501
Rbpj,-0.158928112,-1.271467
Rcbtb2,-0.18475613,0.257159
Rcor1,0.211896582,1.202481
Rcsd1,-0.392059423,-0.835871
Reep3,0.135249874,0.113498
Rffl,-0.149638276,-0.462029
Rgl1,-0.246593064,-2.772262
Rgs10,-0.470534283,-0.485482
Rhoh,-0.20503296,-1.012583
Rlf,0.14625694,-1.172839
Rnf115,0.216021893,0.277373
Rnf149,0.562864335,1.111186
Rnf169,-0.209838,-0.171695
Rnf213,0.755607605,-0.639489
Rnf216,-0.243857337,-1.08527
Rock2,-0.426715086,-0.665474
Rpl10a,0.362799484,1.359364
Rpl6,0.14240413,0.823215
Rps6ka1,-0.581162022,-1.448061
Rps6ka3,0.16395532,-0.998113
Rptor,-0.315751687,-0.562239
Rreb1,-0.164196849,-2.183501
Rsf1,-0.143653695,-0.973101
Rsrc1,0.147451762,-0.886625
Rtn1,-0.781704386,-2.012213
Rtn4rl1,-0.337265252,-1.176018
Rttn,0.349697324,1.89755
Rufy3,0.568145769,-0.232168
Runx1,0.199621345,-0.578379
Sall1,-0.570235838,-1.189528
Samhd1,0.332774489,-0.838686
Samsn1,0.437679023,0.283553
Sat1,0.53165085,0.197418
Scaf11,0.126961797,0.125693
Scamp2,-0.43817681,-0.98273
Scfd1,0.123260944,-1.935377
Scoc,-0.346607655,-0.857843
Sdcbp,0.318126709,0.600163
Sdccag8,-0.233851267,-2.760495
Sdk1,-0.405058238,-0.273391
Sec24a,0.167733858,1.058471
Sec24b,0.125504399,0.247
Sec31a,0.10460506,-0.209065
Sel1l,0.10326217,0.113891
Selplg,-1.207858005,-1.225303
Senp2,-0.218168481,-0.128258
Senp5,0.198103134,0.435072
Senp7,-0.115676175,0.115356
Serinc3,-0.727296286,-0.907111
Sesn1,-0.183408608,-1.587521
Setd2,-0.129303556,-0.860628
Sfpq,-0.155571701,-0.599989
Sft2d1,-0.11896306,-0.14978
Sgk1,0.627970372,-0.312957
Sgpl1,0.322543092,0.21522
Sh3bp2,0.628103581,-1.00873
Sh3kbp1,0.207005117,0.501507
Siglech,-1.240965371,-0.917863
Sik3,0.117951197,-0.345342
Sipa1,-0.409780342,-1.119128
Sipa1l1,-0.43948463,0.227699
Sipa1l2,0.135390905,0.38302
Skap2,0.341144044,-0.859159
Skil,0.158534412,-0.703796
Slc11a1,0.338101021,0.486455
Slc12a6,-0.310658609,-0.492587
Slc16a10,0.499343816,1.02634
Slc16a6,-0.547031555,-0.251375
Slc23a2,0.323532721,1.791496
Slc24a3,-0.777493665,-0.736322
Slc25a25,0.44564945,0.75396
Slc29a3,-0.121910754,-0.80625
Slc30a9,0.139105148,-0.775418
Slc36a1,-0.196141993,-0.203662
Slc44a1,0.312330692,1.745922
Slc4a7,-0.110636968,-1.49785
Slc7a8,-0.345267278,-0.54707
Slc9a9,-0.340812185,-1.395844
Slco2b1,-0.675510612,-1.270084
Slfn8,0.244118347,-1.979593
Smad3,-0.2332763,-1.045403
Smarca2,-0.340174097,-1.001894
Smarca4,0.107124331,-0.179626
Smurf2,-0.161622704,-0.996766
Snap23,0.126483887,-0.429959
Sncaip,-0.316418975,0.106137
Snd1,0.323582033,0.314025
Snx10,0.311912296,1.233006
Snx27,0.139596079,-0.304577
Snx29,-0.202921968,-3.149891
Snx30,0.216709068,-0.668243
Snx6,-0.225264918,-1.775855
Soat1,0.691618196,1.224973
Son,-0.128429817,-1.0634
Sort1,-0.352942293,-1.072632
Spag9,0.243578149,-0.894313
Sparc,-0.824748785,-0.83641
Specc1,-0.147562212,-0.514744
Spire1,-0.127182375,-0.148561
Spp1,2.013828261,4.312911
Sppl3,-0.137460622,-0.38149
Srek1,0.167703492,-0.293569
Srgap2,-0.610203744,-1.736531
Srpk2,0.24241503,0.853657
Srsf5,-0.110146169,-0.706777
Srsf7,-0.137457776,-0.945645
Ssbp2,-0.393673359,-0.702374
Ssh2,-0.517295826,-1.334791
St13,0.143951348,-0.259082
St3gal5,-0.752567326,-0.62747
St3gal6,-0.910437447,-1.05862
St8sia6,0.795643552,2.455586
Stab1,-0.784586886,-2.526207
Stambpl1,-0.230275085,-3.111454
Stat2,0.682293887,0.15389
Stat3,0.135983009,-0.31147
Stim1,-0.105678953,-2.204564
Stim2,0.285325665,2.268733
Stk10,-0.13108476,-1.113176
Stk38,0.112249863,-0.882477
Stk4,-0.1611467,-1.062047
Strada,-0.209817069,0.240427
Strn,0.134568036,0.980061
Stx7,0.294477495,0.61604
Syngr1,0.185750255,1.683157
Tab2,-0.256980309,-1.174941
Tacc1,-0.241186583,-0.5622
Taf1d,0.18431388,-2.837065
Tanc2,-0.683135963,-0.956633
Tank,0.61392373,0.548169
Tbc1d16,-0.333975246,-1.254722
Tbc1d22a,0.275946267,-0.710875
Tbc1d8,0.35641032,0.743906
Tbc1d9,-0.210142433,-1.138892
Tbl1x,-0.112140456,-1.39752
Tcf4,0.152422914,-1.439451
Tcf7l2,-0.384162221,-2.144731
Tcirg1,0.134693203,0.18211
Tec,0.529640064,0.333804
Tgfbr1,0.226394735,-0.674167
Tgfbr2,0.277767184,0.644069
Tgs1,0.21775578,-1.14019
Thada,-0.203858518,-1.52559
Thrap3,0.10032646,-0.374703
Tia1,-0.252457752,-1.939879
Timp2,0.385084339,1.104524
Tjp1,-0.368574673,-1.802008
Tlk1,0.274487193,0.222071
Tln2,-0.488197283,0.194867
Tlr7,0.259898918,-0.270329
Tm6sf1,-0.544692658,-1.829948
Tmem135,-0.206121736,-1.179136
Tmem164,0.149608348,-0.247265
Tmem184b,0.233642009,0.548415
Tmem87b,0.193822131,-1.321843
Tmod3,0.203824988,-0.535547
Tnks2,0.120048338,-0.187403
Tnrc18,-0.174321051,-0.882636
Tnrc6b,-0.265046164,-1.890764
Tns1,0.368448426,-0.168038
Tns3,0.494258292,0.460236
Top1,-0.107604334,-0.905438
Tor1aip1,0.199199865,-0.316137
Tpd52,0.430932503,1.686402
Tpm3,-0.15860736,-0.977822
Tpst2,-0.491656716,-1.650431
Traf3,0.382146677,-1.085576
Trafd1,0.239637823,-0.496919
Trem2,0.107406844,1.22707
Trim2,-0.35995834,-0.58589
Trim30a,0.62623942,-0.343173
Trim30d,0.408401032,-1.773985
Trio,-0.144908137,-1.056039
Trip12,0.157037844,-0.396662
Trpm7,0.106283274,-0.705932
Trps1,0.836522567,-1.274953
Tsc22d2,0.206950617,-0.736881
Tsc22d4,-0.302958894,-0.8199
Tspan14,-0.148505671,-1.359763
Ttc39b,-0.126381055,-1.306599
Ttc7,-0.280463581,-1.904066
Tubgcp5,-0.3617319,-1.318844
Tulp4,-0.128875299,0.213985
Tyrobp,0.202669361,1.60888
Ubac2,-0.107007901,0.174285
