gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Osbpl11,Osbpl11.1,6.81E-32,-0.170597811,0.474,0.443,1.83E-27,blue,0.306471,-0.654019,0.683187,0.529177
Osbpl8,Osbpl8.2,9.15E-194,1.105382878,0.767,0.439,2.45E-189,red,0.083824,0.405064,1.56737,1.108907
Osbpl9,Osbpl9.1,1.03E-36,-0.111389218,0.5,0.424,2.76E-32,blue,0.144412,-0.274727,0.046344,0.226263
Oxct1,Oxct1,9.46E-41,0.30468549,0.665,0.495,2.54E-36,red,0.368824,0.919019,7.12831,6.026519
Oxr1,Oxr1,2.37E-18,0.113065472,0.66,0.564,6.36E-14,red,0.087647,-0.579851,0.609761,0.489582
P2rx7,P2rx7.2,1.71E-34,-0.206709164,0.479,0.422,4.59E-30,blue,0.348529,-1.407166,4.678884,3.753185
P2ry12,P2ry12.2,1.84E-104,-0.849313,0.529,0.702,4.92E-100,blue,10.954118,-2.051548,61.168903,58.412523
P2ry6,P2ry6.1,1.72E-31,-0.145507866,0.438,0.4,4.63E-27,blue,0.577353,-0.5238,1.349959,0.960402
P4ha1,P4ha1,1.34E-43,0.363655331,0.556,0.381,3.60E-39,red,0.447353,-0.997375,1.350698,0.960607
Pabpc1,Pabpc1,6.56E-35,0.208015851,0.31,0.203,1.76E-30,red,0.645294,0.818751,8.169264,7.036133
Pacs1,Pacs1,6.29E-24,-0.232176112,0.418,0.411,1.69E-19,blue,0.059706,-0.189518,0.316747,0.345901
Pafah1b1,Pafah1b1,6.87E-43,0.128392484,0.629,0.489,1.84E-38,red,0.371176,-1.22636,2.318588,1.69116
Pag1,Pag1.2,1.66E-49,-0.279865116,0.9,0.876,4.45E-45,blue,0.901176,-1.08746,6.868759,5.791027
Pard3b,Pard3b.2,5.75E-42,-0.423181608,0.436,0.453,1.54E-37,blue,0.021471,-0.7729,0.051278,0.228168
Parp14,Parp14.2,1.40E-37,0.667223753,0.393,0.241,3.76E-33,red,0.143529,-1.087548,1.133671,0.814134
Parp8,Parp8,2.03E-23,-0.229238445,0.55,0.551,5.44E-19,blue,0.071471,-1.844923,0.615926,0.492582
Parp9,Parp9.1,1.52E-40,0.464137404,0.359,0.209,4.07E-36,red,0.077353,-0.264442,0.167243,0.27512
Pcf11,Pcf11,2.49E-30,0.170609997,0.315,0.218,6.69E-26,red,0.098235,-1.092311,0.119243,0.256783
Pcnx,Pcnx,1.43E-37,0.259762457,0.306,0.189,3.85E-33,red,0.037647,-0.213842,0.316499,0.346059
Pdcd6ip,Pdcd6ip,3.85E-26,0.169931868,0.291,0.2,1.03E-21,red,0.289118,-0.738398,0.264266,0.320704
Pde3b,Pde3b.2,4.31E-145,-0.801444654,0.735,0.85,1.16E-140,blue,0.862941,-1.007211,4.120014,3.254134
Peli1,Peli1.1,8.98E-38,0.252233327,0.642,0.487,2.41E-33,red,0.261176,-0.838332,1.366246,0.96943
Pfkfb3,Pfkfb3,1.56E-24,0.264502722,0.422,0.304,4.18E-20,red,0.122941,0.259029,1.346915,0.958689
Phf14,Phf14.2,2.33E-54,-0.3633579,0.65,0.649,6.26E-50,blue,0.177059,-0.177656,0.304068,0.338174
Phf20l1,Phf20l1,4.88E-37,0.108620401,0.566,0.439,1.31E-32,red,0.085588,-0.482549,0.215052,0.296621
Phf21a,Phf21a,9.14E-21,-0.147790525,0.647,0.614,2.45E-16,blue,0.066765,-0.994586,1.003204,0.722288
Phip,Phip.2,6.27E-29,0.197050822,0.568,0.44,1.68E-24,red,0.191176,-0.347427,0.209809,0.293356
Phyhd1,Phyhd1.2,3.27E-67,-0.534626705,0.528,0.608,8.76E-63,blue,0.313824,-0.878654,1.679626,1.193092
Pi4ka,Pi4ka.1,5.14E-48,0.356065858,0.426,0.262,1.38E-43,red,0.076176,-0.54099,0.384935,0.370494
Pias2,Pias2,5.75E-37,0.102540575,0.427,0.32,1.54E-32,red,0.029412,0.631049,0.217769,0.298165
Picalm,Picalm.1,1.58E-30,-0.285871245,0.743,0.755,4.25E-26,blue,1.366471,-1.009961,6.573097,5.519394
Pid1,Pid1.2,2.92E-08,0.329114494,0.617,0.553,0.000783131,red,0.090882,-1.064461,1.4866,1.054208
Pign,Pign,1.53E-47,0.318198683,0.478,0.312,4.12E-43,red,0.018529,0.808878,1.58388,1.121651
Pik3ap1,Pik3ap1,6.82E-15,0.179962232,0.695,0.606,1.83E-10,red,0.318235,-1.013903,1.991557,1.428302
Pik3cd,Pik3cd,1.46E-28,-0.266533729,0.451,0.454,3.92E-24,blue,0.172647,-0.365255,0.381261,0.368614
Pik3cg,Pik3cg.1,3.52E-30,-0.319742477,0.246,0.268,9.44E-26,blue,0.536471,-0.98412,2.76545,2.068688
Pik3r1,Pik3r1.1,3.93E-53,-0.443180314,0.512,0.55,1.05E-48,blue,0.44,-2.078308,6.320249,5.284619
Pik3r5,Pik3r5.1,8.40E-20,-0.10589236,0.332,0.308,2.25E-15,blue,0.247353,-1.001357,2.216237,1.606428
Pik3r6,Pik3r6,2.96E-27,0.156207907,0.272,0.188,7.95E-23,red,0.042059,-0.240446,0.173394,0.275895
Pip4k2a,Pip4k2a.1,8.58E-46,-0.306173899,0.83,0.826,2.30E-41,blue,0.803824,-1.112632,7.421247,6.304069
Pitpnc1,Pitpnc1.1,3.22E-14,-0.216378251,0.736,0.741,8.64E-10,blue,0.210882,-0.72313,0.676741,0.525666
Pkig,Pkig.2,1.95E-41,-0.506116878,0.313,0.381,5.24E-37,blue,0.101471,-0.172226,0.64426,0.508462
Plcl2,Plcl2.1,5.87E-51,-0.344203526,0.809,0.796,1.58E-46,blue,0.443235,-0.970614,2.48623,1.83463
Pld1,Pld1.1,1.18E-73,-0.700404857,0.369,0.492,3.17E-69,blue,0.242647,-2.348494,3.281902,2.519902
Pld4,Pld4.1,6.00E-26,-0.212915471,0.29,0.289,1.61E-21,blue,1.586471,-0.602282,5.511395,4.532131
Plek,Plek,2.25E-46,0.529931361,0.634,0.45,6.04E-42,red,0.625,0.642127,6.487806,5.441422
Plekha1,Plekha1.1,1.78E-82,0.543402499,0.569,0.325,4.78E-78,red,0.102353,0.688227,2.045684,1.470739
Plekhm2,Plekhm2.1,4.23E-141,0.896795087,0.667,0.35,1.13E-136,red,0.039118,1.168997,4.004838,3.153097
Plekhm3,Plekhm3.1,1.62E-35,0.332736736,0.589,0.428,4.35E-31,red,0.056765,0.294788,1.332877,0.950984
Plekho1,Plekho1.1,2.11E-39,-0.123883742,0.494,0.436,5.65E-35,blue,0.475588,-0.914253,3.189545,2.439325
Plxdc2,Plxdc2.2,9.43E-72,-0.19283374,0.973,0.929,2.53E-67,blue,2.048235,0.487538,5.536871,4.556569
Plxna4,Plxna4.2,4.41E-75,-0.836522619,0.401,0.518,1.18E-70,blue,0.104412,-3.054751,3.758185,2.933408
Pmepa1,Pmepa1.2,2.52E-62,-0.716608365,0.323,0.444,6.76E-58,blue,2.412353,-1.11316,12.313847,10.967641
Pnn,Pnn,4.54E-27,-0.108087608,0.371,0.328,1.22E-22,blue,0.127647,-0.292965,0.134905,0.263967
Pou2f1,Pou2f1,1.30E-21,0.174786645,0.371,0.275,3.50E-17,red,0.132941,-0.954794,0.03633,0.221674
Pou2f2,Pou2f2.1,9.73E-18,-0.127155266,0.582,0.557,2.61E-13,blue,0.138235,-1.022187,1.024641,0.737662
Ppcdc,Ppcdc.2,1.38E-33,-0.221931843,0.47,0.45,3.71E-29,blue,0.244706,-1.210266,1.773881,1.260893
Ppp1r9a,Ppp1r9a.1,1.20E-35,-0.266473793,0.695,0.679,3.21E-31,blue,0.240294,-1.831003,3.480137,2.695563
Ppp3ca,Ppp3ca,1.29E-18,-0.130965213,0.848,0.81,3.47E-14,blue,0.388235,-1.058627,2.115449,1.526386
Prex1,Prex1.1,2.34E-49,-0.34903362,0.565,0.576,6.27E-45,blue,0.332941,-0.584776,0.51386,0.441556
Prickle1,Prickle1,1.59E-34,0.379290419,0.325,0.194,4.27E-30,red,0.016176,0.883492,0.030533,0.220606
Prkca,Prkca.1,2.32E-89,-0.873303284,0.435,0.577,6.21E-85,blue,0.096471,-0.925677,1.516313,1.074703
Prkcb,Prkcb,2.06E-29,0.217858979,0.848,0.723,5.53E-25,red,0.214706,0.303203,1.317698,0.939716
Prkcd,Prkcd,2.29E-37,0.225430507,0.589,0.441,6.16E-33,red,0.469118,-1.622503,4.780499,3.843663
Prune2,Prune2.2,8.21E-50,0.336488751,0.388,0.231,2.20E-45,red,0.041471,1.371891,1.268408,0.90648
Psap,Psap.2,8.09E-31,0.305600831,0.76,0.617,2.17E-26,red,1.999706,0.420527,2.503071,1.848536
Psmd1,Psmd1,2.26E-31,0.239936228,0.325,0.213,6.07E-27,red,0.192353,-0.273257,0.378089,0.366784
Pten,Pten.1,5.42E-45,-0.341521143,0.458,0.467,1.46E-40,blue,0.307647,-1.979537,3.717218,2.900357
Ptgs1,Ptgs1.2,3.86E-71,-0.837252875,0.214,0.378,1.03E-66,blue,1.647941,-1.032244,9.702954,8.481687
Ptk2b,Ptk2b,1.34E-27,0.189502613,0.565,0.444,3.60E-23,red,0.102059,0.459259,1.540149,1.089427
Ptpn6,Ptpn6,2.49E-32,0.276337016,0.263,0.158,6.69E-28,red,0.517059,-0.538366,0.946419,0.679595
Ptprc,Ptprc.2,4.07E-96,0.525578788,0.919,0.754,1.09E-91,red,0.434706,0.31096,2.200002,1.59372
Ptpre,Ptpre,2.92E-27,0.174859547,0.442,0.332,7.84E-23,red,0.432941,-0.71432,1.007779,0.725407
Ptprj,Ptprj.1,4.43E-33,-0.279374722,0.825,0.836,1.19E-28,blue,0.134412,-0.146107,0.386094,0.37109
Pwwp2a,Pwwp2a.1,3.15E-44,-0.275493471,0.506,0.491,8.44E-40,blue,0.216765,-1.671191,3.154421,2.410879
Qk,Qk.2,1.34E-58,-0.346534449,0.941,0.937,3.60E-54,blue,1.737059,-0.540553,3.678978,2.86708
Qrich1,Qrich1,3.64E-29,0.102036288,0.377,0.284,9.76E-25,red,0.068529,-0.125333,0.135955,0.264289
Rab3gap2,Rab3gap2,1.46E-34,0.123291554,0.259,0.174,3.92E-30,red,0.077941,-1.109362,0.410972,0.384335
Rab40c,Rab40c,6.34E-44,0.333922036,0.431,0.276,1.70E-39,red,0.067647,-0.99116,0.121334,0.257526
Rab43,Rab43,6.15E-22,-0.141106555,0.26,0.244,1.65E-17,blue,0.135882,-1.077272,0.925739,0.671981
Rabep1,Rabep1.2,3.00E-40,0.312495939,0.646,0.476,8.04E-36,red,0.111471,-0.615151,0.433126,0.396314
Rabgap1l,Rabgap1l.2,7.60E-30,-0.406052212,0.251,0.252,2.04E-25,blue,0.007353,0.942993,0.033647,0.220762
Raf1,Raf1.1,4.67E-40,0.181575303,0.381,0.26,1.25E-35,red,0.089706,-1.29142,0.388565,0.37266
Rai1,Rai1,8.10E-37,0.270607146,0.453,0.311,2.17E-32,red,0.073235,-0.806112,0.098832,0.247476
Ralgapa1,Ralgapa1.1,1.53E-46,0.200163855,0.549,0.395,4.11E-42,red,0.020294,1.247,0.566478,0.469335
