,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Zfp638,2.45E-66,0.069787909,0.384,0.229,6.14E-62
Nisch,2.65E-66,-0.141528681,0.403,0.28,6.63E-62
Gns,3.00E-66,-0.21802948,0.444,0.341,7.51E-62
Git2,3.53E-66,0.080586123,0.397,0.238,8.84E-62
Hivep3,3.55E-66,-0.080209339,0.506,0.355,8.89E-62
Rptor,3.77E-66,-0.038582808,0.493,0.337,9.45E-62
Sft2d1,3.78E-66,-0.005047002,0.389,0.249,9.47E-62
Arih1,3.80E-66,0.07523836,0.417,0.25,9.51E-62
Tbxas1,4.41E-66,0.163116296,0.55,0.352,1.10E-61
Cx3cr1,4.49E-66,-0.299272579,0.704,0.59,1.13E-61
Cmip,4.70E-66,0.007374811,0.468,0.309,1.18E-61
Tns3,5.11E-66,0.047965518,0.568,0.382,1.28E-61
Stx7,5.42E-66,-0.085112304,0.298,0.181,1.36E-61
Ivns1abp,6.15E-66,-0.345003353,0.648,0.554,1.54E-61
Bmp2k,6.17E-66,-0.010281566,0.565,0.395,1.54E-61
Ankhd1,7.47E-66,0.137086495,0.405,0.236,1.87E-61
Cdc42,8.15E-66,0.029570215,0.41,0.261,2.04E-61
Nsd3,8.26E-66,0.13355466,0.417,0.246,2.07E-61
Unc93b1,8.78E-66,0.177394855,0.615,0.397,2.20E-61
Frmd4b,9.80E-66,-0.040277717,0.693,0.515,2.45E-61
Bin1,1.02E-65,0.02544112,0.573,0.394,2.55E-61
Ubn2,1.02E-65,0.085892613,0.461,0.289,2.56E-61
Lhfpl2,1.08E-65,0.148206895,0.476,0.29,2.70E-61
Man1a2,1.09E-65,-0.014924685,0.474,0.32,2.73E-61
Gm26573,1.16E-65,0.19097906,0.451,0.257,2.91E-61
Extl3,1.20E-65,-0.021028772,0.437,0.287,2.99E-61
Pan3,1.20E-65,-0.004385655,0.583,0.41,3.00E-61
Pvt1,1.24E-65,0.361185295,0.479,0.26,3.11E-61
Adap2os,1.24E-65,-0.193419631,0.52,0.395,3.12E-61
Gna12,1.27E-65,-0.06355103,0.39,0.257,3.17E-61
Rsbn1l,1.67E-65,0.105286383,0.341,0.192,4.19E-61
Brd4,2.59E-65,0.12785899,0.351,0.194,6.48E-61
Spi1,2.90E-65,0.118079147,0.332,0.18,7.27E-61
Zfand3,3.11E-65,-0.024944288,0.479,0.329,7.79E-61
Phf20l1,3.23E-65,-0.067392872,0.358,0.23,8.09E-61
H2-K1,4.23E-65,0.564743375,0.337,0.13,1.06E-60
Srrm2,4.48E-65,0.128325581,0.657,0.45,1.12E-60
Gm26804,4.71E-65,0.064947088,0.64,0.454,1.18E-60
Rbm5,5.82E-65,0.100081671,0.389,0.228,1.46E-60
Prkcd,6.71E-65,0.111855699,0.382,0.223,1.68E-60
Kmt2c,7.74E-65,0.003345413,0.435,0.284,1.94E-60
Frrs1,9.71E-65,0.142031926,0.347,0.191,2.43E-60
Arhgap22,1.08E-64,-0.27648478,0.487,0.389,2.70E-60
Man1c1,1.11E-64,-0.109708002,0.364,0.238,2.79E-60
Smurf2,1.15E-64,-0.031623915,0.319,0.194,2.89E-60
Zfp710,1.17E-64,0.016243999,0.633,0.451,2.94E-60
Larp1,1.38E-64,0.148055572,0.316,0.168,3.45E-60
Hnrnpa2b1,1.65E-64,0.103722512,0.631,0.433,4.13E-60
Aftph,1.71E-64,0.099701685,0.446,0.276,4.29E-60
Rbm6,2.04E-64,0.010795831,0.411,0.26,5.10E-60
Tacc1,2.06E-64,0.093611859,0.512,0.331,5.16E-60
Fermt3,2.25E-64,0.233914509,0.371,0.194,5.63E-60
Pld4,2.30E-64,-0.495371501,0.354,0.316,5.77E-60
Irf2,2.38E-64,-0.114326501,0.413,0.296,5.96E-60
H2-D1,2.44E-64,0.604334741,0.39,0.165,6.12E-60
Tbl1xr1,3.79E-64,-0.098774541,0.394,0.269,9.49E-60
Il10ra,4.22E-64,-0.121496651,0.334,0.225,1.06E-59
Wdfy4,4.60E-64,0.127800885,0.348,0.191,1.15E-59
Ppp2r5c,6.51E-64,0.202889255,0.325,0.164,1.63E-59
Plcl2,7.17E-64,-0.152634774,0.645,0.499,1.80E-59
Rgs10,8.43E-64,-0.075615962,0.44,0.302,2.11E-59
Wasf2,1.05E-63,-0.010615872,0.515,0.355,2.63E-59
Oxct1,1.14E-63,0.000561357,0.369,0.231,2.87E-59
Pip4k2a,1.15E-63,-0.236118597,0.684,0.563,2.88E-59
Lpcat2,1.16E-63,0.067361826,0.624,0.438,2.92E-59
Tbc1d22a,1.35E-63,0.091716238,0.424,0.263,3.38E-59
Pld1,1.71E-63,-0.163848287,0.373,0.268,4.28E-59
Fubp1,2.54E-63,0.113725646,0.335,0.185,6.36E-59
Acap2,3.11E-63,0.061941083,0.471,0.306,7.80E-59
Tnrc18,3.17E-63,-0.057580415,0.293,0.175,7.94E-59
Elk3,3.69E-63,0.189099617,0.38,0.203,9.25E-59
Spag9,4.36E-63,0.026678137,0.41,0.255,1.09E-58
Daglb,4.44E-63,0.164715369,0.332,0.175,1.11E-58
Wdfy2,4.50E-63,-0.040835267,0.323,0.203,1.13E-58
Ddx17,5.15E-63,0.000957774,0.401,0.261,1.29E-58
Fars2,5.45E-63,-0.037045268,0.323,0.196,1.36E-58
Atp6v0b,5.84E-63,0.10150671,0.518,0.334,1.46E-58
Rnpep,6.17E-63,0.356223368,0.306,0.135,1.55E-58
Med13l,7.82E-63,-0.111278668,0.347,0.233,1.96E-58
Rock1,7.88E-63,0.202554478,0.388,0.217,1.97E-58
Fkbp5,1.03E-62,-0.616443313,0.407,0.406,2.58E-58
Ulk2,1.06E-62,0.082416231,0.49,0.315,2.66E-58
Srsf5,1.11E-62,-0.023229376,0.377,0.244,2.78E-58
Lrrk1,1.18E-62,0.019334026,0.386,0.243,2.95E-58
St3gal6,1.18E-62,-0.122115251,0.493,0.363,2.96E-58
Pak2,1.19E-62,0.088427982,0.361,0.213,2.97E-58
Cd33,1.36E-62,-0.139198184,0.299,0.196,3.40E-58
Abi1,1.58E-62,0.051116521,0.463,0.299,3.96E-58
Plekhm3,1.68E-62,-0.004796902,0.323,0.191,4.21E-58
0610040J01Rik,1.76E-62,-0.152062115,0.437,0.32,4.40E-58
Rab2a,2.35E-62,0.021068219,0.315,0.185,5.90E-58
Tjp1,2.44E-62,0.061669062,0.308,0.173,6.11E-58
Exoc4,2.55E-62,0.111712932,0.581,0.389,6.39E-58
Itpr2,2.59E-62,0.059235267,0.494,0.328,6.49E-58
Smad7,2.63E-62,0.228500959,0.28,0.13,6.59E-58
Gdi2,2.70E-62,0.139030778,0.416,0.244,6.76E-58
Plcg2,2.80E-62,-0.02226357,0.429,0.29,7.02E-58
Lrch3,2.85E-62,0.131217065,0.361,0.204,7.13E-58
Dock10,3.25E-62,-0.113171217,0.704,0.548,8.15E-58
Zfr,3.35E-62,0.026624525,0.42,0.273,8.40E-58
Ube3a,4.22E-62,0.062808456,0.365,0.217,1.06E-57
Spire1,5.05E-62,0.001451243,0.375,0.236,1.26E-57
Mtmr3,6.03E-62,-0.039840604,0.366,0.242,1.51E-57
Ctsz,6.08E-62,0.2423574,0.402,0.22,1.52E-57
Rap1a,6.56E-62,-0.055869387,0.41,0.277,1.64E-57
Cbl,7.27E-62,0.043974258,0.356,0.22,1.82E-57
Sh3kbp1,7.77E-62,-0.044305325,0.565,0.41,1.95E-57
Phf14,7.90E-62,0.087574882,0.495,0.326,1.98E-57
Zfp292,7.94E-62,-0.070393996,0.366,0.242,1.99E-57
Tbc1d16,8.60E-62,-0.17597235,0.284,0.191,2.15E-57
Cotl1,8.65E-62,0.294138286,0.298,0.137,2.17E-57
Cltc,9.21E-62,-0.10514958,0.369,0.247,2.31E-57
Cul1,9.63E-62,-0.116801815,0.329,0.221,2.41E-57
Gm44511,9.87E-62,-0.379698652,0.485,0.43,2.47E-57
Exoc6b,1.01E-61,-0.106212511,0.359,0.241,2.52E-57
Csf1r,1.03E-61,-0.219149467,0.679,0.564,2.57E-57
