"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ssh2",3.83451335954619e-13,0.02087616451331,0.456,0.504,9.60277180631152e-09
"Ncoa2",3.88222062140742e-13,0.115534328338055,0.315,0.333,9.7222451021906e-09
"Ccdc88a",3.9112147586334e-13,-0.0200384310300121,0.321,0.372,9.79485512004562e-09
"Rbm6",4.49927512873909e-13,-0.106590042850319,0.284,0.348,1.12675347049013e-08
"Npepps",5.32192430428477e-13,-0.0979599738463577,0.27,0.333,1.33276950352204e-08
"Rnf169",5.37203514501749e-13,0.118509330914574,0.279,0.299,1.34531876136673e-08
"Vps13b",5.87545861339782e-13,0.0527486958456851,0.301,0.328,1.47139110055322e-08
"Gm11149",6.11751504853731e-13,-0.319993697279438,0.221,0.3,1.5320092936052e-08
"Pvt1",6.20310396585271e-13,0.294289955181973,0.502,0.467,1.55344332616849e-08
"Txndc16",7.16248378629839e-13,-0.203856924902119,0.192,0.258,1.79370081460271e-08
"Nipbl",8.04815275758952e-13,-0.0798984492121102,0.364,0.428,2.01549889508314e-08
"Tpr",8.83248611831828e-13,-0.0554638936129206,0.206,0.251,2.21191949861045e-08
"Ddx5",9.66759741065351e-13,-0.117216422824275,0.593,0.677,2.42105641954996e-08
"Bcas3",9.76603368273753e-13,-0.0118988333999552,0.355,0.41,2.44570781516796e-08
"Nlgn1",1.08131034671253e-12,-0.119108565498721,0.331,0.404,2.70792550127218e-08
"Abca1",1.08721211592487e-12,0.130195040272751,0.478,0.495,2.72270530191064e-08
"Tom1l2",1.18595273534389e-12,-0.0702234093570802,0.301,0.356,2.96998143512171e-08
"Shtn1",1.26568910790526e-12,-0.0941013726841626,0.201,0.251,3.16966523292715e-08
"Phldb1",1.49655987648792e-12,-0.202009964832484,0.201,0.266,3.7478348986887e-08
"Strbp",1.61488552737995e-12,-0.0113800196569249,0.379,0.433,4.0441578262176e-08
"Macrod2",1.64909852123906e-12,-0.0011167941629282,0.222,0.259,4.12983742673899e-08
"Atrx",1.83544538574241e-12,0.0232496235639092,0.309,0.346,4.59650587951473e-08
"Nbas",1.88217252331976e-12,-0.0384385421861433,0.236,0.281,4.71352465014968e-08
"Nr3c1",1.97855717386902e-12,0.0693586866625522,0.238,0.263,4.95490073052019e-08
"Cdc42se2",2.07439819726347e-12,0.0145494649582127,0.218,0.251,5.19491540540691e-08
"Pde1c",2.16091757781598e-12,-0.0975057695482522,0.358,0.426,5.41158589012456e-08
"Arhgap5",2.25397889192047e-12,-0.0302074868951638,0.235,0.281,5.64463933903642e-08
"Rbm25",2.5376707916967e-12,-0.102169296560404,0.275,0.335,6.35508896364605e-08
"Rb1",2.59954693645273e-12,0.0625367641617587,0.29,0.317,6.51004539295858e-08
"Magi1",2.75142100462e-12,0.115569779804197,0.286,0.311,6.89038362186988e-08
"Hnrnpdl",2.75845403338747e-12,-0.125122027713314,0.201,0.255,6.90799643581224e-08
"Cdc37l1",2.82401341162969e-12,-0.204297362945245,0.43,0.516,7.07217678674424e-08
"Atp8a1",3.00637038589353e-12,-0.0534852622044784,0.398,0.455,7.52885335739317e-08
"Crebbp",3.49220712846182e-12,0.00258836409180763,0.282,0.321,8.74553431180694e-08
"Gjc3",3.80012949342327e-12,-0.141965019878295,0.468,0.551,9.51666429037988e-08
"Baz2b",3.92589372860094e-12,-0.0527337172374729,0.451,0.515,9.83161566453535e-08
"Amph",4.0173755238559e-12,-0.126917148334429,0.2,0.255,1.00607135243923e-07
"Erbin",4.21350018618525e-12,0.0140553508543917,0.485,0.532,1.05518685162637e-07
"Phf3",4.40637762391715e-12,0.0519224148443749,0.236,0.263,1.10348914835757e-07
"Il1rapl1",5.10767770278148e-12,-0.187709280235221,0.375,0.455,1.27911572710757e-07
"Bcl2l1",5.28754554244146e-12,0.190262958409256,0.5,0.49,1.32416003019362e-07
"Sh3d19",6.31799729677838e-12,0.0207927271962287,0.36,0.409,1.58221606303221e-07
"Osbpl1a",6.38719823685552e-12,0.0412264846100288,0.225,0.251,1.59954605445573e-07
"Herc1",6.42897426585897e-12,0.0561116001235997,0.248,0.273,1.61000802539906e-07
"Gm28376",6.81007553306206e-12,-0.0922222020883248,0.284,0.346,1.70544721574473e-07
"Gnao1",6.81676413337895e-12,0.12712515672288,0.499,0.514,1.70712224192209e-07
"Nfib",7.17270596754346e-12,0.0211969781784951,0.239,0.273,1.79626075545191e-07
"Ahi1",7.46673334585568e-12,0.103500684298936,0.259,0.277,1.86989403180264e-07
"Ppp1r12a",7.80223498619558e-12,-0.0771376075624703,0.262,0.316,1.95391370759296e-07
"Park2",7.92578982924671e-12,-0.0643797695332289,0.235,0.287,1.98485554693825e-07
"Itm2b",8.17054835162448e-12,-0.0210625180254804,0.223,0.262,2.04615042369732e-07
"Agpat4",8.29050405748731e-12,0.0657579366714802,0.244,0.268,2.07619093111655e-07
"Mllt10",8.43146195245393e-12,0.0349535142967352,0.269,0.3,2.11149101675304e-07
"Apba1",8.8761259272958e-12,0.0531778480720515,0.318,0.348,2.22284821597269e-07
"Rps6ka5",8.94171866397556e-12,-0.0513045317179472,0.223,0.27,2.2392746050194e-07
"Gm35188",9.4818310845908e-12,-0.121513817847889,0.306,0.373,2.37453495851407e-07
"Kansl1l",9.51850659496262e-12,-0.0635876781808595,0.314,0.378,2.38371960657649e-07
"Fam168a",9.99896388113265e-12,-0.137701994330087,0.252,0.312,2.50404052475205e-07
"Tnrc6c",1.00229469729283e-11,0.10587208095307,0.345,0.365,2.51004661043042e-07
"Lrch3",1.02391487627478e-11,-0.0761476664672134,0.271,0.326,2.56419002465494e-07
