,Gene_symbol,Gene_ID
459,MAP7D2,Map7d2
460,COL4A6,Col4a6
461,COL4A5,Col4a5
462,TBC1D25,Tbc1d25
463,GEMIN8,Gemin8
464,PSMD10,Psmd10
465,MAGEA12,Magea12
466,NDUFB11,Ndufb11
467,KLHL15,Klhl15
468,KLHL13,Klhl13
469,PLCXD1,Plcxd1
470,CACNA1F,Cacna1f
471,CSF2RA,Csf2ra
472,CCNB3,Ccnb3
473,PDZD4,Pdzd4
474,EFNB1,Efnb1
475,ZMAT1,Zmat1
476,IRAK1,Irak1
477,LONRF3,Lonrf3
478,MAGEA11,Magea11
479,CD99,Cd99
480,RAI2,Rai2
481,XRCC6P5,Xrcc6p5
482,PDHA1,Pdha1
483,NONO,Nono
484,MSN,Msn
485,FAM199X,Fam199x
486,UBE2A,Ube2a
487,DGAT2L6,Dgat2l6
488,DIAPH2,Diaph2
489,EIF2S3,Eif2s3
490,DLG3,Dlg3
491,KIF4A,Kif4a
492,TAB3,Tab3
493,UBA1,Uba1
494,FGF13,Fgf13
495,BRWD3,Brwd3
496,KDM5C,Kdm5c
497,RHOXF2,Rhoxf2
498,DDX3X,Ddx3x
499,EDA,Eda
500,DIAPH2-AS1,Diaph2-As1
501,HMGB3,Hmgb3
502,AFF2,Aff2
503,RPGR,Rpgr
504,RPS4X,Rps4x
505,RBM3,Rbm3
506,HEPH,Heph
507,CA5B,Ca5b
508,TIMM17B,Timm17b
509,ABCD1,Abcd1
510,KDM6A,Kdm6a
511,EGFL6,Egfl6
512,ATP6AP1,Atp6ap1
513,DYNLT3,Dynlt3
514,ATP6AP2,Atp6ap2
515,SHROOM2,Shroom2
516,CTPS2,Ctps2
517,SHROOM4,Shroom4
518,PJA1,Pja1
519,ELF4,Elf4
520,ASMTL-AS1,Asmtl-As1
521,DCX,Dcx
522,ATG4A,Atg4a
523,ITGB1BP2,Itgb1bp2
524,IL9R,Il9r
525,SASH3,Sash3
526,TLR8-AS1,Tlr8-As1
527,USP11,Usp11
528,MOSPD2,Mospd2
529,MOSPD1,Mospd1
530,ASB11,Asb11
531,ASB12,Asb12
532,RAB40A,Rab40a
533,FAM156A,Fam156a
534,RNF113A,Rnf113a
535,JPX,Jpx
536,NXF3,Nxf3
537,FAM120C,Fam120c
538,PHEX-AS1,Phex-As1
539,PRRG1,Prrg1
540,REPS2,Reps2
541,NXF5,Nxf5
542,IGBP1,Igbp1
543,TIMM8A,Timm8a
544,S100G,S100g
545,ZNF185,Znf185
546,NAA10,Naa10
547,ZNF182,Znf182
548,PRAF2,Praf2
549,NAP1L3,Nap1l3
550,ATP2B3,Atp2b3
551,NAP1L2,Nap1l2
552,PPP2R3B,Ppp2r3b
553,NYX,Nyx
554,CLCN5,Clcn5
555,CLCN4,Clcn4
556,XPNPEP2,Xpnpep2
557,ASB9,Asb9
558,SPRY3,Spry3
559,RBM41,Rbm41
560,GLA,Gla
561,RBMX,Rbmx
562,MBTPS2,Mbtps2
563,TAF1,Taf1
564,FAM50A,Fam50a
,,Tsix
