"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Eri3",4.46727694902052e-116,0.11839583106762,0.333,0.159,1.11874016634321e-111
"Mapt",4.89647535867642e-116,-0.0641057959815359,0.476,0.301,1.22622432407334e-111
"Pik3r1",5.17577321013868e-116,-0.0819053135676739,0.551,0.372,1.29616888501503e-111
"Cdk12",5.82500653258867e-116,0.147619972463794,0.436,0.232,1.45875638595618e-111
"S1pr1",5.82700802411284e-116,-0.222986097602334,0.478,0.348,1.45925761947858e-111
"Ugp2",6.49068105980867e-116,0.0365599440043194,0.526,0.325,1.62546125780789e-111
"Srpk2",6.65836866143065e-116,0.0114997133888532,0.516,0.328,1.66745526388208e-111
"Tle4",6.92770113839769e-116,-0.0745121461565597,0.632,0.448,1.73490419608893e-111
"Spred1",7.40880880443584e-116,-0.0461890202944746,0.437,0.272,1.85538798889487e-111
"Thoc2",9.12025809696432e-116,-0.0149536231586911,0.387,0.227,2.28398623522277e-111
"Vps13d",1.37297945536447e-115,0.0795144486974919,0.41,0.225,3.43835245006925e-111
"Desi2",1.79592575459091e-115,-0.0690884755144583,0.437,0.278,4.49753686722201e-111
"Plcb4",1.82371476645104e-115,0.187023883194489,0.585,0.348,4.56712888962335e-111
"Pla2g7",1.89186281548599e-115,0.307881026558502,0.715,0.437,4.73779204882156e-111
"Slc9a9",1.90147730584896e-115,0.137649723129951,0.537,0.314,4.76186961703755e-111
"Nktr",2.41953923330029e-115,-0.0620695476698967,0.418,0.259,6.0592521019539e-111
"Dmxl1",2.46035461207306e-115,-0.0642635528277007,0.427,0.269,6.16146605501455e-111
"Soga3",2.62076379455988e-115,0.100838270130014,0.404,0.218,6.5631787707163e-111
"Fyn",2.74538748722065e-115,0.0328032084769687,0.422,0.244,6.87527388424668e-111
"Leng8",2.7869599817223e-115,-0.033999759984874,0.398,0.238,6.97938388222717e-111
"Kmt2e",3.00066029237723e-115,0.0932573759748272,0.498,0.293,7.51455357020028e-111
"Pcgf5",3.09201642829973e-115,0.244011009366004,0.376,0.172,7.743336741391e-111
"Rab10",3.32034643261874e-115,0.0681076666216804,0.45,0.258,8.31514357120711e-111
"Gpam",4.28893259509163e-115,-0.0579651974178168,0.402,0.249,1.0740773897888e-110
"Acss1",5.12912465323141e-115,0.0140771249832845,0.586,0.383,1.28448668690874e-110
"Kmt2c",5.14857199031756e-115,-0.0367709867409225,0.594,0.403,1.28935688353523e-110
"Cachd1",5.68897333596415e-115,0.0010528995147705,0.476,0.295,1.4246895925255e-110
"Mlc1",5.69969267469358e-115,0.00998397576022869,0.37,0.207,1.42737403652351e-110
"Arhgef26",6.90966309301279e-115,-0.0586329032286832,0.738,0.542,1.73038692838319e-110
"Faf1",8.57564490528946e-115,0.0928615131491388,0.42,0.229,2.14759875363164e-110
"Soat1",8.8316060821457e-115,-0.0862544737897253,0.384,0.24,2.21169911115175e-110
"Aak1",1.07271000608022e-114,-0.0797953413949135,0.499,0.331,2.6863876682267e-110
"Smarca2",1.12158207961931e-114,-0.00448204147665843,0.513,0.325,2.80877800199065e-110
"Tmem47",1.19179123030212e-114,0.345365285689688,0.604,0.332,2.9846027780456e-110
"Fut8",1.19808304674968e-114,0.108496478006761,0.503,0.297,3.00035937397522e-110
