"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ank3",3.70639061865768e-12,-0.275462576648921,0.528,0.599,9.28191402630444e-08
"Kcnq3",6.07314477633625e-12,-0.272595504395121,0.338,0.424,1.52089764633789e-07
"Grik2",6.95079013609726e-12,0.309371185020029,0.568,0.505,1.74068637378284e-07
"Tenm2",7.90338692651053e-12,-0.427344049134895,0.274,0.299,1.97924518800603e-07
"Ralgps1",1.1193799362856e-11,0.375438771667602,0.308,0.245,2.80326317444002e-07
"Gm42418",1.20090037283935e-11,-0.255224031169209,0.916,0.919,3.00741480370159e-07
"Ank2",1.78140421632587e-11,-0.197041087830383,0.758,0.809,4.46117057894488e-07
"Cadm1",1.85443170134582e-11,0.327729676586686,0.435,0.364,4.64405330968034e-07
"Cdh19",2.46091371451907e-11,-0.354427333143034,0.211,0.284,6.16286621527011e-07
"Ptn",2.46410674199156e-11,-0.290478162741246,0.343,0.426,6.17086251396947e-07
"Tcf12",2.85016475261532e-11,0.254799921101842,0.612,0.548,7.13766758997454e-07
"Fa2h",3.08121968349765e-11,-0.374577547489935,0.194,0.265,7.71629845338317e-07
"Meg3",3.09698511368354e-11,0.22859306607137,0.446,0.371,7.7557798201977e-07
"Clasp2",3.29155582019433e-11,-0.26034593676042,0.408,0.485,8.24304324051266e-07
"Park2",5.45863960099296e-11,-0.375379234511399,0.219,0.291,1.36700711527667e-06
"Zdhhc20",5.66066035061257e-11,-0.380471547759466,0.229,0.297,1.4175991716039e-06
"Lpgat1",8.25822519342687e-11,-0.376036273321406,0.201,0.27,2.06810733518989e-06
"Dpy19l1",1.02301785844556e-10,0.379816692162582,0.285,0.228,2.56194362290521e-06
"Gm28376",1.0864090189214e-10,-0.32470584628233,0.256,0.332,2.72069410608487e-06
"Elmo1",1.19024692928942e-10,-0.191795379792748,0.643,0.716,2.98073538501951e-06
"Gm26694",1.55373723485325e-10,-0.407185166830037,0.196,0.264,3.891024157243e-06
"Kif13b",4.28619363959048e-10,-0.328565199509356,0.284,0.357,1.07339147316265e-05
"Luc7l2",7.4991497560828e-10,-0.330093804911296,0.291,0.361,1.87801207341582e-05
"Abhd17b",8.80047709705106e-10,-0.363713343087558,0.201,0.267,2.2039034794145e-05
"Arid5b",1.24098484600671e-09,0.364350173705768,0.263,0.222,3.10779834985459e-05
"Jmjd1c",1.68420200729682e-09,0.35375822457558,0.282,0.22,4.21774708687343e-05
"Ppp1r16b",2.35432512245227e-09,-0.327768596917317,0.358,0.425,5.89593640415722e-05
"Shtn1",2.6848600008533e-09,-0.34987929431481,0.218,0.281,6.72369490013693e-05
"Usp34",2.89421526274316e-09,0.326497123381991,0.315,0.257,7.2479832824877e-05
"Cadm2",3.5780822263321e-09,0.243826705744155,0.686,0.635,8.96059131940346e-05
"Rtn4",3.63290066098485e-09,-0.246623140580593,0.479,0.534,9.09787312530436e-05
"Hipk2",3.71471894268956e-09,-0.3321578377576,0.275,0.338,9.30277064817746e-05
"Rsrp1",4.2360498046456e-09,-0.261525646979979,0.362,0.436,0.00010608339525774
"Rnf13",5.0155548501788e-09,-0.312307915721694,0.268,0.332,0.000125604540113028
"Limch1",5.55618275075389e-09,-0.312927059833372,0.309,0.374,0.00013914348462713
"Samd4",6.48747127319206e-09,0.320992786296227,0.352,0.295,0.000162465743094549
"Palm2",7.08049848485857e-09,-0.242942229924504,0.411,0.485,0.000177316923556313
"Pex5l",8.61669748703584e-09,0.12343351071132,0.911,0.909,0.000215787955167838
"Ncam2",1.08686009297403e-08,0.266249340720921,0.583,0.552,0.000272182373083487
"Cdh20",1.13747837278365e-08,0.27744848174776,0.507,0.451,0.000284858708896211
"Nav3",1.72463613018324e-08,0.397698830303667,0.27,0.215,0.00043190062608179
"Frmd5",2.00236793593071e-08,0.0614049400245165,0.826,0.866,0.000501453002195128
"Frmd4b",2.28623313616188e-08,-0.238248844956719,0.345,0.416,0.000572541364289019
"Gria2",3.4843346340128e-08,0.253162570976061,0.264,0.223,0.000872581922395824
"Gatm",4.18917470463925e-08,-0.256415865348895,0.295,0.362,0.00104909502128281
"Rnf220",5.81322555650247e-08,-0.230131895643982,0.393,0.462,0.00145580607611491
"Sec14l5",5.84238215515989e-08,-0.155037976134535,0.323,0.387,0.00146310776311669
"Neat1",7.27163854440573e-08,0.151787764208051,0.848,0.835,0.00182103644067553
"Eml1",8.69472410161188e-08,0.321636527053041,0.255,0.198,0.00217741975676666
"Gm48678",1.03428020492579e-07,-0.2723960526401,0.325,0.39,0.00259014791719567
"Car2",1.07508152242686e-07,-0.268206262942191,0.326,0.393,0.00269232665661359
"Usp54",1.22512249143017e-07,-0.297188682911168,0.231,0.289,0.00306807425528857
"Zbtb16",1.46410788684325e-07,-0.318007763267788,0.249,0.309,0.00366656538102156
"Kif13a",1.5383369369271e-07,-0.232300745099236,0.307,0.372,0.00385245719114655
"Kif21a",1.65246601858058e-07,-0.223339270322442,0.265,0.328,0.00413827065033135
"Tspan2",1.76388874105739e-07,-0.268032994326804,0.255,0.316,0.00441730657423003
"B3galt1",1.85100522743511e-07,-0.25309284944395,0.382,0.445,0.00463547239106574
"Mapt",2.33419543330013e-07,-0.183199822206797,0.612,0.673,0.00584552562361351
"Apoe",2.3571105408366e-07,-0.267061084594985,0.429,0.49,0.0059029119274171
"Slc12a2",2.96182228047717e-07,-0.244988622488929,0.271,0.333,0.00741729153699897
"Kirrel3",5.11720422316456e-07,0.17355214260084,0.689,0.629,0.012815014536071
"Foxn3",6.51913400230097e-07,-0.256910447967643,0.293,0.347,0.0163258672819623
"Ugt8a",6.54155403253807e-07,-0.242805362306945,0.244,0.302,0.0163820137636851
"Aig1",9.61360342149763e-07,-0.29365879381091,0.204,0.256,0.0240753470484565
"Gab1",1.0443136154818e-06,-0.225849649179541,0.416,0.473,0.0261527458725107
"Klf13",1.06204746852174e-06,-0.287523944972162,0.228,0.271,0.0265968547541898
"Cdc42bpa",1.26491894103027e-06,-0.168259018329597,0.567,0.624,0.031677365040221
"Nfasc",2.87009127544108e-06,-0.170937837010243,0.402,0.463,0.0718756958108709
"Otud7b",3.40602621479585e-06,-0.245252952339823,0.274,0.33,0.0852971144971324
"Pcdh15",3.7442937863268e-06,-0.304224477876655,0.256,0.305,0.093768349290982
"Syt11",4.16081335302946e-06,-0.236253048857556,0.328,0.386,0.104199248799917
"App",4.55230236861186e-06,-0.156426136519844,0.66,0.707,0.114003308217147
"Sbf2",5.07084854955647e-06,0.272440237837472,0.303,0.257,0.126989260226543
"Ptk2",5.18249245200684e-06,-0.250533563926575,0.299,0.352,0.129785158475607
"Bach2",5.45658624050276e-06,0.277842002099468,0.265,0.215,0.136649289220911
"Cdh2",6.0436230803761e-06,-0.257399553957177,0.22,0.271,0.151350452801859
"Pak7",6.36445109416463e-06,-0.168464985168691,0.424,0.484,0.159384948751165
"Camk1d",1.31333463255556e-05,0.228325492215114,0.308,0.271,0.328898392030889
"Ubn2",1.3731692853411e-05,0.235147064879857,0.275,0.227,0.343882784127972
"Nipbl",1.45242357652632e-05,0.230496777345269,0.325,0.279,0.363730436269485
"Arhgef12",1.47933300343313e-05,0.232073927875284,0.268,0.218,0.37046936404976
"Glg1",1.60067490817117e-05,0.211167289942977,0.335,0.296,0.400857017253306
"Fnbp1",1.73096203134716e-05,0.113525071557479,0.713,0.73,0.43348482151027
"Ankrd11",2.21585990226586e-05,0.25017248771631,0.276,0.238,0.554917795324438
"Ddx17",2.36762928451751e-05,-0.243843098092473,0.209,0.256,0.59292540172172
"Lncpint",2.76705820529114e-05,0.217302466289351,0.374,0.328,0.692954386351061
"Retreg1",3.08161506287901e-05,-0.228901823240875,0.205,0.252,0.77172886019679
"Sema6a",3.78499260550907e-05,-0.221983578272349,0.273,0.323,0.947875698197637
"Pde8a",3.8493681889906e-05,-0.2298743505954,0.264,0.312,0.963997275568916
"Prrc2c",3.91714306146406e-05,0.225980747998686,0.257,0.211,0.980970136882445
"Dlg2",4.04099209774923e-05,-0.151954516190303,0.578,0.598,1
"Ralgapa1",4.3302002714405e-05,0.231130506886564,0.29,0.255,1
"9330182L06Rik",4.51069373507008e-05,0.237436305453423,0.305,0.262,1
"Gnao1",4.55056652771659e-05,-0.180762268830156,0.475,0.527,1
"Ssh2",4.96812672290553e-05,-0.201951506773183,0.382,0.417,1
"Phactr1",5.14865989005186e-05,-0.229016622934937,0.319,0.35,1
"Dscaml1",7.98529294880528e-05,-0.129012835104014,0.315,0.365,1
"Vps8",9.5785216032687e-05,-0.221489717667242,0.219,0.263,1
"Rab31",9.87047830782636e-05,-0.16610483171093,0.37,0.422,1
"Il1rap",0.000113177009017728,-0.183621154820026,0.374,0.423,1
"Anks1b",0.000134977518266864,0.224270342730565,0.389,0.356,1
"Tnrc6b",0.000148187910310944,0.197035366727035,0.355,0.311,1
"Dock10",0.00023852350263897,-0.0281466940514834,0.898,0.926,1
"Malat1",0.000249691926229124,0.0538307500065365,1,1,1
"Pak1",0.000278120383456709,-0.136327497687085,0.458,0.508,1
"4930419G24Rik",0.000299150906552936,0.0756483993667008,0.697,0.651,1
"Fmnl2",0.000329536369364483,0.173038790088847,0.46,0.42,1
"Birc6",0.00036267146125761,0.216500463386826,0.255,0.219,1
"Pkp4",0.000474117469931581,-0.173212255509729,0.308,0.353,1
"Srrm2",0.000517065943315627,0.170846268851444,0.452,0.411,1
"Cdk19",0.000674148022997843,-0.128914709709883,0.568,0.614,1
"Ccdc88a",0.00067626957781707,0.181043726087684,0.305,0.271,1
"Ppp3ca",0.000827262887188193,0.170480894194593,0.385,0.347,1
"Zfp536",0.00083454407066876,-0.0720107269444399,0.648,0.691,1
"Slain1",0.00113971293764039,-0.167561814099504,0.334,0.375,1
"Slc8a1",0.00117635938618195,-0.152253230376708,0.432,0.472,1
"Atp8a1",0.00118947955972183,-0.164866302949976,0.414,0.453,1
"Dnm3",0.00122445228072818,0.0948413361023741,0.754,0.744,1
"Pstpip2",0.00130287315060827,0.164849364805525,0.344,0.302,1
"Gpm6b",0.00144320868491558,-0.124446529335053,0.589,0.629,1
"Npas3",0.00155917164149218,-0.125639726739733,0.468,0.512,1
"Xkr4",0.00181871067795545,-0.190102837638202,0.249,0.287,1
"Prpf4b",0.001841319274966,0.168532973942779,0.448,0.416,1
"Lrrc4c",0.00186025437849524,-0.154039358218974,0.517,0.557,1
"Ddx5",0.00243528559669073,0.129254990721567,0.576,0.551,1
"Gjc3",0.00278777941120333,-0.139064419836482,0.387,0.427,1
"Dlg1",0.00307181127641095,-0.170395750514208,0.333,0.372,1
"Oxr1",0.00332920442452995,-0.15167250824477,0.379,0.417,1
"Ank",0.0035398047953808,-0.185900445655157,0.22,0.255,1
"Ncor1",0.0037471420821539,0.166518146013359,0.275,0.241,1
"Fto",0.00375619398393284,0.179427353642043,0.297,0.263,1
"Dip2b",0.00378310050343733,-0.147375797392409,0.405,0.438,1
"Csmd3",0.00410079255616637,-0.0789470348590617,0.713,0.749,1
"AY036118",0.0053335769401688,-0.14955377692693,0.5,0.531,1
"Ube2e2",0.00625293990983459,-0.117981743917376,0.495,0.531,1
"Arhgef10",0.00644855987095515,-0.107432591936812,0.23,0.261,1
"Strbp",0.00655693011329915,-0.154498379593011,0.308,0.345,1
"Spock1",0.00681957414244292,-0.141747386691354,0.361,0.395,1
"Tulp4",0.00694490266326749,0.110584042617275,0.476,0.438,1
"Kmt2c",0.00699578273851811,0.148062005517517,0.307,0.275,1
"Clk1",0.00742129858703791,-0.11349494510138,0.268,0.302,1
"Usp31",0.00781211688600798,0.157465129607029,0.292,0.259,1
"Klhl2",0.00818229377469527,-0.135796326473158,0.351,0.387,1
"Plxdc2",0.00828491294601107,-0.0921647705502338,0.621,0.655,1
"Fam172a",0.00921260742566425,-0.0855842489099272,0.248,0.275,1
"Myo1d",0.00990925405184668,-0.152822197619068,0.259,0.292,1
"Kcnk13",0.0107035296728374,0.16266831682834,0.304,0.273,1
"Stag1",0.0134298337361553,0.136564844797008,0.332,0.299,1
"March1",0.0142446508538804,-0.0377085935705646,0.661,0.692,1
"Wnk1",0.0170546791116779,-0.105286484718936,0.326,0.359,1
"Ptprk",0.0191605375868573,-0.0959871865889448,0.56,0.592,1
"Arap2",0.019520470197041,0.102889007519819,0.682,0.658,1
"Pafah1b1",0.022817263446587,-0.132724200549662,0.317,0.336,1
"Il1rapl1",0.0232541213207003,-0.0960941681676162,0.417,0.448,1
"Apbb2",0.0275251769188414,-0.148913672568995,0.256,0.283,1
"Mbnl1",0.0282898921049002,0.10129551983365,0.273,0.265,1
"Ubash3b",0.0312975236356598,0.132876632965238,0.255,0.243,1
"Tmcc1",0.0327509287273233,-0.127542853558243,0.389,0.42,1
"Gm26733",0.0343189838678822,0.120472489516917,0.264,0.236,1
"Psap",0.0349530745137603,-0.0301834836212524,0.245,0.261,1
"Itch",0.0374770834819749,-0.143139081887478,0.246,0.272,1
"Gnaq",0.0374891190735111,0.110792222438079,0.28,0.253,1
"2010111I01Rik",0.0388818440967683,0.0962672061697925,0.261,0.258,1
"Tmeff2",0.0389996243213426,0.0476613002362374,0.887,0.898,1
"Dennd1a",0.0393475927824515,0.112628726308413,0.306,0.285,1
"Sptbn1",0.0452726720707866,-0.0905690989031744,0.239,0.263,1
"Vti1a",0.0465317099464659,0.103141884067617,0.275,0.248,1
"Pde1c",0.0522143608561314,0.0106330446391905,0.296,0.31,1
"Bcl2l1",0.0539521683006648,0.0829087933861423,0.398,0.388,1
"Ccser1",0.0542874670492861,0.0810860135141005,0.346,0.341,1
"Ephb1",0.0548401708356532,-0.106170491650325,0.281,0.308,1
"Zfp638",0.0549672914269318,-0.103051609180416,0.351,0.378,1
"Gphn",0.0563640214215799,0.117621037359001,0.596,0.58,1
"Opcml",0.0664621256606102,-0.000324998971826584,0.349,0.328,1
"Add3",0.0717032171752511,0.128808381449918,0.273,0.254,1
"Fign",0.073305828748527,-0.139832849465853,0.241,0.263,1
"Gm44511",0.075261071965057,0.087792635109956,0.332,0.323,1
"Enox1",0.0762327738245578,-0.095456423858606,0.44,0.467,1
"Mdga2",0.0784812114592941,-0.0387248174590997,0.569,0.597,1
"Clic4",0.0806940596465741,0.119159267474962,0.254,0.235,1
"Spag9",0.0829823533700361,0.104524479704397,0.275,0.263,1
"Arid4b",0.0832410872330611,-0.12733543633288,0.235,0.256,1
"Pik3r1",0.0846524559506077,0.042856663538259,0.288,0.291,1
"Cdh10",0.0862248734691259,-0.111297497640346,0.249,0.273,1
"Sik3",0.0864583615669145,0.016705125607396,0.55,0.564,1
"Snrnp70",0.0916936479352698,0.0217533060673487,0.44,0.442,1
"Kmt2e",0.0972104069861013,0.115196573238696,0.255,0.238,1
"Tcf4",0.102259068368539,0.0721832587730531,0.524,0.5,1
"Adamtsl1",0.107327702100859,-0.00415723945684743,0.288,0.301,1
"Erbb4",0.111694959850857,0.0905761986544409,0.688,0.675,1
"Macrod2",0.113221727248345,0.00406392317089965,0.255,0.239,1
"St6gal1",0.12405192142136,-0.0202848834970975,0.299,0.316,1
"Prkca",0.134718916442034,0.0707333848902585,0.424,0.407,1
"Dst",0.151211783239519,0.0925509672416496,0.571,0.554,1
"Sfpq",0.155273508089223,0.0370735231740049,0.253,0.238,1
"Fryl",0.158408209723931,0.00969313486009771,0.282,0.29,1
"Gm20388",0.159681840921062,0.0736398884894767,0.624,0.618,1
"Grid2",0.161148323309502,0.106816281661034,0.48,0.47,1
"Dock9",0.163017701921701,0.0724654448698381,0.302,0.281,1
"Zeb2",0.165566763118207,-0.0474594917632789,0.759,0.772,1
"Cmss1",0.165627468698986,-0.0224091881408022,0.638,0.66,1
"Gm26804",0.177697374679127,0.0651878189665847,0.474,0.467,1
"Gm35188",0.194527244381247,-0.0797854675048448,0.282,0.302,1
"Kansl1",0.217787648293217,0.0739061506377046,0.323,0.314,1
"Itsn2",0.2220636226007,-0.0526549614957701,0.263,0.282,1
"Erbin",0.223342047285266,-0.0591994039695187,0.462,0.482,1
"Zbtb20",0.229004066795921,0.0666450739489468,0.683,0.676,1
"Bcas3",0.242850003327907,0.0659895823869552,0.299,0.28,1
"Ywhaq",0.244885770772998,0.0545588397651842,0.298,0.295,1
"Macf1",0.250489570684769,-0.0774838009873104,0.239,0.257,1
"Pard3",0.256402868359814,0.0829034273866638,0.295,0.28,1
"Creb5",0.261064446111142,0.0874529347840123,0.312,0.296,1
"Sh3d19",0.267817618005152,-0.0322505357194691,0.326,0.341,1
"Gpatch8",0.270328370227598,-0.052920784731957,0.281,0.298,1
"Baz2b",0.271834656150321,0.00923901609316413,0.4,0.386,1
"Gm37459",0.281227380382157,-0.0861455742827264,0.501,0.515,1
"Plekha1",0.28420252114144,0.0428687316569536,0.327,0.328,1
"Picalm",0.286795763299187,-0.0342409189932869,0.265,0.276,1
"Pnisr",0.29781977631137,0.0284916129784292,0.264,0.265,1
"Rere",0.303398034738948,0.020911701645991,0.409,0.413,1
"Nf1",0.308546647808616,0.0683153601295388,0.3,0.288,1
"Tmtc2",0.314968482904154,-0.042940199175503,0.414,0.41,1
"Zcchc7",0.340908452918409,-0.0558593782290338,0.443,0.449,1
"Myo6",0.353599643801578,-0.0333469205457226,0.361,0.375,1
"Dtna",0.365737512024478,0.0772716137525946,0.275,0.265,1
"Nlgn1",0.367913705511734,-0.0407430952229095,0.378,0.379,1
"Rbm39",0.449508504956114,-0.00502817137612022,0.42,0.432,1
"Mbnl2",0.453888732574479,-0.0273044861102036,0.602,0.616,1
"Arhgef2",0.476819198846663,-0.0283722864639127,0.253,0.264,1
"Arid1b",0.478749457972359,0.00926696800429117,0.268,0.271,1
"Exoc6b",0.482912509986405,-0.0450774495025934,0.475,0.49,1
"Tmcc3",0.485181689645867,-0.0485550419753742,0.358,0.372,1
"Sltm",0.485604564573949,0.0167997923070518,0.299,0.304,1
"Map4k4",0.485867628395081,-0.0304198879092139,0.26,0.272,1
"Nbea",0.490337992407823,0.0208591480092877,0.483,0.484,1
"Dcc",0.491617937249221,0.00519022540499847,0.265,0.258,1
"Nsd1",0.501987669682144,0.039180215416132,0.301,0.294,1
"Tom1l2",0.526349193318329,0.0255879762979316,0.248,0.251,1
"Ppp2r3a",0.532141189501616,-0.00948627552767123,0.348,0.359,1
"Cttnbp2",0.553142608591554,0.0353252281594871,0.332,0.319,1
"2610035D17Rik",0.566000183405209,0.0406344899817674,0.281,0.27,1
"Stxbp6",0.567768387159737,-0.0550256872140586,0.281,0.293,1
"Mycbp2",0.593530807982694,0.00973343333299503,0.373,0.366,1
"Kansl1l",0.599102706400285,-0.0573421881028287,0.305,0.314,1
"Arhgap21",0.636293274229888,0.031441055523211,0.27,0.268,1
"Gm26936",0.640400611416076,-0.0435995109032454,0.261,0.271,1
"Nfia",0.649646070016574,-0.0411347808085281,0.48,0.49,1
"4930402H24Rik",0.656411977871179,0.0202342270985443,0.311,0.302,1
"Dgki",0.665933363301039,-0.00742709988529056,0.532,0.542,1
"Son",0.67565851258705,-0.0354404733425886,0.512,0.522,1
"Magi1",0.696092103547063,0.0512936688707284,0.266,0.257,1
"Akap6",0.701671981016401,0.0172371719943505,0.346,0.345,1
"Map4",0.75860369359762,-0.043930042580286,0.294,0.302,1
"Hnrnpa2b1",0.781702635689686,0.0280320512871608,0.324,0.317,1
"Apba1",0.823372902282493,-0.0179505418451185,0.279,0.282,1
"Cobll1",0.838297010453569,-0.0326040074567095,0.248,0.252,1
"Ncoa2",0.849347135958632,0.0265881748908847,0.283,0.277,1
"Ubr2",0.859603868501221,-0.0123331757579965,0.259,0.265,1
"Slc44a1",0.878387430449811,-0.0176728657620284,0.363,0.368,1
"Zdhhc14",0.878673755409378,-0.000391494087807587,0.395,0.39,1
"Auts2",0.897962489346991,-0.010881888404406,0.431,0.432,1
"Srgap1",0.919517188959071,-0.0298542430668927,0.246,0.25,1
"Rabgap1l",0.977888476144716,-0.020774042305479,0.26,0.261,1
