,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Pvt1,1.96E-18,-0.133577143,0.334,0.429,4.90E-14
Agps,2.00E-18,0.153927064,0.233,0.256,5.02E-14
Trem2,2.14E-18,-0.191081599,0.226,0.318,5.36E-14
Ptp4a2,2.23E-18,-0.069062261,0.199,0.265,5.58E-14
Arid1b,2.32E-18,0.032094125,0.362,0.422,5.80E-14
Arhgap12,2.58E-18,0.233478505,0.28,0.288,6.45E-14
Brd4,2.66E-18,-0.166362871,0.215,0.298,6.66E-14
Ncoa2,3.18E-18,0.074395067,0.271,0.312,7.97E-14
Cflar,3.63E-18,0.123347035,0.284,0.319,9.10E-14
Prrc2c,3.72E-18,-0.09311571,0.236,0.31,9.33E-14
Arhgap45,3.89E-18,-0.306076678,0.448,0.582,9.73E-14
Pias1,3.90E-18,-0.047299658,0.284,0.353,9.76E-14
Capza2,4.48E-18,0.123258785,0.251,0.278,1.12E-13
Smap2,4.82E-18,0.065940419,0.447,0.511,1.21E-13
Itgav,5.01E-18,-0.001341614,0.223,0.278,1.25E-13
Herc2,5.19E-18,0.214182341,0.372,0.382,1.30E-13
Clta,5.28E-18,-0.099774098,0.183,0.25,1.32E-13
Map3k5,5.38E-18,0.043091546,0.227,0.269,1.35E-13
Cog5,5.48E-18,0.166987637,0.27,0.291,1.37E-13
Zfp638,5.77E-18,0.057921017,0.268,0.316,1.45E-13
Senp2,5.88E-18,-0.156505272,0.199,0.28,1.47E-13
Evl,6.15E-18,-0.142894285,0.272,0.357,1.54E-13
Zdhhc14,6.19E-18,0.262884955,0.257,0.261,1.55E-13
Hck,6.22E-18,0.024138093,0.223,0.275,1.56E-13
Psap,6.52E-18,-0.175523978,0.382,0.488,1.63E-13
Acap2,6.70E-18,0.127093129,0.348,0.386,1.68E-13
Git2,6.88E-18,-0.020481831,0.287,0.351,1.72E-13
Tra2a,7.25E-18,-0.074756681,0.241,0.312,1.82E-13
Mknk1,7.53E-18,-0.114400852,0.191,0.258,1.89E-13
Smg6,7.67E-18,0.058872076,0.3,0.349,1.92E-13
P3h2,8.44E-18,0.33397782,0.361,0.344,2.11E-13
Sh3glb1,8.93E-18,0.05100551,0.238,0.283,2.24E-13
Blnk,9.86E-18,0.17159979,0.41,0.438,2.47E-13
3110082I17Rik,9.92E-18,-0.295070209,0.166,0.256,2.48E-13
Phf21a,1.06E-17,0.05744286,0.364,0.423,2.66E-13
Susd6,1.14E-17,-0.012649751,0.26,0.321,2.86E-13
Ctsb,1.17E-17,-0.237309472,0.289,0.397,2.94E-13
Irak2,1.28E-17,0.147148186,0.362,0.393,3.21E-13
Vps54,1.34E-17,-0.049594567,0.219,0.285,3.36E-13
Entpd1,1.37E-17,0.170557425,0.456,0.493,3.42E-13
Heatr5a,1.37E-17,0.020869996,0.224,0.275,3.42E-13
Usp34,1.45E-17,0.112669045,0.309,0.347,3.63E-13
Nrros,1.51E-17,-0.034112673,0.222,0.284,3.79E-13
Rcbtb2,1.58E-17,-0.054530595,0.234,0.297,3.96E-13
Rnf111,1.59E-17,-0.033175203,0.204,0.262,3.98E-13
Nckap1l,1.60E-17,0.072383723,0.326,0.369,4.00E-13
Fus,1.78E-17,0.061571842,0.384,0.44,4.47E-13
Rapgef5,1.84E-17,0.280781138,0.568,0.551,4.61E-13
Pwwp2a,1.87E-17,0.140610884,0.291,0.319,4.69E-13
Elf2,2.19E-17,0.001014776,0.2,0.25,5.48E-13
Pnisr,2.25E-17,0.04503277,0.312,0.365,5.63E-13
Setd5,2.33E-17,0.164816035,0.289,0.314,5.84E-13
Zfand3,2.43E-17,-0.033787807,0.342,0.411,6.09E-13
Cx3cr1,2.48E-17,0.212054116,0.644,0.651,6.22E-13
Uvrag,2.60E-17,-0.052026855,0.335,0.412,6.51E-13
Man2b1,2.84E-17,-0.079908844,0.205,0.274,7.11E-13
Wdr26,2.94E-17,0.074461034,0.215,0.253,7.37E-13
Actr3,3.01E-17,-0.010115822,0.209,0.265,7.53E-13
Rab2a,3.01E-17,-0.052235627,0.203,0.263,7.55E-13
Khdrbs1,3.18E-17,-0.085598129,0.193,0.253,7.97E-13
Kif13b,3.81E-17,-0.145686909,0.195,0.271,9.53E-13
Gtf2h2,3.83E-17,-0.025587784,0.242,0.303,9.58E-13
Ppcdc,4.14E-17,-0.115469929,0.241,0.316,1.04E-12
Ascc3,4.76E-17,0.148242045,0.279,0.308,1.19E-12
Jmjd1c,5.09E-17,0.079385297,0.501,0.555,1.27E-12
Cnot2,5.15E-17,0.053515249,0.265,0.31,1.29E-12
Bbs9,5.20E-17,0.314292537,0.388,0.364,1.30E-12
Huwe1,6.24E-17,0.068920033,0.237,0.284,1.56E-12
Ash1l,6.54E-17,-0.07287923,0.3,0.377,1.64E-12
Fubp1,6.86E-17,0.028758364,0.218,0.264,1.72E-12
Wdfy2,7.30E-17,-0.113541634,0.185,0.25,1.83E-12
Wasf2,7.43E-17,0.099052368,0.386,0.427,1.86E-12
Fermt3,8.12E-17,-0.150565559,0.208,0.283,2.03E-12
Phf14,8.13E-17,0.177840212,0.386,0.407,2.04E-12
mt-Co2,8.67E-17,-0.401780572,0.238,0.353,2.17E-12
Ccdc50,8.97E-17,-0.02327667,0.215,0.271,2.25E-12
Osbpl11,9.43E-17,0.031620168,0.218,0.265,2.36E-12
P2ry6,9.47E-17,-0.034810028,0.25,0.314,2.37E-12
Itm2b,9.60E-17,-0.00717518,0.417,0.489,2.40E-12
Mgat5,1.02E-16,0.05276483,0.376,0.428,2.55E-12
Kdm2a,1.02E-16,-0.190209026,0.236,0.324,2.56E-12
Cdc42,1.16E-16,-0.102115035,0.258,0.335,2.91E-12
B4galt1,1.16E-16,-0.065880926,0.211,0.273,2.92E-12
Ptprm,1.22E-16,0.306213435,0.435,0.416,3.04E-12
Actr2,1.23E-16,-0.081316616,0.264,0.336,3.09E-12
Kpna4,1.27E-16,-0.178252083,0.225,0.307,3.17E-12
Larp4b,1.34E-16,0.024566674,0.221,0.267,3.36E-12
Cbl,1.94E-16,-0.063956557,0.22,0.28,4.86E-12
Gnb1,1.96E-16,-0.032826544,0.205,0.265,4.92E-12
Sf3b1,2.12E-16,-0.093923046,0.29,0.365,5.32E-12
Cd81,2.19E-16,-0.06653826,0.251,0.319,5.50E-12
Ikzf1,2.25E-16,0.105902907,0.574,0.626,5.63E-12
Dyrk1a,2.33E-16,-0.030569375,0.211,0.265,5.83E-12
Peli2,2.37E-16,-0.013538697,0.203,0.253,5.94E-12
Dnajc1,2.42E-16,0.222693622,0.293,0.303,6.07E-12
Ctsz,2.44E-16,-0.302236025,0.263,0.369,6.10E-12
Ncoa3,2.74E-16,0.097321118,0.222,0.254,6.86E-12
Gm5086,2.89E-16,0.081277769,0.276,0.318,7.24E-12
Cd180,2.90E-16,0.138825052,0.279,0.308,7.26E-12
Nek7,3.03E-16,0.214959193,0.384,0.385,7.58E-12
Fto,3.03E-16,-0.048435832,0.234,0.299,7.59E-12
Srek1,3.10E-16,-0.063324584,0.203,0.262,7.76E-12
Atxn7l1,3.21E-16,0.036473076,0.271,0.319,8.03E-12
Daglb,3.22E-16,-0.184158272,0.216,0.297,8.06E-12
Abca9,3.39E-16,0.064318803,0.302,0.353,8.48E-12
Ubac2,3.50E-16,-0.059714988,0.225,0.288,8.76E-12
Lrch1,3.64E-16,0.072421503,0.537,0.593,9.10E-12
Syngr1,4.17E-16,-0.132895804,0.186,0.254,1.04E-11
Papola,4.19E-16,-0.062443345,0.217,0.275,1.05E-11
Gphn,4.53E-16,0.258047122,0.37,0.374,1.13E-11
Cltc,4.63E-16,0.042608611,0.253,0.298,1.16E-11
Pafah1b1,4.74E-16,-0.048846292,0.272,0.333,1.19E-11
Spire1,5.03E-16,0.018115306,0.263,0.315,1.26E-11
Magi1,5.18E-16,0.254369992,0.487,0.486,1.30E-11
St3gal6,5.87E-16,0.184349042,0.388,0.413,1.47E-11
Dip2b,6.66E-16,0.065076801,0.507,0.566,1.67E-11
F11r,6.78E-16,-0.031512782,0.212,0.269,1.70E-11
Pum2,6.86E-16,0.043778112,0.234,0.275,1.72E-11
Prkce,6.96E-16,0.170121179,0.289,0.31,1.74E-11
Smurf2,7.31E-16,0.093049291,0.224,0.255,1.83E-11
Wapl,7.44E-16,-0.067945611,0.215,0.274,1.86E-11
Arih1,7.58E-16,0.012536768,0.302,0.357,1.90E-11
Gm26740,7.75E-16,-0.205476733,0.25,0.339,1.94E-11
Arhgap17,8.77E-16,-0.067766341,0.31,0.383,2.20E-11
Arhgap25,8.79E-16,0.149178103,0.314,0.344,2.20E-11
Mkln1,8.88E-16,0.08836624,0.291,0.327,2.22E-11
Srsf7,9.13E-16,-0.087741471,0.239,0.308,2.29E-11
Abi1,9.58E-16,0.064691295,0.334,0.38,2.40E-11
Gm44686,1.03E-15,-0.126494252,0.212,0.283,2.57E-11
Snx24,1.03E-15,0.009584986,0.355,0.426,2.59E-11
Wipf1,1.04E-15,0.165630557,0.361,0.379,2.60E-11
Fmnl3,1.10E-15,0.080401813,0.247,0.28,2.75E-11
Trio,1.12E-15,0.10109882,0.267,0.302,2.81E-11
Rtn4,1.13E-15,0.003412911,0.343,0.403,2.84E-11
Cnot4,1.23E-15,-0.076860149,0.282,0.354,3.08E-11
Prex1,1.23E-15,-0.043082223,0.309,0.374,3.09E-11
Ankrd11,1.28E-15,-0.01289964,0.39,0.465,3.20E-11
Zfp652,1.30E-15,0.000538265,0.347,0.409,3.27E-11
Rbm25,1.31E-15,0.066834137,0.337,0.381,3.27E-11
Retreg1,1.32E-15,0.123522394,0.359,0.394,3.30E-11
Plcg2,1.33E-15,0.067494654,0.328,0.372,3.33E-11
Rtn3,1.34E-15,-0.081401862,0.342,0.419,3.37E-11
AU020206,1.37E-15,-0.018347423,0.306,0.371,3.43E-11
Dnmt3a,1.38E-15,0.057635141,0.369,0.419,3.46E-11
Specc1,1.40E-15,0.037591512,0.4,0.458,3.52E-11
Ptbp3,1.43E-15,-0.028787935,0.295,0.355,3.58E-11
Gpr34,1.48E-15,0.112679694,0.346,0.383,3.70E-11
Rcsd1,1.62E-15,-0.145784384,0.199,0.271,4.05E-11
Gns,1.62E-15,0.000765373,0.336,0.393,4.05E-11
Plcl2,1.65E-15,0.142513716,0.558,0.596,4.14E-11
Snx13,1.69E-15,0.129536622,0.241,0.27,4.23E-11
Asxl1,1.78E-15,0.017812617,0.22,0.267,4.47E-11
Vrk2,1.79E-15,0.096777578,0.264,0.295,4.47E-11
Rptor,1.93E-15,0.016903351,0.382,0.441,4.83E-11
Grn,2.07E-15,-0.101119209,0.202,0.265,5.18E-11
Lair1,2.32E-15,0.077840184,0.501,0.55,5.82E-11
Ubn2,2.34E-15,0.022441167,0.305,0.353,5.86E-11
Ube2h,2.35E-15,0.067486385,0.247,0.284,5.89E-11
Soga1,2.40E-15,0.163420646,0.293,0.32,6.00E-11
Pou2f2,2.42E-15,0.002460628,0.313,0.372,6.05E-11
Comt,2.47E-15,-0.086137035,0.223,0.286,6.20E-11
Atp9b,2.49E-15,0.141249577,0.281,0.303,6.24E-11
Man1a2,2.59E-15,-0.008796274,0.367,0.429,6.49E-11
Sfpq,2.70E-15,-0.009924437,0.247,0.303,6.75E-11
Ptprc,2.72E-15,0.150589446,0.59,0.617,6.81E-11
P4ha1,2.73E-15,-0.21223932,0.202,0.284,6.84E-11
Ptk2b,2.76E-15,0.063105631,0.296,0.337,6.91E-11
Wac,2.76E-15,-0.193254035,0.184,0.26,6.91E-11
Celf2,2.87E-15,0.301714114,0.679,0.656,7.19E-11
Pik3cd,2.89E-15,-0.043349052,0.204,0.258,7.23E-11
Ubash3b,3.00E-15,0.165713602,0.544,0.565,7.52E-11
Ppp1r12a,3.35E-15,-0.006057274,0.321,0.377,8.40E-11
Mylip,3.38E-15,0.042301556,0.285,0.329,8.46E-11
AC149090.1,3.42E-15,0.099074175,0.683,0.733,8.56E-11
Rtn1,3.50E-15,0.165529131,0.291,0.314,8.76E-11
Sparc,3.50E-15,0.150119095,0.246,0.269,8.77E-11
Gdi2,3.60E-15,0.010976277,0.27,0.321,9.01E-11
Gm19710,3.70E-15,-0.211271384,0.182,0.261,9.26E-11
Mapk14,3.89E-15,-0.110353432,0.22,0.285,9.73E-11
Cerk,3.91E-15,-0.017100357,0.323,0.382,9.79E-11
Pip4k2a,3.94E-15,0.132579338,0.586,0.628,9.88E-11
Elf1,4.12E-15,-0.077249125,0.219,0.281,1.03E-10
Stag1,4.13E-15,0.120714932,0.458,0.489,1.03E-10
Il6ra,4.28E-15,0.075550578,0.278,0.31,1.07E-10
Zcchc11,4.37E-15,-0.069368944,0.217,0.276,1.09E-10
Cyth4,4.40E-15,-0.079575627,0.487,0.579,1.10E-10
Rasgrp3,4.52E-15,0.164492067,0.342,0.363,1.13E-10
Kansl1,4.63E-15,-0.160538833,0.452,0.555,1.16E-10
Camk2d,4.82E-15,-0.002605621,0.419,0.485,1.21E-10
Cdk19,4.97E-15,0.019608172,0.25,0.297,1.24E-10
Nipbl,5.01E-15,0.152937233,0.422,0.437,1.25E-10
Paxbp1,5.25E-15,-0.269054045,0.188,0.276,1.31E-10
Basp1,5.30E-15,0.109324896,0.335,0.372,1.33E-10
Pros1,5.44E-15,0.055018671,0.292,0.335,1.36E-10
Babam2,5.66E-15,-0.109726594,0.262,0.333,1.42E-10
Lrrc8d,5.69E-15,-0.071226049,0.199,0.259,1.42E-10
Mef2c,6.60E-15,0.284273835,0.766,0.741,1.65E-10
Rbm39,7.07E-15,0.013234584,0.535,0.601,1.77E-10
Vsir,7.16E-15,0.042271061,0.296,0.337,1.79E-10
Pkig,7.64E-15,-0.075036673,0.191,0.25,1.91E-10
Fkbp5,8.52E-15,0.127078234,0.304,0.334,2.13E-10
Cotl1,8.64E-15,-0.100241406,0.198,0.263,2.16E-10
Irf2,8.64E-15,0.114757159,0.315,0.342,2.16E-10
Tspan14,8.65E-15,0.009231497,0.214,0.26,2.17E-10
Dnm2,9.06E-15,0.046233729,0.281,0.325,2.27E-10
R3hdm2,9.32E-15,0.07172556,0.229,0.263,2.33E-10
Pde3b,9.41E-15,0.231337646,0.633,0.635,2.36E-10
Mbnl2,9.60E-15,0.13727395,0.371,0.391,2.40E-10
Tnfrsf11a,1.05E-14,-0.092982636,0.216,0.283,2.62E-10
Lcor,1.06E-14,-0.123164853,0.211,0.28,2.65E-10
Wnk1,1.06E-14,0.124417936,0.561,0.597,2.65E-10
Ccnl1,1.07E-14,-0.045787742,0.203,0.252,2.68E-10
Arglu1,1.29E-14,0.164591118,0.405,0.426,3.23E-10
Kmt2c,1.40E-14,0.052050902,0.325,0.373,3.50E-10
Picalm,1.52E-14,0.187705503,0.503,0.521,3.82E-10
Fbxl17,1.54E-14,0.131662221,0.474,0.506,3.85E-10
Tcf12,1.58E-14,0.187948541,0.362,0.376,3.95E-10
Gm26694,1.59E-14,-0.012649969,0.197,0.25,3.97E-10
Ankhd1,1.61E-14,0.159363331,0.285,0.303,4.03E-10
Cask,1.71E-14,0.128677567,0.379,0.408,4.29E-10
Rhoh,1.79E-14,-0.088796235,0.197,0.256,4.49E-10
Cd84,1.82E-14,-0.028075514,0.417,0.489,4.56E-10
Celf1,1.82E-14,-0.083841626,0.31,0.384,4.57E-10
Ncor1,1.98E-14,-0.200209177,0.275,0.367,4.96E-10
Slc24a3,2.04E-14,0.277740081,0.326,0.317,5.10E-10
Rap1a,2.09E-14,0.0180149,0.305,0.355,5.23E-10
Unc93b1,2.12E-14,0.037466497,0.436,0.492,5.30E-10
Cmip,2.20E-14,-0.007679684,0.352,0.41,5.51E-10
Chd2,2.28E-14,0.126180186,0.287,0.314,5.71E-10
Tbc1d5,2.37E-14,0.108160426,0.56,0.594,5.93E-10
Ptpra,2.53E-14,-0.007494944,0.296,0.35,6.35E-10
Bach2,2.60E-14,-0.057842437,0.331,0.405,6.51E-10
Srrm2,2.65E-14,-0.132443935,0.451,0.549,6.64E-10
Mark3,2.71E-14,0.021744907,0.249,0.292,6.77E-10
Arid1a,2.75E-14,0.007043568,0.241,0.287,6.89E-10
Eif4g3,2.77E-14,0.040111207,0.312,0.356,6.92E-10
Gna12,2.87E-14,-0.02260722,0.277,0.337,7.19E-10
Tbc1d16,2.88E-14,0.112267489,0.224,0.251,7.22E-10
Itga6,3.03E-14,0.041623488,0.25,0.292,7.60E-10
Clk1,3.34E-14,-0.088222028,0.308,0.38,8.37E-10
Aim2,3.41E-14,0.011957054,0.257,0.302,8.54E-10
Sh3kbp1,3.60E-14,0.007851673,0.446,0.512,9.01E-10
Sbf2,3.81E-14,0.119023625,0.373,0.4,9.54E-10
Cfh,3.86E-14,0.199657912,0.478,0.483,9.67E-10
C1qb,3.93E-14,-0.229025123,0.412,0.521,9.85E-10
Atad2b,4.01E-14,0.00983345,0.209,0.253,1.00E-09
Ambra1,4.14E-14,-0.08021007,0.27,0.335,1.04E-09
Tbc1d9,4.15E-14,-0.090336213,0.224,0.287,1.04E-09
Rab31,4.17E-14,0.118985858,0.278,0.303,1.04E-09
Fnbp1,4.49E-14,0.071320808,0.375,0.416,1.12E-09
Nfia,4.58E-14,0.205280378,0.452,0.469,1.15E-09
Hipk2,4.69E-14,0.053190482,0.238,0.272,1.17E-09
Gm26573,4.76E-14,-0.409561788,0.272,0.385,1.19E-09
Mafb,4.76E-14,-0.159456335,0.189,0.258,1.19E-09
Fbxl20,4.89E-14,-0.016732032,0.207,0.255,1.22E-09
Peak1,4.95E-14,0.14586104,0.276,0.299,1.24E-09
Sft2d1,5.19E-14,0.036577959,0.27,0.311,1.30E-09
Rsbn1l,6.03E-14,-0.156895213,0.219,0.29,1.51E-09
Kdm3b,6.04E-14,0.120565375,0.236,0.259,1.51E-09
Pak2,6.15E-14,-0.191565919,0.22,0.298,1.54E-09
Stx16,6.21E-14,-0.142912206,0.19,0.257,1.55E-09
Srsf5,6.35E-14,0.121362035,0.259,0.28,1.59E-09
Srsf11,6.39E-14,0.021087601,0.237,0.278,1.60E-09
Mycbp2,7.01E-14,0.146206938,0.582,0.615,1.76E-09
Rnf180,7.10E-14,0.083866619,0.393,0.432,1.78E-09
Myo9a,7.37E-14,0.004198751,0.304,0.357,1.85E-09
Spag9,7.38E-14,-0.027530414,0.279,0.34,1.85E-09
Atrx,8.24E-14,0.010357085,0.271,0.316,2.06E-09
Hivep3,8.48E-14,-0.03729,0.373,0.444,2.12E-09
Slc7a8,9.14E-14,0.020824279,0.285,0.334,2.29E-09
Crebbp,9.71E-14,0.05752482,0.312,0.351,2.43E-09
Tnrc6c,9.74E-14,-0.182264699,0.254,0.337,2.44E-09
Xiap,9.91E-14,-0.021379116,0.222,0.268,2.48E-09
Setd2,9.93E-14,-0.02384716,0.211,0.258,2.49E-09
Tcf20,1.02E-13,-0.037191864,0.208,0.262,2.56E-09
Zfp710,1.03E-13,0.064252262,0.519,0.567,2.58E-09
Lhfpl2,1.08E-13,-0.083993406,0.346,0.425,2.71E-09
Ogt,1.09E-13,-0.041004164,0.219,0.268,2.73E-09
Gnaq,1.13E-13,0.064480153,0.525,0.579,2.84E-09
Baz2b,1.15E-13,0.044519266,0.36,0.405,2.87E-09
Ddx5,1.15E-13,0.162398555,0.786,0.779,2.88E-09
Usp9x,1.15E-13,-0.081119688,0.213,0.271,2.89E-09
