,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Matn2,2.30E-11,0.193160508,0.739,0.673,2.43E-08
Sh3rf1,3.56E-08,0.191906966,0.635,0.624,3.76E-05
9530059O14Rik,5.07E-10,0.190866835,0.633,0.696,5.35E-07
Pcdh7,3.90E-14,0.187894724,0.452,0.527,4.11E-11
Dpp10,2.59E-28,0.183996187,0.417,0.557,2.73E-25
Khdrbs3,2.08E-11,0.182553537,0.563,0.616,2.20E-08
Syt6,1.06E-99,0.182377309,0.593,0.328,1.12E-96
Fgd6,7.24E-07,0.17480195,0.562,0.514,0.000764853
Eda,2.84E-51,0.174374354,0.504,0.307,3.00E-48
Grid2,1.87E-31,0.17154327,0.928,0.858,1.97E-28
Svil,3.93E-10,0.167752967,0.585,0.508,4.15E-07
Sox5,3.08E-21,0.167479781,0.726,0.617,3.26E-18
Tgfbr1,1.57E-16,0.166246266,0.529,0.612,1.66E-13
Etv5,1.73E-146,0.164467582,0.254,0.523,1.83E-143
Zfp385b,3.79E-11,0.164060503,0.547,0.481,4.00E-08
Kcnk2,1.44E-24,0.163994066,0.625,0.518,1.53E-21
Sox6,2.32E-131,0.161252142,0.246,0.539,2.45E-128
Cux2,1.28E-169,0.160870545,0.972,0.671,1.35E-166
Galnt9,1.29E-86,0.159466507,0.663,0.402,1.36E-83
Cachd1,9.27E-55,0.152097121,0.79,0.585,9.79E-52
Fnbp1l,1.07E-19,0.149163493,0.555,0.446,1.13E-16
Ppfibp1,3.34E-16,0.148603257,0.396,0.438,3.53E-13
Serpine2,1.84E-26,0.148453006,0.622,0.493,1.94E-23
Serpini1,5.37E-17,0.146147012,0.617,0.703,5.67E-14
Plpp3,5.58E-19,0.145946451,0.366,0.449,5.90E-16
Tnc,1.16E-75,0.145736633,0.526,0.651,1.22E-72
St8sia4,2.16E-12,0.14373237,0.681,0.591,2.28E-09
Nhsl1,4.65E-14,0.13783455,0.593,0.502,4.91E-11
Fhod3,1.13E-20,0.137599944,0.521,0.53,1.19E-17
Tmem196,2.17E-121,0.135411649,0.909,0.626,2.29E-118
Col25a1,2.55E-16,0.134987448,0.713,0.66,2.70E-13
Mid1,3.58E-05,0.134030563,0.553,0.542,0.037813221
Asic2,6.87E-09,0.133822832,0.461,0.458,7.25E-06
Tcf7l1,3.30E-40,0.133822278,0.37,0.504,3.49E-37
Unc13c,3.48E-39,0.129817807,0.719,0.59,3.67E-36
Fbxl7,2.66E-11,0.129309816,0.512,0.562,2.81E-08
Neb,4.65E-31,0.128165863,0.499,0.375,4.91E-28
Ttn,2.83E-99,0.125888674,0.247,0.434,2.98E-96
C530008M17Rik,1.77E-33,0.125818004,0.756,0.598,1.87E-30
Clic4,6.48E-18,0.124413945,0.78,0.672,6.84E-15
A830018L16Rik,3.84E-07,0.123780578,0.668,0.618,0.000405416
Nhsl2,1.20E-14,0.12339632,0.662,0.61,1.26E-11
Kcnc1,5.06E-07,0.123353421,0.475,0.467,0.000534368
C1qc,2.61E-40,0.122832559,0.754,0.608,2.75E-37
Mgat4c,4.13E-48,0.121616288,0.77,0.575,4.36E-45
Pde7b,1.76E-160,0.120225166,0.716,0.349,1.85E-157
Itpr2,8.39E-13,0.119466011,0.617,0.517,8.86E-10
Sdk2,9.52E-102,0.118412981,0.856,0.588,1.01E-98
