"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"776","XYT",36,"MIP2","Cuprizone",9.9,12.03238095,0.822779800701041,-0.281421718849196
"777","XYT",39,"MIP2","Cuprizone",12.73,12.03238095,1.05797847100245,0.0813102700851901
"778","XYT",220,"MIP2","Cuprizone",4.37,12.03238095,0.363186639299348,-1.46121696431557
"779","XYT",206,"MIP2","Cuprizone",4.37,12.03238095,0.363186639299348,-1.46121696431557
"780","XYT",174,"MIP2","Cuprizone",6.79,12.03238095,0.564310590581825,-0.825438669571436
"789","XXO",189,"MIG","Cuprizone",19.67,5.172380952,3.80289081228524,1.92709651723935
"790","XXO",190,"MIG","Cuprizone",19.37,5.172380952,3.74489044402467,1.90492351356407
"791","XXO",193,"MIG","Cuprizone",29.98,5.172380952,5.79617013484045,2.53509994290868
"792","XXO",164,"MIG","Cuprizone",14.65,5.172380952,2.8323513167249,1.50200022427043
"796","XYO",211,"MIG","Cuprizone",38.03,5.172380952,7.35251334983263,2.87823749859141
"797","XYO",184,"MIG","Cuprizone",9.41,5.172380952,1.81927821777347,0.863366187689353
"804","XXT",207,"MIG","Cuprizone",5.63,5.172380952,1.08847357769018,0.122306387041045
"805","XXT",205,"MIG","Cuprizone",3.92,5.172380952,0.757871478604888,-0.399974880923976
"806","XXT",208,"MIG","Cuprizone",18.78,5.172380952,3.6308230531122,1.86029662261459
"807","XXT",182,"MIG","Cuprizone",14.65,5.172380952,2.8323513167249,1.50200022427043
"808","XXT",188,"MIG","Cuprizone",20.53,5.172380952,3.96915853463223,1.98883318706942
"809","XXT",187,"MIG","Cuprizone",3.92,5.172380952,0.757871478604888,-0.399974880923976
"814","XYT",213,"MIG","Cuprizone",19.08,5.172380952,3.68882342137277,1.88316073096633
"815","XYT",36,"MIG","Cuprizone",10.64,5.172380952,2.05707972764184,1.04059771046201
"816","XYT",39,"MIG","Cuprizone",8.55,5.172380952,1.65301049542648,0.725095884734076
"817","XYT",220,"MIG","Cuprizone",3.92,5.172380952,0.757871478604888,-0.399974880923976
"818","XYT",206,"MIG","Cuprizone",5.07,5.172380952,0.980206223603771,-0.0288427880358437
"819","XYT",174,"MIG","Cuprizone",13.96,5.172380952,2.69895046972557,1.43239850117047
"828","XXO",189,"VEGF","Cuprizone",9.79,6.443333333,1.51939989661249,0.60350162818825
"829","XXO",190,"VEGF","Cuprizone",6.79,6.443333333,1.05380237977516,0.0756043428292872
"830","XXO",193,"VEGF","Cuprizone",5.68,6.443333333,0.881531298545346,-0.181916301910763
"831","XXO",164,"VEGF","Cuprizone",4.3,6.443333333,0.667356440800174,-0.583470571825984
"835","XYO",211,"VEGF","Cuprizone",7.17,6.443333333,1.11277806524122,0.15416588728646
"836","XYO",184,"VEGF","Cuprizone",4.2,6.443333333,0.651836523572263,-0.617417903749322
"843","XXT",207,"VEGF","Cuprizone",1.43,6.443333333,0.221934816359128,-2.17179208463706
"844","XXT",205,"VEGF","Cuprizone",1.43,6.443333333,0.221934816359128,-2.17179208463706
"845","XXT",208,"VEGF","Cuprizone",4.85,6.443333333,0.752715985553684,-0.409822484340955
"846","XXT",182,"VEGF","Cuprizone",3.84,6.443333333,0.595964821551783,-0.746700920694288
"847","XXT",188,"VEGF","Cuprizone",3.29,6.443333333,0.510605276798272,-0.969719647680203
"848","XXT",187,"VEGF","Cuprizone",1.43,6.443333333,0.221934816359128,-2.17179208463706
"853","XYT",213,"VEGF","Cuprizone",5.77,6.443333333,0.895499224050465,-0.159235912769962
"854","XYT",36,"VEGF","Cuprizone",4.66,6.443333333,0.723228142820653,-0.467477276761164
"855","XYT",39,"VEGF","Cuprizone",5.31,6.443333333,0.824107604802075,-0.279095370611291
"856","XYT",220,"VEGF","Cuprizone",1.43,6.443333333,0.221934816359128,-2.17179208463706
"857","XYT",206,"VEGF","Cuprizone",1.43,6.443333333,0.221934816359128,-2.17179208463706
"858","XYT",174,"VEGF","Cuprizone",2.84,6.443333333,0.440765649272673,-1.18191630191076
