Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYT,174,IFNg,Cuprizone,2.7,5.268571429
XXO,212,IL1a,Control,94.16,40.37
XXO,210,IL1a,Control,23.28,40.37
XXO,191,IL1a,Control,57.76,40.37
XXO,153,IL1a,Control,61.79,40.37
XXO,201,IL1a,Control,34.38,40.37
XXO,154,IL1a,Control,12.43,40.37
XXO,155,IL1a,Control,19.96,40.37
XXO,169,IL1a,Control,27.73,40.37
XXO,189,IL1a,Cuprizone,32.17,40.37
XXO,190,IL1a,Cuprizone,23.28,40.37
XXO,193,IL1a,Cuprizone,23.28,40.37
XXO,164,IL1a,Cuprizone,13.48,40.37
XYO,209,IL1a,Control,43.1,40.37
XYO,21,IL1a,Control,36.58,40.37
XYO,34,IL1a,Control,40.94,40.37
XYO,211,IL1a,Cuprizone,100.07,40.37
XYO,184,IL1a,Cuprizone,10.38,40.37
XXT,219,IL1a,Control,48.43,40.37
XXT,216,IL1a,Control,23.28,40.37
XXT,214,IL1a,Control,1.58,40.37
XXT,157,IL1a,Control,14.54,40.37
XXT,158,IL1a,Control,27.73,40.37
XXT,160,IL1a,Control,36.58,40.37
XXT,207,IL1a,Cuprizone,1.58,40.37
XXT,205,IL1a,Cuprizone,1.58,40.37
XXT,208,IL1a,Cuprizone,32.17,40.37
XXT,182,IL1a,Cuprizone,18.87,40.37
XXT,188,IL1a,Cuprizone,55.71,40.37
XXT,187,IL1a,Cuprizone,1.58,40.37
XYT,159,IL1a,Control,49.48,40.37
XYT,195,IL1a,Control,95.02,40.37
XYT,215,IL1a,Control,65.75,40.37
XYT,196,IL1a,Control,33.27,40.37
XYT,213,IL1a,Cuprizone,29.95,40.37
XYT,36,IL1a,Cuprizone,21.07,40.37
XYT,39,IL1a,Cuprizone,14.54,40.37
XYT,220,IL1a,Cuprizone,1.58,40.37
XYT,206,IL1a,Cuprizone,1.58,40.37
XYT,174,IL1a,Cuprizone,18.87,40.37
XXO,212,IL2,Control,20.92,14.26333333
XXO,210,IL2,Control,18.7,14.26333333
XXO,191,IL2,Control,15.36,14.26333333
XXO,153,IL2,Control,15.55,14.26333333
XXO,201,IL2,Control,14.19,14.26333333
XXO,154,IL2,Control,11.65,14.26333333
XXO,155,IL2,Control,9.14,14.26333333
XXO,169,IL2,Control,9.48,14.26333333
XXO,189,IL2,Cuprizone,16.31,14.26333333
XXO,190,IL2,Cuprizone,11.54,14.26333333
XXO,193,IL2,Cuprizone,13.69,14.26333333
XXO,164,IL2,Cuprizone,8.92,14.26333333
XYO,209,IL2,Control,18.43,14.26333333
XYO,21,IL2,Control,13.19,14.26333333
XYO,34,IL2,Control,9.37,14.26333333
XYO,211,IL2,Cuprizone,22.56,14.26333333
XYO,184,IL2,Cuprizone,10.04,14.26333333
XXT,219,IL2,Control,19.78,14.26333333
XXT,216,IL2,Control,14.97,14.26333333
XXT,214,IL2,Control,4.28,14.26333333
XXT,157,IL2,Control,10.26,14.26333333
XXT,158,IL2,Control,18.89,14.26333333
XXT,160,IL2,Control,12.99,14.26333333
XXT,207,IL2,Cuprizone,4.28,14.26333333
XXT,205,IL2,Cuprizone,4.28,14.26333333
XXT,208,IL2,Cuprizone,12.79,14.26333333
XXT,182,IL2,Cuprizone,12.38,14.26333333
XXT,188,IL2,Cuprizone,13.19,14.26333333
XXT,187,IL2,Cuprizone,4.28,14.26333333
XYT,159,IL2,Control,12.99,14.26333333
XYT,195,IL2,Control,18.89,14.26333333
XYT,215,IL2,Control,16.31,14.26333333
XYT,196,IL2,Control,14.19,14.26333333
XYT,213,IL2,Cuprizone,12.79,14.26333333
XYT,36,IL2,Cuprizone,11.75,14.26333333
XYT,39,IL2,Cuprizone,12.38,14.26333333
XYT,220,IL2,Cuprizone,4.28,14.26333333
XYT,206,IL2,Cuprizone,4.28,14.26333333
XYT,174,IL2,Cuprizone,10.91,14.26333333
XXO,212,IL6,Control,5.81,3.553809524
XXO,210,IL6,Control,5.06,3.553809524
XXO,191,IL6,Control,3.34,3.553809524
XXO,153,IL6,Control,6.19,3.553809524
XXO,201,IL6,Control,4,3.553809524
XXO,154,IL6,Control,3.02,3.553809524
XXO,155,IL6,Control,2.41,3.553809524
XXO,169,IL6,Control,2.41,3.553809524
XXO,189,IL6,Cuprizone,4.7,3.553809524
XXO,190,IL6,Cuprizone,3.34,3.553809524
XXO,193,IL6,Cuprizone,3.02,3.553809524
XXO,164,IL6,Cuprizone,3.02,3.553809524
XYO,209,IL6,Control,3.02,3.553809524
XYO,21,IL6,Control,2.71,3.553809524
XYO,34,IL6,Control,2.41,3.553809524
XYO,211,IL6,Cuprizone,5.43,3.553809524
XYO,184,IL6,Cuprizone,2.41,3.553809524
XXT,219,IL6,Control,4,3.553809524
XXT,216,IL6,Control,2.71,3.553809524
XXT,214,IL6,Control,2.41,3.553809524
XXT,157,IL6,Control,2.87,3.553809524
XXT,158,IL6,Control,3.34,3.553809524
XXT,160,IL6,Control,2.42,3.553809524
XXT,207,IL6,Cuprizone,2.41,3.553809524
XXT,205,IL6,Cuprizone,2.41,3.553809524
XXT,208,IL6,Cuprizone,3.5,3.553809524
XXT,182,IL6,Cuprizone,2.41,3.553809524
XXT,188,IL6,Cuprizone,4.35,3.553809524
XXT,187,IL6,Cuprizone,2.41,3.553809524
XYT,159,IL6,Control,5.06,3.553809524
XYT,195,IL6,Control,3.67,3.553809524
XYT,215,IL6,Control,5.06,3.553809524
XYT,196,IL6,Control,2.71,3.553809524
XYT,213,IL6,Cuprizone,5.06,3.553809524
XYT,36,IL6,Cuprizone,2.41,3.553809524
