Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYT,174,IP10,Cuprizone,233.77,29.9652381
XXO,212,KC,Control,17.88,10.8352381
XXO,210,KC,Control,17.88,10.8352381
XXO,191,KC,Control,12.56,10.8352381
XXO,153,KC,Control,10.83,10.8352381
XXO,201,KC,Control,12.56,10.8352381
XXO,154,KC,Control,9.15,10.8352381
XXO,155,KC,Control,8.06,10.8352381
XXO,169,KC,Control,5.47,10.8352381
XXO,189,KC,Cuprizone,20.29,10.8352381
XXO,190,KC,Cuprizone,14.31,10.8352381
XXO,193,KC,Cuprizone,16.68,10.8352381
XXO,164,KC,Cuprizone,16.68,10.8352381
XYO,209,KC,Control,16.68,10.8352381
XYO,21,KC,Control,13.14,10.8352381
XYO,34,KC,Control,11.98,10.8352381
XYO,211,KC,Cuprizone,41.21,10.8352381
XYO,184,KC,Cuprizone,10.27,10.8352381
XXT,219,KC,Control,8.6,10.8352381
XXT,216,KC,Control,10.83,10.8352381
XXT,214,KC,Control,3.24,10.8352381
XXT,157,KC,Control,9.15,10.8352381
XXT,158,KC,Control,12.56,10.8352381
XXT,160,KC,Control,10.27,10.8352381
XXT,207,KC,Cuprizone,3.24,10.8352381
XXT,205,KC,Cuprizone,3.24,10.8352381
XXT,208,KC,Cuprizone,13.14,10.8352381
XXT,182,KC,Cuprizone,12.56,10.8352381
XXT,188,KC,Cuprizone,9.98,10.8352381
XXT,187,KC,Cuprizone,3.24,10.8352381
XYT,159,KC,Control,7,10.8352381
XYT,195,KC,Control,11.4,10.8352381
XYT,215,KC,Control,9.15,10.8352381
XYT,196,KC,Control,9.15,10.8352381
XYT,213,KC,Cuprizone,11.4,10.8352381
XYT,36,KC,Cuprizone,4.98,10.8352381
XYT,39,KC,Cuprizone,8.6,10.8352381
XYT,220,KC,Cuprizone,3.24,10.8352381
XYT,206,KC,Cuprizone,3.24,10.8352381
XYT,174,KC,Cuprizone,7,10.8352381
XXO,212,MCP1,Control,21.66,7.711904762
XXO,210,MCP1,Control,11.77,7.711904762
XXO,191,MCP1,Control,5.75,7.711904762
XXO,153,MCP1,Control,8.66,7.711904762
XXO,201,MCP1,Control,5.75,7.711904762
XXO,154,MCP1,Control,8.66,7.711904762
XXO,155,MCP1,Control,5.75,7.711904762
XXO,169,MCP1,Control,5.75,7.711904762
XXO,189,MCP1,Cuprizone,11.77,7.711904762
XXO,190,MCP1,Cuprizone,5.75,7.711904762
XXO,193,MCP1,Cuprizone,11.77,7.711904762
XXO,164,MCP1,Cuprizone,5.75,7.711904762
XYO,209,MCP1,Control,3.17,7.711904762
XYO,21,MCP1,Control,11.77,7.711904762
XYO,34,MCP1,Control,3.17,7.711904762
XYO,211,MCP1,Cuprizone,13.37,7.711904762
XYO,184,MCP1,Cuprizone,3.17,7.711904762
XXT,219,MCP1,Control,5.75,7.711904762
XXT,216,MCP1,Control,5.75,7.711904762
XXT,214,MCP1,Control,1.73,7.711904762
XXT,157,MCP1,Control,8.66,7.711904762
XXT,158,MCP1,Control,10.19,7.711904762
XXT,160,MCP1,Control,8.66,7.711904762
XXT,207,MCP1,Cuprizone,1.73,7.711904762
XXT,205,MCP1,Cuprizone,1.73,7.711904762
XXT,208,MCP1,Cuprizone,5.75,7.711904762
XXT,182,MCP1,Cuprizone,5.75,7.711904762
XXT,188,MCP1,Cuprizone,3.17,7.711904762
XXT,187,MCP1,Cuprizone,1.73,7.711904762
XYT,159,MCP1,Control,3.17,7.711904762
XYT,195,MCP1,Control,8.66,7.711904762
XYT,215,MCP1,Control,11.77,7.711904762
XYT,196,MCP1,Control,5.75,7.711904762
XYT,213,MCP1,Cuprizone,8.66,7.711904762
XYT,36,MCP1,Cuprizone,3.17,7.711904762
XYT,39,MCP1,Cuprizone,5.75,7.711904762
XYT,220,MCP1,Cuprizone,1.73,7.711904762
XYT,206,MCP1,Cuprizone,1.73,7.711904762
XYT,174,MCP1,Cuprizone,5.75,7.711904762
XXO,212,MIP1a,Control,18.65,17.70333333
XXO,210,MIP1a,Control,26.14,17.70333333
XXO,191,MIP1a,Control,15.53,17.70333333
XXO,153,MIP1a,Control,20.19,17.70333333
XXO,201,MIP1a,Control,20.19,17.70333333
XXO,154,MIP1a,Control,18.65,17.70333333
XXO,155,MIP1a,Control,15.53,17.70333333
XXO,169,MIP1a,Control,15.53,17.70333333
XXO,189,MIP1a,Cuprizone,21.71,17.70333333
XXO,190,MIP1a,Cuprizone,20.19,17.70333333
XXO,193,MIP1a,Cuprizone,17.1,17.70333333
XXO,164,MIP1a,Cuprizone,20.19,17.70333333
XYO,209,MIP1a,Control,23.21,17.70333333
XYO,21,MIP1a,Control,17.1,17.70333333
XYO,34,MIP1a,Control,13.94,17.70333333
XYO,211,MIP1a,Cuprizone,24.68,17.70333333
XYO,184,MIP1a,Cuprizone,15.53,17.70333333
XXT,219,MIP1a,Control,20.19,17.70333333
XXT,216,MIP1a,Control,10.76,17.70333333
XXT,214,MIP1a,Control,3.07,17.70333333
XXT,157,MIP1a,Control,20.19,17.70333333
XXT,158,MIP1a,Control,27.58,17.70333333
XXT,160,MIP1a,Control,20.19,17.70333333
XXT,207,MIP1a,Cuprizone,3.07,17.70333333
XXT,205,MIP1a,Cuprizone,3.07,17.70333333
XXT,208,MIP1a,Cuprizone,18.65,17.70333333
XXT,182,MIP1a,Cuprizone,27.58,17.70333333
XXT,188,MIP1a,Cuprizone,12.35,17.70333333
XXT,187,MIP1a,Cuprizone,3.07,17.70333333
XYT,159,MIP1a,Control,12.35,17.70333333
XYT,195,MIP1a,Control,13.94,17.70333333
XYT,215,MIP1a,Control,20.19,17.70333333
XYT,196,MIP1a,Control,18.65,17.70333333
XYT,213,MIP1a,Cuprizone,15.53,17.70333333
XYT,36,MIP1a,Cuprizone,15.53,17.70333333
XYT,39,MIP1a,Cuprizone,15.53,17.70333333
XYT,220,MIP1a,Cuprizone,3.07,17.70333333
XYT,206,MIP1a,Cuprizone,3.07,17.70333333
XYT,174,MIP1a,Cuprizone,15.53,17.70333333
XXO,212,MIP1b,Control,13.28,8.434285714
XXO,210,MIP1b,Control,12.48,8.434285714
XXO,191,MIP1b,Control,9.28,8.434285714
XXO,153,MIP1b,Control,13.28,8.434285714
XXO,201,MIP1b,Control,11.68,8.434285714
XXO,154,MIP1b,Control,10.08,8.434285714
XXO,155,MIP1b,Control,7.69,8.434285714
XXO,169,MIP1b,Control,6.9,8.434285714
XXO,189,MIP1b,Cuprizone,28.46,8.434285714
XXO,190,MIP1b,Cuprizone,23,8.434285714
XXO,193,MIP1b,Cuprizone,22.62,8.434285714
XXO,164,MIP1b,Cuprizone,21.87,8.434285714
XYO,209,MIP1b,Control,5.36,8.434285714
XYO,21,MIP1b,Control,6.9,8.434285714
XYO,34,MIP1b,Control,6.13,8.434285714
XYO,211,MIP1b,Cuprizone,33.95,8.434285714
XYO,184,MIP1b,Cuprizone,18.81,8.434285714
XXT,219,MIP1b,Control,7.69,8.434285714
XXT,216,MIP1b,Control,6.9,8.434285714
XXT,214,MIP1b,Control,3.11,8.434285714
XXT,157,MIP1b,Control,8.48,8.434285714
XXT,158,MIP1b,Control,10.88,8.434285714
XXT,160,MIP1b,Control,8.48,8.434285714
XXT,207,MIP1b,Cuprizone,4.61,8.434285714
XXT,205,MIP1b,Cuprizone,3.11,8.434285714
XXT,208,MIP1b,Cuprizone,23.37,8.434285714
XXT,182,MIP1b,Cuprizone,35.27,8.434285714
XXT,188,MIP1b,Cuprizone,13.28,8.434285714
XXT,187,MIP1b,Cuprizone,9.28,8.434285714
XYT,159,MIP1b,Control,4.61,8.434285714
XYT,195,MIP1b,Control,6.13,8.434285714
XYT,215,MIP1b,Control,10.88,8.434285714
XYT,196,MIP1b,Control,6.9,8.434285714
XYT,213,MIP1b,Cuprizone,20.35,8.434285714
XYT,36,MIP1b,Cuprizone,6.9,8.434285714
XYT,39,MIP1b,Cuprizone,12.48,8.434285714
XYT,220,MIP1b,Cuprizone,3.11,8.434285714
XYT,206,MIP1b,Cuprizone,3.11,8.434285714
XYT,174,MIP1b,Cuprizone,14.88,8.434285714
XXO,212,MCSF,Control,14.32,9.546666667
XXO,210,MCSF,Control,11.45,9.546666667
XXO,191,MCSF,Control,11.8,9.546666667
XXO,153,MCSF,Control,12.16,9.546666667
XXO,201,MCSF,Control,10.05,9.546666667
XXO,154,MCSF,Control,11.1,9.546666667
XXO,155,MCSF,Control,7.34,9.546666667
XXO,169,MCSF,Control,6.05,9.546666667
XXO,189,MCSF,Cuprizone,12.88,9.546666667
XXO,190,MCSF,Cuprizone,12.88,9.546666667
XXO,193,MCSF,Cuprizone,14.32,9.546666667
XXO,164,MCSF,Cuprizone,12.88,9.546666667
XYO,209,MCSF,Control,8.67,9.546666667
XYO,21,MCSF,Control,11.45,9.546666667
XYO,34,MCSF,Control,8.67,9.546666667
XYO,211,MCSF,Cuprizone,14.32,9.546666667
XYO,184,MCSF,Cuprizone,11.8,9.546666667
XXT,219,MCSF,Control,9.36,9.546666667
XXT,216,MCSF,Control,6.05,9.546666667
XXT,214,MCSF,Control,3.22,9.546666667
XXT,157,MCSF,Control,14.32,9.546666667
XXT,158,MCSF,Control,15.05,9.546666667
XXT,160,MCSF,Control,6.05,9.546666667
XXT,207,MCSF,Cuprizone,3.22,9.546666667
XXT,205,MCSF,Cuprizone,3.22,9.546666667
XXT,208,MCSF,Cuprizone,7.34,9.546666667
XXT,182,MCSF,Cuprizone,15.05,9.546666667
XXT,188,MCSF,Cuprizone,8.67,9.546666667
XXT,187,MCSF,Cuprizone,3.22,9.546666667
XYT,159,MCSF,Control,8.67,9.546666667
XYT,195,MCSF,Control,8,9.546666667
XYT,215,MCSF,Control,9.36,9.546666667
XYT,196,MCSF,Control,7.34,9.546666667
XYT,213,MCSF,Cuprizone,8,9.546666667
XYT,36,MCSF,Cuprizone,5.43,9.546666667
XYT,39,MCSF,Cuprizone,8.67,9.546666667
XYT,220,MCSF,Cuprizone,3.22,9.546666667
XYT,206,MCSF,Cuprizone,3.22,9.546666667
XYT,174,MCSF,Cuprizone,11.45,9.546666667
XXO,212,MIP2,Control,24.94,12.03238095
XXO,210,MIP2,Control,12.73,12.03238095
XXO,191,MIP2,Control,15.39,12.03238095
XXO,153,MIP2,Control,12.73,12.03238095
XXO,201,MIP2,Control,9.9,12.03238095
XXO,154,MIP2,Control,12.73,12.03238095
XXO,155,MIP2,Control,9.9,12.03238095
XXO,169,MIP2,Control,6.79,12.03238095
XXO,189,MIP2,Cuprizone,12.73,12.03238095
XXO,190,MIP2,Cuprizone,12.73,12.03238095
XXO,193,MIP2,Cuprizone,9.9,12.03238095
XXO,164,MIP2,Cuprizone,12.73,12.03238095
XYO,209,MIP2,Control,9.9,12.03238095
XYO,21,MIP2,Control,12.73,12.03238095
XYO,34,MIP2,Control,12.73,12.03238095
XYO,211,MIP2,Cuprizone,20.33,12.03238095
XYO,184,MIP2,Cuprizone,6.79,12.03238095
XXT,219,MIP2,Control,6.79,12.03238095
XXT,216,MIP2,Control,9.9,12.03238095
XXT,214,MIP2,Control,4.37,12.03238095
XXT,157,MIP2,Control,12.73,12.03238095
XXT,158,MIP2,Control,12.73,12.03238095
XXT,160,MIP2,Control,15.39,12.03238095
XXT,207,MIP2,Cuprizone,4.37,12.03238095
XXT,205,MIP2,Cuprizone,4.37,12.03238095
XXT,208,MIP2,Cuprizone,12.73,12.03238095
XXT,182,MIP2,Cuprizone,12.73,12.03238095
XXT,188,MIP2,Cuprizone,12.73,12.03238095
XXT,187,MIP2,Cuprizone,4.37,12.03238095
XYT,159,MIP2,Control,6.79,12.03238095
XYT,195,MIP2,Control,12.73,12.03238095
XYT,215,MIP2,Control,15.39,12.03238095
XYT,196,MIP2,Control,15.39,12.03238095
XYT,213,MIP2,Cuprizone,12.73,12.03238095
XYT,36,MIP2,Cuprizone,9.9,12.03238095
XYT,39,MIP2,Cuprizone,12.73,12.03238095
XYT,220,MIP2,Cuprizone,4.37,12.03238095
XYT,206,MIP2,Cuprizone,4.37,12.03238095
XYT,174,MIP2,Cuprizone,6.79,12.03238095
XXO,212,MIG,Control,9.41,5.172380952
XXO,210,MIG,Control,8.1,5.172380952
XXO,191,MIG,Control,7.16,5.172380952
XXO,153,MIG,Control,6.67,5.172380952
XXO,201,MIG,Control,3.92,5.172380952
XXO,154,MIG,Control,3.92,5.172380952
XXO,155,MIG,Control,3.92,5.172380952
XXO,169,MIG,Control,3.92,5.172380952
XXO,189,MIG,Cuprizone,19.67,5.172380952
XXO,190,MIG,Cuprizone,19.37,5.172380952
XXO,193,MIG,Cuprizone,29.98,5.172380952
XXO,164,MIG,Cuprizone,14.65,5.172380952
XYO,209,MIG,Control,5.63,5.172380952
XYO,21,MIG,Control,3.92,5.172380952
XYO,34,MIG,Control,8.98,5.172380952
XYO,211,MIG,Cuprizone,38.03,5.172380952
XYO,184,MIG,Cuprizone,9.41,5.172380952
XXT,219,MIG,Control,4.48,5.172380952
XXT,216,MIG,Control,3.92,5.172380952
XXT,214,MIG,Control,3.92,5.172380952
XXT,157,MIG,Control,3.92,5.172380952
XXT,158,MIG,Control,6.67,5.172380952
XXT,160,MIG,Control,3.92,5.172380952
XXT,207,MIG,Cuprizone,5.63,5.172380952
XXT,205,MIG,Cuprizone,3.92,5.172380952
XXT,208,MIG,Cuprizone,18.78,5.172380952
XXT,182,MIG,Cuprizone,14.65,5.172380952
XXT,188,MIG,Cuprizone,20.53,5.172380952
XXT,187,MIG,Cuprizone,3.92,5.172380952
XYT,159,MIG,Control,3.92,5.172380952
XYT,195,MIG,Control,3.92,5.172380952
XYT,215,MIG,Control,4.48,5.172380952
XYT,196,MIG,Control,3.92,5.172380952
XYT,213,MIG,Cuprizone,19.08,5.172380952
XYT,36,MIG,Cuprizone,10.64,5.172380952
XYT,39,MIG,Cuprizone,8.55,5.172380952
XYT,220,MIG,Cuprizone,3.92,5.172380952
XYT,206,MIG,Cuprizone,5.07,5.172380952
XYT,174,MIG,Cuprizone,13.96,5.172380952
XXO,212,VEGF,Control,7.35,6.443333333
XXO,210,VEGF,Control,8.76,6.443333333
XXO,191,VEGF,Control,8.57,6.443333333
XXO,153,VEGF,Control,3.29,6.443333333
XXO,201,VEGF,Control,5.77,6.443333333
XXO,154,VEGF,Control,5.08,6.443333333
XXO,155,VEGF,Control,6.79,6.443333333
XXO,169,VEGF,Control,7.54,6.443333333
XXO,189,VEGF,Cuprizone,9.79,6.443333333
XXO,190,VEGF,Cuprizone,6.79,6.443333333
XXO,193,VEGF,Cuprizone,5.68,6.443333333
XXO,164,VEGF,Cuprizone,4.3,6.443333333
XYO,209,VEGF,Control,11.96,6.443333333
XYO,21,VEGF,Control,7.54,6.443333333
XYO,34,VEGF,Control,10.36,6.443333333
XYO,211,VEGF,Cuprizone,7.17,6.443333333
XYO,184,VEGF,Cuprizone,4.2,6.443333333
XXT,219,VEGF,Control,5.68,6.443333333
XXT,216,VEGF,Control,12.43,6.443333333
XXT,214,VEGF,Control,1.43,6.443333333
XXT,157,VEGF,Control,3.56,6.443333333
XXT,158,VEGF,Control,5.12,6.443333333
XXT,160,VEGF,Control,5.68,6.443333333
XXT,207,VEGF,Cuprizone,1.43,6.443333333
XXT,205,VEGF,Cuprizone,1.43,6.443333333
XXT,208,VEGF,Cuprizone,4.85,6.443333333
XXT,182,VEGF,Cuprizone,3.84,6.443333333
XXT,188,VEGF,Cuprizone,3.29,6.443333333
XXT,187,VEGF,Cuprizone,1.43,6.443333333
XYT,159,VEGF,Control,2.74,6.443333333
XYT,195,VEGF,Control,3.65,6.443333333
XYT,215,VEGF,Control,5.4,6.443333333
XYT,196,VEGF,Control,6.61,6.443333333
XYT,213,VEGF,Cuprizone,5.77,6.443333333
XYT,36,VEGF,Cuprizone,4.66,6.443333333
XYT,39,VEGF,Cuprizone,5.31,6.443333333
XYT,220,VEGF,Cuprizone,1.43,6.443333333
XYT,206,VEGF,Cuprizone,1.43,6.443333333
XYT,174,VEGF,Cuprizone,2.84,6.443333333
