X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_F_GDQvsSaline
Taf5,89.43073238,0.224969964,0.091862275,2.416382307,0.015675593,0.707547848,red,Taf5
Ube2n-ps1,56.17699091,0.224772572,0.102262693,2.125260011,0.033564923,0.73082813,red,Ube2n-ps1
Zbtb24,167.0871721,0.224612852,0.071621329,3.123695649,0.001785951,0.438569999,red,Zbtb24
Rapsn,15.99974929,0.224415264,0.098687113,2.172098132,0.029848262,NA,red,Rapsn
Ppih,62.18011545,0.222548465,0.103762891,2.317095593,0.020498525,0.707547848,red,Ppih
Ttc26,144.5500581,0.222215629,0.076966194,2.872828305,0.004068151,0.550567547,red,Ttc26
Magee2,119.5919063,0.220838537,0.101019118,2.17088101,0.029940168,0.73082813,red,Magee2
Kcnh1,604.1317385,0.220426819,0.076633146,2.869563632,0.004110386,0.550567547,red,Kcnh1
Gm9800,331.4449557,0.219989167,0.077708711,2.83184338,0.004628051,0.553569634,red,Gm9800
Pkdcc,177.3137753,0.219679457,0.075285734,2.895530396,0.003785184,0.545456169,red,Pkdcc
F11r,187.8690785,0.219542782,0.097113364,2.254912747,0.024138806,0.707547848,red,F11r
Sh3bgr,30.70710495,0.218716131,0.103440124,2.092785146,0.036368338,0.73082813,red,Sh3bgr
Lnx2,94.2368358,0.21827698,0.093355747,2.32877517,0.019870979,0.707547848,red,Lnx2
Pld4,170.831193,0.218036595,0.083430453,2.602112092,0.009265156,0.649869512,red,Pld4
Gm28529,15.9799385,0.217872994,0.094904561,2.340726982,0.019246235,NA,red,Gm28529
Gabrd,441.7293064,0.21763319,0.073631995,2.947320363,0.003205409,0.515865693,red,Gabrd
Jmjd8,251.8703911,0.217615024,0.071934903,3.015692463,0.002563932,0.484320111,red,Jmjd8
Tlr2,32.13305254,0.216272012,0.104041059,2.075481156,0.037941964,0.73082813,red,Tlr2
3110070M22Rik,24.91210999,0.215851161,0.103827375,2.103755979,0.035399739,0.73082813,red,3110070M22Rik
Gm7392,11.48308312,0.215834277,0.096446831,2.186672088,0.028766471,NA,red,Gm7392
Cdk5rap1,148.5395152,0.215076634,0.095062478,2.255806297,0.024082765,0.707547848,red,Cdk5rap1
Gm7336,224.6090742,0.21461559,0.089916582,2.382111926,0.017213665,0.707547848,red,Gm7336
Gm11605,5.356365989,0.213741128,0.079911543,2.58277353,0.009800964,NA,red,Gm11605
