X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Gm12346,227.9422058,-0.23502261,0.086757981,-2.710323352,0.006721764,0.130071213,blue,Gm12346
Sez6l,2958.341505,-0.235048277,0.082835975,-2.836417015,0.004562283,0.111727498,blue,Sez6l
Gm10074,28.11762522,-0.235089504,0.104112916,-2.286780202,0.022208656,0.211197724,blue,Gm10074
Slc2a6,329.9377886,-0.235493602,0.084378381,-2.792359151,0.005232524,0.117176191,blue,Slc2a6
Rasl10a,780.359568,-0.235520169,0.093497544,-2.529530761,0.011421516,0.161266001,blue,Rasl10a
Hectd2,235.2714707,-0.23611166,0.091931413,-2.569252442,0.010191818,0.15443414,blue,Hectd2
Gm6970,15.98905276,-0.236212824,0.102054787,-2.316148657,0.020550153,0.205698093,blue,Gm6970
Neurod2,1754.555183,-0.236470997,0.081652393,-2.901768553,0.003710626,0.104211579,blue,Neurod2
Fam185a,182.2296243,-0.236775708,0.076866652,-3.081780604,0.002057664,0.080287461,blue,Fam185a
Syt4,1582.933111,-0.236842839,0.082766303,-2.861605722,0.004215009,0.10937639,blue,Syt4
Lrrc42,276.1833703,-0.237028845,0.077124858,-3.075530333,0.002101286,0.081040552,blue,Lrrc42
Slc16a7,352.3166074,-0.237256726,0.078981769,-3.003694417,0.002667231,0.091062974,blue,Slc16a7
Brinp1,2383.713301,-0.237272254,0.09081069,-2.615832728,0.008901015,0.144824036,blue,Brinp1
Tnr,1789.978967,-0.237369197,0.086689862,-2.732845811,0.006278972,0.125993058,blue,Tnr
Grem2,171.6228718,-0.237686768,0.091086627,-2.601607892,0.009278787,0.14700143,blue,Grem2
2310002F09Rik,60.82898194,-0.237945076,0.098594069,-2.405157959,0.016165477,0.186523052,blue,2310002F09Rik
Gm34583,108.4622336,-0.237974386,0.099466349,-2.405503787,0.016150185,0.186523052,blue,Gm34583
Robo2,986.9808118,-0.238258512,0.086751102,-2.743386682,0.006080903,0.124464285,blue,Robo2
