X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Gm20559,27.92973612,0.460347307,0.104086933,4.253972862,2.10E-05,0.008070803,red,Gm20559
Smyd1,52.4134527,0.446316732,0.103732925,4.448365661,8.65E-06,0.004971076,red,Smyd1
Cxcl16,35.58610061,0.443739184,0.104029346,4.245624132,2.18E-05,0.008070803,red,Cxcl16
Ucp3,74.52461332,0.43821697,0.102679211,4.218248971,2.46E-05,0.008371536,red,Ucp3
Nfatc4,35.38397777,0.432440976,0.104197669,4.105066143,4.04E-05,0.011959342,red,Nfatc4
Gstt3,82.11927675,0.428060723,0.092718192,4.581150259,4.62E-06,0.002963258,red,Gstt3
Gstm2,59.06439271,0.424857479,0.101546563,4.154500931,3.26E-05,0.010248033,red,Gstm2
Ifih1,115.3826267,0.420140855,0.096454311,4.333779147,1.47E-05,0.00698833,red,Ifih1
H2-Eb1,69.89884035,0.418509955,0.098960224,4.557305905,5.18E-06,0.003197304,red,H2-Eb1
Apod,2955.720184,0.41630738,0.088739244,4.696908857,2.64E-06,0.001913322,red,Apod
Fbln5,118.0759109,0.415351758,0.103380103,4.095445495,4.21E-05,0.012103853,red,Fbln5
Plscr2,72.90404154,0.405672184,0.104210949,3.889894108,0.000100288,0.018596675,red,Plscr2
Cyp27a1,90.28963265,0.404249197,0.09437348,4.30270332,1.69E-05,0.007338027,red,Cyp27a1
Gbp9,69.08280177,0.398170627,0.099186009,3.973924241,7.07E-05,0.01578452,red,Gbp9
Slc2a4,27.79862711,0.394060593,0.10339327,3.7162645,0.00020219,0.025912971,red,Slc2a4
Igtp,76.41178818,0.390709883,0.103831117,3.787135725,0.000152394,0.022669948,red,Igtp
Pon2,1658.379227,0.386068156,0.089681444,4.314436718,1.60E-05,0.007327395,red,Pon2
C1qtnf1,24.80944826,0.381905646,0.099770907,3.745382812,0.000180119,0.024857822,red,C1qtnf1
Eif2ak2,172.881981,0.381859392,0.096794534,3.924090108,8.71E-05,0.017688729,red,Eif2ak2
Angptl4,51.67239627,0.379585575,0.103551083,3.675953864,0.000236962,0.028111367,red,Angptl4
Mettl11b,31.71883695,0.378057777,0.104101935,3.804935291,0.000141841,0.021290246,red,Mettl11b
Cd74,136.7048601,0.377585903,0.096081456,4.238802611,2.25E-05,0.008127471,red,Cd74
Tsc22d3,1483.878094,0.376421611,0.084741265,4.49480096,6.96E-06,0.004143534,red,Tsc22d3
Mgst1,272.1874588,0.37599414,0.09255195,4.070368532,4.69E-05,0.013034129,red,Mgst1
Sod3,261.8572205,0.374417671,0.099180292,3.807548332,0.000140351,0.02125812,red,Sod3
Lrrk1,91.33280517,0.372823822,0.096934041,3.84355182,0.000121266,0.019513121,red,Lrrk1
Epsti1,22.22262088,0.369583937,0.103907613,3.55252916,0.000381547,0.035327074,red,Epsti1
C230035I16Rik,21.41034858,0.368751285,0.103973371,3.44117487,0.000579194,0.045304942,red,C230035I16Rik
AC161607.1,70.6515827,0.368603316,0.102913407,3.5812427,0.000341964,0.034037537,red,AC161607.1
C4b,1789.088676,0.368289664,0.09436269,3.903823072,9.47E-05,0.018403709,red,C4b
Pygm,881.5375655,0.367079323,0.09501576,3.877583488,0.000105499,0.018900226,red,Pygm
Trim34a,34.03309668,0.366961342,0.104151346,3.46475078,0.000530723,0.042716796,red,Trim34a
Samd9l,82.06273954,0.365482903,0.099037669,3.674942428,0.000237903,0.028111367,red,Samd9l
Plcxd1,109.9397807,0.365441639,0.085998944,4.227310039,2.37E-05,0.008209072,red,Plcxd1
Txnip,479.4440993,0.365242069,0.090554617,4.047392192,5.18E-05,0.014145851,red,Txnip
Slc7a10,676.3006372,0.36352276,0.084524504,4.298744649,1.72E-05,0.007338027,red,Slc7a10
Thbs1,72.42274171,0.361243041,0.103176785,3.557625758,0.000374222,0.035027596,red,Thbs1
AW551984,48.50230823,0.35922446,0.102849914,3.509437572,0.000449055,0.038326703,red,AW551984
Trim12a,86.2458824,0.358417579,0.098913068,3.597863519,0.000320842,0.033242461,red,Trim12a
Parp3,105.4585596,0.356000983,0.095914944,3.693763267,0.00022096,0.027069166,red,Parp3
Ifi35,51.09715849,0.355706748,0.101384255,3.516836663,0.000436722,0.038095458,red,Ifi35
Acer2,106.1407788,0.355132267,0.087788643,4.033215624,5.50E-05,0.014753622,red,Acer2
Lrig3,52.4478568,0.354461119,0.099813949,3.566860332,0.000361284,0.034200859,red,Lrig3
Dbp,1046.21154,0.352563683,0.082888082,4.265979998,1.99E-05,0.008070803,red,Dbp
Gjb6,1575.128964,0.351404823,0.083609968,4.2129937,2.52E-05,0.008397414,red,Gjb6
Serping1,159.1089241,0.350451605,0.102867599,3.385156026,0.000711378,0.049148899,red,Serping1
Slc22a18,15.94130973,0.349062602,0.099931367,3.478742407,0.000503773,0.041757985,red,Slc22a18
Rnf213,236.5086611,0.348098832,0.100813862,3.430651044,0.000602135,0.04644521,red,Rnf213
Efemp2,290.5858102,0.347720571,0.091348189,3.813815107,0.000136838,0.021065977,red,Efemp2
Pbx3,108.8021603,0.346708165,0.093743307,3.703055682,0.000213018,0.026485781,red,Pbx3
Fzd4,371.438167,0.346133895,0.097057188,3.617016119,0.000298019,0.032666384,red,Fzd4
Atp10d,53.24202602,0.343845298,0.101644387,3.340914617,0.000835029,0.053100832,red,Atp10d
Ttc39a,30.34884249,0.343718731,0.103674705,3.285135204,0.001019334,0.057414887,red,Ttc39a
Fmo2,60.35771536,0.341897642,0.103675935,3.690949484,0.000223419,0.027170626,red,Fmo2
Bmp7,256.3813273,0.341714838,0.101605921,3.41237906,0.000643985,0.047547733,red,Bmp7
Itga5,39.57595434,0.34144359,0.102920771,3.250441207,0.001152261,0.059835626,red,Itga5
Timp3,1536.779148,0.341262741,0.086827343,3.929050709,8.53E-05,0.017640031,red,Timp3
H2-Aa,59.47149484,0.34120149,0.09499069,3.859773743,0.000113492,0.019334893,red,H2-Aa
Islr,362.6404953,0.338437672,0.103600052,3.271009801,0.001071642,0.058785942,red,Islr
Sp100,57.4931211,0.337178708,0.103185049,3.253871653,0.001138437,0.059835626,red,Sp100
Ston1,94.66211554,0.337054142,0.099089533,3.380808361,0.000722729,0.049148899,red,Ston1
Dhx58,26.27873413,0.336707125,0.101169733,3.341735337,0.000832564,0.053100832,red,Dhx58
Ip6k3,18.34083013,0.336681971,0.102717154,3.27438483,0.001058923,0.058613672,red,Ip6k3
Gstt1,237.6347895,0.336161308,0.084814326,3.960433007,7.48E-05,0.016187996,red,Gstt1
Qprt,20.47788208,0.335797454,0.101630497,3.415651585,0.000636296,0.047547733,red,Qprt
Slc6a20a,295.4380603,0.335069524,0.097442427,3.342223401,0.000831101,0.053100832,red,Slc6a20a
Gm13552,16.1911186,0.331788784,0.09974507,3.156432215,0.00159712,0.072225411,red,Gm13552
S100a1,1678.854784,0.327474142,0.0852205,3.844539804,0.000120779,0.019513121,red,S100a1
Ifi30,51.61900803,0.326385642,0.102676233,3.167360118,0.001538297,0.070799905,red,Ifi30
Gpr182,55.67528106,0.325980899,0.103445833,3.092940113,0.001981841,0.078617755,red,Gpr182
Zic2,393.9374583,0.324817043,0.101187853,3.21305358,0.001313318,0.064737246,red,Zic2
Tmie,103.3542013,0.3236302,0.091444256,3.52629835,0.000421412,0.036953392,red,Tmie
Nphs1,45.40527218,0.322791966,0.102635989,3.140290071,0.001687806,0.073533731,red,Nphs1
Patj,138.8137656,0.321910131,0.103478866,3.111131768,0.001863718,0.07688966,red,Patj
Pld5,52.81351767,0.321878699,0.100158456,3.363547658,0.000769475,0.050079028,red,Pld5
Gm11681,156.4841278,0.320385953,0.100546057,3.213475652,0.001311389,0.064737246,red,Gm11681
Trim30d,55.31545602,0.320050166,0.102363162,3.122158722,0.001795301,0.075353322,red,Trim30d
Gm40466,22.4499581,0.31905222,0.104091859,3.038409608,0.002378304,0.086141152,red,Gm40466
Hmgcs2,215.0221434,0.317724434,0.101192401,3.152839244,0.001616908,0.072225411,red,Hmgcs2
Nhs,54.10866892,0.317431978,0.099995853,3.168667418,0.001531395,0.070799905,red,Nhs
Zic5,178.2217427,0.316870242,0.101724359,3.126363317,0.001769828,0.075049562,red,Zic5
Tnfsf13,17.97518998,0.31637387,0.101956609,3.029989308,0.002445624,0.087330437,red,Tnfsf13
Colec12,143.3957281,0.315697536,0.104053295,2.996676503,0.002729402,0.091780668,red,Colec12
Syt9,126.5408392,0.314786321,0.102429746,3.082044634,0.00205584,0.080287461,red,Syt9
Pik3ap1,53.63983002,0.31456413,0.09986799,3.11028735,0.001869054,0.07688966,red,Pik3ap1
Gm26645,21.19349216,0.314521782,0.104179333,2.872412814,0.004073505,0.108071116,red,Gm26645
Agtrap,359.2307917,0.314363062,0.082220456,3.815784987,0.000135751,0.021065977,red,Agtrap
Gm3604,17.5850715,0.313362928,0.102610173,2.975391136,0.002926152,0.09430255,red,Gm3604
Parp10,59.55231158,0.313056111,0.101254551,3.089922009,0.002002091,0.079232379,red,Parp10
Cables1,392.2310851,0.312275479,0.083026256,3.784297546,0.000154143,0.022727274,red,Cables1
Phldb2,144.8366674,0.311959068,0.104046612,2.975551165,0.002924626,0.09430255,red,Phldb2
Trim21,60.20231477,0.311871196,0.103592209,2.999299555,0.002706011,0.091771489,red,Trim21
Rapgef3os2,12.52655393,0.309142668,0.096266219,3.179565131,0.001474962,0.069985412,red,Rapgef3os2
Nat8f3,33.8856636,0.309001631,0.103320937,2.996350511,0.002732322,0.091780668,red,Nat8f3
Slc22a8,261.8836367,0.308629692,0.104151458,2.939607981,0.003286277,0.100371063,red,Slc22a8
Nkx2-2os,15.95146849,0.308356916,0.102208319,3.008199411,0.002628006,0.090738179,red,Nkx2-2os
Paqr5,90.97122647,0.307552951,0.101184986,3.079633892,0.002072552,0.080425927,red,Paqr5
Eln,151.8764398,0.306788119,0.093314846,3.288103504,0.001008647,0.057414887,red,Eln
Rpl30,3473.215927,0.30676025,0.085747628,3.581807913,0.000341225,0.034037537,red,Rpl30
AW047730,408.3176882,0.305633049,0.090146661,3.397293732,0.000680559,0.047842992,red,AW047730
Hopx,1413.571616,0.305244799,0.076822886,3.966194733,7.30E-05,0.016009731,red,Hopx
Cyp2e1,12.5051383,0.305053951,0.093655584,3.0596794,0.00221574,0.083901025,red,Cyp2e1
Gm33027,29.71541385,0.304508229,0.104024732,2.832118892,0.004624065,0.111771905,red,Gm33027
Msx2,18.18933237,0.303999072,0.101997058,2.906077173,0.003659912,0.104211579,red,Msx2
Etnppl,889.5962758,0.302570283,0.102001897,2.963104066,0.003045536,0.096467059,red,Etnppl
Gm6277,99.55494535,0.302063344,0.085143159,3.530332538,0.000415038,0.036586997,red,Gm6277
Cpq,357.7697793,0.301531319,0.088875535,3.391177078,0.000695931,0.048514267,red,Cpq
Efcab10,68.48624806,0.301321666,0.103595503,2.906437033,0.003655705,0.104211579,red,Efcab10
Tsc22d4,2460.784883,0.300963541,0.078087975,3.85926655,0.000113728,0.019334893,red,Tsc22d4
Hey2,86.88541209,0.300866453,0.10391873,2.918882455,0.003512887,0.103052558,red,Hey2
Ghr,200.4929737,0.300567725,0.089559801,3.345355144,0.000821773,0.052863148,red,Ghr
Tead3,53.18230079,0.300395087,0.1036437,2.875939579,0.004028268,0.107510706,red,Tead3
Dmbx1,3.310013889,0.300185038,0.061952428,3.795731879,0.000147209,NA,red,Dmbx1
Oas1c,12.38296925,0.300154773,0.098355835,2.968390665,0.002993636,0.095617991,red,Oas1c
Tcn2,581.670848,0.2997907,0.097115735,3.098872954,0.001942583,0.077988857,red,Tcn2
Cd72,7.693856271,0.299116897,0.086086303,3.350947394,0.000805356,NA,red,Cd72
Colca2,23.0007976,0.298945581,0.104175261,2.776532446,0.005494215,0.119355531,red,Colca2
2810433D01Rik,16.11659875,0.298869297,0.09092554,3.23235926,0.001227726,0.062553952,red,2810433D01Rik
Tgfbi,85.68772037,0.298716035,0.104134433,2.921947581,0.003478501,0.102940145,red,Tgfbi
Frk,10.69592017,0.298561114,0.091224267,3.302049781,0.00095981,0.056496005,red,Frk
Gm11627,57.08206703,0.29854136,0.103986015,2.914178061,0.003566264,0.103829,red,Gm11627
Plekho2,403.1535175,0.29832216,0.074875558,3.984779803,6.75E-05,0.01569457,red,Plekho2
Trpt1,155.8469721,0.298051971,0.083258844,3.58028849,0.000343215,0.034037537,red,Trpt1
Zfp991,40.64450117,0.298019998,0.103888038,2.884453788,0.003920933,0.106338556,red,Zfp991
Oas1b,12.86034263,0.297970763,0.090722348,3.41912838,0.000628221,0.047361025,red,Oas1b
Slc16a12,90.23395728,0.297872638,0.100052747,3.125542361,0.001774775,0.075049562,red,Slc16a12
Lrrc32,33.53664348,0.297286503,0.104183515,2.754938824,0.005870311,0.122751012,red,Lrrc32
Map3k20,123.748227,0.296570156,0.086480496,3.427902208,0.000608265,0.046553033,red,Map3k20
Apobec3,61.56250719,0.295754194,0.09729239,3.029600165,0.002448777,0.087330437,red,Apobec3
Rbp1,642.1508176,0.295042731,0.103273269,2.854807332,0.004306294,0.109705155,red,Rbp1
Gprc5c,94.30942633,0.29478802,0.104231318,2.839596103,0.004517069,0.111613273,red,Gprc5c
Rsad2,38.46900599,0.294760357,0.103297621,2.808462845,0.004977863,0.114437196,red,Rsad2
Eva1a,399.5921892,0.294293458,0.084775086,3.494007632,0.000475827,0.040039195,red,Eva1a
Lrrc8a,152.4698201,0.294169322,0.085263737,3.478964016,0.000503356,0.041757985,red,Lrrc8a
Gabrr2,20.12155532,0.293722796,0.10130154,2.928938341,0.003401219,0.102061939,red,Gabrr2
Mocos,48.06470369,0.293428606,0.098947209,2.947779355,0.003200654,0.099488992,red,Mocos
Sfrp1,146.1471975,0.292941392,0.102954812,2.890658205,0.00384436,0.105700133,red,Sfrp1
Cmtm7,40.20633472,0.292243447,0.10313724,2.861268608,0.004219494,0.10937639,red,Cmtm7
Gabrg1,790.2171366,0.292209089,0.078876161,3.705041265,0.000211356,0.026476749,red,Gabrg1
Gpld1,662.4135753,0.291489202,0.07277431,4.003341442,6.25E-05,0.015080394,red,Gpld1
Car14,207.9426861,0.290856621,0.10377222,2.888961186,0.003865168,0.10601682,red,Car14
Gm9905,18.06269804,0.290605398,0.09982756,2.850350867,0.004367102,0.110577955,red,Gm9905
Edn3,102.9265834,0.290297648,0.098606052,2.971211461,0.002966275,0.09504058,red,Edn3
Osr1,48.97731609,0.290286192,0.103136523,2.82780855,0.004686783,0.112193225,red,Osr1
Tapbp,463.1403179,0.289741234,0.075106676,3.859637803,0.000113555,0.019334893,red,Tapbp
Gm34466,77.70112447,0.289444131,0.096797998,2.975379802,0.00292626,0.09430255,red,Gm34466
Ifi47,23.76173242,0.288616802,0.101648361,2.744307226,0.006063876,0.124268431,red,Ifi47
BC051142,20.25501889,0.288546833,0.10380734,2.697486005,0.006986522,0.13242599,red,BC051142
Gbp7,111.5209675,0.288509335,0.093454491,3.057554353,0.002231512,0.084115874,red,Gbp7
Plcd1,237.334379,0.288508785,0.089811744,3.208890798,0.001332481,0.065295483,red,Plcd1
Parp12,283.5776763,0.28825499,0.084574469,3.404057171,0.000663929,0.047792428,red,Parp12
Scarf2,133.1050416,0.287845489,0.101941127,2.836407839,0.004562414,0.111727498,red,Scarf2
Ube2l6,102.1676114,0.287685446,0.090662091,3.175800115,0.001494239,0.0701282,red,Ube2l6
Gpr153,238.8511196,0.28707649,0.096124319,2.986661976,0.002820414,0.093421302,red,Gpr153
Emb,421.0186661,0.286945148,0.104231633,2.812732169,0.004912255,0.114203014,red,Emb
Fam189a2,267.8351402,0.286872984,0.08473662,3.382238721,0.000718976,0.049148899,red,Fam189a2
Col14a1,19.99211534,0.286815773,0.100904424,2.841848176,0.004485285,0.111613273,red,Col14a1
Tfcp2l1,220.7476466,0.286767949,0.104200297,2.742231238,0.006102337,0.12474973,red,Tfcp2l1
2010001A14Rik,112.5857274,0.286725654,0.093793495,3.054521401,0.002254199,0.084522018,red,2010001A14Rik
S1pr2,46.07019152,0.286677697,0.10078542,2.804142109,0.005045066,0.114675527,red,S1pr2
Nfe2l2,372.7332161,0.286402718,0.080842152,3.545153827,0.000392384,0.035722419,red,Nfe2l2
Flvcr2,50.14993099,0.285686193,0.104159787,2.760662477,0.005768426,0.12164557,red,Flvcr2
Lpo,13.06246388,0.28549381,0.099317308,2.878869913,0.003991029,0.106904402,red,Lpo
Ccdc34,355.0160982,0.285396211,0.080029339,3.569670702,0.00035743,0.034200859,red,Ccdc34
Cfh,539.0365559,0.285336828,0.100104256,2.842720907,0.004473022,0.111613273,red,Cfh
Gys1,346.9156771,0.284878799,0.078834401,3.613674225,0.000301888,0.032874258,red,Gys1
Fhl4,16.38700687,0.284754984,0.10317976,2.673229351,0.007512487,0.135639067,red,Fhl4
Six1,11.94339707,0.284474956,0.081218777,3.26172566,0.001107363,0.059515379,red,Six1
Ggh,436.1094361,0.283914299,0.09334422,3.040213984,0.002364101,0.08611907,red,Ggh
Parp14,69.07056488,0.283453496,0.103269916,2.704458642,0.006841579,0.131029873,red,Parp14
Lyz2,339.6817509,0.283173399,0.099931581,2.824170855,0.004740311,0.112665219,red,Lyz2
Cdk2,50.88306644,0.282811892,0.101754788,2.77364248,0.005543256,0.119632369,red,Cdk2
Rab7b,26.29429898,0.282689367,0.103425326,2.65683199,0.007887874,0.137901231,red,Rab7b
Gm15860,27.41868833,0.282370358,0.104131663,2.728786429,0.006356786,0.12625142,red,Gm15860
Gm6658,21.05488789,0.282260527,0.102851195,2.661185454,0.007786606,0.137467049,red,Gm6658
Ttpa,130.850125,0.281883995,0.089223764,3.14220342,0.001676815,0.073533731,red,Ttpa
Abhd4,1865.702855,0.281616002,0.066495925,4.234292243,2.29E-05,0.008127471,red,Abhd4
Tax1bp3,94.5798317,0.281491205,0.097271249,2.905781261,0.003663374,0.104211579,red,Tax1bp3
Reck,203.5964782,0.281321376,0.081312826,3.452488159,0.000555442,0.044067699,red,Reck
Kirrel,97.95204334,0.281104667,0.102522664,2.754847493,0.00587195,0.122751012,red,Kirrel
Uba7,73.11264477,0.280201747,0.100695093,2.746627035,0.006021156,0.124077398,red,Uba7
Gnmt,28.63534074,0.280147449,0.100041457,2.885003764,0.00391409,0.106338556,red,Gnmt
BC064078,91.76082086,0.279642932,0.095684056,2.894098903,0.003802484,0.105063318,red,BC064078
Baalc,4709.428979,0.278990222,0.065521823,4.258421878,2.06E-05,0.008070803,red,Baalc
Rims3,1405.723767,0.278864184,0.096626336,2.874558478,0.004045928,0.107510706,red,Rims3
H2-Ab1,57.32827138,0.278647189,0.090318902,3.509561959,0.000448845,0.038326703,red,H2-Ab1
Mx2,18.18600752,0.278558794,0.095691222,2.912566839,0.003584715,0.104050405,red,Mx2
Zic4,118.7749517,0.278358042,0.095041794,2.991839874,0.002773017,0.092414031,red,Zic4
Gm13110,40.85642952,0.278022576,0.103514145,2.67657322,0.007437931,0.135583557,red,Gm13110
Thbs2,108.3615625,0.278003922,0.104029542,2.651150086,0.008021819,0.138786625,red,Thbs2
Gm5112,31.6905299,0.277964798,0.103316007,2.674827351,0.007476774,0.135639067,red,Gm5112
Mfap4,59.28959463,0.27732667,0.097007684,2.832910414,0.004612631,0.111771905,red,Mfap4
Slc12a4,539.4665969,0.277222547,0.08785844,3.159319855,0.001581378,0.071987278,red,Slc12a4
B230311B06Rik,43.8466809,0.276736341,0.102047405,2.663199246,0.007740157,0.137044371,red,B230311B06Rik
Col9a2,106.896159,0.276496526,0.102564745,2.682362239,0.007310425,0.134782717,red,Col9a2
Neu2,18.18521371,0.276147235,0.103104491,2.785441457,0.005345489,0.118783764,red,Neu2
Cacna2d2,352.7387679,0.27560758,0.094450633,2.937346157,0.003310344,0.100645323,red,Cacna2d2
Hyal1,73.7116057,0.274886871,0.09599599,2.830480082,0.00464782,0.111807841,red,Hyal1
Fzd7,282.012147,0.274602131,0.100454008,2.756222685,0.005847317,0.122697926,red,Fzd7
Dlk1,185.6650313,0.274601623,0.104131147,2.680234719,0.007357055,0.135144319,red,Dlk1
Tor3a,214.1301278,0.274374748,0.094490911,2.901368746,0.003715364,0.104211579,red,Tor3a
S100b,3773.100409,0.273794473,0.081058996,3.378571653,0.000728634,0.049148899,red,S100b
Npc2,1761.385212,0.273427516,0.070117371,3.900233301,9.61E-05,0.018403709,red,Npc2
Prdm6,13.58027828,0.27317467,0.078625586,3.402954177,0.000666615,0.047792428,red,Prdm6
Gli1,53.79263498,0.273100769,0.10415369,2.615203982,0.008917418,0.14494937,red,Gli1
Tifa,225.6024799,0.272956386,0.080113544,3.405736327,0.000659859,0.047792428,red,Tifa
Fxyd1,892.223194,0.272888615,0.089717844,3.046806001,0.002312869,0.085632701,red,Fxyd1
6330418K02Rik,19.42513371,0.27271603,0.103605498,2.671068594,0.007561019,0.135639067,red,6330418K02Rik
Adgra3,407.1362255,0.272444799,0.083595636,3.270751743,0.00107262,0.058785942,red,Adgra3
Kirrel2,264.1103632,0.272143287,0.095935406,2.884109108,0.003925227,0.106338556,red,Kirrel2
Smim1,233.5229115,0.271392232,0.092632825,2.92629709,0.003430232,0.102421315,red,Smim1
Ttc23,89.77744885,0.271345743,0.100826216,2.679778114,0.007367098,0.13517975,red,Ttc23
Esyt1,155.2191803,0.270773362,0.087337309,3.087190281,0.002020582,0.079586096,red,Esyt1
Sorbs3,728.1384765,0.27065882,0.090997984,2.964476623,0.003031983,0.096220696,red,Sorbs3
Plce1,391.3399151,0.270540708,0.096585098,2.783714874,0.005374025,0.118906555,red,Plce1
Slc16a9,82.4905991,0.269924891,0.103966947,2.604953175,0.009188682,0.146909923,red,Slc16a9
St3gal4,480.7104769,0.269597963,0.07026468,3.842468021,0.000121803,0.019513121,red,St3gal4
Gbp2,93.49871098,0.26868877,0.104215026,2.579555701,0.00989275,0.152050842,red,Gbp2
D930020B18Rik,10.55379136,0.268577646,0.098803545,2.630314795,0.008530584,0.141887203,red,D930020B18Rik
Helz2,82.93372316,0.268049415,0.09787576,2.760275571,0.005775262,0.12164557,red,Helz2
Fbxl21,67.64384226,0.268043545,0.089923969,2.967743797,0.002999943,0.095617991,red,Fbxl21
Ccpg1os,80.4383785,0.268013877,0.09455818,2.839014647,0.004525308,0.111613273,red,Ccpg1os
Mr1,221.0493478,0.267949937,0.091457073,2.914677189,0.003560566,0.103829,red,Mr1
AC154683.1,207.0821354,0.267240316,0.091598829,2.906399086,0.003656148,0.104211579,red,AC154683.1
Hsd11b1,831.1254121,0.267199718,0.068377744,3.90365409,9.48E-05,0.018403709,red,Hsd11b1
Slc15a3,39.77021591,0.267052168,0.102560965,2.605865544,0.009164243,0.146812932,red,Slc15a3
Gm42500,10.90251718,0.266834542,0.09306181,2.854149889,0.004315217,0.109764617,red,Gm42500
Psmb8,100.8316725,0.266683748,0.095421952,2.781138463,0.005416863,0.119188778,red,Psmb8
Plcb4,354.5910818,0.265753861,0.090273434,2.946448362,0.003214461,0.099546714,red,Plcb4
Srgn,153.8519577,0.265389405,0.093691219,2.816748768,0.004851246,0.114067507,red,Srgn
Gm9889,10.94746453,0.265365615,0.095244652,2.706486338,0.006799938,0.130673319,red,Gm9889
Gm36210,23.26616164,0.264985812,0.102940858,2.500902338,0.012387733,0.168071682,red,Gm36210
Zfp385a,804.7447088,0.264845969,0.055936561,4.731397074,2.23E-06,0.001690765,red,Zfp385a
Svep1,25.71612175,0.264734895,0.091541333,2.978551371,0.002896145,0.094168466,red,Svep1
Adcy7,78.08510882,0.264708345,0.093262077,2.832894156,0.004612866,0.111771905,red,Adcy7
Rbbp8,58.98343343,0.264446125,0.09921895,2.681869985,0.007321191,0.134782717,red,Rbbp8
Gm37352,6.592385383,0.263701209,0.087116416,2.851050642,0.004357503,NA,red,Gm37352
Alg14,245.6726193,0.263526557,0.067296284,3.910292046,9.22E-05,0.018403709,red,Alg14
Ngfr,46.15229911,0.263447524,0.104224666,2.517496436,0.011819217,0.163165423,red,Ngfr
Rbm38,36.41032155,0.262972919,0.1035165,2.590382711,0.009586928,0.149698046,red,Rbm38
Ndrg2,29540.85668,0.262798597,0.078966697,3.327383294,0.000876657,0.054047643,red,Ndrg2
Mdk,405.8964464,0.262747276,0.083334755,3.152830898,0.001616954,0.072225411,red,Mdk
Zfhx3,92.21691719,0.262729395,0.103398829,2.527263461,0.011495523,0.161362598,red,Zfhx3
E530011L22Rik,162.6397452,0.262721529,0.088976107,2.946876705,0.003210012,0.099546714,red,E530011L22Rik
Rin2,955.4775428,0.262650476,0.084675703,3.126909438,0.001766543,0.075049562,red,Rin2
Rcan3,758.9774813,0.262467558,0.070314633,3.731124463,0.000190627,0.025069499,red,Rcan3
Rhpn2,192.0841593,0.26207979,0.099471778,2.665085421,0.007696877,0.136423049,red,Rhpn2
Tmem241,108.3264071,0.261906789,0.079168685,3.302525652,0.000958183,0.056496005,red,Tmem241
Mvp,175.9797858,0.261223658,0.089882705,2.899606976,0.003736308,0.104437156,red,Mvp
Gm28043,62.83248009,0.261121455,0.102506996,2.53747759,0.011165452,0.16056108,red,Gm28043
Klhdc7a,856.101486,0.260523255,0.102262822,2.563469487,0.010363181,0.155410403,red,Klhdc7a
Trip6,150.091806,0.260402037,0.093691623,2.769746058,0.005610001,0.120448751,red,Trip6
Cyp4f13,210.4807204,0.259942187,0.088756261,2.931836285,0.003369643,0.101957887,red,Cyp4f13
Mlc1,6197.618722,0.259867095,0.070438977,3.688925675,0.000225203,0.027189181,red,Mlc1
Gm2136,35.34176313,0.259848501,0.104078621,2.469478698,0.013531007,0.176027144,red,Gm2136
H2-Q7,42.63632339,0.25796988,0.098909849,2.700223027,0.006929301,0.132000432,red,H2-Q7
Wnk4,119.5334262,0.257957735,0.100780984,2.573885879,0.010056344,0.153432915,red,Wnk4
Zic1,565.2165553,0.257539417,0.097832726,2.770503525,0.005596969,0.12032401,red,Zic1
Hddc2,280.0809564,0.25738475,0.074602739,3.443799089,0.000573602,0.045079147,red,Hddc2
Ephb4,135.7144503,0.256995302,0.093119948,2.746855195,0.006016969,0.124077398,red,Ephb4
Papln,19.94742634,0.256860557,0.103739423,2.416337384,0.015677527,0.1845724,red,Papln
Acta2,129.2270349,0.2567148,0.096551727,2.669534033,0.007595658,0.135639067,red,Acta2
Nnat,6540.138554,0.256615234,0.082623899,3.107323913,0.001887894,0.077234842,red,Nnat
Aox1,230.4385477,0.256181266,0.101512941,2.502134302,0.012344709,0.167761166,red,Aox1
Sp110,13.70457735,0.256109563,0.101033573,2.481852667,0.01307013,0.172765642,red,Sp110
4930429H19Rik,18.42148907,0.25600753,0.100220703,2.530030201,0.011405271,0.161173213,red,4930429H19Rik
Hadh,644.4172064,0.255895305,0.06578222,3.889487357,0.000100456,0.018596675,red,Hadh
Ebf2,12.72105566,0.255388788,0.082935629,3.181960347,0.001462818,0.069807097,red,Ebf2
Siglec1,13.7627481,0.255373325,0.090885681,3.10777509,0.001885015,0.077234842,red,Siglec1
C2,23.80085132,0.255321392,0.103229297,2.478538556,0.013192185,0.172930761,red,C2
Slc12a7,151.8125331,0.255275874,0.103283236,2.460650231,0.01386855,0.176961615,red,Slc12a7
C77080,309.5320321,0.25520427,0.090276191,2.820217204,0.004799115,0.113900371,red,C77080
Perp,164.4143129,0.255166651,0.09710206,2.808780071,0.004972961,0.114437196,red,Perp
Sox13,175.024545,0.254835719,0.088989676,2.858196457,0.004260565,0.10937639,red,Sox13
Il13ra1,140.1646964,0.254778026,0.096058225,2.64076907,0.008271808,0.140658921,red,Il13ra1
Tgfbr3,289.2273644,0.254514612,0.096563379,2.639009348,0.008314869,0.14107335,red,Tgfbr3
Adam33,15.22946831,0.254502605,0.092950075,2.653739858,0.007960517,0.138275202,red,Adam33
Sdc4,2409.262551,0.254501509,0.085195413,2.997414532,0.002722802,0.091780668,red,Sdc4
