,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hepacam,2541.855851,-0.175865385,0.059661622,-2.947890498,0.003199504,0.515865693
Tmem53,36.28889994,0.134031679,0.103920391,1.26042297,0.20751682,0.822279129
Gm13688,36.47124009,-0.130387073,0.103943645,-1.254113304,0.209800825,0.822406152
Zfp969,37.42491672,-0.110251408,0.081931931,-1.48788228,0.136781942,0.797682944
Gm12166,36.32253688,0.147560809,0.102803067,1.446472091,0.148044835,0.803249651
Pnma1,36.18757758,0.104398988,0.104215898,1.001710119,0.316483618,0.849814444
Exoc3l4,36.73105668,0.036188179,0.10415916,0.359039939,0.719565212,0.955572224
Rbm38,36.41032155,-0.037042607,0.102865372,-0.379256149,0.70449766,0.953349423
Sfrp4,36.9406701,-0.184363566,0.104206368,-1.781822569,0.074778171,0.766723428
Phyhd1,36.55197705,-0.171685577,0.103123938,-1.635414023,0.101962285,0.784052237
Gm9118,36.13255191,0.066315821,0.102898641,0.639824174,0.522286915,0.912736638
Ccdc125,36.38834594,-0.131453132,0.10093972,-1.308173999,0.190814299,0.816457768
Pqlc3,36.23132443,0.042839763,0.103585741,0.406763366,0.684181795,0.949771744
Crb3,35.61831397,0.050025296,0.088024515,0.557530895,0.577164756,0.925549142
Ppp1r32,36.59053098,0.037643913,0.101956985,0.363580437,0.716171337,0.955406535
4632427E13Rik,36.68929366,-0.020374698,0.103820209,-0.178301649,0.858486084,0.981944002
Tmem52,36.21955775,-0.074375243,0.103670075,-0.711090402,0.477028218,0.898444811
Efcab7,36.3647185,-0.096086031,0.101202617,-0.947234244,0.34351943,0.861957642
Zfp781,36.2316335,0.099786697,0.103836068,0.932665413,0.350992748,0.86292189
Tctex1d4,36.12151591,0.048214712,0.089939837,0.540078399,0.589142967,0.926726718
C530005A16Rik,36.32181656,-0.001303394,0.104178518,0.000117618,0.999906154,1
AI115009,36.35120891,0.000356475,0.104004039,-0.00053865,0.99957022,1
Gm16008,36.53063301,-0.079179182,0.10199605,-0.751038216,0.452629657,0.889806752
Shank3,12798.38363,-0.175901992,0.089503432,-1.972270312,0.048578757,0.744195683
Usp50,36.02386843,0.107711501,0.104173845,1.033905333,0.301180422,0.849814444
