,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mir670hg,44.27151351,-0.123428294,0.16668953,-0.774058391,0.438896262,0.666115667
Gm12116,2.890198955,-0.123414018,0.156473133,-0.794225403,0.427064222,NA
Tcaim,320.6331293,-0.123412625,0.085137556,-1.476683527,0.13976049,0.378835981
Calhm5,136.3322572,-0.123406741,0.158259108,-0.776150456,0.437660155,0.664907784
Shprh,556.0482905,-0.123399055,0.117120396,-1.017319352,0.309001533,0.55392516
Surf4,1071.930673,-0.123392435,0.110543595,-1.09705568,0.272617053,0.521769857
Rasal2,1266.611147,-0.123293168,0.106670606,-1.120351767,0.26256389,0.51213606
Paupar,1.890826141,-0.123275574,0.139830734,-0.702596605,0.482307179,NA
Large2,24.38034624,-0.123259882,0.188247978,-0.789593239,0.429765358,0.658152142
Adal,189.5246822,-0.123228523,0.118205269,-1.03743846,0.299531562,0.545993301
Homer3,617.4712938,-0.123184139,0.121409125,-0.988002378,0.323151483,0.567470716
Faf2,704.2318351,-0.123150119,0.096511002,-1.251985546,0.210575131,0.456682614
Usp28,246.1835423,-0.123147802,0.135693636,-0.913632325,0.360910075,0.599672854
Gm32591,1.160011394,-0.123120667,0.111549438,-1.017375249,0.308974952,NA
Yipf4,741.6572827,-0.123092272,0.104621123,-1.179653225,0.238138164,0.486832636
Auh,854.7627445,-0.123054338,0.116995485,-1.053068353,0.292309666,0.539625864
Gm46522,1.778056281,-0.123051827,0.128174896,-0.89141797,0.372704981,NA
Ltc4s,37.71271853,-0.12297117,0.19501502,-0.7253408,0.468242981,0.685739956
Gm7357,1.041822739,-0.122933698,0.092965419,-1.454821793,0.145718603,NA
Etf1,1214.444892,-0.122929171,0.085507902,-1.429137725,0.152964653,0.395156452
Gm17359,1.806679212,-0.122927381,0.12032531,-1.009850445,0.312566947,NA
Gm26541,17.75064411,-0.122797676,0.181920201,-0.716065639,0.47395082,NA
Scn2a,2766.847475,-0.122781079,0.160024325,-0.686937428,0.49212216,0.702484187
Gm19582,5.369199179,-0.122741157,0.182844174,-0.704818801,0.480923007,NA
Ptafr,22.60437947,-0.12270004,0.186828977,-0.522418058,0.601379286,0.776845247
Top3a,87.41990879,-0.122665262,0.159995624,-0.761890949,0.446125093,0.67080288
Tmem138,112.2872986,-0.122654745,0.15770249,-0.716603273,0.473618924,0.690088965
Sdk1,81.39119714,-0.122639597,0.176976346,-0.654743575,0.512632865,0.716849695
Gm5431,2.865449005,-0.122631972,0.160652097,-0.712732426,0.476011347,NA
5730422E09Rik,1.339346038,-0.122561383,0.11998625,-1.031402364,0.302352173,NA
Gabra5,3094.793676,-0.122559191,0.110724723,-1.108744239,0.267540532,0.517088366
Zfp513,322.0372907,-0.122554232,0.090586265,-1.313080038,0.18915598,0.434576851
Fam234a,288.8299531,-0.122551752,0.113160887,-1.082291747,0.279122912,0.528180275
Hsf3,4.488598322,-0.122534277,0.177901306,-0.829796231,0.406654002,NA
Acot2,202.3706248,-0.122497933,0.116379494,-1.105087943,0.269121485,0.518601997
Sp7,23.12022059,-0.1223833,0.1944158,-0.476392296,0.633794923,0.797070767
4930516B21Rik,47.31110945,-0.122371373,0.162864291,-0.747420667,0.454809674,0.675729015
Cdkl2,510.3121705,-0.122196718,0.095636559,-1.288204603,0.19767475,0.442653088
Dpysl5,409.2273953,-0.122189407,0.156890155,-0.70587178,0.480267878,0.695061287
Gm44202,1.307789324,-0.122147794,0.115800429,-1.042464302,0.297196468,NA
Gm48295,14.50970403,-0.122146208,0.195247987,-0.546294123,0.584863775,NA
Wdr11,775.3579002,-0.122129148,0.103077543,-1.156506252,0.247474144,0.496869305
Slk,1258.746338,-0.122126057,0.107929177,-1.095291758,0.273388837,0.522568602
Scap,1359.149315,-0.122107706,0.104520267,-1.154510741,0.248290838,0.49810203
Lmbr1l,102.1384277,-0.122101382,0.142420499,-0.835001826,0.40371668,0.637190345
Vps26b,2090.950111,-0.122086488,0.104977794,-1.130657782,0.258199157,0.507144974
Setmar,73.32881979,-0.122075043,0.158834791,-0.817231442,0.413796178,0.645087982
Mybpc2,8.773895118,-0.12204157,0.191374935,-0.526878949,0.598277653,NA
Gm32468,13.48691292,-0.12203252,0.159879231,-0.418293686,0.675732406,NA
Gm35725,3.053654688,-0.121989771,0.159684009,-0.735389507,0.46210231,NA
Dchs2,34.63347088,-0.121987278,0.176592041,-0.691161501,0.489464055,0.700992552
Gnmt,22.42746527,-0.121985945,0.195182673,-0.698330407,0.484970587,0.698212788
Gm43292,1.097485893,-0.121872728,0.110619972,-1.06659047,0.286156806,NA
Socs3,28.88190394,-0.121867181,0.189043864,-0.519783221,0.603214676,0.778602168
Mcm4,155.3573113,-0.1218534,0.126214018,-0.932082262,0.351294014,0.591738464
Pus7,204.6453914,-0.121850265,0.122369975,-0.978677472,0.327739366,0.571682617
Mrpl44,316.0906343,-0.121828831,0.108782241,-1.116988315,0.263999321,0.513821493
Ccdc106,216.0167304,-0.121736055,0.11303965,-1.095546631,0.273277228,0.52249075
Ccl7,1.048629285,-0.12173454,0.08588968,-1.239682719,0.215092771,NA
AW209491,335.1202841,-0.121708391,0.120156924,-1.024819564,0.305448334,0.550449185
Gm11201,2.92688666,-0.121664375,0.151001284,-0.57943068,0.562298608,NA
Skil,1085.34762,-0.121656457,0.116249674,-1.014996704,0.310107399,0.554900275
Smg7,1053.109076,-0.121654461,0.13893466,-0.79034412,0.429326827,0.657685517
Katna1,127.8765213,-0.121628522,0.139352804,-0.967421142,0.333333545,0.576529382
Gm5912,3.549492716,-0.121626958,0.167359065,-0.632387994,0.527133377,NA
Plp2,37.94345211,-0.121572486,0.174708657,-0.703459722,0.481769299,0.696482131
Oca2,55.72526088,-0.121538105,0.168334705,-0.638153474,0.52337378,0.724433717
B230317F23Rik,9.182397028,-0.12152262,0.192822628,-0.623448949,0.53298954,NA
Smarca4,2185.075341,-0.121483863,0.131807486,-0.859625883,0.389995303,0.624861165
Ndufs7,1543.680618,-0.121480984,0.085213376,-1.423741886,0.154521204,0.397306415
Mrpl35,370.5781757,-0.1214786,0.103277176,-1.173800598,0.240474904,0.489144801
Frrs1l,5037.81197,-0.121433365,0.147410944,-0.761335377,0.446456776,0.670933817
Gm3264,0.968532336,-0.121380841,0.073151773,-1.426766451,0.153647225,NA
Sema4a,429.9005528,-0.121373199,0.117497126,-1.022974677,0.306319819,0.551480412
Lgmn,1438.3835,-0.121329784,0.09716526,-1.225743589,0.220295181,0.466639635
Whamm,219.877808,-0.121287946,0.125892739,-0.93828383,0.348098567,0.589127733
Ccdc38,6.341412943,-0.121258755,0.172019169,-0.609795916,0.541997007,NA
Gm12428,3.375628194,-0.121245771,0.160893796,-0.535217323,0.592499589,NA
A930017M01Rik,156.8050016,-0.121214504,0.117760574,-1.035743006,0.300322053,0.54648261
E2f4,336.1917084,-0.121213232,0.117195732,-1.010604083,0.312205961,0.556841577
Cops8,1085.660759,-0.121210167,0.10686227,-1.118584444,0.263317463,0.513291685
Tex10,198.7653111,-0.121188844,0.166674188,-0.692866441,0.488393371,0.700676965
Pitpnm2os2,1.577957182,-0.121170893,0.122715244,-0.927665744,0.353580983,NA
Aagab,1031.617742,-0.121167697,0.090269924,-1.332534537,0.1826846,0.428448991
Nrl,23.97970565,-0.121163659,0.182619431,-0.781399378,0.434567637,0.662243265
Gm2956,1.015638641,-0.121162476,0.099924316,-1.150665316,0.249869951,NA
Utp20,265.0937495,-0.121147544,0.147715135,-0.728505725,0.466304065,0.68452861
Arl6ip4,656.0087743,-0.121131186,0.082437059,-1.477205815,0.139620476,0.378804687
Gm1866,6.51345654,-0.121111982,0.183368302,-0.731019174,0.464767441,NA
Styk1,6.345365831,-0.121066087,0.176850894,-0.851670983,0.39439673,NA
Bspry,9.014517721,-0.121064383,0.18018488,-0.561523344,0.574440821,NA
Gm12847,1.185926637,-0.121010624,0.100296195,-1.157621617,0.247018484,NA
Eif3l,930.3249159,-0.120909291,0.070003235,-1.716104263,0.086142961,0.306202116
Fat3,627.2269418,-0.120699115,0.143798893,-0.77670678,0.437331786,0.664767761
Serinc3,3161.009762,-0.120661817,0.104880157,-1.120704094,0.262413839,0.51213606
Rnf41,1218.862705,-0.12065073,0.080715974,-1.485533948,0.137402438,0.376668676
Fam234b,3254.211456,-0.120623038,0.11702838,-0.982763421,0.325723889,0.570258555
Gm29668,1.439599795,-0.120619449,0.114657721,-1.027987029,0.303955929,NA
C530025M09Rik,2.606613143,-0.120613074,0.141058265,-0.83049018,0.406261698,NA
Gm13783,2.094364757,-0.120582604,0.140048197,-0.947394413,0.343437837,NA
Dzip3,1048.513634,-0.120475816,0.126275211,-0.940972267,0.346719071,0.58829316
Sec22b,906.5834996,-0.120453991,0.079932999,-1.494011146,0.135172706,0.373681408
Patl2,1.207292461,-0.1204448,0.09962447,-1.124689291,0.260720721,NA
Nanos3,17.2327183,-0.120417973,0.194079264,-0.481188803,0.630382318,NA
Plekhj1,439.2876452,-0.120402856,0.082195253,-1.46818463,0.142054078,0.381877083
Gm49373,2.164222302,-0.120375393,0.116783562,-1.00777292,0.313563489,NA
Rps2-ps5,1.63377251,-0.120356,0.127113882,-0.895659463,0.370434667,NA
B4galnt1,1314.181677,-0.120342304,0.113517478,-1.026948617,0.30444466,0.54991762
Frg1,189.7868072,-0.120325146,0.122081004,-0.949861789,0.342182485,0.584294229
Nlrc5,15.73936546,-0.120293472,0.194936757,-0.617275694,0.537052896,NA
Wfdc6a,1.345153979,-0.120292847,0.095557379,-1.293000519,0.19601088,NA
Gm45619,21.71128012,-0.120283831,0.194003311,-0.668434492,0.503856285,0.710067421
Cwc22,209.3169617,-0.120266851,0.15178847,-0.755554188,0.449916532,0.672893947
Adh5,750.4086944,-0.120252469,0.090618955,-1.321996317,0.186169377,0.431627161
Tecta,10.7573898,-0.120249123,0.195192247,-0.338002021,0.735361665,NA
A530016L24Rik,5.92881449,-0.120211538,0.18436714,-0.779460999,0.435708203,NA
Il2rg,6.166734965,-0.120164088,0.185295365,-0.619949788,0.535290845,NA
Clta,3201.838763,-0.120161666,0.0818742,-1.476691072,0.139758466,0.378835981
Zyg11b,3021.198103,-0.120120805,0.127460636,-0.91823573,0.358495467,0.597478936
