clusters,genotype,cell.no,genotype.total,ratio,groups,Avg,sem
0,WT_XYT_CPZ_1,361,742,0.486522911,XYT_CPZ,0.489766707,0.037564167
1,WT_XYT_CPZ_1,129,742,0.173854447,XYT_CPZ,0.217243914,0.034273196
2,WT_XYT_CPZ_1,71,742,0.095687332,XYT_CPZ,0.099470706,0.025474332
3,WT_XYT_CPZ_1,124,742,0.167115903,XYT_CPZ,0.081181675,0.042980905
4,WT_XYT_CPZ_1,41,742,0.055256065,XYT_CPZ,0.0606642,0.012288019
5,WT_XYT_CPZ_1,11,742,0.014824798,XYT_CPZ,0.03891915,0.030461893
6,WT_XYT_CPZ_1,1,742,0.001347709,XYT_CPZ,0.005504896,0.002078929
7,WT_XYT_CPZ_1,4,742,0.005390836,XYT_CPZ,0.007248752,0.002679731
0,WT_XYT_CPZ_2,223,523,0.426386233,XYT_CPZ,0.489766707,0.037564167
1,WT_XYT_CPZ_2,149,523,0.284894837,XYT_CPZ,0.217243914,0.034273196
2,WT_XYT_CPZ_2,30,523,0.057361377,XYT_CPZ,0.099470706,0.025474332
3,WT_XYT_CPZ_2,19,523,0.036328872,XYT_CPZ,0.081181675,0.042980905
4,WT_XYT_CPZ_2,44,523,0.084130019,XYT_CPZ,0.0606642,0.012288019
5,WT_XYT_CPZ_2,52,523,0.099426386,XYT_CPZ,0.03891915,0.030461893
6,WT_XYT_CPZ_2,4,523,0.007648184,XYT_CPZ,0.005504896,0.002078929
7,WT_XYT_CPZ_2,2,523,0.003824092,XYT_CPZ,0.007248752,0.002679731
0,WT_XYT_CPZ_3,222,399,0.556390977,XYT_CPZ,0.489766707,0.037564167
1,WT_XYT_CPZ_3,77,399,0.192982456,XYT_CPZ,0.217243914,0.034273196
2,WT_XYT_CPZ_3,58,399,0.145363409,XYT_CPZ,0.099470706,0.025474332
3,WT_XYT_CPZ_3,16,399,0.040100251,XYT_CPZ,0.081181675,0.042980905
4,WT_XYT_CPZ_3,17,399,0.042606516,XYT_CPZ,0.0606642,0.012288019
5,WT_XYT_CPZ_3,1,399,0.002506266,XYT_CPZ,0.03891915,0.030461893
6,WT_XYT_CPZ_3,3,399,0.007518797,XYT_CPZ,0.005504896,0.002078929
7,WT_XYT_CPZ_3,5,399,0.012531328,XYT_CPZ,0.007248752,0.002679731
