X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_MInhibvsMCtrl
Rbl2,747.0078385,0.273298164,0.105110019,2.58998427,0.009598032,0.135626722,Rbl2
Wsb1,987.0913246,0.27420404,0.135233672,1.988095218,0.04680116,0.236459734,Wsb1
Cav1,225.1515746,0.274267559,0.126110033,2.155432191,0.03112803,0.205412488,Cav1
Ldlrad3,196.2790379,0.274271451,0.121718844,2.214626537,0.026785709,0.193674207,Ldlrad3
Mcm7,219.0830333,0.274597769,0.114818347,2.363764857,0.018090291,0.169308714,Mcm7
Mcf2l,2581.250589,0.274717765,0.119562316,2.280963095,0.022550631,0.182679049,Mcf2l
Zhx1,1374.129946,0.275023717,0.080826601,3.386589186,0.000707673,0.053087512,Zhx1
Cdk5rap2,394.8797676,0.2750366,0.128637111,2.084947899,0.03707403,0.216983893,Cdk5rap2
Rock1,474.7935299,0.275158884,0.117316283,2.292014845,0.021904787,0.180814012,Rock1
Pik3r1,1828.034284,0.275164522,0.110455855,2.452256159,0.014196356,0.155495451,Pik3r1
1700056E22Rik,1.771646581,0.275637505,0.120722666,2.6913977,0.007115332,NA,1700056E22Rik
Chd5,3994.409639,0.275758565,0.125566857,2.184103392,0.028954651,0.199569157,Chd5
Rnf141,1708.750773,0.275867511,0.12525911,2.176197989,0.029540459,0.201150682,Rnf141
Ccng1,1536.617299,0.276658416,0.137991993,1.969182636,0.048932122,0.240171823,Ccng1
Glmn,111.2246935,0.276683896,0.129480092,2.083174728,0.0372353,0.217496048,Glmn
Zmiz1,2146.476613,0.277090693,0.122419365,2.286189965,0.022243148,0.181821568,Zmiz1
Adgra3,425.2515366,0.277651418,0.115712355,2.372830825,0.017652347,0.168077917,Adgra3
Gm37108,1.531223582,0.27786285,0.124195347,2.611523463,0.00901398,NA,Gm37108
Spred1,2950.981887,0.278423996,0.119696278,2.294399023,0.021767589,0.180089544,Spred1
Mid2,380.6307576,0.27891826,0.086438511,3.225622346,0.001256991,0.067882118,Mid2
Fastkd2,296.1770371,0.278927306,0.124582423,2.169413475,0.030051307,0.202104849,Fastkd2
Gm49518,2.36936676,0.278965099,0.139450702,2.325812996,0.020028529,NA,Gm49518
Gm34248,1.023033645,0.278983855,0.10597357,2.336306141,0.019475292,NA,Gm34248
Ulk2,2083.820871,0.27898852,0.12185363,2.262371902,0.023674435,0.18605128,Ulk2
Nkd1,250.8753656,0.279073348,0.13386066,2.020307379,0.043351514,0.230063215,Nkd1
Trps1,531.5874241,0.279326228,0.103346273,2.677166799,0.007424766,0.126987619,Trps1
Spag1,183.387984,0.279987779,0.130396279,2.089030401,0.036704987,0.216726385,Spag1
Gm15996,3.782202319,0.280224659,0.160707904,2.621938078,0.008743131,NA,Gm15996
Elp4,230.6769013,0.280295665,0.101495786,2.727614579,0.00637941,0.120626247,Elp4
Trp53bp2,769.2222769,0.280414241,0.141546033,1.971601492,0.048655117,0.240134438,Trp53bp2
Gna12,2262.41907,0.280449598,0.131935998,2.082005604,0.037341958,0.217687815,Gna12
Gm17634,1.941947551,0.280882374,0.13328257,2.205914688,0.027389974,NA,Gm17634
Tnpo2,2794.199797,0.281105419,0.11664098,2.38297394,0.01717341,0.167963785,Tnpo2
4632404H12Rik,296.5687306,0.281299261,0.114599462,2.412443641,0.015845987,0.163524731,4632404H12Rik
Ctse,1.864182303,0.281738154,0.130925448,2.153202549,0.031302763,NA,Ctse
Zfp664,1752.347093,0.281968778,0.125637663,2.215297414,0.026739657,0.1935333,Zfp664
Hipk1,2511.833313,0.282193613,0.130935867,2.11707593,0.034253404,0.211296208,Hipk1
Il17ra,185.9637508,0.282550739,0.134028793,2.136482426,0.032640112,0.208151102,Il17ra
Tbc1d4,142.6122224,0.282731102,0.142402836,2.027897396,0.042570721,0.228408336,Tbc1d4
Nras,696.6674988,0.283352144,0.131406328,2.13008347,0.033164723,0.208417523,Nras
Ago3,621.5501531,0.283491961,0.101285973,2.814256816,0.004889015,0.110690539,Ago3
Xpo4,249.1308488,0.283528097,0.103487097,2.731789273,0.006299142,0.120249999,Xpo4
Fut9,1246.502464,0.284563375,0.08854841,3.209569289,0.00132934,0.069114148,Fut9
Paxip1,957.6194165,0.284737118,0.129017419,2.175778666,0.029571815,0.201150682,Paxip1
B230206I08Rik,1.444828277,0.285203553,0.115768675,2.574938258,0.010025798,NA,B230206I08Rik
Tcf7l2,130.8946013,0.285445422,0.141094162,2.000981211,0.045394415,0.233025716,Tcf7l2
Tbcel,1244.219642,0.286072754,0.113762872,2.481209714,0.013093731,0.150760447,Tbcel
Gm43322,3.065022988,0.286714531,0.155075452,2.108277032,0.035007033,NA,Gm43322
Rnf5,807.1530425,0.287183295,0.133425159,2.153665075,0.031266447,0.205511024,Rnf5
Prkcz2,174.8628038,0.287574694,0.139395289,2.044653445,0.040889036,0.226360549,Prkcz2
Dst,4383.724106,0.288016912,0.1131093,2.551450434,0.010727558,0.141337257,Dst
Nbeal1,304.7432508,0.288144497,0.138848724,2.009085912,0.044528023,0.231628392,Nbeal1
Trim75,2.220078972,0.288183858,0.146535746,2.283043173,0.022427825,NA,Trim75
Gm10146,124.1805909,0.289311585,0.136142862,1.989804147,0.046612514,0.235910848,Gm10146
Snx18,571.6782711,0.289782372,0.104194226,2.751470632,0.005932834,0.117722437,Snx18
Rps2-ps6,5.536887161,0.28981911,0.172535977,2.040979625,0.041252852,NA,Rps2-ps6
Nab1,627.7983198,0.290038314,0.133203492,2.138658787,0.032463313,0.208151102,Nab1
Acsl3,3263.177238,0.290046625,0.138241433,2.032862329,0.042066434,0.227811915,Acsl3
Gm12208,1.827118583,0.290234994,0.131432479,2.174587728,0.029661025,NA,Gm12208
Zfp946,180.4330736,0.290239014,0.118641001,2.421504183,0.015456423,0.162365184,Zfp946
Gm4258,3.111258269,0.290325991,0.157504275,1.971366581,0.048681961,NA,Gm4258
Eml2,3701.4012,0.290854059,0.145058927,1.997675539,0.045751848,0.233672575,Eml2
Ppfia4,2430.074467,0.291195353,0.136693283,2.134064346,0.032837514,0.208151102,Ppfia4
Cbfb,468.7979071,0.292281303,0.109309407,2.667790583,0.007635183,0.128060872,Cbfb
Rai14,117.0567636,0.292528805,0.140707338,2.002859373,0.045192385,0.232636638,Rai14
Brip1os,203.7657381,0.292687332,0.121611374,2.360971845,0.018227114,0.169732996,Brip1os
Atxn7l3,4953.451738,0.293142647,0.135926591,2.115099152,0.034421498,0.211605797,Atxn7l3
1700073E17Rik,2.678874895,0.293515557,0.151473197,3.054150703,0.002256987,NA,1700073E17Rik
Bnip2,482.4050797,0.293789103,0.138420612,2.108005561,0.035030508,0.212707902,Bnip2
Gm14321,1.438730726,0.294124794,0.130342803,2.031441809,0.042210197,NA,Gm14321
Nmnat1,91.25015705,0.294242104,0.139798921,2.093567541,0.036298522,0.215912894,Nmnat1
Bmp2k,309.1832768,0.294862842,0.114310037,2.571755463,0.010118433,0.138033152,Bmp2k
Smim6,3.198663607,0.295132793,0.148415066,2.1924862,0.028344418,NA,Smim6
Zfp775,140.18925,0.295160511,0.138520189,2.143610514,0.032064108,0.207276738,Zfp775
Zmat3,1275.080657,0.295244825,0.112077935,2.611270878,0.009020641,0.134002957,Zmat3
Irak1,1042.185904,0.295431025,0.142535712,2.022519336,0.043122728,0.229945374,Irak1
Tef,6763.168488,0.296109681,0.130217111,2.280870822,0.022556092,0.182679049,Tef
Cnih4,648.9083185,0.296110928,0.130021616,2.230014162,0.025746503,0.190552555,Cnih4
Szrd1,764.483132,0.296138234,0.145738883,2.003091714,0.045167445,0.232589467,Szrd1
Prim1,77.70385222,0.296268558,0.144544426,2.015199949,0.043883703,0.230897352,Prim1
Gjc3,1005.450416,0.29649165,0.141060567,2.087295399,0.03686144,0.216726385,Gjc3
Dctd,103.4859273,0.296549519,0.147664109,1.965656202,0.049338337,0.241380878,Dctd
Ermn,1187.744024,0.296827121,0.131480672,2.255070418,0.024128909,0.187940017,Ermn
Tubgcp4,168.4982041,0.296908593,0.121878948,2.461050559,0.013853084,0.153676465,Tubgcp4
Gm43364,4.357453004,0.297014006,0.16259824,2.144165574,0.032019622,NA,Gm43364
Ptpn11,3930.808879,0.297067199,0.120834253,2.441088437,0.014643068,0.15769376,Ptpn11
Mfn1,1236.760354,0.297070703,0.135588955,2.153256166,0.031298552,0.205630369,Mfn1
2810430I11Rik,2.744372584,0.297082292,0.128347507,2.479668073,0.013150474,NA,2810430I11Rik
Jrk,131.2614143,0.297683048,0.148437627,2.058887331,0.039505033,0.222553573,Jrk
Gm37494,339.9740205,0.297716163,0.141779297,2.047041372,0.040654023,0.225748495,Gm37494
Sox5,440.9207734,0.297914974,0.137131597,2.148511782,0.031673121,0.206253016,Sox5
Limk1,864.2988302,0.298231933,0.11201818,2.641702979,0.008249036,0.130209358,Limk1
Gtf2a2,433.4011647,0.299474883,0.144523559,1.980322722,0.047667277,0.23819872,Gtf2a2
Dclre1a,82.59194497,0.299536228,0.138252179,2.130108411,0.033162664,0.208417523,Dclre1a
Pnpla8,2356.194396,0.299612022,0.136097506,2.149099618,0.031626504,0.206253016,Pnpla8
Fn1,783.9537116,0.299706366,0.14584187,2.057444158,0.039643521,0.222653118,Fn1
Phf2,1149.579162,0.299795405,0.119399564,2.47953988,0.013155202,0.150931627,Phf2
Zfp91,2959.069906,0.299955906,0.116598129,2.544076974,0.010956694,0.142380677,Zfp91
AA543186,4.656253336,0.300656727,0.16742204,2.194921301,0.028169244,NA,AA543186
Ctnna2,1762.663829,0.300797299,0.127242664,2.346907948,0.018929931,0.170782787,Ctnna2
Fgd3,147.1997711,0.300953983,0.137205416,2.172705801,0.029802467,0.201684603,Fgd3
Spop,4864.378379,0.301520692,0.145261408,2.042024204,0.04114913,0.226774224,Spop
Gm21811,132.9725895,0.30255383,0.142553242,2.087518123,0.036841325,0.216726385,Gm21811
Eya1,297.7860005,0.302636894,0.155137069,1.967961021,0.049072523,0.240720413,Eya1
Malt1,97.98438199,0.302800388,0.144373324,2.037986428,0.04155129,0.227220913,Malt1
Cep290,166.9680344,0.302997851,0.137439772,2.177679576,0.0294299,0.201150682,Cep290
Lypd6,429.5489885,0.303322029,0.115742264,2.575239329,0.010017075,0.137883183,Lypd6
Macf1,4894.103033,0.303385468,0.10278182,2.934549048,0.003340328,0.098259475,Macf1
AC110166.1,1.686564121,0.303486804,0.133026654,2.157444272,0.030971065,NA,AC110166.1
Bend3,117.608744,0.303678182,0.147296133,2.09035908,0.036585556,0.216607061,Bend3
Dock5,231.3960527,0.303843654,0.137279692,2.156887115,0.031014461,0.204899339,Dock5
Tspan9,944.0411572,0.303933466,0.113030432,2.62128041,0.008760018,0.132134963,Tspan9
Pstk,277.3446023,0.304377594,0.136144569,2.174579504,0.029661642,0.201150682,Pstk
Map4k4,2755.70292,0.304831176,0.143260116,2.042760652,0.041076137,0.226639478,Map4k4
6430548M08Rik,4667.023621,0.305909246,0.148510853,2.030459678,0.042309836,0.228307691,6430548M08Rik
Vsir,432.9752479,0.305917579,0.140042526,2.177095409,0.02947345,0.201150682,Vsir
3-Sep,12885.78666,0.306872311,0.135463365,2.241662765,0.024983176,0.188692093,3-Sep
Hps5,247.5011498,0.308033384,0.13199295,2.308844687,0.020952201,0.1769177,Hps5
Cntfr,1409.608519,0.308059696,0.114981924,2.701800551,0.006896512,0.123692547,Cntfr
Pigc,172.2107498,0.308806116,0.116598555,2.596900531,0.009406916,0.135546014,Pigc
Fam208a,446.1340267,0.308892622,0.094198946,3.279311329,0.001040608,0.06211206,Fam208a
Nek9,1440.241903,0.310306834,0.135708343,2.241942756,0.024965072,0.188692093,Nek9
Snapc5,230.8032782,0.31083033,0.151140884,2.009360341,0.044498933,0.231628392,Snapc5
Prkcz,4232.987295,0.311225603,0.141506823,2.191225988,0.028435443,0.198172486,Prkcz
Zbtb4,3140.185906,0.311271989,0.146146647,2.101496009,0.035597448,0.2138603,Zbtb4
Zc3h4,987.9599236,0.311447988,0.103758672,3.010073554,0.002611844,0.090199425,Zc3h4
Gm15477,3.576905141,0.311554339,0.160071,1.985773754,0.047058451,NA,Gm15477
Rhot2,687.6328337,0.311807829,0.135205633,2.282965171,0.02243242,0.182679049,Rhot2
Kcng4,137.9301614,0.312605785,0.138365555,2.175103547,0.029622358,0.201150682,Kcng4
Cacna1i,1552.825396,0.312684138,0.123856811,2.507523097,0.012158064,0.148022202,Cacna1i
Lmx1b,4.065481108,0.313086623,0.168424759,1.969871017,0.048853155,NA,Lmx1b
Gm8960,2.73666552,0.313535894,0.156972356,2.444783651,0.014493906,NA,Gm8960
Dgkz,10726.58159,0.313888375,0.151039123,2.057586622,0.039629832,0.222653118,Dgkz
Rassf3,360.816536,0.314069655,0.129112582,2.408693519,0.016009736,0.163683453,Rassf3
Rab11fip4,4979.431194,0.314098352,0.1200707,2.596620866,0.009414578,0.135546014,Rab11fip4
Fbxo2,2669.453104,0.314112562,0.155415156,1.970736833,0.048753985,0.240134438,Fbxo2
Hdac8,218.1140418,0.315013779,0.140627651,2.185922582,0.02882127,0.199208617,Hdac8
Scg3,5224.54261,0.31505968,0.15564731,1.992241223,0.046344597,0.235060659,Scg3
Hdac4,1018.01325,0.31508634,0.141617666,2.185163116,0.028876889,0.199312721,Hdac4
Baz2b,409.3323978,0.315123106,0.114094213,2.731487808,0.006304907,0.120249999,Baz2b
Bicc1,110.1827136,0.315453865,0.154544264,2.025075713,0.04285959,0.229427708,Bicc1
Phkb,849.6863763,0.315618035,0.1361485,2.290963308,0.021965536,0.180814012,Phkb
Zfp438,94.81407786,0.315664041,0.156182627,1.981109586,0.047578986,0.238185733,Zfp438
Dnajc3,1268.27499,0.315960658,0.12864958,2.420848523,0.015484328,0.162365184,Dnajc3
Klrg1,4.534740983,0.31648362,0.172991667,2.078078004,0.037702175,NA,Klrg1
Rgs3,342.0940718,0.316708978,0.123366362,2.534464021,0.011261949,0.144208016,Rgs3
