,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A830019P07Rik,36.47448419,-0.284288649,0.195764364,-1.401289716,0.161127455,0.603489123
Zfp759,119.5207433,-0.284285778,0.153749031,-1.829147361,0.067377536,0.460063829
Prima1,35.10360483,-0.284102157,0.186685464,-1.536817504,0.124338006,0.555064309
Ltb4r2,5.186476161,-0.28398756,0.161936269,-1.696607182,0.089770951,0.500981394
Slc22a12,12.25019189,-0.283903177,0.195853181,-1.508135751,0.131519787,0.565334595
Egfl6,76.16326084,-0.283863479,0.17900864,-1.555608814,0.119801142,0.549530674
Gm2981,37.24367266,-0.283760519,0.177594561,-1.634509011,0.102152016,0.52075002
Sap30l,714.747833,-0.283636824,0.152692764,-1.802618389,0.071448167,0.468433681
Npnt,346.4134929,-0.283560049,0.169282021,-1.722618485,0.08495754,0.495278569
Pmel,9.666339757,-0.283526543,0.194061205,-1.472284896,0.14094396,0.578138568
Kcna3,89.29648882,-0.283390163,0.171660971,-1.634770025,0.102097267,0.52075002
Fzd1,208.3615185,-0.283378031,0.164468712,-1.697682651,0.089567674,0.50072508
Lck,23.29621459,-0.283374868,0.193221975,-1.383304266,0.166571591,0.609942943
Gm10863,20.20904418,-0.283370487,0.195859192,-1.292756839,0.196095173,0.637989699
Gm44957,3.28477093,-0.283320332,0.154082062,-1.771109302,0.076542527,NA
Ccdc85a,1619.012951,-0.283301495,0.086451593,-3.290997666,0.000998327,0.08311309
Cecr2,151.1646701,-0.28324367,0.149820132,-1.877817763,0.060406099,0.444389228
Mmp9,31.12568677,-0.283184117,0.186914446,-1.438436882,0.150310134,0.591920213
Gm23851,1.624730246,-0.283182086,0.123288707,-2.355174604,0.018514004,NA
Gm715,73.79941111,-0.283058906,0.15630465,-1.818506664,0.068986729,0.463360048
Zfp467,396.0987111,-0.282965968,0.133520612,-2.081345001,0.037402339,0.377833881
Rnase1,15.70693353,-0.28294691,0.193509922,-1.417385467,0.156370259,0.59807515
Tspan32os,10.27794607,-0.282706417,0.188865992,-1.441398234,0.149472209,0.591514187
Echs1,1182.428972,-0.282614479,0.15991497,-1.713696743,0.086584435,0.497310796
Rasa4,59.3234227,-0.282584285,0.162032686,-1.733300584,0.083042257,0.491685228
Gm42744,7.846590328,-0.282424652,0.190970607,-1.460920182,0.144037347,0.583310904
Phlpp1,2304.19377,-0.282329404,0.101338183,-2.773020241,0.005553867,0.179235537
Usp6nl,418.1968269,-0.282320163,0.118068808,-2.36364659,0.018096066,0.287452928
Foxk1,1257.828866,-0.282286578,0.116945284,-2.433788667,0.014941716,0.268078159
1500012K07Rik,4.07493865,-0.282219504,0.166441777,-1.669719088,0.094974955,NA
Vangl2,257.98727,-0.282145218,0.10220269,-2.777954805,0.005470223,0.178167251
D030034A15Rik,4.47276126,-0.282103258,0.16002465,-1.739732461,0.081906007,NA
Gm37494,339.9740205,-0.282098017,0.145303759,-1.908584917,0.056315659,0.435055344
Bpifb3,1.817306956,-0.281942457,0.11711762,-1.95066763,0.051096596,NA
Abcb10,490.152947,-0.281904152,0.11278677,-2.488038452,0.012844984,0.25342884
Bptf,1550.014546,-0.281783493,0.107167573,-2.63702939,0.008363558,0.206092888
