Gene,FEMALElog2FoldChange.x,MALElog2FoldChange.y
Cped1,-0.397706462,0.530887007
Cpne7,0.532027104,-0.395489857
Crabp2,-0.538194758,0.57359859
Creb3,0.272803383,-0.276722411
Crhr2,0.465229874,-0.466995901
Crybg3,-0.293331142,0.307943139
Crym,0.347552891,-0.33610153
Csde1,0.278190974,-0.171288275
Csnk2b,0.217350117,-0.314598213
Csrnp2,0.326300035,-0.504456539
Ctsa,0.245691732,-0.19954599
Cul9,-0.269881231,0.279325703
Cxcl12,-0.250901509,0.187634599
Cyb561,0.637136037,-0.31595808
Cyp1b1,-0.765844793,0.420480035
Cyp4v3,-0.335083761,0.387449636
D17H6S53E,0.358872611,-0.382594657
Dab2ip,-0.338813895,0.379058324
Dad1,0.202543803,-0.258783101
Dcaf12l1,0.296798781,-0.298309052
Dcn,0.439012061,-0.294249602
Ddx60,-0.376095486,0.39948558
Dennd4b,-0.368906693,0.377346334
Depp1,0.52598007,-0.528483421
Dhx37,0.298174112,-0.334945062
Dlg5,-0.240938708,0.196529387
Dlk1,0.418347287,-0.50219089
Dlx6,0.402193062,-0.595190205
Dnaja1,0.316741478,-0.421566858
Dnal4,0.261064554,-0.224105556
Dnm1l,0.334704043,-0.346028972
Dok6,-0.754542888,0.776079487
Dpp8,-0.375359215,0.44907361
Dpysl2,0.583400627,-0.369482844
Dtna,-0.329001179,0.28197936
Dtx2,0.405526916,-0.484128311
Dusp5,0.541368024,-0.92078466
Dym,0.293682241,-0.330563213
Ebf2,-0.516479663,-0.682319411
Edn3,-0.476072298,0.597791293
Efnb2,0.474532453,-0.369573
Eif2b2,0.328215341,-0.310026727
Eif2s3x,-0.179282582,0.231029877
Eif3g,0.255221616,-0.319978898
Elavl2,0.358664691,-0.40423503
Elavl4,0.465394237,-0.347121441
Elovl4,0.357475917,-0.322751249
Eno1,0.296220598,-0.351936599
Enpp1,-0.443766836,0.349331508
Ep400,-0.321183708,0.218713776
Ephb1,-0.465874827,0.404806006
Ephb4,-0.400568301,0.424453248
Etaa1os,-0.429782965,0.439529155
Exph5,-0.510177128,0.708059519
F13a1,-0.540183312,0.829889479
F8a,0.355788888,-0.409684195
Fads3,0.382151531,-0.277384412
