Gene,FEMALElog2FoldChange.x,MALElog2FoldChange.y
Vdac3-ps1,0.242980267,-0.22864221
Vegfd,0.49968167,-0.459616209
Vgf,0.458152041,-0.654427607
Vps28,0.186793382,-0.196212719
Vsig2,-0.321531196,0.37317457
Washc1,0.265207778,-0.35724263
Wdfy2,-0.347369511,0.301896812
Wdr77,0.246291809,-0.353833213
Wnt6,-0.424049195,0.4170942
Xbp1,0.342900456,-0.371234802
Xylt1,-0.251327086,0.344261397
Yae1d1,-0.216321362,0.350968402
Zap70,0.409756155,-0.422278355
Zbtb37,-0.479096906,0.241290395
Zcchc12,0.377559183,-0.484943127
Zcchc18,0.336977355,-0.375555363
Zeb1,-0.351090183,0.407447672
Zfp236,-0.300712384,0.35571645
Zfp335,-0.367776149,0.254467225
Zfp36l2,-0.354527474,0.675717059
Zfp521,-0.373217613,0.371497816
Zfp579,0.357837168,-0.332297013
Zfp69,-0.488559673,0.658517493
Zfp7,0.407304796,-0.399727317
Zfp704,-0.347494664,0.472831302
Zfp955a,-0.326977483,0.377883006
Zfp976,0.382169345,-0.368869409
Zhx2,-0.197825843,0.1966862
Zmat2,0.222001682,-0.240074344
Zrsr2,0.189912728,-0.238496948
