Sample,Genotype,Chromo,Gonad
164,XXO,XX,Ovaries
176,XXO,XX,Ovaries
179,XXO,XX,Ovaries
185,XXO,XX,Ovaries
177,XYO,XY,Ovaries
178,XYO,XY,Ovaries
193,XYO,XY,Ovaries
184,XYO,XY,Ovaries
175,XXT,XX,Testes
181,XXT,XX,Testes
182,XXT,XX,Testes
186,XXT,XX,Testes
187,XXT,XX,Testes
183,XXT,XX,Testes
180,XYT,XY,Testes
172,XYT,XY,Testes
173,XYT,XY,Testes
174,XYT,XY,Testes
