,164,176,179,185,177,178,193,184,175,181,182,186,187,183,180,172,173,174
Eotaxin,-0.739801359,-0.739801359,-0.166118783,-0.297632964,-0.739801359,0.042293611,-0.894428558,0.722079658,-0.001488081,-1.306342663,-0.739801359,-0.411147401,0.042293611,-0.09325106,-0.634210999,-0.667487154,-0.353274024,-0.600154385
GM-CSF,-0.111888484,-0.271497524,-0.271497524,-0.039847896,0.026733842,0.026733842,0.026733842,0.148999123,-0.111888484,-0.361775991,-0.46021884,-0.271497524,-0.271497524,0.026733842,-0.111888484,-0.111888484,-0.271497524,-0.46021884
IL1a,0.10567801,0.051334242,-0.256536663,-0.026555942,-0.352699234,0.14852399,-0.310225193,-0.545131986,0.251458141,-0.006422522,0.101235778,-0.382130753,0.078927307,-0.397228065,-0.345582122,-0.205714009,-0.545131986,0.087935941
IL-2,-0.254105744,0.271583786,0.619094715,0.314440271,0.303189563,0.41454952,0.180314887,-0.057681551,0.126390722,0.320032893,0.104336355,0.157737732,0.706786283,0.532623952,0.503779516,0.00044526,0.421069555,0.531591366
IL-9,0.069512754,-0.423109425,-0.261171344,-0.281155986,-0.162775883,0.772531016,-0.570446066,-1.720181083,-0.199573516,-0.753230053,-0.409414861,0.102679618,0.002102663,0.368140761,-0.931904542,-0.08927169,-0.658019042,1.271524758
IL-10,-0.632884599,-0.539189804,-0.401344279,-0.596760271,0.412779677,-0.431677507,-1.136537831,-0.632884599,-0.561943059,-0.657177512,-0.903433058,-0.844388704,-0.391121754,-0.632884599,-1.065576369,-0.873608843,-0.561943059,-0.632884599
IL-12p40,-0.85941295,-0.85941295,-0.260903918,0.012579437,-0.260903918,0.429474883,0.743583473,-0.615789851,-0.85941295,-0.85941295,-0.85941295,-0.85941295,0.012579437,-0.832445903,0.743583473,-0.85941295,-0.85941295,-0.85941295
IL-12p70,-0.67164352,-0.67164352,-0.143536523,-0.467823891,-0.143536523,-0.294492288,-0.294492288,0.216726754,-0.467823891,-1.681193309,-0.467823891,-0.920336095,-0.294492288,-0.294492288,-0.143536523,-0.67164352,-0.467823891,-0.294492288
IL-13,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,0.97215694,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435,-0.466772435
LIX,-1.375972262,-1.375972262,-1.375972262,-0.127285635,-1.375972262,-0.264523563,-1.375972262,-1.375972262,-1.375972262,-1.375972262,-1.375972262,-1.375972262,-0.606200522,-1.375972262,0.103322981,-0.828769237,-1.375972262,-1.375972262
IL-15,-0.326667048,-0.572305213,-0.443195792,-0.572305213,-0.326667048,-0.383345182,-0.717728572,-0.17100274,-0.077826988,-0.572305213,-0.506083498,-0.717728572,-0.326667048,-0.326667048,-0.506083498,-0.883524211,-0.642694541,-0.642694541
IL-17a,-0.716828411,-0.265383684,-1.131865911,0.200537628,-1.241029354,-0.619435982,-1.131865911,-1.270732948,-0.235788901,-0.737417681,-0.581716316,-1.517990718,-0.865914021,-1.187437376,-1.314256461,-0.910308141,-1.389071238,-1.030384593
IP-10,1.861566473,2.22057836,2.659558279,2.567022812,2.527434829,2.281577742,2.491574985,2.633548838,-0.368559158,2.285133772,2.215871109,2.827033408,2.912896357,2.151011224,2.989938144,2.044138851,1.882605546,1.478449159
KC,-0.388781403,0.082799298,-0.338299954,0.372924434,-0.551776958,0.186362036,-0.290504443,-0.112007769,0.282985925,-0.290504443,0.235482747,-0.26622425,0.170084215,-0.735561374,-0.610475014,-0.338299954,-1.104239724,-0.243293515
MCP-1,0.181315983,-0.371603501,0.181315983,-0.060681486,0.181315983,0.378211925,0.181315983,0.378211925,-0.060681486,-0.060681486,-0.371603501,-0.060681486,0.181315983,-0.060681486,-0.060681486,-0.371603501,-0.371603501,0.543360395
MIP-1a,-0.343027167,-0.110313546,-0.132786489,-0.204435723,-0.179818881,0.54572466,0.010226723,0.096534555,-0.477146464,-0.44140164,-0.374309428,-0.179818881,-0.027573745,-0.204435723,-0.179818881,-0.110313546,-0.554543161,0.450157026
MIP-1b,1.45117247,1.881872158,2.164532325,1.876904869,1.939460956,1.484606294,2.164532325,2.786767858,0.232690524,1.723359611,1.641055292,2.000524563,2.131546434,1.426248486,2.13835518,1.138229384,1.239508455,0.981297633
MCSF,0.498561606,0.498561606,1.189514803,0.723724003,0.924876511,0.498561606,1.268782282,1.684451849,-0.933104484,0.77625731,0.723724003,0.826944723,1.419900015,0.498561606,1.346318883,-0.048097006,-0.211343761,-0.211343761
MIP-2,-0.278357766,-0.278357766,0.222215346,-0.278357766,0.222215346,0.222215346,0.222215346,0.001873081,-0.278357766,-0.278357766,-0.278357766,0.001873081,0.222215346,0.001873081,0.222215346,-0.662383191,-0.278357766,-0.278357766
MIG,-0.263395002,0.408590561,1.206194099,1.686212503,1.911504815,1.025261922,0.210237151,0.311566107,-0.861498602,-0.263395002,0.499499057,1.416777746,1.088127875,1.366942864,0.311566107,-0.263395002,-0.13475285,0.745918749
VEGF,-1.571383513,-1.571383513,-1.571383513,-0.958676022,-1.571383513,-0.502996538,-1.571383513,-1.571383513,-0.9910975,-0.895940267,-1.092977114,-1.571383513,-1.571383513,-1.309516809,-1.571383513,-0.578403941,-1.571383513,-0.378300791
