"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"136","XXT",175,"IL-2","Cuprizone",63.28,57.97210526,1.09155946150644,0.126390721701951
"137","XXT",181,"IL-2","Cuprizone",72.37,57.97210526,1.24835901120766,0.320032893499013
"138","XXT",182,"IL-2","Cuprizone",62.32,57.97210526,1.07499977308914,0.104336355290828
"139","XXT",186,"IL-2","Cuprizone",64.67,57.97210526,1.11553651036064,0.157737732277036
"140","XXT",187,"IL-2","Cuprizone",94.62,57.97210526,1.63216428962925,0.706786282740825
"141","XXT",183,"IL-2","Cuprizone",83.86,57.97210526,1.44655778195211,0.532623952075549
"142","XYT",180,"IL-2","Cuprizone",82.2,57.97210526,1.41792332073055,0.503779515798204
"143","XYT",172,"IL-2","Cuprizone",57.99,57.97210526,1.00030867845699,0.000445260161550795
"144","XYT",173,"IL-2","Cuprizone",77.62,57.97210526,1.33891980723972,0.421069555014607
"145","XYT",174,"IL-2","Cuprizone",83.8,57.97210526,1.44552280142603,0.531591365815873
"165","XXO",164,"IL-9","Cuprizone",1161,1106.386316,1.04936221933533,0.0695127540234619
"166","XXO",176,"IL-9","Cuprizone",825.16,1106.386316,0.745815442641465,-0.423109425435225
"167","XXO",179,"IL-9","Cuprizone",923.18,1106.386316,0.834410175405676,-0.261171343647854
"168","XXO",185,"IL-9","Cuprizone",910.48,1106.386316,0.822931363876341,-0.281155986384458
"169","XYO",177,"IL-9","Cuprizone",988.34,1106.386316,0.893304613142016,-0.162775882661597
"170","XYO",178,"IL-9","Cuprizone",1890,1106.386316,1.70826407798775,0.77253101626633
"171","XYO",193,"IL-9","Cuprizone",745.05,1106.386316,0.6734085456639,-0.570446065571073
"172","XYO",184,"IL-9","Cuprizone",335.8,1106.386316,0.303510622956765,-1.72018108279244
"173","XXT",175,"IL-9","Cuprizone",963.45,1106.386316,0.870807950231373,-0.199573515901645
"174","XXT",181,"IL-9","Cuprizone",656.39,1106.386316,0.593273787381152,-0.75323005328386
"175","XXT",182,"IL-9","Cuprizone",833.03,1106.386316,0.752928690415943,-0.409414860607556
"176","XXT",186,"IL-9","Cuprizone",1188,1106.386316,1.07376599187801,0.102679617958661
"177","XXT",187,"IL-9","Cuprizone",1108,1106.386316,1.00145851767747,0.00210266320708345
"178","XXT",183,"IL-9","Cuprizone",1428,1106.386316,1.29068841447963,0.368140761186995
"179","XYT",180,"IL-9","Cuprizone",579.93,1106.386316,0.524165918913986,-0.931904541702162
"180","XYT",172,"IL-9","Cuprizone",1040,1106.386316,0.939997164607014,-0.0892716898136502
"181","XYT",173,"IL-9","Cuprizone",701.17,1106.386316,0.633747896064904,-0.658019042265298
"182","XYT",174,"IL-9","Cuprizone",2671,1106.386316,2.41416579487051,1.27152475779301
"202","XXO",164,"IL-10","Cuprizone",32.34,50.14842105,0.644885707722596,-0.632884598711912
"203","XXO",176,"IL-10","Cuprizone",34.51,50.14842105,0.68815725953948,-0.539189803750058
"204","XXO",179,"IL-10","Cuprizone",37.97,50.14842105,0.757152452759029,-0.401344278566484
"205","XXO",185,"IL-10","Cuprizone",33.16,50.14842105,0.661237169699483,-0.596760270689823
"206","XYO",177,"IL-10","Cuprizone",66.76,50.14842105,1.33124829460608,0.412779677177025
"207","XYO",178,"IL-10","Cuprizone",37.18,50.14842105,0.741399215000808,-0.431677507266092
