G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:102854,Rpl5,ribosomal protein L5,5,,cytosolic ribosome,,,ISO,RGD:619825 ,J:155856 
MGI:102854,Rpl5,ribosomal protein L5,5,,cytosolic ribosome,,,ISO,P46777 ,J:164563 
MGI:108057,Rpl6,ribosomal protein L6,5,,cytosolic large ribosomal subunit,,,IBA,PTN000076315 ,J:265628 
MGI:108057,Rpl6,ribosomal protein L6,5,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:108057,Rpl6,ribosomal protein L6,5,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:108057,Rpl6,ribosomal protein L6,5,,cytosolic large ribosomal subunit,,,ISO,RGD:619826 ,J:155856 
MGI:108057,Rpl6,ribosomal protein L6,5,,cytosolic large ribosomal subunit,,,ISO,Q02878 ,J:164563 
MGI:108057,Rpl6,ribosomal protein L6,5,,cytosolic ribosome,,,ISO,Q02878 ,J:164563 
MGI:3647789,Rpl6l,ribosomal protein L6-like,10,,cytosolic large ribosomal subunit,,,ISO,Q02878 ,J:164563 
MGI:3647789,Rpl6l,ribosomal protein L6-like,10,,cytosolic ribosome,,,ISO,Q02878 ,J:164563 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic large ribosomal subunit,,,IBA,PTN000897517 ,J:265628 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic large ribosomal subunit,,,IDA,,J:9681 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic large ribosomal subunit,,,ISO,RGD:735169 ,J:155856 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic large ribosomal subunit,,,ISO,P18124 ,J:164563 
MGI:98073,Rpl7,ribosomal protein L7,1,,cytosolic ribosome,,,ISO,P18124 ,J:164563 
MGI:1353472,Rpl7a,ribosomal protein L7A,2,,cytosolic large ribosomal subunit,,,IBA,PTN004606439 ,J:265628 
MGI:1353472,Rpl7a,ribosomal protein L7A,2,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1353472,Rpl7a,ribosomal protein L7A,2,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
