G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:3781727,Rpl27rt,"ribosomal protein L29, retrotransposed",18,,cytosolic large ribosomal subunit,,,ISO,RGD:62069 ,J:155856 
MGI:3781727,Rpl27rt,"ribosomal protein L29, retrotransposed",18,,cytosolic large ribosomal subunit,,,ISO,P47914 ,J:164563 
MGI:3781727,Rpl27rt,"ribosomal protein L29, retrotransposed",18,,cytosolic ribosome,,,ISO,P47914 ,J:164563 
MGI:101839,Rpl28,ribosomal protein L28,7,,cytosolic large ribosomal subunit,,,IBA,PTN000057380 ,J:265628 
MGI:101839,Rpl28,ribosomal protein L28,7,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:101839,Rpl28,ribosomal protein L28,7,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:101839,Rpl28,ribosomal protein L28,7,,cytosolic large ribosomal subunit,,,ISO,RGD:621193 ,J:155856 
MGI:101839,Rpl28,ribosomal protein L28,7,,cytosolic large ribosomal subunit,,,ISO,P46779 ,J:164563 
MGI:101839,Rpl28,ribosomal protein L28,7,,cytosolic ribosome,,,ISO,P46779 ,J:164563 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic large ribosomal subunit,,,IBA,PTN000306390 ,J:265628 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic large ribosomal subunit,,,ISO,RGD:62069 ,J:155856 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic large ribosomal subunit,,,ISO,P47914 ,J:164563 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic ribosome,,,IDA,,J:117229 
MGI:99687,Rpl29,ribosomal protein L29,9,,cytosolic ribosome,,,ISO,P47914 ,J:164563 
MGI:98037,Rpl30,ribosomal protein L30,15,,cytosolic large ribosomal subunit,,,IBA,PTN000154874 ,J:265628 
MGI:98037,Rpl30,ribosomal protein L30,15,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98037,Rpl30,ribosomal protein L30,15,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98037,Rpl30,ribosomal protein L30,15,,cytosolic large ribosomal subunit,,,ISO,RGD:621201 ,J:155856 
MGI:98037,Rpl30,ribosomal protein L30,15,,cytosolic large ribosomal subunit,,,ISO,P62888 ,J:164563 
MGI:98037,Rpl30,ribosomal protein L30,15,,cytosolic ribosome,,,ISO,P62888 ,J:164563 
MGI:2149632,Rpl31,ribosomal protein L31,1,,cytosolic large ribosomal subunit,,,IBA,PTN000102776 ,J:265628 
MGI:2149632,Rpl31,ribosomal protein L31,1,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:2149632,Rpl31,ribosomal protein L31,1,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:2149632,Rpl31,ribosomal protein L31,1,,cytosolic large ribosomal subunit,,,ISO,RGD:621202 ,J:155856 
MGI:2149632,Rpl31,ribosomal protein L31,1,,cytosolic large ribosomal subunit,,,ISO,P62899 ,J:164563 
MGI:2149632,Rpl31,ribosomal protein L31,1,,cytosolic ribosome,,,ISO,P62899 ,J:164563 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic large ribosomal subunit,,,IBA,PTN000601894 ,J:265628 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic large ribosomal subunit,,,IDA,,J:31514 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic large ribosomal subunit,,,ISO,RGD:621203 ,J:155856 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic large ribosomal subunit,,,ISO,P62910 ,J:164563 
MGI:98038,Rpl32,ribosomal protein L32,6,,cytosolic ribosome,,,ISO,P62910 ,J:164563 
MGI:98039,Rpl32-ps,"ribosomal protein L32, pseudogene",3,,cytosolic large ribosomal subunit,,,IBA,PTN000601894 ,J:265628 
MGI:3644747,Rpl32l,ribosomal protein L32-like,10,,cytosolic large ribosomal subunit,,,ISO,P62910 ,J:164563 
MGI:3644747,Rpl32l,ribosomal protein L32-like,10,,cytosolic ribosome,,,ISO,P62910 ,J:164563 
MGI:1915686,Rpl34,ribosomal protein L34,3,,cytosolic large ribosomal subunit,,,IBA,PTN000079604 ,J:265628 
MGI:1915686,Rpl34,ribosomal protein L34,3,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1915686,Rpl34,ribosomal protein L34,3,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1915686,Rpl34,ribosomal protein L34,3,,cytosolic large ribosomal subunit,,,ISO,RGD:1309402 ,J:155856 
MGI:1915686,Rpl34,ribosomal protein L34,3,,cytosolic large ribosomal subunit,,,ISO,P49207 ,J:164563 
MGI:1915686,Rpl34,ribosomal protein L34,3,,cytosolic ribosome,,,ISO,P49207 ,J:164563 
MGI:3704270,Rpl34-ps1,"ribosomal protein L34, pseudogene 1",6,,cytosolic large ribosomal subunit,,,ISO,RGD:1309402 ,J:155856 
MGI:3704270,Rpl34-ps1,"ribosomal protein L34, pseudogene 1",6,,cytosolic large ribosomal subunit,,,ISO,P49207 ,J:164563 
MGI:3704270,Rpl34-ps1,"ribosomal protein L34, pseudogene 1",6,,cytosolic ribosome,,,ISO,P49207 ,J:164563 
MGI:3648994,Rpl34-ps2,"ribosomal protein L34, pseudogene 2",13,,cytosolic large ribosomal subunit,,,ISO,P49207 ,J:164563 
MGI:3648994,Rpl34-ps2,"ribosomal protein L34, pseudogene 2",13,,cytosolic ribosome,,,ISO,P49207 ,J:164563 
MGI:1913739,Rpl35,ribosomal protein L35,2,,cytosolic large ribosomal subunit,,,IBA,PTN000356124 ,J:265628 
MGI:1913739,Rpl35,ribosomal protein L35,2,,cytosolic large ribosomal subunit,,,ISO,RGD:1303007 ,J:155856 
MGI:1913739,Rpl35,ribosomal protein L35,2,,cytosolic large ribosomal subunit,,,ISO,P42766 ,J:164563 
MGI:1913739,Rpl35,ribosomal protein L35,2,,cytosolic ribosome,,,ISO,P42766 ,J:164563 
MGI:1928894,Rpl35a,ribosomal protein L35A,16,,cytosolic large ribosomal subunit,,,IBA,PTN000096770 ,J:265628 
MGI:1928894,Rpl35a,ribosomal protein L35A,16,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1928894,Rpl35a,ribosomal protein L35A,16,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1928894,Rpl35a,ribosomal protein L35A,16,,cytosolic large ribosomal subunit,,,ISO,P18077 ,J:164563 
MGI:1928894,Rpl35a,ribosomal protein L35A,16,,cytosolic ribosome,,,ISO,P18077 ,J:164563 
MGI:3780170,Rpl35rt,"ribosomal protein L35, retrotransposed",1,,cytosolic large ribosomal subunit,,,ISO,RGD:1303007 ,J:155856 
MGI:3780170,Rpl35rt,"ribosomal protein L35, retrotransposed",1,,cytosolic large ribosomal subunit,,,ISO,P42766 ,J:164563 
MGI:3780170,Rpl35rt,"ribosomal protein L35, retrotransposed",1,,cytosolic ribosome,,,ISO,P42766 ,J:164563 
MGI:1860603,Rpl36,ribosomal protein L36,17,,cytosolic large ribosomal subunit,,,IBA,PTN000012121 ,J:265628 
MGI:1860603,Rpl36,ribosomal protein L36,17,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1860603,Rpl36,ribosomal protein L36,17,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1860603,Rpl36,ribosomal protein L36,17,,cytosolic large ribosomal subunit,,,ISO,RGD:62085 ,J:155856 
MGI:1860603,Rpl36,ribosomal protein L36,17,,cytosolic large ribosomal subunit,,,ISO,Q9Y3U8 ,J:164563 
MGI:1860603,Rpl36,ribosomal protein L36,17,,cytosolic ribosome,,,ISO,Q9Y3U8 ,J:164563 
MGI:3644086,Rpl36-ps4,"ribosomal protein L36, pseudogene 4",17,,cytosolic large ribosomal subunit,,,IBA,PTN000012121 ,J:265628 
MGI:3782787,Rpl36-ps12,"ribosomal protein L36, pseudogene 12",6,,cytosolic large ribosomal subunit,,,ISO,Q9Y3U8 ,J:164563 
MGI:3782787,Rpl36-ps12,"ribosomal protein L36, pseudogene 12",6,,cytosolic ribosome,,,ISO,Q9Y3U8 ,J:164563 
MGI:1201789,Rpl36a,ribosomal protein L36A,X,,cytosolic large ribosomal subunit,,,IBA,PTN000042522 ,J:265628 
MGI:1201789,Rpl36a,ribosomal protein L36A,X,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1201789,Rpl36a,ribosomal protein L36A,X,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1201789,Rpl36a,ribosomal protein L36A,X,,cytosolic large ribosomal subunit,,,ISO,RGD:1306640 ,J:155856 
MGI:1201789,Rpl36a,ribosomal protein L36A,X,,cytosolic large ribosomal subunit,,,ISO,P83881 ,J:164563 
MGI:1201789,Rpl36a,ribosomal protein L36A,X,,cytosolic ribosome,,,ISO,P83881 ,J:164563 
MGI:3642585,Rpl36a-ps1,"ribosomal protein L36A, pseudogene 1",14,,cytosolic large ribosomal subunit,,,IBA,PTN000042522 ,J:265628 
MGI:1913733,Rpl36al,ribosomal protein L36A-like,12,,cytosolic large ribosomal subunit,,,ISO,RGD:1306640 ,J:155856 
MGI:1913733,Rpl36al,ribosomal protein L36A-like,12,,cytosolic large ribosomal subunit,,,ISO,P83881 ,J:164563 
MGI:1913733,Rpl36al,ribosomal protein L36A-like,12,,cytosolic ribosome,,,ISO,P83881 ,J:164563 
MGI:1914531,Rpl37,ribosomal protein L37,15,,cytosolic large ribosomal subunit,,,IBA,PTN000080456 ,J:265628 
MGI:1914531,Rpl37,ribosomal protein L37,15,,cytosolic large ribosomal subunit,,,ISO,RGD:621204 ,J:155856 
MGI:1914531,Rpl37,ribosomal protein L37,15,,cytosolic large ribosomal subunit,,,ISO,P61927 ,J:164563 
MGI:1914531,Rpl37,ribosomal protein L37,15,,cytosolic ribosome,,,ISO,P61927 ,J:164563 
MGI:98068,Rpl37a,ribosomal protein L37a,1,,cytosolic large ribosomal subunit,,,IBA,PTN008298523 ,J:265628 
MGI:98068,Rpl37a,ribosomal protein L37a,1,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98068,Rpl37a,ribosomal protein L37a,1,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98068,Rpl37a,ribosomal protein L37a,1,,cytosolic large ribosomal subunit,,,ISO,P61513 ,J:164563 
MGI:98068,Rpl37a,ribosomal protein L37a,1,,cytosolic ribosome,,,ISO,P61513 ,J:164563 
MGI:3651519,Rpl37rt,"ribosomal protein L37, retrotransposed",5,,cytosolic large ribosomal subunit,,,ISO,RGD:621204 ,J:155856 
MGI:3651519,Rpl37rt,"ribosomal protein L37, retrotransposed",5,,cytosolic large ribosomal subunit,,,ISO,P61927 ,J:164563 
MGI:3651519,Rpl37rt,"ribosomal protein L37, retrotransposed",5,,cytosolic ribosome,,,ISO,P61927 ,J:164563 
MGI:1914921,Rpl38,ribosomal protein L38,11,,cytosolic large ribosomal subunit,,,IBA,PTN000103359 ,J:265628 
MGI:1914921,Rpl38,ribosomal protein L38,11,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1914921,Rpl38,ribosomal protein L38,11,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1914921,Rpl38,ribosomal protein L38,11,,cytosolic large ribosomal subunit,,,ISO,RGD:1305573 ,J:155856 
MGI:1914921,Rpl38,ribosomal protein L38,11,,cytosolic large ribosomal subunit,,,ISO,P63173 ,J:164563 
MGI:1914921,Rpl38,ribosomal protein L38,11,,cytosolic ribosome,,,ISO,P63173 ,J:164563 
MGI:1914498,Rpl39,ribosomal protein L39,X,,cytosolic large ribosomal subunit,,,IBA,PTN000463054 ,J:265628 
MGI:1914498,Rpl39,ribosomal protein L39,X,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1914498,Rpl39,ribosomal protein L39,X,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1914498,Rpl39,ribosomal protein L39,X,,cytosolic large ribosomal subunit,,,ISO,RGD:3593 ,J:155856 
MGI:1914498,Rpl39,ribosomal protein L39,X,,cytosolic large ribosomal subunit,,,ISO,P62891 ,J:164563 
MGI:1914498,Rpl39,ribosomal protein L39,X,,cytosolic ribosome,,,ISO,P62891 ,J:164563 
MGI:1915422,Rpl39l,ribosomal protein L39-like,16,,cytosolic large ribosomal subunit,,,IBA,PTN000463054 ,J:265628 
MGI:1915422,Rpl39l,ribosomal protein L39-like,16,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1915195,Rpl41,ribosomal protein L41,10,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1915195,Rpl41,ribosomal protein L41,10,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1927636,Rplp0,"ribosomal protein, large, P0",5,,cytosolic large ribosomal subunit,,,IBA,PTN000474664 ,J:265628 
MGI:1927636,Rplp0,"ribosomal protein, large, P0",5,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1927636,Rplp0,"ribosomal protein, large, P0",5,,cytosolic large ribosomal subunit,,,ISO,P05388 ,J:164563 
MGI:1927636,Rplp0,"ribosomal protein, large, P0",5,,cytosolic ribosome,,,ISO,P05388 ,J:164563 
MGI:1927099,Rplp1,"ribosomal protein, large, P1",9,,cytosolic large ribosomal subunit,,,IBA,PTN000474938 ,J:265628 
MGI:1927099,Rplp1,"ribosomal protein, large, P1",9,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1927099,Rplp1,"ribosomal protein, large, P1",9,,cytosolic large ribosomal subunit,,,ISO,RGD:621774 ,J:155856 
MGI:1927099,Rplp1,"ribosomal protein, large, P1",9,,cytosolic large ribosomal subunit,,,ISO,P05386 ,J:164563 
MGI:1927099,Rplp1,"ribosomal protein, large, P1",9,,cytosolic ribosome,,,ISO,P05386 ,J:164563 
MGI:1914436,Rplp2,"ribosomal protein, large P2",7,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1914436,Rplp2,"ribosomal protein, large P2",7,,cytosolic large ribosomal subunit,,,ISO,RGD:621775 ,J:155856 
MGI:1914436,Rplp2,"ribosomal protein, large P2",7,,cytosolic large ribosomal subunit,,,ISO,P05387 ,J:164563 
MGI:3826366,Rplp2-ps1,"ribosomal protein, large P2, pseudogene 1",12,,cytosolic large ribosomal subunit,,,ISO,RGD:621775 ,J:155856 
MGI:3826366,Rplp2-ps1,"ribosomal protein, large P2, pseudogene 1",12,,cytosolic large ribosomal subunit,,,ISO,P05387 ,J:164563 
MGI:105110,Rps2,ribosomal protein S2,17,,cytosolic ribosome,,,ISO,P15880 ,J:164563 
MGI:105110,Rps2,ribosomal protein S2,17,,cytosolic small ribosomal subunit,,,IBA,PTN000346706 ,J:265628 
MGI:105110,Rps2,ribosomal protein S2,17,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:105110,Rps2,ribosomal protein S2,17,,cytosolic small ribosomal subunit,,,ISO,RGD:619887 ,J:155856 
MGI:105110,Rps2,ribosomal protein S2,17,,cytosolic small ribosomal subunit,,,ISO,P15880 ,J:164563 
MGI:105110,Rps2,ribosomal protein S2,17,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1350917,Rps3,ribosomal protein S3,7,,cytosolic ribosome,,,ISO,P23396 ,J:164563 
MGI:1350917,Rps3,ribosomal protein S3,7,,cytosolic small ribosomal subunit,,,IBA,PTN000205057 ,J:265628 
MGI:1350917,Rps3,ribosomal protein S3,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1350917,Rps3,ribosomal protein S3,7,,cytosolic small ribosomal subunit,,,ISO,RGD:619888 ,J:155856 
MGI:1350917,Rps3,ribosomal protein S3,7,,cytosolic small ribosomal subunit,,,ISO,P23396 ,J:164563 
MGI:1350917,Rps3,ribosomal protein S3,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1202063,Rps3a1,ribosomal protein S3A1,3,,cytosolic ribosome,,,ISO,P61247 ,J:164563 
MGI:1202063,Rps3a1,ribosomal protein S3A1,3,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1202063,Rps3a1,ribosomal protein S3A1,3,,cytosolic small ribosomal subunit,,,ISO,RGD:62078 ,J:155856 
MGI:1202063,Rps3a1,ribosomal protein S3A1,3,,cytosolic small ribosomal subunit,,,ISO,P61247 ,J:164563 
MGI:1202063,Rps3a1,ribosomal protein S3A1,3,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1913434,Rps4l,ribosomal protein S4-like,6,,cytosolic small ribosomal subunit,is a part of testis,,IDA,,J:197929 
MGI:98158,Rps4x,"ribosomal protein S4, X-linked",X,,cytosolic ribosome,,,ISO,P62701 ,J:164563 
MGI:98158,Rps4x,"ribosomal protein S4, X-linked",X,,cytosolic small ribosomal subunit,,,IBA,PTN000171891 ,J:265628 
MGI:98158,Rps4x,"ribosomal protein S4, X-linked",X,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:98158,Rps4x,"ribosomal protein S4, X-linked",X,,cytosolic small ribosomal subunit,,,ISO,P62701 ,J:164563 
MGI:98158,Rps4x,"ribosomal protein S4, X-linked",X,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1097682,Rps5,ribosomal protein S5,7,,cytosolic ribosome,,,ISO,P46782 ,J:164563 
MGI:1097682,Rps5,ribosomal protein S5,7,,cytosolic small ribosomal subunit,,,IBA,PTN000128891 ,J:265628 
MGI:1097682,Rps5,ribosomal protein S5,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1097682,Rps5,ribosomal protein S5,7,,cytosolic small ribosomal subunit,,,ISO,RGD:3601 ,J:155856 
MGI:1097682,Rps5,ribosomal protein S5,7,,cytosolic small ribosomal subunit,,,ISO,P46782 ,J:164563 
MGI:1097682,Rps5,ribosomal protein S5,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98159,Rps6,ribosomal protein S6,4,,cytosolic ribosome,,,ISO,P62753 ,J:164563 
MGI:98159,Rps6,ribosomal protein S6,4,,cytosolic small ribosomal subunit,is a part of testis,,IDA,,J:197929 
MGI:98159,Rps6,ribosomal protein S6,4,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:98159,Rps6,ribosomal protein S6,4,,cytosolic small ribosomal subunit,,,ISO,RGD:3602 ,J:155856 
MGI:98159,Rps6,ribosomal protein S6,4,,cytosolic small ribosomal subunit,,,ISO,P62753 ,J:164563 
MGI:98159,Rps6,ribosomal protein S6,4,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:3650907,Rps6-ps4,"ribosomal protein S6, pseudogene 4",2,,cytosolic ribosome,,,ISO,P62753 ,J:164563 
MGI:3650907,Rps6-ps4,"ribosomal protein S6, pseudogene 4",2,,cytosolic small ribosomal subunit,,,ISO,RGD:3602 ,J:155856 
MGI:3650907,Rps6-ps4,"ribosomal protein S6, pseudogene 4",2,,cytosolic small ribosomal subunit,,,ISO,P62753 ,J:164563 
MGI:1333818,Rps7,ribosomal protein S7,12,,cytosolic ribosome,,,ISO,P62081 ,J:164563 
MGI:1333818,Rps7,ribosomal protein S7,12,,cytosolic small ribosomal subunit,,,IBA,PTN000138848 ,J:265628 
MGI:1333818,Rps7,ribosomal protein S7,12,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1333818,Rps7,ribosomal protein S7,12,,cytosolic small ribosomal subunit,,,ISO,RGD:61907 ,J:155856 
MGI:1333818,Rps7,ribosomal protein S7,12,,cytosolic small ribosomal subunit,,,ISO,P62081 ,J:164563 
MGI:1333818,Rps7,ribosomal protein S7,12,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98166,Rps8,ribosomal protein S8,4,,cytosolic ribosome,,,ISO,P62241 ,J:164563 
MGI:98166,Rps8,ribosomal protein S8,4,,cytosolic small ribosomal subunit,,,IBA,PTN000044490 ,J:265628 
MGI:98166,Rps8,ribosomal protein S8,4,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:98166,Rps8,ribosomal protein S8,4,,cytosolic small ribosomal subunit,,,ISO,RGD:61910 ,J:155856 
MGI:98166,Rps8,ribosomal protein S8,4,,cytosolic small ribosomal subunit,,,ISO,P62241 ,J:164563 
MGI:98166,Rps8,ribosomal protein S8,4,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1924096,Rps9,ribosomal protein S9,7,,cytosolic ribosome,,,ISO,P46781 ,J:164563 
MGI:1924096,Rps9,ribosomal protein S9,7,,cytosolic small ribosomal subunit,,,IBA,PTN000216553 ,J:265628 
MGI:1924096,Rps9,ribosomal protein S9,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1924096,Rps9,ribosomal protein S9,7,,cytosolic small ribosomal subunit,,,ISO,RGD:619889 ,J:155856 
MGI:1924096,Rps9,ribosomal protein S9,7,,cytosolic small ribosomal subunit,,,ISO,P46781 ,J:164563 
MGI:1924096,Rps9,ribosomal protein S9,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1914347,Rps10,ribosomal protein S10,17,,cytosolic ribosome,,,ISO,P46783 ,J:164563 
MGI:1914347,Rps10,ribosomal protein S10,17,,cytosolic small ribosomal subunit,,,IBA,PTN000254423 ,J:265628 
MGI:1914347,Rps10,ribosomal protein S10,17,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1914347,Rps10,ribosomal protein S10,17,,cytosolic small ribosomal subunit,,,ISO,RGD:621024 ,J:155856 
MGI:1914347,Rps10,ribosomal protein S10,17,,cytosolic small ribosomal subunit,,,ISO,P46783 ,J:164563 
MGI:1914347,Rps10,ribosomal protein S10,17,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1351329,Rps11,ribosomal protein S11,7,,cytosolic ribosome,,,ISO,P62280 ,J:164563 
MGI:1351329,Rps11,ribosomal protein S11,7,,cytosolic small ribosomal subunit,,,IBA,PTN000078534 ,J:265628 
MGI:1351329,Rps11,ribosomal protein S11,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1351329,Rps11,ribosomal protein S11,7,,cytosolic small ribosomal subunit,,,ISO,RGD:621026 ,J:155856 
MGI:1351329,Rps11,ribosomal protein S11,7,,cytosolic small ribosomal subunit,,,ISO,P62280 ,J:164563 
MGI:1351329,Rps11,ribosomal protein S11,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98105,Rps12,ribosomal protein S12,10,,cytosolic large ribosomal subunit,,,ISO,RGD:62024 ,J:155856 
MGI:98105,Rps12,ribosomal protein S12,10,,cytosolic ribosome,,,ISO,P25398 ,J:164563 
MGI:98105,Rps12,ribosomal protein S12,10,,cytosolic small ribosomal subunit,,,IBA,PTN000217533 ,J:265628 
MGI:98105,Rps12,ribosomal protein S12,10,,cytosolic small ribosomal subunit,,,ISO,RGD:62024 ,J:155856 
MGI:98105,Rps12,ribosomal protein S12,10,,cytosolic small ribosomal subunit,,,ISO,P25398 ,J:164563 
MGI:98105,Rps12,ribosomal protein S12,10,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1915302,Rps13,ribosomal protein S13,7,,cytosolic ribosome,,,ISO,P62277 ,J:164563 
MGI:1915302,Rps13,ribosomal protein S13,7,,cytosolic small ribosomal subunit,,,IBA,PTN000223267 ,J:265628 
MGI:1915302,Rps13,ribosomal protein S13,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1915302,Rps13,ribosomal protein S13,7,,cytosolic small ribosomal subunit,,,ISO,RGD:621027 ,J:155856 
MGI:1915302,Rps13,ribosomal protein S13,7,,cytosolic small ribosomal subunit,,,ISO,P62277 ,J:164563 
MGI:1915302,Rps13,ribosomal protein S13,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98107,Rps14,ribosomal protein S14,18,,cytosolic ribosome,,,ISO,P62263 ,J:164563 
MGI:98107,Rps14,ribosomal protein S14,18,,cytosolic small ribosomal subunit,,,IBA,PTN000204886 ,J:265628 
MGI:98107,Rps14,ribosomal protein S14,18,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:98107,Rps14,ribosomal protein S14,18,,cytosolic small ribosomal subunit,,,ISO,RGD:62025 ,J:155856 
MGI:98107,Rps14,ribosomal protein S14,18,,cytosolic small ribosomal subunit,,,ISO,P62263 ,J:164563 
MGI:98107,Rps14,ribosomal protein S14,18,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98117,Rps15,ribosomal protein S15,10,,cytosolic ribosome,,,ISO,P62841 ,J:164563 
MGI:98117,Rps15,ribosomal protein S15,10,,cytosolic small ribosomal subunit,,,IBA,PTN000222938 ,J:265628 
MGI:98117,Rps15,ribosomal protein S15,10,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:98117,Rps15,ribosomal protein S15,10,,cytosolic small ribosomal subunit,,,ISO,RGD:62026 ,J:155856 
MGI:98117,Rps15,ribosomal protein S15,10,,cytosolic small ribosomal subunit,,,ISO,P62841 ,J:164563 
MGI:98117,Rps15,ribosomal protein S15,10,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:2389091,Rps15a,ribosomal protein S15A,7,,cytosolic ribosome,,,ISO,P62244 ,J:164563 
MGI:2389091,Rps15a,ribosomal protein S15A,7,,cytosolic small ribosomal subunit,,,IBA,PTN000204723 ,J:265628 
MGI:2389091,Rps15a,ribosomal protein S15A,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:2389091,Rps15a,ribosomal protein S15A,7,,cytosolic small ribosomal subunit,,,ISO,RGD:619939 ,J:155856 
MGI:2389091,Rps15a,ribosomal protein S15A,7,,cytosolic small ribosomal subunit,,,ISO,P62244 ,J:164563 
MGI:2389091,Rps15a,ribosomal protein S15A,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98118,Rps16,ribosomal protein S16,7,,cytosolic ribosome,,,ISO,P62249 ,J:164563 
MGI:98118,Rps16,ribosomal protein S16,7,,cytosolic small ribosomal subunit,,,IBA,PTN000490831 ,J:265628 
MGI:98118,Rps16,ribosomal protein S16,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:98118,Rps16,ribosomal protein S16,7,,cytosolic small ribosomal subunit,,,ISO,RGD:621031 ,J:155856 
MGI:98118,Rps16,ribosomal protein S16,7,,cytosolic small ribosomal subunit,,,ISO,P62249 ,J:164563 
MGI:98118,Rps16,ribosomal protein S16,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:1309526,Rps17,ribosomal protein S17,7,,cytosolic ribosome,,,ISO,P08708 ,J:164563 
MGI:1309526,Rps17,ribosomal protein S17,7,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:1309526,Rps17,ribosomal protein S17,7,,cytosolic small ribosomal subunit,,,ISO,RGD:62027 ,J:155856 
MGI:1309526,Rps17,ribosomal protein S17,7,,cytosolic small ribosomal subunit,,,ISO,NM_017152 ,J:49833 
MGI:1309526,Rps17,ribosomal protein S17,7,,cytosolic small ribosomal subunit,,,ISO,P08708 ,J:164563 
MGI:1309526,Rps17,ribosomal protein S17,7,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:98146,Rps18,ribosomal protein S18,17,,cytosolic ribosome,,,ISO,P62269 ,J:164563 
