"","Gene","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","color","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"25","Dbi",2.39820908523415e-34,-0.501072614857893,0.981,0.996,4.67914574620035e-30,"blue",2.17880640529436e-07,-0.295710892865898,0.875,0.961,0.00425106917736984,2.17880640529436e-07,-0.295710892865898,0.875,0.961,0.00425106917736984
"26","Ddx3y",2.80505927618705e-37,-0.3636383467722,0,0.245,5.47295115376855e-33,"blue",1.40361263445418e-18,-0.366572009942205,0,0.243,2.73858861108355e-14,1.40361263445418e-18,-0.366572009942205,0,0.243,2.73858861108355e-14
"27","Dynll2",1.62096964703021e-15,0.307326442839357,0.963,0.915,3.16267387832065e-11,"red",1.43221661321858e-10,0.368742089336583,0.964,0.882,2.79439783405078e-06,1.43221661321858e-10,0.368742089336583,0.964,0.882,2.79439783405078e-06
"28","Eif1",5.96139208848197e-09,-0.174550580780717,0.974,0.995,0.000116312721038372,"blue",3.14210452991118e-07,-0.237783078615534,0.989,0.993,0.0061305601483097,3.14210452991118e-07,-0.237783078615534,0.989,0.993,0.0061305601483097
"29","Eif2s3y",2.65858714193372e-20,-0.207476429343482,0,0.137,5.18716937262687e-16,"blue",4.5269435656377e-16,-0.309508835633295,0,0.211,8.83251959091572e-12,4.5269435656377e-16,-0.309508835633295,0,0.211,8.83251959091572e-12
"30","Elob",1.36968235802487e-28,-0.368228621169226,0.986,0.995,2.67238724874233e-24,"blue",1.77459686930917e-10,-0.336110725123512,0.979,1,3.46241595170913e-06,1.77459686930917e-10,-0.336110725123512,0.979,1,3.46241595170913e-06
"31","Fau",8.0635101187766e-51,-0.421728066743884,0.998,1,1.5732714592745e-46,"blue",1.67319925075427e-15,-0.368203012748819,1,1,3.26457905814666e-11,1.67319925075427e-15,-0.368203012748819,1,1,3.26457905814666e-11
"32","Frmpd4",8.54241426691259e-09,-0.156413728561091,0.086,0.203,0.000166671044761732,"blue",2.16105609300903e-09,-0.290323995068154,0.125,0.346,4.21643654306992e-05,2.16105609300903e-09,-0.290323995068154,0.125,0.346,4.21643654306992e-05
"33","Ftl1",9.34981878617016e-33,-0.484183634191403,0.887,0.969,1.82424314336966e-28,"blue",7.87959230779067e-10,-0.317585329254831,0.865,0.957,1.53738725517304e-05,7.87959230779067e-10,-0.317585329254831,0.865,0.957,1.53738725517304e-05
"34","Gm11808",5.56687043769497e-17,-0.35126528888382,0.215,0.439,1.08615209109867e-12,"blue",6.88669570081623e-07,-0.273481740969681,0.171,0.364,0.0134366319818625,6.88669570081623e-07,-0.273481740969681,0.171,0.364,0.0134366319818625
"35","Gpx4",6.17528861469011e-19,-0.296257175548575,0.99,1,1.20486056161219e-14,"blue",5.15170411202158e-07,-0.219268108628807,0.989,1,0.0100514898929653,5.15170411202158e-07,-0.219268108628807,0.989,1,0.0100514898929653
"36","Hba-a1",7.12029995814644e-23,-1.03465680005615,0.265,0.549,1.38924172483395e-18,"blue",7.10917827433076e-12,-0.745711134122361,0.228,0.507,1.38707177310467e-07,7.10917827433076e-12,-0.745711134122361,0.228,0.507,1.38707177310467e-07
"37","Hba-a2",9.71121800822878e-20,-0.889552225688986,0.213,0.469,1.89475574558552e-15,"blue",5.59173544972604e-10,-0.515881218975389,0.196,0.454,1.09100350359605e-05,5.59173544972604e-10,-0.515881218975389,0.196,0.454,1.09100350359605e-05
"38","Hbb-bs",6.36482314782766e-32,-1.16522581682682,0.647,0.865,1.24184064437265e-27,"blue",9.31706318975971e-18,-0.997386859641525,0.651,0.882,1.81785219895402e-13,9.31706318975971e-18,-0.997386859641525,0.651,0.882,1.81785219895402e-13
"39","Hbb-bt",1.16046589699528e-15,-0.62301661619361,0.105,0.289,2.2641850116275e-11,"blue",8.60680609052351e-12,-0.350005508495248,0.071,0.304,1.67927393632204e-07,8.60680609052351e-12,-0.350005508495248,0.071,0.304,1.67927393632204e-07
"40","Hcrt",2.57716649215487e-32,-1.60536921794717,0.005,0.227,5.02830954284337e-28,"blue",7.07715779445802e-21,-0.41763860799235,0.004,0.282,1.3808242572767e-16,7.07715779445802e-21,-0.41763860799235,0.004,0.282,1.3808242572767e-16
"41","Hint1",1.19073034487248e-11,-0.208209579942173,0.97,0.991,2.32323397588069e-07,"blue",1.93490458367768e-09,-0.326533981490731,0.929,0.986,3.77519233321353e-05,1.93490458367768e-09,-0.326533981490731,0.929,0.986,3.77519233321353e-05
"42","Micos10",1.4414912459055e-11,-0.253893579055992,0.756,0.861,2.81249356988623e-07,"blue",1.66929330347985e-06,-0.262558636608593,0.744,0.882,0.0325695816441953,1.66929330347985e-06,-0.262558636608593,0.744,0.882,0.0325695816441953
"43","Mt1",1.79235646209747e-38,-0.451633771895088,0.998,1,3.49706669319838e-34,"blue",8.41433337374081e-20,-0.489681071883504,0.986,1,1.64172058455057e-15,8.41433337374081e-20,-0.489681071883504,0.986,1,1.64172058455057e-15
"44","Ndufa1",8.06204824937267e-17,-0.321966043764595,0.75,0.859,1.5729862339351e-12,"blue",1.31499639596038e-11,-0.415854877152013,0.733,0.9,2.5656894681583e-07,1.31499639596038e-11,-0.415854877152013,0.733,0.9,2.5656894681583e-07
"45","Ndufa12",1.1576215741639e-17,-0.309950932226353,0.874,0.949,2.25863545335118e-13,"blue",2.42655705565275e-06,-0.274972435694478,0.854,0.95,0.0473445547128407,2.42655705565275e-06,-0.274972435694478,0.854,0.95,0.0473445547128407
"46","Ndufa13",2.28329691414666e-34,-0.448099828045921,0.948,0.989,4.45494060919154e-30,"blue",6.85331304746557e-14,-0.407885503786418,0.972,0.996,1.33714990869101e-09,6.85331304746557e-14,-0.407885503786418,0.972,0.996,1.33714990869101e-09
"47","Ndufa3",2.40686290795565e-25,-0.379513118836945,0.937,0.981,4.69603021971227e-21,"blue",9.3748966977181e-08,-0.295593166690154,0.932,0.986,0.00182913609469178,9.3748966977181e-08,-0.295593166690154,0.932,0.986,0.00182913609469178
"48","Ndufa4",2.9350329439997e-21,-0.259827248236548,0.997,1,5.72654277703781e-17,"blue",1.43514359010148e-24,-0.474564104263678,1,1,2.800108658647e-20,1.43514359010148e-24,-0.474564104263678,1,1,2.800108658647e-20
"49","Ndufa5",2.22317181510733e-16,-0.307852501510063,0.925,0.964,4.33763052845591e-12,"blue",2.51957858350951e-19,-0.492192047470192,0.89,0.982,4.9159497742854e-15,2.51957858350951e-19,-0.492192047470192,0.89,0.982,4.9159497742854e-15
"50","Ndufa6",3.3862227176546e-15,-0.267176508200117,0.937,0.968,6.6068591444159e-11,"blue",1.68778782134183e-08,-0.322664296640541,0.883,0.975,0.000329304281822004,1.68778782134183e-08,-0.322664296640541,0.883,0.975,0.000329304281822004
"51","Ndufa7",2.72246153241009e-17,-0.318267651245232,0.82,0.912,5.31179469588533e-13,"blue",9.90903332395102e-08,-0.275004844005392,0.811,0.921,0.00193335149183608,9.90903332395102e-08,-0.275004844005392,0.811,0.921,0.00193335149183608
"52","Ndufb1-ps",2.90927352124231e-16,-0.287542980910574,0.979,0.983,5.67628356729587e-12,"blue",1.22035645993489e-12,-0.381135301309034,0.943,1,2.38103748897896e-08,1.22035645993489e-12,-0.381135301309034,0.943,1,2.38103748897896e-08
"53","Ndufb4",2.28275138331727e-25,-0.379337532424335,0.902,0.965,4.45387622399033e-21,"blue",1.87340922970283e-17,-0.493152871057829,0.858,0.982,3.65520874807319e-13,1.87340922970283e-17,-0.493152871057829,0.858,0.982,3.65520874807319e-13
"54","Ndufb9",1.29746999550953e-15,-0.270762460303609,0.925,0.967,2.53149370823865e-11,"blue",7.66815032660538e-16,-0.423216991064169,0.947,0.989,1.49613281022398e-11,7.66815032660538e-16,-0.423216991064169,0.947,0.989,1.49613281022398e-11
"55","Oxt",2.74177940739464e-71,-1.95106006498987,0.002,0.433,5.34948580176768e-67,"blue",2.50805418903686e-22,-0.436596765696235,0.007,0.307,4.89346452822982e-18,2.50805418903686e-22,-0.436596765696235,0.007,0.307,4.89346452822982e-18
"56","Pam16",7.83902899618885e-09,-0.192866028741982,0.353,0.524,0.000152947294744641,"blue",1.34431129165121e-06,-0.242393683339521,0.267,0.493,0.0262288576114067,1.34431129165121e-06,-0.242393683339521,0.267,0.493,0.0262288576114067
"57","Pfdn2",1.75411046064782e-19,-0.412625377026546,0.562,0.761,3.42244491976997e-15,"blue",9.87976488300195e-11,-0.431116280235959,0.374,0.632,1.92764092632251e-06,9.87976488300195e-11,-0.431116280235959,0.374,0.632,1.92764092632251e-06
"58","Pfdn5",3.05264727497545e-28,-0.396889827188369,0.944,0.993,5.95602009820461e-24,"blue",6.20921686517752e-07,-0.240771551769101,0.94,0.964,0.0121148030256479,6.20921686517752e-07,-0.240771551769101,0.94,0.964,0.0121148030256479
"59","Pmch",4.87587598420692e-13,-1.6624634256709,0.162,0.323,9.51332163278613e-09,"blue",3.15762312004123e-11,-0.343169901727966,0.06,0.268,6.16083846951244e-07,3.15762312004123e-11,-0.343169901727966,0.06,0.268,6.16083846951244e-07
"60","Ppia",1.42066359003637e-38,-0.329000520994353,1,1,2.77185673051996e-34,"blue",1.35914658741998e-25,-0.407885191990591,1,1,2.65183090671513e-21,1.35914658741998e-25,-0.407885191990591,1,1,2.65183090671513e-21
"61","Psap",1.06844854700452e-29,0.345626912769721,1,0.999,2.08464996006053e-25,"red",1.13797628280908e-13,0.281465971329283,1,1,2.22030552538879e-09,1.13797628280908e-13,0.281465971329283,1,1,2.22030552538879e-09
"62","Psenen",3.83413663208307e-07,-0.164564574690681,0.318,0.471,0.00748078398285727,"blue",5.05068567644496e-07,-0.280622475476399,0.256,0.475,0.00985439282331176,5.05068567644496e-07,-0.280622475476399,0.256,0.475,0.00985439282331176
"63","Rbis",1.53325283092858e-07,-0.184534211794243,0.394,0.563,0.00299152959842475,"blue",1.29590657239468e-07,-0.278397551427632,0.281,0.507,0.00252844331339925,1.29590657239468e-07,-0.278397551427632,0.281,0.507,0.00252844331339925
"64","Romo1",9.93477236373235e-10,-0.2208045350004,0.637,0.775,1.93837343588782e-05,"blue",1.04535292209984e-06,-0.269520375601164,0.498,0.718,0.0203958808630899,1.04535292209984e-06,-0.269520375601164,0.498,0.718,0.0203958808630899
"65","Rpl10",9.0516077865589e-47,-0.62025767367837,0.888,0.96,1.76605919523551e-42,"blue",3.29632415743782e-09,-0.379483562497563,0.819,0.939,6.43145806357693e-05,3.29632415743782e-09,-0.379483562497563,0.819,0.939,6.43145806357693e-05
"66","Rpl11",5.42028795714395e-39,-0.456408777229635,0.995,1,1.05755238331836e-34,"blue",7.21979598789733e-16,-0.398036161472171,0.986,1,1.40865439519865e-11,7.21979598789733e-16,-0.398036161472171,0.986,1,1.40865439519865e-11
"67","Rpl13",2.40801480176987e-38,-0.356503969586829,1,1,4.69827767973319e-34,"blue",1.36209890592581e-10,-0.284763880371654,1,1,2.65759117535184e-06,1.36209890592581e-10,-0.284763880371654,1,1,2.65759117535184e-06
"68","Rpl17",3.57619107393534e-33,-0.40738742136659,0.991,1,6.97750640435525e-29,"blue",1.94098737813572e-17,-0.437985613434118,0.982,0.996,3.7870604734806e-13,1.94098737813572e-17,-0.437985613434118,0.982,0.996,3.7870604734806e-13
"69","Rpl18",6.31166958914452e-24,-0.368087512039172,0.941,0.967,1.23146985353799e-19,"blue",2.11515674522677e-11,-0.361565384317198,0.875,0.957,4.12688232561194e-07,2.11515674522677e-11,-0.361565384317198,0.875,0.957,4.12688232561194e-07
"70","Rpl18a",1.41958286715817e-22,-0.317427141444395,0.988,0.997,2.76974813211231e-18,"blue",7.68562974047167e-07,-0.220019085621431,0.982,0.996,0.0149954321866343,7.68562974047167e-07,-0.220019085621431,0.982,0.996,0.0149954321866343
"71","Rpl19",4.97183838736516e-33,-0.345146771378234,0.997,0.999,9.70055387758816e-29,"blue",7.12462988108481e-09,-0.239402088928245,1,1,0.000139008653609846,7.12462988108481e-09,-0.239402088928245,1,1,0.000139008653609846
"72","Rpl21",2.86537390182422e-56,-0.455113733975952,1,1,5.59063101984923e-52,"blue",4.47757547260898e-14,-0.314322131121167,1,1,8.73619750460738e-10,4.47757547260898e-14,-0.314322131121167,1,1,8.73619750460738e-10
"73","Rpl22",4.58296498395966e-19,-0.368592651471121,0.756,0.86,8.9418229802037e-15,"blue",9.14146690199935e-08,-0.316220878094543,0.74,0.864,0.00178359160724909,9.14146690199935e-08,-0.316220878094543,0.74,0.864,0.00178359160724909
"74","Rpl22l1",3.99287775257763e-34,-0.504682552635434,0.941,0.976,7.79050378305422e-30,"blue",2.05828356725872e-13,-0.413486149980795,0.851,0.964,4.01591706807849e-09,2.05828356725872e-13,-0.413486149980795,0.851,0.964,4.01591706807849e-09
"75","Rpl23",8.83179759566538e-56,-0.526629287561459,0.995,1,1.72317202889027e-51,"blue",1.11295263036902e-12,-0.370650586006108,0.986,0.996,2.171481877113e-08,1.11295263036902e-12,-0.370650586006108,0.986,0.996,2.171481877113e-08
"76","Rpl24",3.01402333506332e-33,-0.384869350871273,0.993,1,5.88066092904205e-29,"blue",9.7527410341217e-10,-0.278127369517359,1,1,1.90285730316749e-05,9.7527410341217e-10,-0.278127369517359,1,1,1.90285730316749e-05
"77","Rpl26",6.47040075592057e-35,-0.37514985310576,0.998,1,1.26243989148766e-30,"blue",7.24873683907221e-09,-0.271962656731217,0.996,1,0.000141430104467138,7.24873683907221e-09,-0.271962656731217,0.996,1,0.000141430104467138
"78","Rpl27",1.1868908379264e-25,-0.377299887842583,0.937,0.979,2.3157427138782e-21,"blue",7.25120387450952e-10,-0.359067304258676,0.904,0.989,1.41478238795555e-05,7.25120387450952e-10,-0.359067304258676,0.904,0.989,1.41478238795555e-05
"79","Rpl27a",1.7119637272597e-43,-0.439056689418948,0.995,0.997,3.34021242825641e-39,"blue",4.57618239491982e-13,-0.356314353778145,0.989,1,8.92858947072806e-09,4.57618239491982e-13,-0.356314353778145,0.989,1,8.92858947072806e-09
"80","Rpl28",1.13255415465133e-32,-0.376704550502246,0.995,0.999,2.20972641114022e-28,"blue",1.07349913811071e-08,-0.268336517524344,0.989,1,0.00020945041683678,1.07349913811071e-08,-0.268336517524344,0.989,1,0.00020945041683678
"81","Rpl29",1.28215159358183e-21,-0.32376143539268,0.932,0.987,2.50160597423751e-17,"blue",1.06147876518784e-14,-0.397398327099632,0.957,0.996,2.071051218758e-10,1.06147876518784e-14,-0.397398327099632,0.957,0.996,2.071051218758e-10
"82","Rpl30",1.53409549170947e-49,-0.480579643215732,0.995,1,2.99317371387435e-45,"blue",5.14525514575357e-20,-0.475986417304131,0.996,1,1.00389073148798e-15,5.14525514575357e-20,-0.475986417304131,0.996,1,1.00389073148798e-15
"83","Rpl32",9.26023586473818e-34,-0.358583142947823,1,1,1.80676461956907e-29,"blue",3.20047710560536e-14,-0.344569988540661,1,0.996,6.24445088074662e-10,3.20047710560536e-14,-0.344569988540661,1,0.996,6.24445088074662e-10
"84","Rpl34",1.5799318792499e-41,-0.449673280837376,1,0.999,3.08260508960447e-37,"blue",7.40095421194839e-19,-0.473638064711364,0.982,1,1.44400017629325e-14,7.40095421194839e-19,-0.473638064711364,0.982,1,1.44400017629325e-14
"85","Rpl35",5.5694136530382e-57,-0.582893428740989,0.974,0.999,1.08664829784428e-52,"blue",8.20265488480717e-22,-0.559832792883315,0.875,0.986,1.60041999457473e-17,8.20265488480717e-22,-0.559832792883315,0.875,0.986,1.60041999457473e-17
"86","Rpl35a",8.57345669462719e-67,-0.54304675836922,1,1,1.67276713568871e-62,"blue",2.86697817398682e-28,-0.535717812130948,0.993,1,5.59376111526569e-24,2.86697817398682e-28,-0.535717812130948,0.993,1,5.59376111526569e-24
"87","Rpl36",2.42389703346225e-42,-0.435675796649765,0.993,1,4.7292655019882e-38,"blue",7.76836454472287e-11,-0.313674362545614,0.993,1,1.51568560632088e-06,7.76836454472287e-11,-0.313674362545614,0.993,1,1.51568560632088e-06
"88","Rpl36a",2.3520945358213e-44,-0.545183174032972,0.914,0.969,4.58917164884094e-40,"blue",4.99199167915204e-12,-0.406988202086299,0.854,0.961,9.73987496519354e-08,4.99199167915204e-12,-0.406988202086299,0.854,0.961,9.73987496519354e-08
"89","Rpl36al",1.99590229379893e-15,-0.321082938898839,0.843,0.908,3.89420496543109e-11,"blue",1.07631929130755e-06,-0.279318266714954,0.779,0.9,0.0210000656927017,1.07631929130755e-06,-0.279318266714954,0.779,0.9,0.0210000656927017
"90","Rpl37",2.04111005221411e-72,-0.523825017996219,1,1,3.98240982287494e-68,"blue",1.34753160697351e-21,-0.400916946961447,1,1,2.62916891836602e-17,1.34753160697351e-21,-0.400916946961447,1,1,2.62916891836602e-17
"91","Rpl37a",7.49132363609178e-48,-0.463275902136408,1,1,1.46163215463787e-43,"blue",1.80003122906152e-09,-0.2870079883965,0.996,1,3.51204093102193e-05,1.80003122906152e-09,-0.2870079883965,0.996,1,3.51204093102193e-05
"92","Rpl38",1.1604106014468e-63,-0.446738375691378,1,1,2.26407712448285e-59,"blue",7.28677078311394e-21,-0.398203235098844,1,1,1.42172184749336e-16,7.28677078311394e-21,-0.398203235098844,1,1,1.42172184749336e-16
"93","Rpl39",1.22875670540956e-42,-0.453500531127915,0.995,1,2.39742720792459e-38,"blue",1.45580318519496e-18,-0.473205782224213,0.996,1,2.84041759463388e-14,1.45580318519496e-18,-0.473205782224213,0.996,1,2.84041759463388e-14
"94","Rpl41",9.98850142079011e-79,-0.519663427573179,1,1,1.94885651221036e-74,"blue",4.73330161346553e-32,-0.508251289612264,0.996,1,9.2351447780326e-28,4.73330161346553e-32,-0.508251289612264,0.996,1,9.2351447780326e-28
"95","Rpl9",4.6164306708642e-72,-0.633563081978735,0.995,0.999,9.00711788192314e-68,"blue",1.51731171391236e-20,-0.536439833696844,0.954,1,2.9604268850144e-16,1.51731171391236e-20,-0.536439833696844,0.954,1,2.9604268850144e-16
"96","Rplp1",8.20126716265419e-56,-0.392554515623554,1,1,1.60014923610546e-51,"blue",2.83161040535016e-14,-0.280615700956229,1,1,5.52475506187869e-10,2.83161040535016e-14,-0.280615700956229,1,1,5.52475506187869e-10
"97","Rplp2",8.9979275431702e-41,-0.487471849939463,0.97,0.992,1.75558564294794e-36,"blue",1.11380415842157e-15,-0.448515071017157,0.961,0.986,2.17314329349632e-11,1.11380415842157e-15,-0.448515071017157,0.961,0.986,2.17314329349632e-11
"98","Rps10",3.28828484222037e-56,-0.57482620940291,0.997,1,6.41577255565617e-52,"blue",1.38406684246756e-12,-0.371689695137158,0.975,0.996,2.70045281633846e-08,1.38406684246756e-12,-0.371689695137158,0.975,0.996,2.70045281633846e-08
"99","Rps11",2.01784507870516e-44,-0.466827990521881,0.998,1,3.93701753306164e-40,"blue",4.00437243704339e-11,-0.319374591677484,0.979,0.993,7.81293106191536e-07,4.00437243704339e-11,-0.319374591677484,0.979,0.993,7.81293106191536e-07
"100","Rps12",2.10447532307841e-56,-0.52638347835408,1,0.999,4.10604180285829e-52,"blue",3.78263761031556e-12,-0.355055159789721,0.968,1,7.38030424148669e-08,3.78263761031556e-12,-0.355055159789721,0.968,1,7.38030424148669e-08
"101","Rps13",3.33730388433259e-36,-0.409688496240513,0.984,0.993,6.51141360872132e-32,"blue",1.32641723930101e-13,-0.426264754702098,0.943,0.996,2.58797267560021e-09,1.32641723930101e-13,-0.426264754702098,0.943,0.996,2.58797267560021e-09
"102","Rps14",1.60594121774814e-40,-0.432968778742247,0.995,1,3.1333519099484e-36,"blue",1.63342232807916e-16,-0.428257825362767,0.993,1,3.18697030431524e-12,1.63342232807916e-16,-0.428257825362767,0.993,1,3.18697030431524e-12
"103","Rps15a",5.22850903633185e-45,-0.490192274142298,0.979,0.993,1.02013439807871e-40,"blue",5.85228941201661e-11,-0.389109356621797,0.954,0.993,1.14184018717856e-06,5.85228941201661e-11,-0.389109356621797,0.954,0.993,1.14184018717856e-06
"104","Rps16",2.29629465064387e-44,-0.45497027838281,0.991,0.997,4.48030049287125e-40,"blue",5.78650324243563e-12,-0.358544957865529,0.979,1,1.12900464763161e-07,5.78650324243563e-12,-0.358544957865529,0.979,1,1.12900464763161e-07
"105","Rps18",4.3372334152982e-26,-0.41094101973978,0.904,0.947,8.46237611658832e-22,"blue",7.60343248141452e-07,-0.293427944714764,0.911,0.957,0.0148350571144879,7.60343248141452e-07,-0.293427944714764,0.911,0.957,0.0148350571144879
"106","Rps19",3.98356568058666e-35,-0.423194769361007,0.993,1,7.77233499939263e-31,"blue",3.42230591205987e-12,-0.362371534912588,0.986,1,6.67726106502002e-08,3.42230591205987e-12,-0.362371534912588,0.986,1,6.67726106502002e-08
"107","Rps20",3.82650293034484e-45,-0.446430387066868,0.995,1,7.46588986739582e-41,"blue",1.02234194735609e-10,-0.313441853026363,0.993,1,1.99469137348646e-06,1.02234194735609e-10,-0.313441853026363,0.993,1,1.99469137348646e-06
"108","Rps21",2.88340682918264e-82,-0.553110649896928,1,1,5.62581506441825e-78,"blue",8.69000551933351e-32,-0.502435208163477,1,1,1.69550697687716e-27,8.69000551933351e-32,-0.502435208163477,1,1,1.69550697687716e-27
"109","Rps23",8.09182892418441e-41,-0.449139528825765,0.995,0.999,1.57879674139762e-36,"blue",1.97164303537873e-13,-0.36715160739525,0.993,0.993,3.84687272632744e-09,1.97164303537873e-13,-0.36715160739525,0.993,0.993,3.84687272632744e-09
