,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color
Slc24a2,4.53E-24,0.53909615,0.597,0.293,8.85E-20,Slc24a2,red
Slc17a7,2.23E-28,0.562856257,0.619,0.241,4.35E-24,Slc17a7,red
Rtn4,6.40E-28,0.577789661,0.938,0.759,1.25E-23,Rtn4,red
Vsnl1,4.07E-28,0.618865664,0.947,0.867,7.94E-24,Vsnl1,red
Cpe,9.76E-59,0.627475691,1,0.998,1.90E-54,Cpe,red
Meg3,1.64E-45,0.6443215,1,0.953,3.19E-41,Meg3,red
Camk2n1,4.54E-39,0.690379246,0.944,0.647,8.87E-35,Camk2n1,red
Trf,9.47E-34,0.760687091,0.863,0.499,1.85E-29,Trf,red
AC149090.1,1.73E-53,0.818746949,0.796,0.32,3.38E-49,AC149090.1,red
Cck,2.08E-44,0.998279286,0.812,0.419,4.07E-40,Cck,red
