,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color
Baiap3,3.10E-07,-0.269369242,0.577,0.736,0.006051157,Baiap3,blue
Pin4,3.70E-10,-0.268247316,0.322,0.536,7.22E-06,Pin4,blue
Psmb6,2.31E-09,-0.266638063,0.639,0.783,4.51E-05,Psmb6,blue
1500011B03Rik,2.26E-08,-0.266018958,0.723,0.83,0.000441154,1500011B03Rik,blue
Ndufa2,1.02E-12,-0.265841938,0.947,0.97,1.99E-08,Ndufa2,blue
Tecr,1.11E-09,-0.26573679,0.936,0.97,2.16E-05,Tecr,blue
Rtl8b,3.58E-08,-0.265255391,0.641,0.772,0.000699438,Rtl8b,blue
Atp5j,4.73E-14,-0.264943871,0.994,0.996,9.22E-10,Atp5j,blue
Gabarapl2,3.55E-10,-0.264237538,0.874,0.927,6.93E-06,Gabarapl2,blue
Rps17,1.39E-11,-0.262619481,0.941,0.979,2.72E-07,Rps17,blue
Tceal3,4.78E-09,-0.261157634,0.546,0.733,9.32E-05,Tceal3,blue
Sec61b,1.21E-08,-0.260734312,0.459,0.634,0.000236022,Sec61b,blue
Dpm3,1.11E-08,-0.258696584,0.443,0.622,0.000215935,Dpm3,blue
Nap1l5,7.41E-10,-0.257414003,0.972,0.981,1.45E-05,Nap1l5,blue
Rasgrf1,3.59E-08,-0.257318697,0.756,0.864,0.000700988,Rasgrf1,blue
Erp29,8.60E-08,-0.256936899,0.557,0.707,0.001677371,Erp29,blue
Uqcr10,4.62E-11,-0.256158725,0.978,0.991,9.02E-07,Uqcr10,blue
Rps15,1.69E-14,-0.253164585,0.992,1,3.30E-10,Rps15,blue
Uqcr11,7.66E-12,-0.252816159,0.975,0.994,1.49E-07,Uqcr11,blue
Eef1b2,1.45E-09,-0.250339973,0.84,0.91,2.83E-05,Eef1b2,blue
Lsm6,6.76E-08,-0.25025655,0.493,0.654,0.001319829,Lsm6,blue
Kcnip1,1.58E-07,-0.249822077,0.305,0.469,0.003079574,Kcnip1,blue
Mt3,1.64E-18,-0.249673731,1,1,3.19E-14,Mt3,blue
Btf3,5.93E-08,-0.249119528,0.734,0.849,0.001156851,Btf3,blue
AW551984,5.88E-07,-0.247114613,0.378,0.533,0.01147791,AW551984,blue
Eif1,1.54E-13,-0.24626542,0.98,1,3.01E-09,Eif1,blue
Th,3.88E-07,-0.246229553,0.064,0.181,0.007566422,Th,blue
Mrpl41,1.43E-07,-0.24614153,0.479,0.63,0.002791449,Mrpl41,blue
Cfl1,6.73E-10,-0.245575396,0.978,0.989,1.31E-05,Cfl1,blue
Tspyl2,1.78E-07,-0.245330617,0.451,0.617,0.003474681,Tspyl2,blue
Snrpn,5.52E-13,-0.245306081,0.989,0.993,1.08E-08,Snrpn,blue
B630019K06Rik,1.19E-06,-0.245095414,0.619,0.72,0.023268292,B630019K06Rik,blue
Gpx1,1.39E-07,-0.243980897,0.627,0.77,0.002713593,Gpx1,blue
Pabpn1,8.42E-10,-0.243422471,0.148,0.333,1.64E-05,Pabpn1,blue
Ndufb7,1.03E-07,-0.241385624,0.703,0.843,0.002008122,Ndufb7,blue
Wdr6,1.53E-06,-0.240888387,0.866,0.938,0.029881597,Wdr6,blue
Npm1,2.11E-08,-0.240875336,0.759,0.856,0.000411828,Npm1,blue
Pomp,7.43E-07,-0.238768314,0.695,0.789,0.014488026,Pomp,blue
Ghrh,2.23E-11,-0.238631095,0.003,0.123,4.35E-07,Ghrh,blue
Sumo2,9.28E-08,-0.237718586,0.725,0.832,0.001809834,Sumo2,blue
Uqcrq,3.54E-10,-0.237113674,0.975,0.989,6.90E-06,Uqcrq,blue
Frmpd4,1.16E-09,-0.236503057,0.148,0.333,2.26E-05,Frmpd4,blue
mt-Co2,1.03E-18,-0.236088757,1,1,2.00E-14,mt-Co2,blue
Psenen,3.45E-07,-0.235561136,0.479,0.628,0.006736059,Psenen,blue
Gap43,3.55E-07,-0.235409025,0.899,0.95,0.006923561,Gap43,blue
Ctxn2,1.75E-07,-0.234989246,0.468,0.637,0.003422637,Ctxn2,blue
Nbdy,9.64E-09,-0.234938311,0.588,0.748,0.00018805,Nbdy,blue
Cbarp,7.85E-07,-0.234207564,0.86,0.912,0.015310639,Cbarp,blue
Rps27l,7.77E-08,-0.234153713,0.331,0.507,0.001516554,Rps27l,blue
Snrpd1,1.06E-08,-0.233398889,0.566,0.733,0.000207686,Snrpd1,blue
Prxl2b,2.13E-07,-0.233344682,0.574,0.742,0.004157272,Prxl2b,blue
Atp1a3,1.25E-06,-0.232595353,0.964,0.978,0.0243234,Atp1a3,blue
Sdhb,1.97E-07,-0.230611353,0.714,0.83,0.003838978,Sdhb,blue
Timm10b,3.83E-08,-0.230144187,0.471,0.639,0.000746553,Timm10b,blue
Eef1g,8.30E-08,-0.229499374,0.832,0.927,0.001619075,Eef1g,blue
Rnf5,1.50E-07,-0.229015047,0.286,0.45,0.002935035,Rnf5,blue
Coprs,8.74E-08,-0.228279264,0.412,0.594,0.001705173,Coprs,blue
Gpx4,1.49E-10,-0.228078086,0.983,0.996,2.90E-06,Gpx4,blue
Uqcc2,2.85E-08,-0.228052582,0.885,0.936,0.000556268,Uqcc2,blue
Stmn3,2.42E-10,-0.227940093,0.989,1,4.72E-06,Stmn3,blue
Rpl13a,5.36E-12,-0.227780893,1,1,1.05E-07,Rpl13a,blue
Snhg8,1.09E-06,-0.227445803,0.529,0.671,0.021335498,Snhg8,blue
Snrpg,1.72E-07,-0.225629686,0.555,0.723,0.003362987,Snrpg,blue
Minar2,2.14E-06,-0.223423481,0.527,0.675,0.041666292,Minar2,blue
Eif3k,9.87E-08,-0.221357016,0.7,0.826,0.001925643,Eif3k,blue
Six3,5.69E-08,-0.221018551,0.056,0.179,0.001109542,Six3,blue
Cox7a2l,2.32E-06,-0.219766702,0.77,0.867,0.045183415,Cox7a2l,blue
Sdf2,5.56E-07,-0.219527854,0.317,0.482,0.010841452,Sdf2,blue
Ndufv2,2.16E-06,-0.218363966,0.826,0.916,0.042202141,Ndufv2,blue
Atox1,4.40E-07,-0.218306219,0.689,0.802,0.008586972,Atox1,blue
Ndufb5,8.38E-08,-0.217998893,0.913,0.938,0.001634583,Ndufb5,blue
Ucp2,2.61E-07,-0.21778265,0.154,0.301,0.005091275,Ucp2,blue
Rabac1,1.20E-06,-0.21762957,0.857,0.92,0.02335607,Rabac1,blue
Fmc1,1.68E-07,-0.216776157,0.552,0.707,0.003280285,Fmc1,blue
Naca,1.04E-08,-0.215352319,0.941,0.976,0.000203189,Naca,blue
Fis1,4.85E-08,-0.214269425,0.821,0.942,0.000946164,Fis1,blue
Cib2,5.87E-07,-0.213651287,0.305,0.469,0.011457229,Cib2,blue
Rpl4,1.36E-09,-0.212542344,1,0.998,2.66E-05,Rpl4,blue
Eif5a,1.99E-07,-0.212399618,0.801,0.91,0.003880721,Eif5a,blue
Sytl4,6.96E-14,-0.212244466,0.008,0.163,1.36E-09,Sytl4,blue
Zwint,2.11E-09,-0.210805301,1,0.998,4.11E-05,Zwint,blue
Selenow,7.15E-11,-0.210494684,0.992,0.996,1.40E-06,Selenow,blue
Cox4i1,1.36E-12,-0.209600913,1,1,2.65E-08,Cox4i1,blue
Nr5a1,8.35E-12,-0.208067947,0,0.121,1.63E-07,Nr5a1,blue
Ddc,7.88E-07,-0.207951219,0.134,0.271,0.015378333,Ddc,blue
Atp5e,7.11E-10,-0.206342563,1,0.993,1.39E-05,Atp5e,blue
Psmd1,3.01E-07,-0.204439549,0.359,0.538,0.005866101,Psmd1,blue
Atp5mpl,1.68E-07,-0.203655859,0.95,0.979,0.003275927,Atp5mpl,blue
Erh,5.95E-07,-0.200839703,0.339,0.51,0.011611233,Erh,blue
Rpl31,9.70E-09,-0.200417813,0.978,0.993,0.000189177,Rpl31,blue
Serf2,1.84E-07,-0.197253599,0.86,0.912,0.003585157,Serf2,blue
Map1lc3a,1.05E-06,-0.19716091,0.894,0.925,0.020475139,Map1lc3a,blue
Pet100,8.17E-07,-0.195573797,0.398,0.564,0.0159428,Pet100,blue
Nisch,3.41E-07,-0.194870046,0.913,0.929,0.006653252,Nisch,blue
Arhgap6,5.82E-07,-0.194296327,0.104,0.234,0.011360147,Arhgap6,blue
Psmb3,2.09E-06,-0.19184749,0.597,0.729,0.040739414,Psmb3,blue
Cox7a2,1.52E-07,-0.191632359,0.98,0.993,0.002968669,Cox7a2,blue
Uchl1,2.58E-08,-0.179294044,1,1,0.00050283,Uchl1,blue
Nme1,1.25E-06,-0.173475882,0.882,0.953,0.02446656,Nme1,blue
C1ql2,1.70E-06,-0.168577251,0.056,0.161,0.033244032,C1ql2,blue
mt-Co3,6.58E-17,-0.166719413,1,1,1.28E-12,mt-Co3,blue
Asb4,1.79E-07,-0.158073187,0.022,0.12,0.003486093,Asb4,blue
Eif2s3y,3.95E-11,-0.155773439,0,0.114,7.70E-07,Eif2s3y,blue
Traf3ip1,1.70E-06,0.105474344,0.112,0.032,0.033076234,Traf3ip1,red
Gm6145,2.32E-06,0.106035852,0.104,0.028,0.045240342,Gm6145,red
Serpinb1a,3.09E-07,0.110701506,0.109,0.026,0.006033441,Serpinb1a,red
Zfp943,1.15E-06,0.122885227,0.123,0.037,0.022428063,Zfp943,red
Gfm2,1.30E-06,0.12837849,0.132,0.043,0.025278903,Gfm2,red
Mbip,7.73E-07,0.129335686,0.137,0.045,0.015082035,Mbip,red
Pxdn,3.33E-07,0.130009662,0.132,0.039,0.006503116,Pxdn,red
Ftx,2.05E-06,0.130966284,0.123,0.039,0.039951037,Ftx,red
Chuk,4.87E-07,0.131237956,0.146,0.049,0.009497457,Chuk,red
Mctp1,1.05E-07,0.134506642,0.14,0.041,0.002055599,Mctp1,red
Lhfpl2,3.92E-08,0.134963037,0.12,0.028,0.000765546,Lhfpl2,red
Lzts1,5.11E-07,0.135689024,0.148,0.05,0.009964939,Lzts1,red
Gsg1l,8.51E-07,0.135689024,0.14,0.047,0.016601324,Gsg1l,red
Frmd5,1.02E-06,0.13684961,0.16,0.06,0.019878499,Frmd5,red
Nupr1,6.78E-07,0.138689107,0.16,0.058,0.013234654,Nupr1,red
Atf5,4.04E-07,0.140710525,0.179,0.069,0.00788996,Atf5,red
Atp8b2,1.79E-06,0.141285626,0.204,0.092,0.034930524,Atp8b2,red
Ccn3,1.77E-07,0.141364131,0.118,0.03,0.003447064,Ccn3,red
Dock10,1.88E-06,0.142523426,0.218,0.101,0.036747065,Dock10,red
Kif13a,1.15E-06,0.145008847,0.176,0.071,0.022451961,Kif13a,red
Srr,1.24E-06,0.145334317,0.193,0.082,0.024159549,Srr,red
Nav3,1.03E-06,0.145737342,0.174,0.069,0.020188547,Nav3,red
Bcl11b,9.87E-09,0.145829684,0.14,0.036,0.000192534,Bcl11b,red
Kif1c,1.08E-06,0.146209505,0.202,0.088,0.021066885,Kif1c,red
Tmtc1,5.84E-07,0.148399436,0.188,0.077,0.011403131,Tmtc1,red
Lrrc8c,2.70E-08,0.148581827,0.146,0.041,0.000526365,Lrrc8c,red
Bcl7a,2.36E-06,0.148948511,0.213,0.099,0.045956323,Bcl7a,red
Tmem167b,1.54E-06,0.149279568,0.185,0.079,0.029978912,Tmem167b,red
Col4a2,2.03E-07,0.149895897,0.174,0.064,0.003951034,Col4a2,red
Chrm3,1.75E-08,0.150397302,0.151,0.043,0.00034143,Chrm3,red
Pfkfb3,3.85E-07,0.150906292,0.182,0.071,0.007515753,Pfkfb3,red
Rab10os,5.88E-07,0.151029117,0.193,0.08,0.011467678,Rab10os,red
Grm2,1.07E-06,0.153522972,0.182,0.075,0.0209338,Grm2,red
Siah1a,5.88E-08,0.154966886,0.174,0.06,0.001146769,Siah1a,red
Ano3,1.57E-06,0.155933109,0.171,0.069,0.030566509,Ano3,red
Itgb8,9.22E-07,0.156524658,0.241,0.116,0.017981216,Itgb8,red
Shprh,1.74E-06,0.157663658,0.171,0.069,0.033959429,Shprh,red
Rsbn1,1.16E-06,0.157960211,0.218,0.101,0.022577662,Rsbn1,red
Arhgef2,3.01E-07,0.158862163,0.235,0.107,0.005865472,Arhgef2,red
Slc6a7,9.63E-07,0.159807108,0.246,0.12,0.018779534,Slc6a7,red
Lyz2,6.38E-07,0.161134335,0.193,0.08,0.012457334,Lyz2,red
Rc3h1,5.19E-07,0.162690475,0.176,0.069,0.010119461,Rc3h1,red
Atp11a,1.05E-06,0.162965271,0.246,0.121,0.020534723,Atp11a,red
Tgfbrap1,5.87E-08,0.163541728,0.193,0.073,0.001144847,Tgfbrap1,red
Scai,1.19E-07,0.163645022,0.216,0.09,0.002321801,Scai,red
Ccdc50,4.30E-07,0.163744164,0.238,0.11,0.008385306,Ccdc50,red
Rasl11b,9.02E-09,0.164206836,0.126,0.028,0.000175975,Rasl11b,red
A830018L16Rik,3.14E-08,0.168577318,0.188,0.067,0.000612576,A830018L16Rik,red
Zeb2,3.77E-07,0.168577318,0.227,0.103,0.007363164,Zeb2,red
Thtpa,5.86E-08,0.169399132,0.221,0.092,0.001142466,Thtpa,red
Olig2,1.05E-07,0.17099998,0.235,0.103,0.002052265,Olig2,red
Ryr2,1.93E-06,0.17254622,0.249,0.127,0.037569022,Ryr2,red
Nebl,2.05E-07,0.172653882,0.227,0.101,0.00399705,Nebl,red
Ypel4,6.15E-07,0.173269013,0.272,0.138,0.01200839,Ypel4,red
Slc11a2,1.29E-06,0.173459539,0.218,0.103,0.025257101,Slc11a2,red
Gpc1,4.05E-07,0.174932813,0.252,0.121,0.007907215,Gpc1,red
Robo2,6.11E-08,0.175105361,0.218,0.09,0.001192865,Robo2,red
Smg1,8.44E-07,0.175530079,0.283,0.148,0.016462733,Smg1,red
Phf14,2.48E-06,0.178237429,0.322,0.185,0.048447245,Phf14,red
Tsc1,1.37E-07,0.179081445,0.232,0.103,0.002676266,Tsc1,red
Hmbox1,7.91E-08,0.179297593,0.21,0.086,0.001543917,Hmbox1,red
Pou6f1,2.15E-06,0.179500967,0.263,0.138,0.041969793,Pou6f1,red
Gpd2,1.79E-06,0.181434974,0.305,0.17,0.035011105,Gpd2,red
Elac1,6.87E-07,0.181516374,0.303,0.163,0.013399028,Elac1,red
Tmem132b,2.69E-07,0.182027273,0.252,0.12,0.005246151,Tmem132b,red
Usp54,2.22E-07,0.182206658,0.246,0.116,0.00433492,Usp54,red
Foxp2,1.72E-08,0.182774721,0.176,0.058,0.000335114,Foxp2,red
Megf9,1.37E-06,0.184054655,0.339,0.196,0.026752787,Megf9,red
Ckb,4.23E-10,0.185020339,1,1,8.24E-06,Ckb,red
Ncan,8.94E-07,0.185173829,0.255,0.129,0.017444099,Ncan,red
Tyro3,9.20E-07,0.185173829,0.252,0.127,0.017947165,Tyro3,red
Lrrc8b,5.27E-07,0.185622015,0.218,0.099,0.010286471,Lrrc8b,red
Ddx6,1.97E-06,0.185855309,0.485,0.329,0.038501718,Ddx6,red
St6galnac5,2.03E-07,0.187192996,0.255,0.12,0.003962516,St6galnac5,red
Snx13,1.01E-06,0.187192996,0.275,0.144,0.019774147,Snx13,red
Mir100hg,1.71E-06,0.187686141,0.291,0.161,0.033450381,Mir100hg,red
Trpm7,1.98E-09,0.188340573,0.218,0.079,3.87E-05,Trpm7,red
Man1c1,5.55E-09,0.188897302,0.171,0.052,0.000108382,Man1c1,red
Frmd8,9.86E-10,0.189264438,0.216,0.075,1.92E-05,Frmd8,red
Unc5d,1.85E-07,0.189757863,0.216,0.093,0.003608073,Unc5d,red
Rgs5,1.69E-08,0.190700129,0.263,0.116,0.000329825,Rgs5,red
Lypla1,1.04E-06,0.190700129,0.246,0.121,0.020378775,Lypla1,red
Dusp3,1.46E-06,0.191428257,0.392,0.241,0.028425216,Dusp3,red
Sorbs2,9.05E-07,0.19462775,0.286,0.153,0.01766516,Sorbs2,red
Nlk,5.27E-09,0.19491771,0.258,0.108,0.000102776,Nlk,red
Gas7,2.19E-06,0.19727763,0.322,0.187,0.042805231,Gas7,red
Gpcpd1,2.13E-06,0.199320841,0.328,0.191,0.041476947,Gpcpd1,red
Shisal1,7.18E-08,0.199699835,0.333,0.174,0.001400083,Shisal1,red
Ndrg4,3.72E-07,0.200597328,0.997,0.981,0.007263389,Ndrg4,red
Ppm1k,8.53E-07,0.201186268,0.3,0.164,0.016640689,Ppm1k,red
Amotl1,1.59E-06,0.201874483,0.367,0.226,0.030934797,Amotl1,red
Camkk2,1.63E-07,0.203010815,0.286,0.146,0.003176242,Camkk2,red
Atrx,3.18E-07,0.203307122,0.333,0.187,0.006204277,Atrx,red
2900097C17Rik,1.14E-07,0.205318908,0.994,0.994,0.002228048,2900097C17Rik,red
Ogdhl,7.29E-08,0.206931126,0.314,0.163,0.001422006,Ogdhl,red
Appl2,5.72E-08,0.207664674,0.291,0.144,0.001116462,Appl2,red
Ywhag,8.59E-08,0.208785703,0.989,0.974,0.001675271,Ywhag,red
Ppm1e,1.15E-06,0.209449599,0.403,0.256,0.022356848,Ppm1e,red
Epha4,2.27E-06,0.209896584,0.289,0.163,0.044268176,Epha4,red
Gnal,2.36E-06,0.209936348,0.479,0.327,0.046072902,Gnal,red
Prkcg,8.59E-07,0.210062334,0.392,0.239,0.01676302,Prkcg,red
Pip4k2a,9.99E-07,0.210254149,0.375,0.228,0.019490496,Pip4k2a,red
Tbl1xr1,1.79E-10,0.210902727,0.207,0.065,3.48E-06,Tbl1xr1,red
Ikbkb,1.60E-06,0.212549944,0.345,0.207,0.031228772,Ikbkb,red
Wsb1,1.08E-06,0.212815213,0.336,0.196,0.021053073,Wsb1,red
Phyhip,3.12E-09,0.213776737,0.263,0.112,6.09E-05,Phyhip,red
Gpd1,2.11E-09,0.214381008,0.227,0.084,4.12E-05,Gpd1,red
Tardbp,2.46E-06,0.214460836,0.496,0.35,0.047943949,Tardbp,red
Stum,5.30E-07,0.214569435,0.311,0.17,0.010332388,Stum,red
Limch1,6.71E-09,0.214879365,0.269,0.12,0.000131,Limch1,red
Satb1,3.98E-10,0.215001655,0.232,0.084,7.77E-06,Satb1,red
Cpeb4,2.20E-08,0.215436907,0.319,0.163,0.000429173,Cpeb4,red
Cav2,1.98E-09,0.215639355,0.202,0.069,3.86E-05,Cav2,red
Zfp871,2.46E-08,0.215809277,0.325,0.166,0.000480097,Zfp871,red
Tmem88b,1.12E-07,0.21695778,0.269,0.133,0.002190902,Tmem88b,red
Napg,2.29E-06,0.219264731,0.569,0.426,0.044712369,Napg,red
Zfp365,1.28E-07,0.219598717,0.443,0.271,0.002495775,Zfp365,red
Lnpep,1.43E-08,0.221044738,0.373,0.204,0.000279197,Lnpep,red
AI593442,1.36E-07,0.221044738,0.367,0.211,0.002645967,AI593442,red
Crym,2.52E-11,0.22359142,0.193,0.052,4.91E-07,Crym,red
Vxn,4.39E-10,0.226213841,0.261,0.103,8.56E-06,Vxn,red
Gls2,1.10E-07,0.226277825,0.308,0.163,0.002141231,Gls2,red
Hexb,5.33E-07,0.226458234,0.521,0.366,0.010393876,Hexb,red
Map2,8.66E-07,0.226868863,0.882,0.807,0.016902977,Map2,red
Ppp1r9a,4.64E-08,0.227760967,0.571,0.391,0.000905048,Ppp1r9a,red
Etnk1,1.50E-07,0.228073717,0.773,0.647,0.002929513,Etnk1,red
Ptk2b,8.60E-07,0.229977863,0.356,0.211,0.016780381,Ptk2b,red
Pgap1,3.21E-08,0.23010882,0.286,0.14,0.000625989,Pgap1,red
Scamp5,2.91E-07,0.230667323,0.776,0.628,0.005685494,Scamp5,red
Tmem267,7.27E-13,0.232056375,0.249,0.077,1.42E-08,Tmem267,red
Pkia,1.87E-06,0.232540377,0.627,0.479,0.036415562,Pkia,red
Unc13c,3.10E-09,0.232943321,0.305,0.142,6.04E-05,Unc13c,red
Ank3,8.55E-07,0.233768019,0.639,0.497,0.016681802,Ank3,red
Lmbrd1,2.02E-06,0.234280565,0.591,0.456,0.03937604,Lmbrd1,red
Kcnma1,1.24E-08,0.234699084,0.339,0.17,0.000242827,Kcnma1,red
Wasf1,1.25E-07,0.23495034,0.426,0.262,0.00244317,Wasf1,red
Dnm1l,1.25E-06,0.235832685,0.672,0.529,0.024475741,Dnm1l,red
Hnrnpdl,1.95E-06,0.236144219,0.616,0.475,0.03795236,Hnrnpdl,red
Capza2,2.31E-07,0.236208794,0.756,0.596,0.004507598,Capza2,red
Fam168b,4.13E-07,0.237237314,0.611,0.452,0.008063701,Fam168b,red
Tomm70a,1.58E-06,0.23755506,0.608,0.46,0.030772861,Tomm70a,red
Adap1,6.61E-07,0.238118251,0.487,0.331,0.012899483,Adap1,red
Marcks,1.58E-06,0.239101232,0.787,0.721,0.030791949,Marcks,red
Cpne9,4.45E-10,0.240449133,0.28,0.114,8.69E-06,Cpne9,red
Tcf4,5.76E-08,0.241298725,0.392,0.232,0.001124505,Tcf4,red
Ndrg3,1.96E-07,0.241574071,0.849,0.74,0.003831242,Ndrg3,red
Lancl1,2.76E-08,0.241675581,0.627,0.445,0.000538031,Lancl1,red
Apbb1,1.08E-06,0.242037083,0.857,0.798,0.021028338,Apbb1,red
Rac1,3.53E-08,0.242155534,0.958,0.92,0.000688129,Rac1,red
Syngr1,2.43E-07,0.242167518,0.821,0.729,0.0047331,Syngr1,red
Serinc3,2.09E-06,0.242287004,0.706,0.585,0.040696829,Serinc3,red
Kifap3,2.24E-06,0.242398616,0.756,0.658,0.043675075,Kifap3,red
Rtn3,8.57E-11,0.242613482,0.986,0.989,1.67E-06,Rtn3,red
Srgap3,6.65E-07,0.242847663,0.443,0.292,0.012976968,Srgap3,red
Pnisr,4.21E-09,0.243014352,0.389,0.215,8.22E-05,Pnisr,red
Kcnab3,4.25E-10,0.243229818,0.244,0.092,8.29E-06,Kcnab3,red
Oip5os1,1.10E-07,0.24637947,0.493,0.323,0.002147544,Oip5os1,red
Ubqln1,3.05E-07,0.247670144,0.672,0.516,0.005956113,Ubqln1,red
Shank1,3.28E-08,0.247809416,0.403,0.239,0.000639982,Shank1,red
R3hdm1,8.20E-07,0.247866228,0.434,0.29,0.015997646,R3hdm1,red
Gria3,1.00E-08,0.248463027,0.417,0.243,0.00019575,Gria3,red
Schip1,1.41E-08,0.24863057,0.389,0.219,0.000274906,Schip1,red
Luzp2,5.37E-08,0.248747667,0.448,0.286,0.001048139,Luzp2,red
Srpk2,5.72E-07,0.248747667,0.611,0.441,0.011153008,Srpk2,red
R3hdm4,2.43E-09,0.248839843,0.454,0.265,4.74E-05,R3hdm4,red
Pex5l,1.67E-09,0.249195778,0.35,0.178,3.27E-05,Pex5l,red
Atp6ap2,7.04E-07,0.250631534,0.804,0.718,0.013734659,Atp6ap2,red
Tppp,1.32E-06,0.252521181,0.574,0.436,0.025820593,Tppp,red
Amph,7.32E-07,0.253141613,0.636,0.507,0.014287899,Amph,red
Zbtb18,1.11E-11,0.253466216,0.319,0.131,2.17E-07,Zbtb18,red
Cadm2,3.60E-07,0.253628277,0.501,0.342,0.007018622,Cadm2,red
Hnrnpa2b1,1.91E-07,0.253708665,0.891,0.807,0.003728651,Hnrnpa2b1,red
Camk2d,6.28E-07,0.254125177,0.549,0.398,0.012250055,Camk2d,red
Dync1h1,1.89E-06,0.25427687,0.826,0.748,0.036889952,Dync1h1,red
Rbm39,3.54E-07,0.254666295,0.667,0.555,0.006912482,Rbm39,red
Sytl2,1.98E-12,0.256088847,0.255,0.084,3.86E-08,Sytl2,red
Pafah1b1,4.73E-08,0.256335824,0.826,0.677,0.000923105,Pafah1b1,red
Ccni,2.05E-09,0.256771232,0.51,0.318,4.01E-05,Ccni,red
Cdk17,6.02E-08,0.258448348,0.392,0.236,0.001175323,Cdk17,red
Lynx1,1.91E-07,0.258906069,0.518,0.353,0.003735037,Lynx1,red
Aldh1a1,4.16E-11,0.259380255,0.339,0.151,8.13E-07,Aldh1a1,red
Adarb1,1.65E-08,0.259387606,0.563,0.383,0.000322154,Adarb1,red
Wdfy3,5.94E-07,0.259402169,0.538,0.387,0.01158939,Wdfy3,red
Bin1,7.56E-08,0.259550978,0.739,0.596,0.001474249,Bin1,red
Chgb,1.09E-06,0.259651413,0.734,0.63,0.021216418,Chgb,red
Sirpa,8.74E-07,0.259797141,0.672,0.548,0.017056996,Sirpa,red
Srrm2,1.16E-07,0.261201864,0.499,0.34,0.002272275,Srrm2,red
Tspan7,3.40E-10,0.261686722,0.978,0.963,6.63E-06,Tspan7,red
Nxph1,4.94E-10,0.261686722,0.283,0.121,9.63E-06,Nxph1,red
Itgav,1.90E-08,0.262845979,0.311,0.161,0.000370335,Itgav,red
Pdha1,1.69E-07,0.263960474,0.686,0.544,0.00329133,Pdha1,red
Ptprs,2.96E-08,0.264179347,0.759,0.583,0.000576829,Ptprs,red
Acadsb,2.87E-08,0.264316978,0.417,0.254,0.00056071,Acadsb,red
Zranb2,1.03E-08,0.264870979,0.58,0.409,0.000200343,Zranb2,red
Dnajc5,1.82E-08,0.264900251,0.737,0.598,0.000354429,Dnajc5,red
Arpp19,4.51E-08,0.266109909,0.714,0.564,0.000879561,Arpp19,red
Miat,4.74E-08,0.266323132,0.434,0.271,0.000925213,Miat,red
Anks1b,4.53E-08,0.266570446,0.574,0.415,0.000884046,Anks1b,red
Car2,5.96E-07,0.267587324,0.625,0.477,0.011628276,Car2,red
Sort1,8.49E-09,0.268368087,0.507,0.314,0.000165623,Sort1,red
Aplp2,2.95E-07,0.269645377,0.891,0.804,0.005762189,Aplp2,red
Frrs1l,2.84E-07,0.269658729,0.51,0.357,0.005535684,Frrs1l,red
Nat8l,1.37E-06,0.269814603,0.611,0.464,0.026748396,Nat8l,red
Nrn1,1.60E-09,0.270513414,0.423,0.234,3.13E-05,Nrn1,red
Atp1a1,1.17E-07,0.270638323,0.661,0.493,0.002273399,Atp1a1,red
Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red
Cbln2,3.12E-07,0.271893879,0.328,0.181,0.00607937,Cbln2,red
Oga,1.56E-08,0.272875279,0.639,0.467,0.000303693,Oga,red
Dlgap1,5.83E-09,0.272930645,0.381,0.209,0.000113659,Dlgap1,red
Atp1b1,1.35E-14,0.273314159,1,1,2.63E-10,Atp1b1,red
Slc38a2,3.87E-08,0.27343193,0.476,0.31,0.000754873,Slc38a2,red
Nr1d2,1.57E-07,0.274545934,0.457,0.305,0.003058445,Nr1d2,red
Pde2a,2.13E-09,0.275659665,0.535,0.333,4.15E-05,Pde2a,red
Cnp,1.17E-06,0.27597881,0.768,0.611,0.022764151,Cnp,red
Pkp4,1.79E-07,0.276095781,0.549,0.387,0.003489983,Pkp4,red
Tac1,1.85E-06,0.276409975,0.549,0.402,0.036010695,Tac1,red
Smim13,1.71E-08,0.277055124,0.504,0.327,0.000332967,Smim13,red
Serpine2,3.20E-08,0.277197947,0.77,0.622,0.000623921,Serpine2,red
Synj1,5.24E-08,0.277649017,0.829,0.697,0.001022263,Synj1,red
Arpp21,1.32E-09,0.278220456,0.317,0.151,2.58E-05,Arpp21,red
Arf3,4.37E-08,0.279094309,0.891,0.817,0.000852319,Arf3,red
Hlf,2.53E-09,0.28054575,0.384,0.209,4.93E-05,Hlf,red
Arap2,7.21E-15,0.281136265,0.244,0.064,1.41E-10,Arap2,red
Kcnq2,1.61E-09,0.281219404,0.647,0.465,3.15E-05,Kcnq2,red
Gnao1,3.57E-07,0.282407059,0.885,0.77,0.006971557,Gnao1,red
Lpgat1,2.70E-09,0.282955339,0.468,0.292,5.27E-05,Lpgat1,red
Cyfip2,2.50E-08,0.283092546,0.801,0.667,0.000486995,Cyfip2,red
BC005537,8.30E-11,0.283780493,0.619,0.394,1.62E-06,BC005537,red
Rap1gap,7.78E-07,0.284054535,0.739,0.645,0.015188026,Rap1gap,red
Bsn,2.55E-09,0.284367112,0.457,0.279,4.97E-05,Bsn,red
