"","Gene","G","Symbol","Name","Chr","Qualifier","Annotated.Term","Context","Proteoform","Evidence","Inferred.From","Reference.s."
"1","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic ribosome","",NA,"ISO","P63220 ","J:164563 "
"2","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000047682 ","J:265628 "
"3","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"4","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621038 ","J:155856 "
"5","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"ISO","P63220 ","J:164563 "
"6","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"7","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000080456 ","J:265628 "
"8","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:621204 ","J:155856 "
"9","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic large ribosomal subunit","",NA,"ISO","P61927 ","J:164563 "
"10","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic ribosome","",NA,"ISO","P61927 ","J:164563 "
"11","Rpl41","MGI:1915195","Rpl41","ribosomal protein L41","10","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"12","Rpl41","MGI:1915195","Rpl41","ribosomal protein L41","10","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"13","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000103359 ","J:265628 "
"14","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"15","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"16","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1305573 ","J:155856 "
"17","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"ISO","P63173 ","J:164563 "
"18","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic ribosome","",NA,"ISO","P63173 ","J:164563 "
"19","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000080571 ","J:265628 "
"20","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"21","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621046 ","J:155856 "
"22","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"ISO","P62857 ","J:164563 "
"23","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"24","Fau","MGI:102547","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","19","","cytosolic ribosome","",NA,"ISO","P62861 ","J:164563 "
"25","Fau","MGI:102547","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","19","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"26","Fau","MGI:102547","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","19","","cytosolic small ribosomal subunit","",NA,"ISO","P62861 ","J:164563 "
"27","Fau","MGI:102547","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","19","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"28","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000244187 ","J:265628 "
"29","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"30","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"ISO","L31610 ","J:35064 "
"31","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:3596 ","J:155856 "
"32","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"ISO","P62273 ","J:164563 "
"33","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"34","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000096770 ","J:265628 "
"35","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"36","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"37","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"ISO","P18077 ","J:164563 "
"38","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic ribosome","",NA,"ISO","P18077 ","J:164563 "
"39","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"IBA","PTN001463935 ","J:265628 "
"40","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"41","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"42","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:68390 ","J:155856 "
"43","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"ISO","P46778 ","J:164563 "
"44","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic ribosome","",NA,"ISO","P46778 ","J:164563 "
"45","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic ribosome","",NA,"ISO","P46783 ","J:164563 "
"46","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000254423 ","J:265628 "
"47","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"48","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621024 ","J:155856 "
"49","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"ISO","P46783 ","J:164563 "
"50","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"51","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic ribosome","",NA,"ISO","P62979 ","J:164563 "
"52","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:620240 ","J:155856 "
"53","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:6489478 ","J:155856 "
"54","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"ISO","P62979 ","J:164563 "
"55","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"56","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000183647 ","J:265628 "
"57","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IDA","","J:49488 "
"58","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"59","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"60","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62049 ","J:155856 "
"61","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"ISO","P32969 ","J:164563 "
"62","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic ribosome","",NA,"ISO","P32969 ","J:164563 "
"63","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic ribosome","",NA,"ISO","P62847 ","J:164563 "
"64","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"65","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621040 ","J:155856 "
"66","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"ISO","NM_033022 ","J:1948 "
"67","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"ISO","P62847 ","J:164563 "
"68","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"69","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000012121 ","J:265628 "
"70","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"71","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"72","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62085 ","J:155856 "
"73","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"ISO","Q9Y3U8 ","J:164563 "
"74","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic ribosome","",NA,"ISO","Q9Y3U8 ","J:164563 "
"75","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000205184 ","J:265628 "
"76","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"77","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"78","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62067 ","J:155856 "
"79","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"ISO","P62829 ","J:164563 "
"80","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic ribosome","",NA,"ISO","X52839 ","J:66696 "
"81","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic ribosome","",NA,"ISO","P62829 ","J:164563 "
"82","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic ribosome","",NA,"ISO","P62249 ","J:164563 "
"83","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000490831 ","J:265628 "
"84","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"85","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621031 ","J:155856 "
"86","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"ISO","P62249 ","J:164563 "
"87","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"88","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000283756 ","J:265628 "
"89","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"90","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621044 ","J:155856 "
"91","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"ISO","P62854 ","J:164563 "
"92","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"93","Ubb","MGI:98888","Ubb","ubiquitin B","11","","cytosolic small ribosomal subunit","",NA,"IBA","PTN008503435 ","J:265628 "
"94","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000079604 ","J:265628 "
"95","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"96","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"97","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1309402 ","J:155856 "
"98","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"ISO","P49207 ","J:164563 "
