"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"268","Rtl8a",3.34887305448745e-07,-0.189181088112206,0.831,0.904,0.00653398621661047,"blue"
"269","Rtl8b",1.0284981608318e-09,-0.242855721540621,0.428,0.601,2.00670276159893e-05,"blue"
"270","Rtn3",4.44868695668228e-09,0.218895166104742,0.993,0.98,8.6798331211828e-05,"red"
"271","Rtn4",5.82107150133498e-12,0.315712973441904,0.946,0.883,1.13574926062547e-07,"red"
"272","Sec61g",1.26008812954223e-22,-0.400188924796798,0.791,0.913,2.45855794954985e-18,"blue"
"273","Selenom",1.47655903154082e-11,-0.262903617352333,0.845,0.901,2.8809143264393e-07,"blue"
"274","Selenow",4.15851882127041e-17,-0.252379960932965,0.993,1,8.11368607218069e-13,"blue"
"275","Sem1",2.42066010434313e-12,-0.298558325238106,0.592,0.752,4.72294992958388e-08,"blue"
"276","Serf2",4.79101529790242e-21,-0.336181493102686,0.894,0.959,9.3477499477374e-17,"blue"
"277","Serinc1",4.69403423141606e-16,0.315638810504815,0.984,0.956,9.15853018891587e-12,"red"
"278","Serp2",2.89008429151827e-07,-0.199931227687383,0.548,0.684,0.0056388434611813,"blue"
"279","Sh3gl2",4.04555150462677e-10,0.324664511280136,0.639,0.525,7.89327554067728e-06,"red"
"280","Six3",9.42972312916897e-12,-0.177365694053166,0.056,0.184,1.83983327973216e-07,"blue"
"281","Slc17a7",3.48596612303903e-23,0.418316654067409,0.705,0.448,6.80146850266146e-19,"red"
"282","Slc1a2",3.99145456055445e-20,0.362015769604843,0.984,0.965,7.78772699309779e-16,"red"
"283","Slc24a2",1.59146127074204e-10,0.354496652610302,0.515,0.376,3.10510008534479e-06,"red"
"284","Slc32a1",2.08958976425231e-16,-0.334022601316821,0.33,0.584,4.07699858903268e-12,"blue"
"285","Smdt1",1.26918986074127e-36,-0.49242452798403,0.831,0.945,2.47631633729229e-32,"blue"
"286","Snap25",9.50773586201852e-45,0.474443748648028,1,1,1.85505434403843e-40,"red"
"287","Snca",1.2891710949522e-06,0.267132416025943,0.518,0.427,0.0251530172336124,"red"
"288","Snhg11",2.11469564376822e-33,0.514628561255643,0.969,0.873,4.12598267055617e-29,"red"
"289","Snhg8",4.92149371079878e-12,-0.254043049191026,0.368,0.559,9.6023263791395e-08,"blue"
"290","Snrpd1",1.37614906037938e-09,-0.220819203715685,0.372,0.548,2.6850044317062e-05,"blue"
"291","Snrpg",1.62305969033348e-08,-0.227514072460185,0.38,0.544,0.000316675176180966,"blue"
"292","Sparc",2.32148362173915e-09,-0.281427987792296,0.956,0.968,4.52944669437525e-05,"blue"
"293","Ssr4",8.52971854415334e-11,-0.23803727059095,0.325,0.511,1.66423338514976e-06,"blue"
"294","Syt1",2.13565163504597e-06,0.214262820968797,0.904,0.855,0.0416686990513819,"red"
"295","Tbca",6.29429690566418e-08,-0.224929411094545,0.595,0.725,0.00122808026926414,"blue"
"296","Thy1",1.08815989130881e-26,0.407342345368051,0.972,0.901,2.12310876393261e-22,"red"
"297","Timm8b",8.18782244870996e-15,-0.293125733351851,0.806,0.916,1.5975260379678e-10,"blue"
"298","Tle5",1.23499979912725e-06,-0.151471333525679,0.972,0.98,0.0240960810807717,"blue"
"299","Tmsb10",1.57961464462394e-45,-0.581640205602689,0.983,0.997,3.08198613312577e-41,"blue"
"300","Tmsb4x",6.80965183357521e-156,-1.01280859893249,1,1,1.32863116924886e-151,"blue"
"301","Tomm6",3.60558247814596e-21,-0.361093470303834,0.838,0.936,7.03485197311057e-17,"blue"
"302","Tomm7",1.81029466855127e-13,-0.292689239649213,0.812,0.872,3.53206592781039e-09,"blue"
"303","Trf",3.56125427779816e-08,0.27805908823764,0.935,0.848,0.000694836322141199,"red"
"304","Trh",1.21740996364187e-22,-0.463833049146315,0.04,0.236,2.37528858006165e-18,"blue"
"305","Trmt112",1.86011317317079e-06,-0.166033626519321,0.372,0.521,0.0362926681217352,"blue"
"306","Tspan7",3.38538439521953e-11,0.265630365625062,0.988,0.971,6.60522349351283e-07,"red"
"307","Ttc3",1.13968661399746e-09,0.222903931763334,0.97,0.94,2.22364255257045e-05,"red"
"308","Ubb",9.91776979968841e-15,-0.195677172943781,1,1,1.93505606561721e-10,"blue"
"309","Ubl5",4.2999433930528e-09,-0.221832327944601,0.901,0.939,8.38961955418532e-05,"blue"
"310","Ucp2",8.71525628099987e-09,-0.159472797684435,0.122,0.252,0.000170043365298588,"blue"
"311","Unc80",4.72326867544764e-08,0.276787227580527,0.424,0.293,0.000921556951266588,"red"
"312","Uqcc2",3.1308520996162e-15,-0.276968828970013,0.901,0.957,6.10860553156117e-11,"blue"
"313","Uqcr10",1.54037222676672e-22,-0.312480080724578,0.988,0.988,3.00542025164454e-18,"blue"
"314","Uqcr11",8.53593815911143e-17,-0.276257408977573,0.967,0.992,1.66544689422423e-12,"blue"
"315","Uqcrb",2.63189459485905e-21,-0.356415540028668,0.85,0.928,5.13508954402949e-17,"blue"
"316","Uqcrh",3.16381532368105e-44,-0.482402887505543,0.979,0.997,6.1729200780341e-40,"blue"
"317","Uqcrq",2.52062126942834e-17,-0.276553713348772,0.974,0.997,4.91798415878163e-13,"blue"
"318","Vat1",1.10100435292275e-08,-0.199714292853343,0.227,0.376,0.000214816959298758,"blue"
"319","Vsnl1",8.37597505163228e-40,0.554560667366562,0.993,0.917,1.63423649232397e-35,"red"
"320","Vstm2l",3.265379107189e-16,-0.330267253354771,0.349,0.58,6.37108117603646e-12,"blue"
"321","Xist",1.75095765297833e-22,0.21264810259002,0.12,0,3.41629347672601e-18,"red"
"322","Ywhag",1.0504950453598e-14,0.291632418313796,0.976,0.961,2.04962088300151e-10,"red"
"323","Ywhaz",1.8645719111825e-16,0.311476626464634,0.99,0.92,3.63796625590819e-12,"red"
