"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"62","Dpysl2",1.36193858795503e-09,0.256351959673903,0.906,0.851,2.65727837895906e-05,"red"
"63","Drap1",1.75898799638532e-17,-0.35265697060257,0.511,0.7,3.4319614797474e-13,"blue"
"64","Dynll2",1.62096964703021e-15,0.307326442839357,0.963,0.915,3.16267387832065e-11,"red"
"65","Ecel1",4.50952164840616e-18,-0.379710334317208,0.106,0.305,8.79852768820525e-14,"blue"
"66","Eif1",5.96139208848197e-09,-0.174550580780717,0.974,0.995,0.000116312721038372,"blue"
"67","Eif2s3y",2.65858714193372e-20,-0.207476429343482,0,0.137,5.18716937262687e-16,"blue"
"68","Eif5a",6.0728398637274e-11,-0.232635353279032,0.777,0.86,1.18487178581185e-06,"blue"
"69","Elob",1.36968235802487e-28,-0.368228621169226,0.986,0.995,2.67238724874233e-24,"blue"
"70","Enc1",1.11832626049136e-12,0.341751913890276,0.558,0.404,2.18196636684468e-08,"red"
"71","Eno1",8.53155822021505e-14,-0.323981322190973,0.702,0.811,1.66459232434616e-09,"blue"
"72","Erh",2.29441885233594e-14,-0.235391504520269,0.183,0.38,4.47664062279266e-10,"blue"
"73","Fau",8.0635101187766e-51,-0.421728066743884,0.998,1,1.5732714592745e-46,"blue"
"74","Fis1",1.89874864896338e-12,-0.247942260722448,0.848,0.916,3.70464848899245e-08,"blue"
"75","Fkbp2",2.83671493784126e-11,-0.253861410281766,0.604,0.764,5.53471451522209e-07,"blue"
"76","Fmc1",9.12090345938126e-08,-0.197636437674623,0.379,0.532,0.00177957947395988,"blue"
"77","Frmpd4",8.54241426691259e-09,-0.156413728561091,0.086,0.203,0.000166671044761732,"blue"
"78","Ftl1",9.34981878617016e-33,-0.484183634191403,0.887,0.969,1.82424314336966e-28,"blue"
"79","Gabarapl2",1.31098448273136e-08,-0.223651867109046,0.827,0.88,0.000255786182425715,"blue"
"80","Gad2",3.16480116405365e-14,-0.344200205904204,0.422,0.647,6.17484355118508e-10,"blue"
"81","Gal",5.09477732731411e-18,-0.284213472808913,0.026,0.177,9.94042004332256e-14,"blue"
"82","Gapdh",3.02438361738013e-20,-0.229481822744141,1,1,5.90087487587036e-16,"blue"
"83","Gas5",1.80743124282577e-26,-0.396033157541121,0.976,0.993,3.52647909787736e-22,"blue"
"84","Ghitm",2.13456506602196e-15,0.344882472455489,0.897,0.804,4.16474990031545e-11,"red"
"85","Glul",6.44219395758928e-07,0.235485619363756,0.958,0.929,0.0125693646306524,"red"
"86","Gm10076",1.84833295414613e-28,-0.561515654629154,0.635,0.809,3.60628242683451e-24,"blue"
"87","Gm11808",5.56687043769497e-17,-0.35126528888382,0.215,0.439,1.08615209109867e-12,"blue"
"88","Gm1673",4.22159003996753e-14,-0.309133556165493,0.691,0.841,8.23674432698065e-10,"blue"
"89","Gng3",7.24279014117721e-09,-0.204690851285326,0.885,0.929,0.000141314078444509,"blue"
"90","Gpm6a",1.15816783398048e-19,0.393224496148074,0.988,0.925,2.25970126087932e-15,"red"
"91","Gpx1",8.85957288887849e-15,-0.326699628171195,0.433,0.649,1.72859126634908e-10,"blue"
"92","Gpx4",6.17528861469011e-19,-0.296257175548575,0.99,1,1.20486056161219e-14,"blue"
"93","Grcc10",2.42113638513369e-07,-0.205230471089977,0.846,0.903,0.00472387920103435,"blue"
"94","Gria2",1.0813578112643e-11,0.348328562754762,0.567,0.429,2.10983722555777e-07,"red"
"95","Gstm1",1.68101575947065e-07,-0.207268594429425,0.712,0.823,0.00327982984830319,"blue"
"96","Gstp1",2.53512883105526e-19,-0.387295925071887,0.311,0.553,4.94628986227192e-15,"blue"
"97","Hba-a1",7.12029995814644e-23,-1.03465680005615,0.265,0.549,1.38924172483395e-18,"blue"
"98","Hba-a2",9.71121800822878e-20,-0.889552225688986,0.213,0.469,1.89475574558552e-15,"blue"
"99","Hbb-bs",6.36482314782766e-32,-1.16522581682682,0.647,0.865,1.24184064437265e-27,"blue"
"100","Hbb-bt",1.16046589699528e-15,-0.62301661619361,0.105,0.289,2.2641850116275e-11,"blue"
"101","Hcrt",2.57716649215487e-32,-1.60536921794717,0.005,0.227,5.02830954284337e-28,"blue"
"102","Hint1",1.19073034487248e-11,-0.208209579942173,0.97,0.991,2.32323397588069e-07,"blue"
"103","Hpca",3.23565976030703e-08,0.215003042987855,0.695,0.56,0.000631309575833504,"red"
