"","Gene","G","Symbol","Name","Chr","Qualifier","Annotated.Term","Context","Proteoform","Evidence","Inferred.From","Reference.s."
"1","Rpl41","MGI:1915195","Rpl41","ribosomal protein L41","10","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"2","Rpl41","MGI:1915195","Rpl41","ribosomal protein L41","10","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"3","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic ribosome","",NA,"ISO","P63220 ","J:164563 "
"4","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000047682 ","J:265628 "
"5","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"6","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621038 ","J:155856 "
"7","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"ISO","P63220 ","J:164563 "
"8","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"9","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000096770 ","J:265628 "
"10","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"11","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"12","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"ISO","P18077 ","J:164563 "
"13","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic ribosome","",NA,"ISO","P18077 ","J:164563 "
"14","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic ribosome","",NA,"ISO","P42677 ","J:164563 "
"15","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000174285 ","J:265628 "
"16","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"17","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621045 ","J:155856 "
"18","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"ISO","P42677 ","J:164563 "
"19","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000356124 ","J:265628 "
"20","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1303007 ","J:155856 "
"21","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic large ribosomal subunit","",NA,"ISO","P42766 ","J:164563 "
