"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"69","Romo1",1.04535292209984e-06,-0.269520375601164,0.498,0.718,0.0203958808630899
"70","Rpl10",3.29632415743782e-09,-0.379483562497563,0.819,0.939,6.43145806357693e-05
"71","Rpl11",7.21979598789733e-16,-0.398036161472171,0.986,1,1.40865439519865e-11
"72","Rpl13",1.36209890592581e-10,-0.284763880371654,1,1,2.65759117535184e-06
"73","Rpl17",1.94098737813572e-17,-0.437985613434118,0.982,0.996,3.7870604734806e-13
"74","Rpl18",2.11515674522677e-11,-0.361565384317198,0.875,0.957,4.12688232561194e-07
"75","Rpl18a",7.68562974047167e-07,-0.220019085621431,0.982,0.996,0.0149954321866343
"76","Rpl19",7.12462988108481e-09,-0.239402088928245,1,1,0.000139008653609846
"77","Rpl21",4.47757547260898e-14,-0.314322131121167,1,1,8.73619750460738e-10
"78","Rpl22",9.14146690199935e-08,-0.316220878094543,0.74,0.864,0.00178359160724909
"79","Rpl22l1",2.05828356725872e-13,-0.413486149980795,0.851,0.964,4.01591706807849e-09
"80","Rpl23",1.11295263036902e-12,-0.370650586006108,0.986,0.996,2.171481877113e-08
"81","Rpl24",9.7527410341217e-10,-0.278127369517359,1,1,1.90285730316749e-05
"82","Rpl26",7.24873683907221e-09,-0.271962656731217,0.996,1,0.000141430104467138
"83","Rpl27",7.25120387450952e-10,-0.359067304258676,0.904,0.989,1.41478238795555e-05
"84","Rpl27a",4.57618239491982e-13,-0.356314353778145,0.989,1,8.92858947072806e-09
"85","Rpl28",1.07349913811071e-08,-0.268336517524344,0.989,1,0.00020945041683678
"86","Rpl29",1.06147876518784e-14,-0.397398327099632,0.957,0.996,2.071051218758e-10
"87","Rpl30",5.14525514575357e-20,-0.475986417304131,0.996,1,1.00389073148798e-15
"88","Rpl32",3.20047710560536e-14,-0.344569988540661,1,0.996,6.24445088074662e-10
"89","Rpl34",7.40095421194839e-19,-0.473638064711364,0.982,1,1.44400017629325e-14
"90","Rpl35",8.20265488480717e-22,-0.559832792883315,0.875,0.986,1.60041999457473e-17
"91","Rpl35a",2.86697817398682e-28,-0.535717812130948,0.993,1,5.59376111526569e-24
"92","Rpl36",7.76836454472287e-11,-0.313674362545614,0.993,1,1.51568560632088e-06
"93","Rpl36a",4.99199167915204e-12,-0.406988202086299,0.854,0.961,9.73987496519354e-08
"94","Rpl36al",1.07631929130755e-06,-0.279318266714954,0.779,0.9,0.0210000656927017
"95","Rpl37",1.34753160697351e-21,-0.400916946961447,1,1,2.62916891836602e-17
"96","Rpl37a",1.80003122906152e-09,-0.2870079883965,0.996,1,3.51204093102193e-05
"97","Rpl38",7.28677078311394e-21,-0.398203235098844,1,1,1.42172184749336e-16
"98","Rpl39",1.45580318519496e-18,-0.473205782224213,0.996,1,2.84041759463388e-14
"99","Rpl41",4.73330161346553e-32,-0.508251289612264,0.996,1,9.2351447780326e-28
"100","Rpl9",1.51731171391236e-20,-0.536439833696844,0.954,1,2.9604268850144e-16
"101","Rplp1",2.83161040535016e-14,-0.280615700956229,1,1,5.52475506187869e-10
"102","Rplp2",1.11380415842157e-15,-0.448515071017157,0.961,0.986,2.17314329349632e-11
"103","Rps10",1.38406684246756e-12,-0.371689695137158,0.975,0.996,2.70045281633846e-08
"104","Rps11",4.00437243704339e-11,-0.319374591677484,0.979,0.993,7.81293106191536e-07
"105","Rps12",3.78263761031556e-12,-0.355055159789721,0.968,1,7.38030424148669e-08
"106","Rps13",1.32641723930101e-13,-0.426264754702098,0.943,0.996,2.58797267560021e-09
"107","Rps14",1.63342232807916e-16,-0.428257825362767,0.993,1,3.18697030431524e-12
"108","Rps15a",5.85228941201661e-11,-0.389109356621797,0.954,0.993,1.14184018717856e-06
"109","Rps16",5.78650324243563e-12,-0.358544957865529,0.979,1,1.12900464763161e-07
"110","Rps18",7.60343248141452e-07,-0.293427944714764,0.911,0.957,0.0148350571144879
"111","Rps19",3.42230591205987e-12,-0.362371534912588,0.986,1,6.67726106502002e-08
"112","Rps20",1.02234194735609e-10,-0.313441853026363,0.993,1,1.99469137348646e-06
